!CSV A.01.01
!Keysight Technologies,P9377B,MY61100645,A.17.60.13
!Date: Friday, July 11, 2025 20:33:05
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(DB),S21(DEG)
18000000000,-23.300415,65.35128
18013750000,-23.351093,5.881825
18027500000,-23.366192,-54.601719
18041250000,-23.452938,-114.35012
18055000000,-23.402151,-174.17891
18068750000,-23.398323,125.70452
18082500000,-23.302126,65.513199
18096250000,-23.301146,5.0396237
18110000000,-23.291466,-56.175594
18123750000,-23.459848,-116.07217
18137500000,-23.494791,-175.69984
18151250000,-23.471466,125.02144
18165000000,-23.300665,64.768364
18178750000,-23.330921,4.1330338
18192500000,-23.198854,-56.229271
18206250000,-23.369104,-117.41248
18220000000,-23.47719,-177.01279
18233750000,-23.489157,123.31833
18247500000,-23.508726,63.109226
18261250000,-23.606991,3.377984
18275000000,-23.474585,-54.994972
18288750000,-23.334118,-115.08328
18302500000,-23.128754,-175.4756
18316250000,-23.054012,122.67897
18330000000,-23.15822,61.580406
18343750000,-23.45051,0.85147953
18357500000,-23.631449,-57.116619
18371250000,-23.474232,-116.16515
18385000000,-23.342077,-175.58783
18398750000,-23.183647,124.00213
18412500000,-23.151072,63.369785
18426250000,-23.142097,2.9378419
18440000000,-23.13224,-56.513134
18453750000,-22.990713,-117.1179
18467500000,-23.019634,-177.49661
18481250000,-22.95521,121.70934
18495000000,-23.067749,62.198639
18508750000,-22.893356,1.7240099
18522500000,-23.008064,-59.177315
18536250000,-22.934662,-119.44507
18550000000,-23.182142,-179.96542
18563750000,-23.246237,121.36421
18577500000,-23.19154,62.198544
18591250000,-23.020081,3.296335
18605000000,-22.731945,-57.109917
18618750000,-22.61689,-118.23263
18632500000,-22.548336,-179.65511
18646250000,-22.680004,119.05286
18660000000,-22.799305,59.013832
18673750000,-22.831089,-0.64313471
18687500000,-22.923738,-60.959404
18701250000,-23.022606,-119.95456
18715000000,-22.875078,-179.36691
18728750000,-22.831352,120.97541
18742500000,-22.611622,60.832863
18756250000,-22.560635,-0.14238177
18770000000,-22.519236,-61.443161
18783750000,-22.70977,-121.36499
18797500000,-22.617781,179.17374
18811250000,-22.540257,118.93018
18825000000,-22.441231,58.31879
18838750000,-22.452482,-2.8470387
18852500000,-22.602024,-63.45607
18866250000,-22.7388,-123.69329
18880000000,-22.85141,177.44519
18893750000,-22.78017,118.03791
18907500000,-22.714565,58.24099
18921250000,-22.679243,-1.5837919
18935000000,-22.477917,-61.222359
18948750000,-22.371078,-122.79008
18962500000,-22.372116,176.87616
18976250000,-22.421303,114.85086
18990000000,-22.684895,55.001595
19003750000,-22.799137,-4.7848244
19017500000,-22.895998,-63.079422
19031250000,-22.665485,-122.93667
19045000000,-22.717463,176.88037
19058750000,-22.628323,117.41087
19072500000,-22.509106,56.915901
19086250000,-22.510345,-3.9789724
19100000000,-22.519833,-64.258995
19113750000,-22.60342,-124.94174
19127500000,-22.749945,175.32207
19141250000,-22.750683,116.10426
19155000000,-22.650032,56.471161
19168750000,-22.567347,-3.7774439
19182500000,-22.615795,-64.538017
19196250000,-22.607517,-123.63335
19210000000,-22.544443,175.46835
19223750000,-22.583563,115.8082
19237500000,-22.527813,55.037594
19251250000,-22.674816,-4.7584233
19265000000,-22.635832,-64.587463
19278750000,-22.631205,-124.95039
19292500000,-22.69116,174.92143
19306250000,-22.757412,115.06931
19320000000,-22.773312,55.152767
19333750000,-22.853102,-3.2580304
19347500000,-22.626621,-63.55801
19361250000,-22.715122,-123.07035
19375000000,-22.375734,176.32092
19388750000,-22.57617,115.44542
19402500000,-22.490841,55.250221
19416250000,-22.672417,-5.5595913
19430000000,-22.775126,-64.84182
19443750000,-22.761045,-124.62235
19457500000,-22.855671,175.63631
19471250000,-22.896727,116.67558
19485000000,-22.827589,57.29435
19498750000,-22.739611,-2.1798332
19512500000,-22.587326,-61.881187
19526250000,-22.471603,-122.38422
19540000000,-22.405779,176.97604
19553750000,-22.4585,115.83147
19567500000,-22.553646,56.40147
19581250000,-22.498711,-3.9980145
19595000000,-22.514687,-63.46888
19608750000,-22.498365,-124.36709
19622500000,-22.631086,176.21234
19636250000,-22.622303,116.23616
19650000000,-22.655315,57.18932
