!CSV A.01.01
!Keysight Technologies,P9377B,MY61100645,A.17.60.13
!Date: Friday, July 11, 2025 20:33:55
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(DB),S21(DEG)
18000000000,-23.327351,65.564362
18013750000,-23.353392,5.716588
18027500000,-23.361805,-54.235222
18041250000,-23.34968,-114.63777
18055000000,-23.423828,-174.34557
18068750000,-23.305573,125.4463
18082500000,-23.351889,65.442062
18096250000,-23.249256,4.639554
18110000000,-23.341906,-56.170746
18123750000,-23.450527,-116.33833
18137500000,-23.510298,-175.49731
18151250000,-23.408014,124.822
18165000000,-23.296068,64.677376
18178750000,-23.279444,4.0454769
18192500000,-23.219803,-56.481544
18206250000,-23.35317,-117.88288
18220000000,-23.540968,-177.19606
18233750000,-23.496717,123.15733
18247500000,-23.565886,63.145306
18261250000,-23.584185,3.867245
18275000000,-23.515104,-54.955925
18288750000,-23.331163,-115.04335
18302500000,-23.095402,-175.3938
18316250000,-23.066809,122.51054
18330000000,-23.189865,61.352264
18343750000,-23.502914,1.0975703
18357500000,-23.647804,-57.094784
18371250000,-23.426125,-115.74687
18385000000,-23.315886,-175.93604
18398750000,-23.15237,123.62171
18412500000,-23.204727,62.901466
18426250000,-23.141327,3.2055418
18440000000,-23.161875,-56.903568
18453750000,-23.021492,-117.09924
18467500000,-23.027956,-177.4814
18481250000,-22.998861,121.83416
18495000000,-23.060465,61.947514
18508750000,-22.936659,1.3979186
18522500000,-22.97109,-59.168556
18536250000,-22.962494,-119.72952
18550000000,-23.146065,179.82259
18563750000,-23.29706,121.29846
18577500000,-23.190693,62.397739
18591250000,-23.030991,3.1451652
18605000000,-22.755014,-56.971542
18618750000,-22.606016,-118.20415
18632500000,-22.555376,-179.53702
18646250000,-22.664581,118.95907
18660000000,-22.791702,58.910484
18673750000,-22.830193,-1.2073321
18687500000,-22.943443,-60.986111
18701250000,-23.025972,-120.19016
18715000000,-22.893591,-179.54961
18728750000,-22.844261,120.77271
18742500000,-22.613306,60.739651
18756250000,-22.568018,-0.088599704
18770000000,-22.49782,-61.459724
18783750000,-22.727228,-121.49028
18797500000,-22.634798,179.23514
18811250000,-22.578224,119.02923
18825000000,-22.474728,57.984291
18838750000,-22.485918,-2.7649705
18852500000,-22.58873,-63.600769
18866250000,-22.749743,-123.55721
18880000000,-22.850126,177.30435
18893750000,-22.769314,118.00503
18907500000,-22.722284,58.160892
18921250000,-22.654732,-1.449092
18935000000,-22.498016,-61.598293
18948750000,-22.400114,-122.65733
18962500000,-22.405029,176.54984
18976250000,-22.417555,114.85437
18990000000,-22.707058,54.952091
19003750000,-22.815952,-4.4643912
19017500000,-22.841499,-63.283485
19031250000,-22.681025,-123.0659
19045000000,-22.743311,176.77434
19058750000,-22.583927,117.35149
19072500000,-22.539909,56.826466
19086250000,-22.493723,-4.1344285
19100000000,-22.541449,-64.352203
19113750000,-22.636465,-124.97639
19127500000,-22.770441,175.79288
19141250000,-22.682682,116.23977
19155000000,-22.629684,56.582405
19168750000,-22.545919,-4.0134869
19182500000,-22.635279,-64.75811
19196250000,-22.684668,-123.80457
19210000000,-22.570082,175.5679
19223750000,-22.619202,115.74129
19237500000,-22.542261,55.062447
19251250000,-22.652361,-4.9810557
19265000000,-22.627731,-64.830223
19278750000,-22.630766,-125.21896
19292500000,-22.716938,174.72873
19306250000,-22.792532,115.20991
19320000000,-22.824932,55.280964
19333750000,-22.834599,-3.1555209
19347500000,-22.66086,-63.47015
19361250000,-22.688372,-123.06968
19375000000,-22.438183,176.31
19388750000,-22.532089,115.75343
19402500000,-22.505186,55.147926
19416250000,-22.661764,-5.5780139
19430000000,-22.75985,-64.920181
19443750000,-22.787588,-124.50576
19457500000,-22.869837,175.38603
19471250000,-22.892397,116.77152
19485000000,-22.801126,57.636204
19498750000,-22.665733,-2.3379571
19512500000,-22.576157,-62.132099
19526250000,-22.424313,-122.77006
19540000000,-22.490179,176.69716
19553750000,-22.504602,115.86781
19567500000,-22.562683,56.510773
19581250000,-22.494598,-3.8472044
19595000000,-22.512999,-63.745209
19608750000,-22.531528,-124.35146
19622500000,-22.649244,175.89629
19636250000,-22.686357,116.42072
19650000000,-22.651705,56.893379
19663750000,-22.539955,-2.4515347
19677500000,-22.404324,-63.192543
19691250000,-22.49799,-123.6332
19705000000,-22.441568,176.66289
19718750000,-22.434364,116.5388
19732500000,-22.419622,55.556953
19746250000,-22.508764,-4.6509032
19760000000,-22.604153,-64.934288
19773750000,-22.788036,-123.96886
19787500000,-22.715034,177.02156
19801250000,-22.626324,117.37332
19815000000,-22.510588,57.122601
19828750000,-22.543451,-3.3490188
19842500000,-22.560211,-63.805988
19856250000,-22.644764,-123.48865
19870000000,-22.700371,176.07472
19883750000,-22.768644,116.91716
19897500000,-22.736893,56.966236
19911250000,-22.823389,-2.237375
19925000000,-22.749317,-61.851646
19938750000,-22.707912,-121.60485
19952500000,-22.662457,178.25504
19966250000,-22.658955,118.76836
19980000000,-22.625599,58.187832
19993750000,-22.632917,-1.1279974
20007500000,-22.605873,-61.443851
20021250000,-22.629126,-121.40518
20035000000,-22.715235,178.23494
20048750000,-22.802784,118.67066
20062500000,-22.882723,59.200241
20076250000,-22.838104,0.11012848
20090000000,-22.881573,-59.102139
20103750000,-22.665039,-118.19043
20117500000,-22.695274,-178.65395
20131250000,-22.547569,122.201
20145000000,-22.466219,61.307083
20158750000,-22.427315,1.0206221
20172500000,-22.534712,-60.005295
20186250000,-22.573107,-119.65837
20200000000,-22.712801,-179.24503
20213750000,-22.680258,121.71877
20227500000,-22.671547,61.665237
20241250000,-22.599321,2.0362306
20255000000,-22.741053,-57.751759
20268750000,-22.635199,-116.10356
20282500000,-22.419043,-175.82104
20296250000,-22.240097,124.03557
20310000000,-22.185066,62.50906
20323750000,-22.211157,1.9641614
20337500000,-22.328674,-58.588394
20351250000,-22.454159,-118.19093
20365000000,-22.43425,-177.79749
20378750000,-22.571775,122.32594
20392500000,-22.62464,64.079216
20406250000,-22.533928,4.9139404
20420000000,-22.293739,-54.037247
20433750000,-22.029444,-115.00211
20447500000,-22.008533,-176.261
20461250000,-22.108568,122.76923
