!CSV A.01.01
!Keysight Technologies,P9377B,MY61100645,A.17.60.13
!Date: Thursday, May 28, 2026 09:13:51
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(DB),S21(DEG)
18000000000,-57.164669,7.8483024
18016250000,-60.013035,-92.318184
18032500000,-61.563362,-150.6796
18048750000,-61.953327,102.40739
18065000000,-62.57999,130.14343
18081250000,-55.571892,-8.8824472
18097500000,-67.779221,-73.264137
18113750000,-62.463028,-154.31967
18130000000,-68.93483,-119.50214
18146250000,-58.704407,87.738411
18162500000,-58.913616,40.852882
18178750000,-64.302765,-51.592007
18195000000,-63.08625,-80.204391
18211250000,-65.133606,177.68723
18227500000,-60.195786,136.44934
18243750000,-61.234432,77.934273
18260000000,-57.425472,-25.333008
18276250000,-69.812782,-21.784761
18292500000,-62.227268,152.39828
18308750000,-62.798706,150.3101
18325000000,-57.77039,63.04229
18341250000,-62.611214,-16.88677
18357500000,-64.769173,-110.46561
18373750000,-61.685322,-117.91608
18390000000,-60.567165,159.36613
18406250000,-58.944904,95.265793
18422500000,-59.522339,24.182405
18438750000,-58.890541,-59.186459
18455000000,-59.308708,-127.03358
18471250000,-58.376892,-179.40871
18487500000,-60.589401,96.310417
18503750000,-57.725334,-6.5021682
18520000000,-62.356136,-52.208557
18536250000,-56.306259,-131.79745
18552500000,-57.560612,-164.83461
18568750000,-60.796551,101.05569
18585000000,-60.858051,29.585808
18601250000,-58.663002,-22.553572
18617500000,-61.452141,-125.52766
18633750000,-61.741669,175.65503
18650000000,-59.717422,96.916267
18666250000,-66.163216,59.39946
18682500000,-57.599537,-23.012625
18698750000,-58.959408,-82.27327
18715000000,-58.515278,-126.14839
18731250000,-57.541828,121.83637
18747500000,-61.500099,14.868596
18763750000,-61.216179,-25.493162
18780000000,-56.518696,-70.891037
18796250000,-64.59803,-105.67212
18812500000,-56.233925,132.13242
18828750000,-58.755054,74.614838
18845000000,-57.960495,-24.49744
18861250000,-57.863277,-63.820354
18877500000,-62.305527,-108.09471
18893750000,-66.257172,152.42026
18910000000,-60.498356,70.180717
18926250000,-60.737873,53.16293
18942500000,-59.599792,-24.882135
18958750000,-59.958424,-105.54002
18975000000,-63.463287,-177.8289
18991250000,-60.647774,102.28072
19007500000,-57.433121,17.819729
19023750000,-61.070404,-37.43404
19040000000,-61.763004,-83.097267
19056250000,-55.717964,-167.60228
19072500000,-61.184036,122.84746
19088750000,-69.291084,23.207579
19105000000,-68.307854,25.909147
19121250000,-59.878242,-80.811569
19137500000,-61.351185,-176.48514
19153750000,-56.16243,151.68282
19170000000,-58.749203,46.996582
19186250000,-60.534248,14.140649
19202500000,-65.422073,-44.199318
19218750000,-67.454948,-107.86907
19235000000,-64.365829,146.16978
19251250000,-61.196617,117.77444
19267500000,-70.741257,172.28339
19283750000,-61.095444,-32.620636
19300000000,-60.581779,-98.474068
19316250000,-66.39724,169.99527
19332500000,-63.409958,126.75457
19348750000,-64.753807,73.126129
19365000000,-58.334057,20.367222
19381250000,-58.823772,-118.64018
19397500000,-56.169243,-153.11368
19413750000,-60.95388,-174.7009
19430000000,-58.608482,82.026497
19446250000,-58.5322,-1.2810359
19462500000,-69.008781,-10.223074
19478750000,-58.437561,-155.46521
19495000000,-56.408195,123.94092
19511250000,-56.625362,47.431423
19527500000,-53.541176,18.650055
19543750000,-57.078686,-46.397697
19560000000,-58.582741,-124.6769
19576250000,-57.423389,179.16811
19592500000,-56.470375,98.041977
19608750000,-56.920071,20.417732
19625000000,-56.081818,-46.826378
19641250000,-57.186878,-124.85966
19657500000,-55.484493,-173.30754
19673750000,-54.45311,97.505089
19690000000,-54.625774,24.129028
19706250000,-57.225574,-30.041819
19722500000,-55.397049,-113.80052
19738750000,-54.62188,162.61115
19755000000,-52.957783,117.89713
19771250000,-56.71719,50.382496
19787500000,-55.068455,-4.5948358
19803750000,-53.756207,-92.952202
19820000000,-53.072628,-163.43079
19836250000,-53.944874,137.59396
19852500000,-51.741924,62.049911
19868750000,-54.853436,-25.585289
19885000000,-51.05072,-80.308456
19901250000,-52.816475,-149.26514
19917500000,-52.183758,124.51086
19933750000,-51.64082,68.694801
19950000000,-53.618195,-24.193468
19966250000,-55.78466,-102.76824
19982500000,-58.503025,-142.91473
19998750000,-54.715778,110.70039
20015000000,-53.894665,53.766106
20031250000,-53.574524,-11.858666
20047500000,-56.044601,-63.54509
20063750000,-53.43449,-125.27721
20080000000,-53.391731,143.25581
20096250000,-56.046745,75.393066
20112500000,-55.655724,7.5542288
20128750000,-54.627808,-62.802315
20145000000,-56.373669,-118.10468
20161250000,-54.905472,150.26855
20177500000,-56.068645,90.050308
20193750000,-52.708473,37.855114
20210000000,-53.268414,-55.81871
20226250000,-52.301163,-125.93912
20242500000,-55.294292,172.23973
20258750000,-54.54438,106.63636
20275000000,-51.676167,26.974651
20291250000,-52.812046,-27.195316
20307500000,-51.933537,-102.82995
20323750000,-52.767086,-179.79585
20340000000,-53.412502,105.58926
20356250000,-52.433315,47.126923
20372500000,-53.486061,-34.735199
20388750000,-53.542488,-104.25736
20405000000,-54.030476,-178.05104
20421250000,-55.081829,129.72018
20437500000,-52.899998,37.780296
20453750000,-53.592682,-17.358997
20470000000,-55.936405,-101.11214
20486250000,-54.977482,-152.55205
20502500000,-52.967888,119.31372
20518750000,-53.251793,63.661324
20535000000,-54.204105,-2.0714753
20551250000,-55.045437,-75.723701
20567500000,-53.878803,-124.76437
20583750000,-55.846649,143.55882
20600000000,-54.298065,72.433723
20616250000,-52.310593,5.0501585
20632500000,-52.248039,-51.953594
20648750000,-51.313354,-129.6416
20665000000,-52.810928,156.99915
20681250000,-50.896896,94.715324
20697500000,-52.510166,17.920944
20713750000,-51.740849,-31.218073
20730000000,-52.335152,-98.033646
20746250000,-51.445835,-165.45876
20762500000,-49.914154,116.47736
20778750000,-51.105335,42.52552
20795000000,-50.345547,-37.985958
20811250000,-49.32605,-112.44037
20827500000,-47.697315,178.97821
20843750000,-50.733452,109.04809
20860000000,-49.038155,33.845554
20876250000,-48.615513,-24.161861
20892500000,-52.000839,-96.673477
20908750000,-48.462364,-178.23795
20925000000,-50.859211,104.96045
20941250000,-49.900398,48.863705
20957500000,-51.550144,-29.036255
20973750000,-49.330605,-91.589394
20990000000,-50.152653,-161.94212
21006250000,-51.625401,114.43211
21022500000,-52.640057,48.815132
21038750000,-51.317417,-19.822693
21055000000,-50.12188,-74.441788
21071250000,-50.353584,-151.73077
21087500000,-49.223782,156.01419
21103750000,-50.684757,76.281967
21120000000,-49.6992,5.4487
21136250000,-49.205444,-65.343407
21152500000,-48.427139,-142.97089
21168750000,-48.92432,143.37027
21185000000,-49.697258,75.15078
21201250000,-48.660133,-3.9381654
21217500000,-48.022816,-67.408669
21233750000,-49.463306,-142.82568
21250000000,-48.642464,163.87308
21266250000,-48.640606,74.299637
21282500000,-50.163712,14.221069
21298750000,-49.336201,-58.219059
21315000000,-49.567448,-145.59375
21331250000,-49.758778,151.18085
21347500000,-50.083256,85.408447
21363750000,-50.251892,29.055304
21380000000,-50.750061,-63.0616
21396250000,-49.205715,-121.80857
21412500000,-52.352146,170.92239
21428750000,-49.615757,96.493279
21445000000,-52.095787,29.496054
21461250000,-51.563854,-36.230228
21477500000,-50.475891,-116.24798
21493750000,-49.822113,-167.81953
21510000000,-48.399742,97.961906
21526250000,-49.457806,34.687275
21542500000,-49.366894,-38.701729
21558750000,-50.764038,-109.36385
21575000000,-50.611298,-173.935
21591250000,-50.494793,116.04208
21607500000,-53.462132,62.762302
21623750000,-49.688587,-31.284901
21640000000,-50.276478,-89.967201
21656250000,-50.456944,-176.09912
21672500000,-50.509426,105.69379
21688750000,-50.417015,55.073193
21705000000,-50.271427,-15.841359
21721250000,-52.061138,-95.542427
21737500000,-51.148548,-170.15729
21753750000,-52.372261,123.799
21770000000,-52.499184,54.119347
21786250000,-52.406662,-8.2121592
21802500000,-50.785515,-83.469315
21818750000,-54.933601,-166.23979
21835000000,-53.53376,133.12799
21851250000,-51.429573,67.037514
21867500000,-49.508293,6.4071031
21883750000,-51.766205,-82.969177
21900000000,-53.529575,-143.68491
21916250000,-52.535519,144.27846
21932500000,-52.376892,80.207962
21948750000,-52.851112,-5.7828894
21965000000,-54.291821,-66.686722
21981250000,-51.211796,-143.18323
21997500000,-53.129055,164.75293
22013750000,-51.309837,89.541641
22030000000,-50.777565,-5.4704633
22046250000,-53.302742,-68.643768
22062500000,-56.463791,-125.46072
22078750000,-53.027069,171.94279
22095000000,-54.619404,79.344299
22111250000,-52.73555,-1.4982895
22127500000,-53.777817,-35.741177
22143750000,-54.307472,-123.4034
22160000000,-55.720379,168.66054
22176250000,-52.230434,106.62748
22192500000,-53.682621,25.78964
22208750000,-55.290977,-41.241138
22225000000,-53.472092,-113.23327
22241250000,-51.330566,-174.73296
22257500000,-57.341076,136.19499
22273750000,-54.143448,20.556019
22290000000,-56.541046,-44.112064
22306250000,-55.321972,-95.962852
22322500000,-53.781361,-164.91704
22338750000,-59.556534,111.67284
22355000000,-63.57394,41.709103
22371250000,-54.401264,-34.416229
22387500000,-56.64312,-104.09921
22403750000,-54.431362,-152.92021
22420000000,-53.691925,108.42901
22436250000,-59.171558,64.360703
22452500000,-56.195621,-26.198353
22468750000,-54.529327,-95.901016
22485000000,-53.277966,-151.36433
22501250000,-55.204948,145.71011
22517500000,-52.612972,58.629513
22533750000,-54.921135,-19.323612
22550000000,-53.920525,-97.459175
22566250000,-60.706631,-150.74992
22582500000,-53.654743,100.43083
22598750000,-58.509087,46.209351
22615000000,-60.422462,-7.1994557
22631250000,-58.1936,-83.993912
22647500000,-55.539959,-161.43269
22663750000,-59.560051,108.00896
22680000000,-61.133656,31.900751
22696250000,-60.888535,-4.1724138
22712500000,-58.468128,-99.916466
22728750000,-60.63393,-150.52448
22745000000,-56.110008,126.74479
22761250000,-60.607761,68.312927
22777500000,-57.692146,2.5120137
22793750000,-56.460293,-95.889404
22810000000,-60.45089,-122.46837
22826250000,-54.176987,142.69128
22842500000,-60.664005,89.767036
