!CSV A.01.01
!Keysight Technologies,P9377B,MY61100645,A.17.60.13
!Date: Thursday, May 28, 2026 09:14:19
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(DB),S21(DEG)
18000000000,-43.221386,-29.47467
18016250000,-43.031712,-98.123451
18032500000,-43.439213,-166.2365
18048750000,-42.939766,124.37376
18065000000,-42.392929,50.792931
18081250000,-43.216328,-20.507235
18097500000,-43.494522,-91.011772
18113750000,-42.711887,-158.69702
18130000000,-43.321121,132.65651
18146250000,-42.825478,56.540142
18162500000,-43.375629,-7.7873473
18178750000,-43.938465,-76.938858
18195000000,-43.344894,-143.73303
18211250000,-43.602589,143.52995
18227500000,-43.355587,74.930153
18243750000,-44.219517,-4.7455363
18260000000,-42.480553,-72.554077
18276250000,-44.26075,-135.82123
18292500000,-43.780529,153.91574
18308750000,-42.497967,81.392494
18325000000,-43.101543,14.194595
18341250000,-43.320271,-57.742844
18357500000,-42.536289,-127.41805
18373750000,-43.262794,161.39352
18390000000,-44.573608,84.217438
18406250000,-43.610271,21.950499
18422500000,-42.986645,-50.907078
18438750000,-43.527954,-122.55077
18455000000,-42.517174,168.2097
18471250000,-44.025246,89.50808
18487500000,-43.622692,29.587355
18503750000,-43.35067,-40.671612
18520000000,-43.319805,-110.23756
18536250000,-44.099682,172.45538
18552500000,-43.463005,103.32374
18568750000,-42.903271,34.69923
18585000000,-43.380882,-32.34621
18601250000,-43.565044,-108.76887
18617500000,-43.16634,-173.06769
18633750000,-43.302708,116.17608
18650000000,-42.747356,44.320812
18666250000,-43.366718,-24.353233
18682500000,-43.481564,-98.76561
18698750000,-42.672626,-165.41776
18715000000,-43.746479,122.14302
18731250000,-43.526115,51.103867
18747500000,-43.251347,-11.073196
18763750000,-43.663116,-89.822395
18780000000,-43.392956,-159.21782
18796250000,-43.474876,128.36717
18812500000,-43.634735,61.102032
18828750000,-43.432873,-12.545629
18845000000,-43.683224,-78.286415
18861250000,-44.263744,-151.62762
18877500000,-43.451759,136.36966
18893750000,-43.287251,66.903954
18910000000,-44.597862,-4.4698777
18926250000,-44.245945,-75.428116
18942500000,-44.466831,-150.62465
18958750000,-44.202652,143.51854
18975000000,-45.437038,76.069939
18991250000,-43.988701,3.0417855
19007500000,-44.79575,-65.095284
19023750000,-45.026836,-132.23717
19040000000,-44.814072,157.1722
19056250000,-44.213272,80.434128
19072500000,-44.255188,22.69068
19088750000,-45.565731,-57.557644
19105000000,-45.718136,-124.47472
19121250000,-44.380547,161.87033
19137500000,-44.146069,95.15126
19153750000,-45.313465,28.876551
19170000000,-45.242172,-43.370552
19186250000,-45.765705,-117.31182
19202500000,-45.551701,168.28423
19218750000,-45.815586,102.96861
19235000000,-46.411949,35.835873
19251250000,-45.067921,-40.583637
19267500000,-45.671223,-101.31864
19283750000,-46.610043,177.59453
19300000000,-46.090538,119.16469
19316250000,-47.175758,44.490253
19332500000,-45.651638,-24.444021
19348750000,-46.773777,-98.437248
19365000000,-46.396786,-175.81088
19381250000,-47.263542,120.08698
19397500000,-47.19384,42.70549
19413750000,-48.036144,-26.723833
19430000000,-47.676826,-81.063034
19446250000,-47.195454,-158.88631
19462500000,-47.168854,126.4679
19478750000,-49.372116,63.880009
19495000000,-47.436192,-4.1541739
19511250000,-47.842972,-82.948593
19527500000,-48.456234,-143.50473
19543750000,-48.898052,150.9772
19560000000,-48.479031,81.94519
19576250000,-49.075775,6.7037706
19592500000,-49.128139,-63.825653
19608750000,-47.67387,-134.28766
19625000000,-48.964382,153.13954
19641250000,-49.416954,83.96109
19657500000,-48.040005,20.402243
19673750000,-48.913116,-42.396591
19690000000,-49.671532,-124.05225
19706250000,-49.376343,179.97714
19722500000,-51.652081,110.22729
19738750000,-49.338257,31.054388
19755000000,-49.695045,-40.237289
19771250000,-49.376617,-106.03494
19787500000,-49.667244,-163.49806
19803750000,-50.635696,114.74426
19820000000,-48.623524,55.168728
19836250000,-50.121105,-24.481319
19852500000,-49.95089,-96.516678
19868750000,-52.800293,-155.30499
