!CSV A.01.01
!Keysight Technologies,P9377B,MY61100645,A.17.60.13
!Date: Thursday, May 28, 2026 09:14:39
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(DB),S21(DEG)
18000000000,-27.960526,-33.708778
18016250000,-28.36483,-104.00977
18032500000,-28.404976,-171.52469
18048750000,-28.163614,118.26635
18065000000,-28.111595,49.53059
18081250000,-27.838757,-20.380978
18097500000,-27.750452,-91.883118
18113750000,-27.881842,-162.95172
18130000000,-28.321527,126.68146
18146250000,-28.31745,58.219112
18162500000,-28.253628,-8.5715609
18178750000,-28.044996,-78.385887
18195000000,-27.612909,-148.30972
18211250000,-27.634638,141.11569
18227500000,-27.767588,69.515106
18243750000,-27.967012,-1.4288265
18260000000,-28.110268,-69.94165
18276250000,-28.133194,-136.72755
18292500000,-27.911058,155.17612
18308750000,-27.50326,84.130913
18325000000,-27.396029,13.287153
18341250000,-27.492725,-57.979317
18357500000,-27.746149,-127.81174
18373750000,-27.77256,164.42198
18390000000,-27.515926,95.341026
18406250000,-27.21652,24.710285
18422500000,-27.185764,-45.645462
18438750000,-27.171879,-116.82671
18455000000,-27.339016,171.51529
18471250000,-27.523462,102.62639
18487500000,-27.578157,35.159504
18503750000,-27.288641,-33.220226
18520000000,-27.157331,-103.19215
18536250000,-26.873234,-173.17131
18552500000,-26.901888,115.28124
18568750000,-26.968189,44.336693
18585000000,-27.108185,-24.931438
18601250000,-27.103809,-93.539505
18617500000,-26.919224,-162.51866
18633750000,-26.572741,127.59499
18650000000,-26.567915,55.521244
18666250000,-26.586773,-15.447005
18682500000,-26.724506,-85.789177
18698750000,-26.888943,-156.10648
18715000000,-26.908367,134.96306
18731250000,-26.974493,66.333183
18747500000,-26.562044,-4.2876081
18763750000,-26.659374,-74.072151
18780000000,-26.627148,-145.04617
18796250000,-26.842205,144.69899
18812500000,-26.936251,75.411034
18828750000,-26.832415,6.9042411
18845000000,-26.774748,-62.115932
18861250000,-26.68215,-133.62245
18877500000,-26.746677,155.55284
18893750000,-26.735937,84.911095
18910000000,-26.836933,15.351761
18926250000,-26.998205,-53.723373
18942500000,-26.936207,-122.62694
18958750000,-27.061611,166.8909
18975000000,-26.924828,97.275398
18991250000,-27.023228,26.421183
19007500000,-27.163591,-42.948212
19023750000,-27.329803,-112.67747
19040000000,-27.348427,178.45226
19056250000,-27.431955,108.92605
19072500000,-27.444153,39.527519
19088750000,-27.415905,-29.866928
19105000000,-27.393152,-100.06924
19121250000,-27.46244,-167.7186
19137500000,-27.538837,121.82222
19153750000,-27.469307,51.885422
19170000000,-27.42507,-17.040857
19186250000,-27.317667,-86.904778
19202500000,-27.428295,-156.86601
19218750000,-27.371222,133.61681
19235000000,-27.536325,64.531731
19251250000,-27.754541,-6.1460357
19267500000,-27.744114,-75.128792
19283750000,-27.717962,-143.82487
19300000000,-27.870752,146.62932
19316250000,-27.859762,77.69873
19332500000,-27.677088,8.9370213
19348750000,-27.780098,-62.006821
19365000000,-27.734871,-131.14192
19381250000,-27.759708,158.464
19397500000,-27.848768,89.019592
19413750000,-27.894743,21.710493
19430000000,-27.940445,-47.978439
19446250000,-27.909349,-116.75576
19462500000,-27.895815,173.85577
19478750000,-27.817532,104.45025
19495000000,-27.93136,35.028484
19511250000,-27.828442,-34.767437
19527500000,-27.815733,-104.42915
19543750000,-27.845949,-173.18919
19560000000,-27.649818,116.85321
19576250000,-27.691257,47.284466
19592500000,-27.708834,-21.829599
19608750000,-27.785522,-92.081291
19625000000,-28.062534,-161.57133
19641250000,-28.173847,130.3559
19657500000,-28.190376,61.376171
19673750000,-28.125856,-6.4853234
19690000000,-28.016195,-75.624847
19706250000,-27.896494,-145.34525
19722500000,-27.987463,144.94368
19738750000,-27.882557,75.522614
19755000000,-28.107151,5.184773
19771250000,-27.940531,-63.035381
19787500000,-28.10103,-132.16798
19803750000,-27.917671,159.10666
19820000000,-27.890764,89.152161
19836250000,-28.043579,18.571262
19852500000,-28.152386,-49.890152
19868750000,-28.126413,-118.77988
19885000000,-28.121433,172.3587
19901250000,-28.046577,103.54713
19917500000,-28.177393,34.031265
19933750000,-27.91398,-35.152321
19950000000,-28.008564,-104.7914
19966250000,-28.015621,-174.95538
19982500000,-28.149523,116.95378
19998750000,-28.162079,49.443111
20015000000,-28.073952,-19.197475
20031250000,-27.920635,-89.007858
20047500000,-27.843987,-158.30537
20063750000,-27.928307,131.59026
20080000000,-27.889036,61.418415
20096250000,-28.009809,-6.9777846
20112500000,-28.001198,-74.786545
20128750000,-27.842007,-143.78618
20145000000,-27.661556,146.30556
20161250000,-27.643932,75.469116
20177500000,-27.660269,7.091651
20193750000,-27.934496,-61.495377
20210000000,-27.913315,-130.33829
20226250000,-27.836884,162.20699
20242500000,-27.707825,92.506126
20258750000,-27.618088,23.432016
20275000000,-27.481979,-46.120033
20291250000,-27.398838,-115.09537
20307500000,-27.570396,175.87344
20323750000,-27.580008,106.8942
20340000000,-27.50021,38.096897
20356250000,-27.311487,-31.467133
20372500000,-27.270849,-100.82114
20388750000,-27.331461,-170.97714
20405000000,-27.149115,120.36358
20421250000,-27.073391,50.877762
20437500000,-27.036798,-18.149843
20453750000,-26.908596,-88.28302
20470000000,-27.005236,-158.34677
20486250000,-26.923365,133.80185
20502500000,-26.991722,63.374348
20518750000,-26.923584,-4.4494486
20535000000,-26.887985,-73.924217
20551250000,-26.896152,-144.26195
20567500000,-26.861887,146.82039
20583750000,-26.911587,79.045128
20600000000,-26.648607,9.1822786
20616250000,-26.619331,-59.574646
20632500000,-26.39781,-130.35867
20648750000,-26.511816,160.51451
20665000000,-26.48576,90.961769
20681250000,-26.508207,21.303616
20697500000,-26.575893,-48.371277
20713750000,-26.558847,-116.36872
20730000000,-26.277124,173.88391
20746250000,-26.31045,104.75195
20762500000,-26.247366,34.203114
20778750000,-26.373814,-35.988297
20795000000,-26.493988,-104.59923
20811250000,-26.395735,-172.84062
20827500000,-26.346895,118.40617
20843750000,-26.326687,48.345932
20860000000,-26.226652,-20.29739
20876250000,-26.189831,-91.045029
20892500000,-26.32444,-160.98238
20908750000,-26.482595,131.48778
20925000000,-26.409935,62.959251
20941250000,-26.217358,-4.7005019
20957500000,-26.073269,-74.958626
20973750000,-25.888943,-145.07347
20990000000,-25.928253,144.18427
21006250000,-26.026093,74.171547
21022500000,-26.169735,5.8028879
21038750000,-26.195585,-62.404514
21055000000,-25.928661,-130.78583
21071250000,-25.801945,159.77359
21087500000,-25.803326,89.502037
21103750000,-25.856955,18.856298
21120000000,-26.143236,-50.758846
21136250000,-26.144091,-118.36319
21152500000,-26.23901,173.62233
21168750000,-25.841314,104.63284
21185000000,-25.675091,35.525265
21201250000,-25.628469,-35.457493
21217500000,-25.641951,-106.13215
21233750000,-25.850746,-176.05351
21250000000,-25.848242,116.79794
21266250000,-25.854834,48.544098
21282500000,-25.690804,-19.992626
21298750000,-25.356977,-90.012093
21315000000,-25.318758,-160.61362
21331250000,-25.375523,128.59331
21347500000,-25.684381,60.051933
21363750000,-25.767666,-7.1297445
21380000000,-25.606731,-75.884094
21396250000,-25.426651,-144.41351
21412500000,-25.108646,145.77364
21428750000,-25.150949,74.316017
21445000000,-25.135307,3.8729048
21461250000,-25.490934,-66.40667
21477500000,-25.624985,-133.48268
21493750000,-25.402,158.96841
21510000000,-25.15753,91.076485
21526250000,-25.088396,20.165478
21542500000,-24.947586,-50.961967
21558750000,-25.014883,-121.66725
21575000000,-25.287386,170.18675
21591250000,-25.32394,101.90796
21607500000,-25.192141,33.365921
21623750000,-24.866674,-35.541046
21640000000,-24.645561,-105.80965
21656250000,-24.703285,-177.64977
21672500000,-25.083916,112.06874
21688750000,-25.429014,44.950871
21705000000,-25.38549,-22.62534
21721250000,-25.082752,-89.896011
21737500000,-24.774925,-159.67793
21753750000,-24.512007,128.99062
21770000000,-24.691366,58.191341
21786250000,-24.799644,-11.873819
21802500000,-24.881556,-80.310966
21818750000,-24.982758,-147.77718
21835000000,-24.765097,144.07895
21851250000,-24.382542,73.740036
21867500000,-24.488913,2.4220908
21883750000,-24.61203,-68.24662
21900000000,-24.829002,-138.31067
21916250000,-24.976301,153.57152
21932500000,-24.871258,86.498665
21948750000,-24.630041,17.766308
21965000000,-24.426079,-52.82143
21981250000,-24.416142,-123.92078
21997500000,-24.690424,165.83629
22013750000,-25.02734,96.048157
22030000000,-25.132183,29.016132
22046250000,-24.994537,-38.276432
22062500000,-24.769756,-106.42975
22078750000,-24.629311,-176.91676
22095000000,-24.534321,112.21612
22111250000,-24.551731,42.130211
22127500000,-24.715595,-26.940536
22143750000,-24.932894,-95.758537
22160000000,-24.825708,-162.98131
22176250000,-24.696138,127.11488
22192500000,-24.514175,56.042858
22208750000,-24.499166,-13.514872
22225000000,-24.7055,-83.43795
22241250000,-24.842377,-152.62251
22257500000,-25.024048,140.05531
22273750000,-24.856997,70.786057
22290000000,-24.80418,2.4015543
22306250000,-24.566706,-68.10807
22322500000,-24.639942,-138.08371
22338750000,-24.855923,152.23932
22355000000,-24.893295,83.606567
22371250000,-24.936811,15.56464
22387500000,-24.744318,-53.297642
22403750000,-24.595503,-122.26717
22420000000,-24.541716,167.85176
22436250000,-24.542606,97.881889
22452500000,-24.644516,28.225597
22468750000,-24.777863,-41.875301
22485000000,-24.918102,-111.05408
22501250000,-24.775562,-179.12494
22517500000,-24.627247,110.69174
22533750000,-24.831148,41.625141
22550000000,-24.822779,-27.893227
22566250000,-24.80838,-97.198364
22582500000,-24.938768,-166.33299
22598750000,-25.067093,125.52039
22615000000,-24.931046,55.653988
22631250000,-24.895935,-12.682701
22647500000,-24.835752,-83.126038
22663750000,-24.873833,-152.0083
22680000000,-24.997396,138.05847
22696250000,-25.082949,70.042389
22712500000,-24.962217,1.1852554
22728750000,-24.982292,-68.424461
22745000000,-25.042252,-138.28467
22761250000,-25.040485,152.74429
22777500000,-25.087894,83.418137
22793750000,-25.142931,14.724502
22810000000,-25.1681,-54.448761
22826250000,-25.183306,-123.68245
22842500000,-25.095598,167.68002
22858750000,-25.238153,97.496971
22875000000,-25.486906,27.711685
22891250000,-25.339981,-40.684978
22907500000,-25.416624,-108.69893
22923750000,-25.308498,-178.27344
22940000000,-25.393412,112.45289
22956250000,-25.353218,43.463486
22972500000,-25.403418,-25.439503
22988750000,-25.438625,-95.325432
23005000000,-25.590017,-163.24522
23021250000,-25.565466,127.60657
23037500000,-25.497858,58.243393
23053750000,-25.426287,-11.271233
23070000000,-25.526295,-80.881165
23086250000,-25.702591,-150.11519
23102500000,-25.785458,141.8474
23118750000,-25.759775,72.83403
23135000000,-25.674704,4.8499455
23151250000,-25.637299,-64.384789
23167500000,-25.654785,-134.04338
23183750000,-25.652534,156.57515
23200000000,-25.950432,87.971344
23216250000,-26.024256,19.649181
23232500000,-26.010944,-48.625462
23248750000,-25.7978,-116.67303
23265000000,-25.735062,173.63728
23281250000,-25.818727,103.7814
23297500000,-25.821917,34.279552
23313750000,-25.903322,-33.959713
23330000000,-25.974701,-102.38983
23346250000,-25.904251,-170.22517
23362500000,-25.756479,119.91176
23378750000,-25.834501,50.31942
23395000000,-25.764544,-18.739622
23411250000,-25.861498,-88.146645
23427500000,-26.044827,-156.70094
23443750000,-25.968241,134.90843
23460000000,-25.952898,66.464081
23476250000,-25.774847,-2.7861574
23492500000,-25.776791,-72.393768
23508750000,-25.71874,-142.32521
23525000000,-26.038662,149.32706
23541250000,-25.946016,81.60939
23557500000,-25.862925,13.295497
23573750000,-25.810358,-54.749882
23590000000,-25.606535,-124.43581
23606250000,-25.617426,165.88666
23622500000,-25.585293,96.121346
23638750000,-25.77883,26.811245
23655000000,-25.962099,-40.875843
23671250000,-25.741312,-110.15388
23687500000,-25.777771,-177.97658
23703750000,-25.574017,111.45447
23720000000,-25.626801,42.112606
23736250000,-25.614994,-26.734941
23752500000,-25.737782,-95.329514
23768750000,-25.837633,-163.28467
23785000000,-25.734756,128.52902
23801250000,-25.69182,59.162224
23817500000,-25.482029,-11.03855
23833750000,-25.440695,-81.177582
23850000000,-25.656919,-150.27461
23866250000,-25.747021,141.14673
23882500000,-25.825134,73.559067
23898750000,-25.694305,5.2297707
23915000000,-25.442472,-63.351967
23931250000,-25.295265,-133.86087
23947500000,-25.391636,156.19302
23963750000,-25.56576,86.906876
23980000000,-25.654776,18.278469
23996250000,-25.713243,-50.672649
24012500000,-25.72147,-118.2412
24028750000,-25.582546,172.10611
24045000000,-25.457607,102.67815
24061250000,-25.568979,32.840668
24077500000,-25.733921,-36.563206
24093750000,-25.783457,-104.56194
24110000000,-25.731035,-172.48593
24126250000,-25.703329,118.75154
24142500000,-25.608131,48.979416
24158750000,-25.632814,-20.718977
24175000000,-25.536455,-90.995262
24191250000,-25.674524,-159.62573
24207500000,-25.874001,132.49712
24223750000,-25.885708,64.815811
24240000000,-25.750813,-3.7558074
24256250000,-25.613802,-73.066902
24272500000,-25.535955,-142.2903
24288750000,-25.590532,147.22731
24305000000,-25.770002,78.425285
24321250000,-25.853828,9.7633562
24337500000,-25.762472,-57.973
24353750000,-25.797132,-126.83283
24370000000,-25.731401,165.09471
24386250000,-25.615681,96.278778
24402500000,-25.609053,26.080332
24418750000,-25.643915,-43.100609
24435000000,-25.821594,-111.50429
24451250000,-25.750534,179.67337
24467500000,-25.797419,110.97514
24483750000,-25.739357,42.577408
24500000000,-25.757385,-26.931925
24516250000,-25.74461,-96.529854
24532500000,-25.800436,-164.65262
24548750000,-25.705454,125.66248
24565000000,-25.8314,57.844696
24581250000,-25.675537,-10.923734
24597500000,-25.66202,-79.784546
24613750000,-25.645325,-149.53131
24630000000,-25.771149,141.89682
24646250000,-25.697309,72.915016
24662500000,-25.794918,3.9640198
24678750000,-25.72422,-64.17527
24695000000,-25.654819,-133.09958
24711250000,-25.570305,157.94002
24727500000,-25.518541,89.139694
24743750000,-25.458752,19.752148
24760000000,-25.504625,-48.433712
24776250000,-25.672529,-117.51346
24792500000,-25.493347,173.70117
24808750000,-25.323315,105.46272
24825000000,-25.522263,36.463516
24841250000,-25.315058,-32.901871
24857500000,-25.258854,-102.4992
24873750000,-25.307821,-170.96191
24890000000,-25.278761,119.64388
24906250000,-25.388477,51.212662
24922500000,-25.309822,-17.629158
24938750000,-25.196201,-85.907928
24955000000,-25.257462,-155.95613
24971250000,-25.117098,135.34633
24987500000,-25.188063,65.49044
25003750000,-25.163448,-2.5998428
25020000000,-25.227985,-72.19416
25036250000,-25.21118,-140.19777
25052500000,-25.065193,150.23047
25068750000,-25.149279,81.700462
25085000000,-25.073042,12.576957
25101250000,-25.02911,-56.156273
25117500000,-25.039539,-124.80025
25133750000,-25.10211,166.56093
25150000000,-24.988134,97.318726
25166250000,-24.956656,28.428839
25182500000,-25.02416,-41.105789
25198750000,-24.913208,-111.25083
25215000000,-24.946465,179.65857
25231250000,-25.037985,111.54695
25247500000,-25.042877,42.780918
25263750000,-25.093399,-24.919624
25280000000,-25.006563,-93.911995
25296250000,-25.038599,-162.53476
25312500000,-24.783041,127.86934
25328750000,-24.772905,58.435703
25345000000,-24.768166,-10.648557
25361250000,-24.766378,-80.160065
25377500000,-24.872787,-149.01202
25393750000,-24.939369,143.12692
25410000000,-24.888338,74.764061
25426250000,-24.787497,5.3710041
25442500000,-24.686249,-63.313347
25458750000,-24.622532,-133.19818
25475000000,-24.462557,157.46446
25491250000,-24.713797,88.332611
25507500000,-24.573887,19.348635
25523750000,-24.619719,-49.273666
25540000000,-24.557987,-118.53844
25556250000,-24.408493,171.5771
25572500000,-24.609039,102.28226
25588750000,-24.656588,32.982365
25605000000,-24.721338,-35.002144
25621250000,-24.753551,-102.87143
25637500000,-24.47728,-170.99118
25653750000,-24.493055,119.20452
25670000000,-24.344511,50.732647
25686250000,-24.431435,-20.710529
25702500000,-24.634651,-89.852158
25718750000,-24.590616,-158.19432
25735000000,-24.606274,133.65042
25751250000,-24.491957,64.664322
25767500000,-24.380575,-4.1420412
25783750000,-24.403957,-73.886345
25800000000,-24.335922,-142.99013
25816250000,-24.48525,146.73567
25832500000,-24.59136,77.968376
25848750000,-24.688032,9.7867413
25865000000,-24.462502,-58.019676
25881250000,-24.433376,-127.61314
25897500000,-24.321608,162.88695
25913750000,-24.488186,93.531563
25930000000,-24.605171,24.187008
25946250000,-24.760633,-43.784565
25962500000,-24.746416,-111.58247
25978750000,-24.596788,179.8569
25995000000,-24.319157,110.98745
26011250000,-24.223148,40.166965
26027500000,-24.330416,-30.030846
26043750000,-24.525656,-98.840134
26060000000,-24.547123,-166.66512
26076250000,-24.691162,124.74519
26092500000,-24.507734,56.475979
26108750000,-24.391315,-12.495575
26125000000,-24.172653,-82.886726
26141250000,-24.423635,-151.76689
26157500000,-24.648924,138.291
26173750000,-24.77887,70.124718
26190000000,-24.691425,2.4635267
