!CSV A.01.01
!Keysight Technologies,P9377B,MY61100645,A.17.60.13
!Date: Friday, July 04, 2025 20:37:15
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(DB),S21(DEG)
18000000000,-46.230751,-7.9788394
18013750000,-45.74699,-69.006241
18027500000,-45.596664,-128.65628
18041250000,-45.552948,168.72585
18055000000,-45.077183,106.10727
18068750000,-44.717133,47.539021
18082500000,-44.764893,-18.700045
18096250000,-45.336784,-83.382294
18110000000,-45.2855,-142.47772
18123750000,-45.598675,157.47102
18137500000,-46.02565,96.308685
18151250000,-46.148525,35.286911
18165000000,-45.722931,-25.410122
18178750000,-46.428444,-87.312614
18192500000,-46.832233,-147.14128
18206250000,-47.241478,154.77534
18220000000,-46.495567,97.034988
18233750000,-46.804653,36.427856
18247500000,-46.422424,-24.571426
18261250000,-46.595161,-85.284729
18275000000,-46.148273,-142.39534
18288750000,-46.253632,154.18437
18302500000,-45.933678,96.414421
18316250000,-46.433475,33.490719
18330000000,-45.86322,-27.41345
18343750000,-45.54586,-87.863503
18357500000,-45.852196,-147.08856
18371250000,-46.292225,147.64268
18385000000,-45.703686,88.093277
18398750000,-45.340218,25.016544
18412500000,-45.990471,-37.109161
18426250000,-45.952972,-97.694397
18440000000,-46.240105,-158.95738
18453750000,-46.334476,138.40318
18467500000,-46.370136,81.062355
18481250000,-46.971786,18.674812
18495000000,-46.99807,-36.884445
18508750000,-46.364895,-96.76931
18522500000,-47.088139,-156.82262
18536250000,-46.972534,144.30431
18550000000,-46.417469,82.55587
18563750000,-46.675343,21.012762
18577500000,-47.350586,-38.786655
18591250000,-46.781036,-98.416565
18605000000,-46.272873,-154.24689
18618750000,-45.591988,145.01775
18632500000,-45.888596,78.41317
18646250000,-45.522552,20.525652
18660000000,-45.51442,-45.048248
18673750000,-45.661739,-105.52789
18687500000,-45.834217,-166.67328
18701250000,-45.948627,135.95532
18715000000,-45.550598,73.167778
18728750000,-45.265625,9.3103952
18742500000,-46.102722,-54.277546
18756250000,-45.954784,-116.6293
18770000000,-46.503986,-176.35896
18783750000,-47.112606,123.51545
18797500000,-47.41243,71.003815
18811250000,-47.097313,10.645287
18825000000,-46.259331,-50.492214
18838750000,-46.921238,-112.77844
18852500000,-47.111382,-168.94432
18866250000,-46.397598,129.27231
18880000000,-46.321281,67.272156
18893750000,-46.793858,4.2652035
18907500000,-46.566334,-54.052578
18921250000,-46.257668,-114.66815
18935000000,-45.893501,-173.61041
18948750000,-45.5788,123.42302
18962500000,-46.300552,62.154457
18976250000,-45.872219,-2.7931654
18990000000,-46.242397,-62.538258
19003750000,-46.296829,-122.6909
19017500000,-46.165874,-179.90735
19031250000,-46.423317,113.61069
19045000000,-46.276531,53.41465
19058750000,-46.663727,-10.368478
19072500000,-46.414043,-69.040604
19086250000,-47.247166,-128.33533
19100000000,-47.299706,169.67082
19113750000,-47.410618,114.66685
19127500000,-47.755791,53.325737
19141250000,-47.799042,-6.2243385
19155000000,-47.191219,-69.404968
19168750000,-47.607624,-127.1142
19182500000,-47.781513,173.41438
19196250000,-47.581032,113.33831
19210000000,-47.245625,54.444981
19223750000,-47.106274,-5.6038117
19237500000,-47.000195,-66.205643
19251250000,-46.925522,-127.15175
19265000000,-46.741653,169.88907
19278750000,-46.839085,111.03428
19292500000,-46.746117,46.927101
19306250000,-46.650982,-11.102488
19320000000,-46.302761,-75.591469
19333750000,-46.656292,-133.0464
19347500000,-46.647785,161.08015
19361250000,-46.558498,103.92382
19375000000,-46.970619,39.591892
19388750000,-47.462463,-27.167078
19402500000,-47.493744,-80.231247
19416250000,-48.035385,-142.57239
19430000000,-47.863415,158.81049
19443750000,-48.207016,99.812813
19457500000,-47.620777,39.786366
19471250000,-48.204998,-20.22481
19485000000,-47.803719,-77.068085
19498750000,-47.135311,-139.95329
19512500000,-47.539185,164.34283
19526250000,-47.522873,103.87993
19540000000,-47.655258,44.213104
19553750000,-46.874336,-22.019955
19567500000,-46.764809,-81.193932
19581250000,-47.054131,-144.18491
19595000000,-47.310013,157.13486
19608750000,-47.431057,95.471771
19622500000,-47.510983,33.543999
19636250000,-46.932125,-27.588285
19650000000,-47.14883,-89.571587
19663750000,-47.298622,-152.84927
19677500000,-48.019215,150.30264
19691250000,-48.175346,87.404869
19705000000,-48.050137,30.326412
19718750000,-47.90522,-31.46455
19732500000,-48.10936,-92.210365
19746250000,-47.868088,-151.36922
19760000000,-48.205322,143.10095
19773750000,-48.302322,86.960907
19787500000,-49.078438,27.208921
19801250000,-48.796131,-28.422161
19815000000,-48.627201,-91.662773
19828750000,-48.216938,-152.95387
19842500000,-48.438042,145.86484
19856250000,-48.439163,89.493896
19870000000,-48.207752,25.356112
19883750000,-47.883034,-36.458511
19897500000,-47.591347,-94.083984
19911250000,-47.84734,-152.17274
19925000000,-47.474899,145.02571
19938750000,-48.328938,84.032318
19952500000,-47.842724,20.485243
19966250000,-48.921017,-40.082176
19980000000,-48.991737,-98.934975
19993750000,-49.40744,-161.12465
20007500000,-49.348949,145.06073
20021250000,-48.768536,83.019157
20035000000,-49.681095,23.277939
20048750000,-48.983326,-39.453949
20062500000,-49.673904,-94.393272
20076250000,-49.036304,-155.46953
20090000000,-49.098324,146.40492
20103750000,-49.177597,81.527855
20117500000,-48.671883,27.254524
20131250000,-47.997925,-33.552822
20145000000,-48.728451,-96.201897
20158750000,-48.426792,-160.13652
20172500000,-48.506622,140.87048
20186250000,-49.241043,83.095573
20200000000,-48.699821,21.656296
20213750000,-48.430386,-33.309513
20227500000,-48.975067,-97.437286
20241250000,-48.288403,-160.17778
20255000000,-49.380413,138.20407
20268750000,-48.837452,78.138817
20282500000,-49.292595,19.555353
20296250000,-48.290482,-39.295265
20310000000,-48.356861,-105.06738
20323750000,-48.871033,-157.65419
20337500000,-48.787704,135.9726
20351250000,-48.443226,76.838867
20365000000,-47.994236,14.98153
20378750000,-49.159676,-43.682659
20392500000,-49.100971,-106.63815
20406250000,-48.403198,-160.15417
20420000000,-48.576527,136.53084
20433750000,-48.6278,74.601555
20447500000,-48.422417,16.080484
20461250000,-49.118263,-42.769035
20475000000,-48.360741,-105.63721
20488750000,-48.473679,-163.56448
20502500000,-48.126122,139.16951
20516250000,-47.879978,74.020538
20530000000,-47.602879,11.56826
20543750000,-48.495766,-51.325455
20557500000,-48.048004,-107.4225
20571250000,-48.509457,-171.03581
20585000000,-49.047592,130.81943
20598750000,-48.761932,68.241348
20612500000,-48.607456,11.083723
20626250000,-48.719212,-52.73019
20640000000,-48.882824,-113.0036
20653750000,-48.82177,-175.02821
20667500000,-49.057251,124.70774
20681250000,-48.955021,63.172661
20695000000,-49.861557,7.5500956
20708750000,-48.843128,-55.751488
20722500000,-49.516335,-107.12917
20736250000,-48.989677,-172.68225
20750000000,-49.190193,127.32462
20763750000,-48.414181,66.673157
20777500000,-48.701748,2.5113347
20791250000,-48.492466,-59.087147
20805000000,-48.425026,-115.97328
