!CSV A.01.01
!Keysight Technologies,P9377B,MY61100645,A.17.60.13
!Date: Friday, July 04, 2025 20:37:05
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(DB),S21(DEG)
18000000000,-45.828014,-6.0616708
18013750000,-45.428604,-70.586372
18027500000,-45.591652,-129.51917
18041250000,-45.254997,169.74352
18055000000,-45.143246,106.85422
18068750000,-44.412704,46.494514
18082500000,-44.514404,-22.543386
18096250000,-45.131092,-81.734901
18110000000,-45.294106,-142.89037
18123750000,-45.621094,156.83928
18137500000,-45.51569,93.904167
18151250000,-46.32225,34.441551
18165000000,-46.429485,-24.039091
18178750000,-46.368496,-88.822258
18192500000,-47.052574,-146.77235
18206250000,-47.031151,154.14203
18220000000,-46.901394,98.019394
18233750000,-46.540417,36.713165
18247500000,-46.434723,-20.339596
18261250000,-46.616207,-82.813995
18275000000,-45.848557,-141.5809
18288750000,-45.9608,154.95473
18302500000,-45.87183,94.519356
18316250000,-45.965038,34.999775
18330000000,-45.964622,-27.741404
18343750000,-45.655884,-87.199295
18357500000,-45.74353,-151.05157
18371250000,-46.143459,149.32251
18385000000,-45.654575,88.412315
18398750000,-45.72435,26.259325
18412500000,-46.263092,-37.273357
18426250000,-46.286285,-97.731506
18440000000,-46.071236,-156.99968
18453750000,-46.34948,141.79015
18467500000,-46.024231,79.867546
18481250000,-46.595058,22.161022
18495000000,-46.574753,-39.852825
18508750000,-46.859352,-98.389893
18522500000,-47.09716,-157.88136
18536250000,-47.100842,141.71991
18550000000,-47.052994,80.692993
18563750000,-46.551342,20.727186
18577500000,-47.374901,-36.644917
18591250000,-46.907551,-97.788658
18605000000,-46.977703,-151.8136
18618750000,-45.718159,143.05199
18632500000,-45.537914,79.981598
18646250000,-45.086914,20.403811
18660000000,-45.595104,-44.200748
18673750000,-45.861877,-103.75628
18687500000,-45.675461,-165.72169
18701250000,-45.800762,134.88736
18715000000,-45.578457,72.564651
18728750000,-45.546555,8.5037241
18742500000,-45.888954,-55.167175
18756250000,-46.012348,-112.82142
18770000000,-46.498428,-176.84866
18783750000,-46.894547,126.04859
18797500000,-47.08585,70.573647
18811250000,-46.974644,10.232425
18825000000,-46.574398,-48.098534
18838750000,-46.2556,-110.69983
18852500000,-46.860504,-172.66406
18866250000,-46.651016,129.31403
18880000000,-46.497826,68.652084
18893750000,-46.626762,9.0522766
18907500000,-46.431892,-52.69561
18921250000,-46.690109,-112.17824
18935000000,-45.913166,-173.72537
18948750000,-45.95694,123.10356
18962500000,-45.81852,62.38509
18976250000,-45.873829,0.55091566
18990000000,-45.848801,-61.648167
19003750000,-46.264538,-123.13123
19017500000,-46.497234,175.32144
19031250000,-46.147163,116.71956
19045000000,-46.482254,52.281479
19058750000,-46.602188,-7.2929344
19072500000,-46.79884,-71.640602
19086250000,-47.174522,-129.02505
19100000000,-47.415932,170.36813
19113750000,-47.284573,111.52241
19127500000,-47.801762,51.301636
19141250000,-47.141357,-8.5166416
19155000000,-47.181343,-66.431297
19168750000,-47.631832,-129.21796
19182500000,-47.239872,173.68176
19196250000,-47.287449,117.26472
19210000000,-47.095886,56.734882
19223750000,-47.227024,-3.7146556
19237500000,-46.89447,-66.810471
19251250000,-46.595879,-128.20761
19265000000,-46.674946,169.11836
19278750000,-46.443798,109.29941
19292500000,-46.43401,50.966331
19306250000,-46.679794,-15.112815
19320000000,-46.504833,-76.394081
19333750000,-46.659767,-136.85396
19347500000,-46.37088,160.06339
19361250000,-46.701481,100.40783
19375000000,-46.937042,38.766632
19388750000,-47.354935,-16.57869
19402500000,-47.093327,-82.62532
19416250000,-47.954372,-144.83536
19430000000,-47.887383,160.91263
19443750000,-48.333042,102.35046
19457500000,-47.602386,43.108749
19471250000,-47.864212,-14.070825
19485000000,-47.608124,-79.694504
19498750000,-47.820076,-140.00098
19512500000,-47.887123,159.67787
19526250000,-47.605064,101.06865
19540000000,-47.241821,43.173325
19553750000,-47.231186,-22.656244
19567500000,-47.126823,-81.574593
19581250000,-47.204823,-143.41464
19595000000,-47.558426,158.49159
19608750000,-47.745174,95.680283
19622500000,-46.997925,35.587147
19636250000,-47.066486,-26.53067
19650000000,-47.208164,-91.298607
19663750000,-47.605362,-149.98618
19677500000,-47.961018,150.82172
19691250000,-47.493538,89.420418
19705000000,-47.887329,29.25703
19718750000,-47.77417,-29.915403
19732500000,-48.443851,-93.178299
19746250000,-47.600876,-153.52112
19760000000,-48.336266,145.12669
19773750000,-48.403923,88.314888
19787500000,-48.564396,30.930243
19801250000,-48.343842,-27.86067
19815000000,-48.361572,-91.35553
19828750000,-47.932571,-152.444
19842500000,-48.910862,149.11974
19856250000,-48.424267,89.313683
19870000000,-48.2523,29.049198
19883750000,-47.911552,-31.543514
19897500000,-48.367905,-92.816788
19911250000,-47.848301,-150.90695
19925000000,-48.176716,145.36847
19938750000,-48.076763,82.673019
19952500000,-47.987911,23.005106
19966250000,-49.010162,-40.798679
19980000000,-48.815346,-98.136642
19993750000,-48.803505,-160.31425
20007500000,-49.131794,143.89415
20021250000,-49.628548,82.139061
20035000000,-48.920422,19.589781
20048750000,-49.290237,-38.87833
20062500000,-49.926445,-95.180511
20076250000,-48.93568,-155.14429
20090000000,-49.299545,149.45398
20103750000,-48.863602,86.484566
20117500000,-48.932026,25.217951
20131250000,-47.967773,-35.936131
20145000000,-48.349834,-93.685295
20158750000,-48.282047,-159.75583
20172500000,-48.92783,136.9256
20186250000,-48.280735,84.183853
20200000000,-48.301666,23.121807
20213750000,-48.21019,-38.569595
20227500000,-49.360325,-96.809525
20241250000,-48.098824,-157.05179
20255000000,-48.785789,137.54256
20268750000,-48.575321,80.827179
20282500000,-48.708385,21.381147
20296250000,-48.154957,-40.62571
20310000000,-48.673363,-100.71114
20323750000,-48.09853,-163.16408
20337500000,-48.594357,134.24274
20351250000,-48.457211,73.97628
20365000000,-48.515472,12.644466
20378750000,-49.526348,-39.236191
20392500000,-48.697124,-102.32328
20406250000,-48.808441,-160.11295
20420000000,-48.551846,135.65703
20433750000,-48.439373,77.567383
20447500000,-48.428883,17.467005
20461250000,-49.21896,-46.094635
20475000000,-48.810425,-100.89305
20488750000,-48.58733,-165.74767
20502500000,-48.120876,136.45462
20516250000,-48.491764,72.857597
20530000000,-47.989567,10.465369
20543750000,-48.412609,-50.269794
20557500000,-48.464081,-112.80886
20571250000,-48.818577,-171.40536
20585000000,-48.566772,128.78632
20598750000,-48.427738,66.230476
20612500000,-48.122616,9.2616034
20626250000,-49.018684,-54.748283
20640000000,-48.631699,-112.21754
20653750000,-49.51664,-171.2659
20667500000,-48.747715,127.85223
20681250000,-48.646294,71.0317
20695000000,-49.327885,5.0582452
20708750000,-48.767143,-53.876781
20722500000,-48.347488,-110.99568
20736250000,-49.018089,-172.85989
20750000000,-48.796925,128.69756
20763750000,-48.664371,70.39975
20777500000,-48.154564,2.6603069
20791250000,-48.331581,-56.180573
20805000000,-48.951942,-119.97446
20818750000,-48.94952,-175.17407
20832500000,-48.9459,120.60529
20846250000,-48.662197,61.520073
20860000000,-48.918896,-0.57069308
20873750000,-48.774193,-58.05751
20887500000,-48.820328,-120.7621
20901250000,-49.089546,-178.91216
20915000000,-49.303391,120.18066
20928750000,-48.907352,61.043213
20942500000,-48.535202,-3.6211004
20956250000,-49.442165,-63.112041
20970000000,-48.757835,-124.39653
20983750000,-49.790878,174.8553
20997500000,-49.277523,112.72551
21011250000,-49.205818,55.893837
21025000000,-49.546585,-4.8184066
21038750000,-49.664875,-66.375191
21052500000,-50.086071,-123.67037
21066250000,-50.46434,174.40952
21080000000,-49.489876,118.85506
21093750000,-49.939751,53.839909
21107500000,-49.433182,-1.9689306
21121250000,-49.746655,-67.802086
21135000000,-50.030602,-119.70988
21148750000,-49.713482,179.69472
21162500000,-49.488205,116.83679
21176250000,-48.941162,53.385525
21190000000,-49.867813,-6.3616629
21203750000,-49.304153,-68.608223
21217500000,-50.049633,-127.84634
21231250000,-50.176003,174.03156
21245000000,-50.04026,115.93043
21258750000,-48.757278,56.4809
21272500000,-49.824978,-4.5008922
21286250000,-49.66972,-65.94165
21300000000,-49.909626,-130.95726
21313750000,-49.501987,171.60988
21327500000,-49.961639,109.56797
21341250000,-50.034298,50.64933
21355000000,-49.878101,-15.484604
21368750000,-50.263279,-69.26561
21382500000,-49.871197,-133.14815
21396250000,-50.487583,171.69034
21410000000,-49.484077,106.08025
21423750000,-49.90387,50.068726
21437500000,-50.328373,-18.279797
21451250000,-51.111378,-72.198517
21465000000,-50.58717,-131.57909
21478750000,-50.727901,175.40829
21492500000,-50.053776,114.44901
21506250000,-50.601643,50.584785
21520000000,-49.688248,-5.2842441
21533750000,-51.056511,-73.215004
21547500000,-50.118931,-130.2785
21561250000,-50.352871,170.41902
21575000000,-49.665134,108.12109
21588750000,-50.09409,50.119041
21602500000,-49.34988,-4.6191602
21616250000,-50.050461,-74.694939
21630000000,-49.904102,-134.50458
21643750000,-49.571522,164.7589
21657500000,-50.278973,100.19963
21671250000,-49.830429,41.668053
21685000000,-51.731831,-13.78387
21698750000,-50.352215,-76.792732
21712500000,-50.498829,-128.29268
21726250000,-50.119072,168.78119
21740000000,-49.753548,108.44762
21753750000,-49.932877,42.296051
21767500000,-49.725571,-16.762667
21781250000,-50.706467,-77.876808
21795000000,-50.774654,-136.51805
21808750000,-50.162609,168.61229
21822500000,-50.827412,101.28522
21836250000,-51.111252,42.992855
21850000000,-51.179798,-17.632093
21863750000,-51.189816,-73.364326
21877500000,-51.160694,-135.03618
21891250000,-50.881435,172.94978
21905000000,-50.419609,109.65235
21918750000,-50.700321,47.36433
21932500000,-49.838097,-16.356192
21946250000,-49.901588,-75.714996
21960000000,-50.576851,-135.8826
21973750000,-50.730293,166.86282
21987500000,-50.523148,104.92379
22001250000,-50.588211,45.408428
22015000000,-50.350082,-18.7759
22028750000,-50.462704,-79.54525
22042500000,-50.620136,-138.26189
22056250000,-50.65062,160.44073
22070000000,-50.555111,101.06355
22083750000,-50.068329,40.383839
22097500000,-50.601177,-19.882725
22111250000,-50.868523,-79.983025
22125000000,-51.276196,-139.75195
22138750000,-50.829193,162.6869
22152500000,-50.397442,102.91279
22166250000,-50.774509,46.195366
22180000000,-50.132851,-22.160688
22193750000,-50.329399,-81.767937
22207500000,-50.594067,-138.04987
22221250000,-50.988136,160.13554
22235000000,-51.814972,101.78353
22248750000,-50.07531,42.219868
22262500000,-50.298008,-22.328367
22276250000,-50.202568,-83.143723
22290000000,-50.762665,-142.993
22303750000,-50.331802,156.49602
22317500000,-50.977203,95.104385
22331250000,-50.718662,37.087681
22345000000,-50.621037,-22.748434
22358750000,-51.10815,-83.03846
22372500000,-51.404568,-143.17998
22386250000,-51.026375,155.53351
22400000000,-50.946632,91.29187
22413750000,-51.179386,32.371395
22427500000,-51.649078,-30.511662
22441250000,-52.286247,-79.275436
22455000000,-51.463058,-139.11327
22468750000,-50.999466,159.58144
22482500000,-51.444958,93.758255
22496250000,-51.284966,39.175362
22510000000,-50.933308,-21.022617
22523750000,-51.022549,-86.887657
22537500000,-51.084373,-145.49232
22551250000,-51.202873,156.87241
22565000000,-50.753513,95.641472
22578750000,-50.691509,33.492271
22592500000,-51.05867,-26.469208
22606250000,-50.678188,-90.220268
22620000000,-52.092533,-148.49008
22633750000,-51.019287,145.40721
22647500000,-52.069939,84.600723
22661250000,-51.862686,27.491453
22675000000,-51.960453,-25.359594
22688750000,-51.53463,-89.303703
22702500000,-52.354229,-151.25311
22716250000,-52.010372,152.23064
22730000000,-52.766678,88.155846
22743750000,-51.729538,28.043249
22757500000,-51.936813,-26.664585
22771250000,-52.809769,-90.423935
22785000000,-52.11232,-146.19008
22798750000,-51.402184,157.22076
22812500000,-52.294453,94.178528
22826250000,-51.002106,35.941574
22840000000,-51.722252,-27.41782
22853750000,-51.982697,-85.135376
22867500000,-51.859402,-149.16104
22881250000,-52.36937,153.15015
22895000000,-52.144917,90.996674
22908750000,-52.71822,31.891844
22922500000,-51.478401,-26.482046
22936250000,-52.420376,-92.415833
22950000000,-51.08049,-148.56441
22963750000,-51.76688,146.06618
22977500000,-51.807461,87.667877
22991250000,-52.288876,27.984951
23005000000,-51.529213,-32.448235
23018750000,-52.393387,-91.127808
23032500000,-51.52005,-152.86554
23046250000,-51.914932,148.99362
23060000000,-52.314919,89.038834
23073750000,-52.828499,35.692455
23087500000,-53.10611,-29.710226
23101250000,-51.75145,-89.687088
23115000000,-53.033764,-154.11253
23128750000,-52.492416,149.65176
23142500000,-52.106159,92.80336
23156250000,-52.007263,32.821682
23170000000,-52.397484,-29.033659
23183750000,-51.69165,-84.06089
23197500000,-52.327881,-151.04799
23211250000,-51.998352,152.81889
23225000000,-51.985523,90.937721
23238750000,-52.095695,28.451027
23252500000,-53.061596,-31.069454
23266250000,-52.30587,-86.898895
23280000000,-51.734985,-150.14731
23293750000,-51.990337,144.34633
23307500000,-52.298401,85.736809
23321250000,-52.793438,24.136717
23335000000,-52.109047,-26.225435
23348750000,-53.486748,-87.356667
23362500000,-52.046539,-142.82317
23376250000,-52.849751,154.3822
23390000000,-52.30732,92.488281
23403750000,-52.666611,30.277132
23417500000,-52.012878,-26.753092
23431250000,-52.279926,-88.67189
23445000000,-51.951881,-151.03677
23458750000,-52.65947,145.09842
23472500000,-51.681637,87.686157
23486250000,-51.627285,26.909313
23500000000,-52.039986,-29.617527
23513750000,-53.013973,-93.159653
23527500000,-52.42268,-157.72958
23541250000,-52.61787,147.1897
23555000000,-52.660221,88.824791
23568750000,-51.643867,29.780018
23582500000,-52.445461,-31.387403
23596250000,-52.415466,-97.360634
23610000000,-53.487968,-156.68956
23623750000,-52.909779,148.73369
23637500000,-53.222805,83.305855
23651250000,-52.06662,25.828074
23665000000,-53.402973,-30.623983
23678750000,-51.671085,-94.006096
23692500000,-52.848507,-155.13173
23706250000,-51.766991,149.39111
23720000000,-52.235222,87.741058
23733750000,-51.676498,32.707596
23747500000,-52.271049,-29.88662
23761250000,-52.130726,-87.763519
23775000000,-52.770058,-154.32036
23788750000,-52.498253,140.91391
23802500000,-51.8941,84.723656
23816250000,-51.528187,28.851791
23830000000,-51.317001,-36.79744
23843750000,-52.556362,-100.37
23857500000,-51.806194,-159.73492
23871250000,-52.211388,139.48267
23885000000,-51.977959,81.621338
23898750000,-52.614708,21.726479
23912500000,-52.221092,-35.619053
23926250000,-52.540215,-94.675423
23940000000,-52.201046,-154.26212
23953750000,-52.983471,141.69164
23967500000,-51.883781,85.818237
23981250000,-52.881886,21.243095
23995000000,-52.501514,-37.634922
24008750000,-52.775642,-97.765427
24022500000,-51.898926,-149.06252
24036250000,-52.377125,142.98148
24050000000,-52.096668,84.017944
24063750000,-52.442364,26.980553
24077500000,-52.17738,-36.622112
24091250000,-51.573936,-102.23471
24105000000,-52.091812,-159.22917
24118750000,-51.589569,135.159
24132500000,-53.129486,75.375725
24146250000,-52.775021,16.010368
24160000000,-53.173981,-41.412601
24173750000,-53.06115,-99.703697
24187500000,-52.638691,-155.41714
24201250000,-53.177971,132.25529
24215000000,-53.625465,76.279312
24228750000,-52.781918,21.176571
24242500000,-53.441212,-38.148582
24256250000,-53.036503,-100.74058
24270000000,-53.701332,-158.80443
24283750000,-52.831383,145.85992
24297500000,-53.439102,83.171669
24311250000,-52.679901,26.265461
24325000000,-52.937458,-41.102287
24338750000,-53.119198,-96.375069
24352500000,-52.248028,-162.86368
24366250000,-53.084557,143.06099
24380000000,-53.00771,78.73877
24393750000,-52.513027,21.455797
24407500000,-53.086369,-42.786732
24421250000,-51.601921,-103.87138
24435000000,-52.199524,-164.8815
24448750000,-52.572987,130.70111
24462500000,-52.955147,77.760834
24476250000,-53.530361,8.2890921
24490000000,-53.680176,-44.181904
24503750000,-54.168259,-112.37106
24517500000,-54.058655,-156.7928
24531250000,-53.561237,129.40573
24545000000,-54.083591,79.13269
24558750000,-53.478703,20.643389
24572500000,-53.894394,-39.348461
24586250000,-53.48064,-99.807114
24600000000,-54.278404,-156.83195
24613750000,-53.72702,146.20381
24627500000,-53.573772,85.355576
24641250000,-52.902466,25.134726
24655000000,-53.475243,-31.401466
24668750000,-53.206779,-96.4804
24682500000,-52.51556,-154.19971
24696250000,-53.084412,138.8252
24710000000,-53.716511,78.498917
24723750000,-52.389652,20.056574
24737500000,-53.594925,-44.336006
24751250000,-52.693069,-97.271858
24765000000,-53.440037,-167.72031
24778750000,-53.201649,137.69867
24792500000,-53.806068,83.202377
24806250000,-53.30891,20.715818
24820000000,-53.494678,-37.225647
24833750000,-53.418606,-96.900681
24847500000,-53.035404,-160.37057
24861250000,-53.800316,135.2804
24875000000,-54.01828,75.206627
24888750000,-53.833641,19.709494
24902500000,-53.324215,-38.242798
24916250000,-53.928791,-103.19128
24930000000,-52.455944,-159.15034
24943750000,-53.482731,142.05226
24957500000,-53.891724,78.948822
24971250000,-54.183693,20.162277
24985000000,-52.92651,-40.951454
24998750000,-53.199306,-99.2817
25012500000,-53.258858,-159.29482
25026250000,-52.843407,136.80307
25040000000,-53.476936,78.076248
25053750000,-53.406277,14.311737
25067500000,-52.943954,-39.887962
25081250000,-54.271652,-102.77132
25095000000,-53.461639,-154.78128
25108750000,-53.225266,137.97818
25122500000,-53.677208,77.47448
25136250000,-54.840652,13.789559
25150000000,-54.723701,-35.991173
25163750000,-53.663406,-97.414124
25177500000,-53.961689,-156.07837
25191250000,-53.321877,144.43413
25205000000,-53.711273,84.542709
25218750000,-52.683468,25.325554
25232500000,-53.790462,-42.095299
25246250000,-53.155804,-105.04083
25260000000,-53.284302,-161.98135
25273750000,-52.887646,137.21669
25287500000,-53.288685,73.537819
25301250000,-53.422878,16.097649
25315000000,-52.748913,-41.875034
25328750000,-52.664783,-102.75336
25342500000,-53.661446,-162.43481
25356250000,-54.096809,135.17482
25370000000,-53.590698,72.681747
25383750000,-54.296726,19.825933
25397500000,-54.484177,-40.832455
25411250000,-54.386871,-99.58651
25425000000,-53.937664,-157.88889
25438750000,-54.15147,135.40843
25452500000,-53.552784,77.666069
25466250000,-54.172169,11.629406
25480000000,-54.957645,-40.542801
25493750000,-54.835037,-99.748695
25507500000,-53.83725,-164.11923
25521250000,-54.31126,140.06567
25535000000,-54.16584,83.710175
25548750000,-53.27956,25.068361
25562500000,-53.027405,-35.110901
25576250000,-53.177139,-95.318832
25590000000,-52.681747,-158.71472
25603750000,-53.193714,137.75197
25617500000,-53.582317,77.325912
25631250000,-53.690945,24.768499
25645000000,-52.606472,-37.819229
25658750000,-52.793873,-105.60107
25672500000,-53.08416,-161.25955
25686250000,-52.544945,133.80423
25700000000,-54.322033,73.986336
25713750000,-53.406082,8.385066
25727500000,-56.164299,-51.838345
25741250000,-54.686073,-102.20475
25755000000,-54.461895,-159.72517
25768750000,-54.138451,132.36801
25782500000,-55.496201,85.157608
25796250000,-54.434753,21.262474
25810000000,-53.839405,-44.937344
25823750000,-55.012718,-97.214859
25837500000,-54.124973,-157.26825
25851250000,-53.5616,140.65088
25865000000,-54.37714,72.108604
25878750000,-54.412941,20.234848
25892500000,-54.188847,-36.874584
25906250000,-53.501244,-102.59387
25920000000,-53.769894,-164.96608
25933750000,-54.090855,139.23016
25947500000,-52.266209,76.886459
25961250000,-53.276562,15.775357
25975000000,-53.155018,-48.28801
25988750000,-54.178795,-105.1678
26002500000,-53.502052,-163.27553
26016250000,-54.770721,136.38277
26030000000,-54.125229,79.669861
26043750000,-54.190498,19.038673
26057500000,-54.155365,-40.199081
26071250000,-53.361149,-103.65079
26085000000,-52.588909,-166.25703
26098750000,-54.509975,139.03616
26112500000,-54.827072,75.287369
26126250000,-55.085678,17.671301
26140000000,-53.462212,-45.153976
26153750000,-54.365879,-101.9182
26167500000,-54.546757,-159.83618
26181250000,-53.47308,137.52849
26195000000,-54.458408,73.093567
26208750000,-54.008221,22.351419
26222500000,-53.493515,-51.457367
26236250000,-54.102707,-106.61054
26250000000,-54.288651,-162.11728
26263750000,-53.687191,137.42276
26277500000,-55.23753,71.899498
26291250000,-54.233761,15.247437
26305000000,-55.192966,-40.565292
26318750000,-54.2104,-108.20016
26332500000,-54.551266,-167.20557
26346250000,-54.811249,136.25917
26360000000,-56.39444,71.832527
26373750000,-55.877659,10.594979
26387500000,-55.746902,-42.764843
26401250000,-54.651711,-98.090874
26415000000,-54.159126,-159.14906
26428750000,-54.322052,148.90295
26442500000,-53.605808,80.283066
26456250000,-55.919254,16.48477
26470000000,-54.609779,-41.036404
26483750000,-54.376163,-101.02468
26497500000,-54.108322,-163.05522
26511250000,-54.038754,136.91827
26525000000,-53.911777,72.242943
26538750000,-53.939991,15.27705
26552500000,-52.550682,-49.534565
26566250000,-53.567318,-108.55706
26580000000,-54.549461,-172.63277
26593750000,-53.944828,137.90283
26607500000,-54.761444,67.532318
26621250000,-53.938366,19.449535
26635000000,-55.799248,-53.838379
26648750000,-55.366554,-102.84788
26662500000,-55.560143,-167.61571
26676250000,-54.759796,141.96355
26690000000,-54.691353,79.173958
26703750000,-54.690662,18.321667
26717500000,-54.133194,-41.424561
26731250000,-54.191113,-106.915
26745000000,-54.407005,-165.59686
26758750000,-54.373302,140.07246
26772500000,-54.654629,77.316437
26786250000,-54.373165,25.616896
26800000000,-53.635685,-40.012501
26813750000,-54.690445,-103.74222
26827500000,-53.897327,-166.6362
26841250000,-55.476307,136.48283
26855000000,-53.439247,76.826904
26868750000,-53.13847,14.113402
26882500000,-53.749039,-47.169075
26896250000,-54.101547,-107.74447
26910000000,-53.990242,-164.82999
26923750000,-54.855816,131.42366
26937500000,-54.132,73.409416
26951250000,-54.640274,13.35803
26965000000,-56.099213,-45.016495
26978750000,-54.385612,-98.684929
26992500000,-54.94524,-170.1113
27006250000,-55.61293,138.21303
27020000000,-55.696468,76.174652
27033750000,-55.512775,26.109732
27047500000,-54.504616,-35.419163
27061250000,-54.73193,-88.503899
27075000000,-54.164154,-164.39011
27088750000,-53.274036,136.45824
27102500000,-52.839233,71.994072
27116250000,-53.12709,14.070929
27130000000,-54.038628,-45.304253
27143750000,-54.479008,-103.50121
27157500000,-53.233814,-162.12119
27171250000,-53.665287,135.43394
27185000000,-53.476612,73.108963
27198750000,-54.144447,12.295988
27212500000,-53.260399,-54.651302
27226250000,-54.578655,-113.33363
27240000000,-54.570892,-177.6548
27253750000,-55.291149,128.97615
27267500000,-56.882839,67.244965
27281250000,-57.109093,8.2154503
27295000000,-55.254707,-40.174088
27308750000,-55.001019,-99.702438
27322500000,-54.908089,-154.21577
27336250000,-54.976578,133.60971
27350000000,-55.575684,83.84523
27363750000,-54.678799,12.267095
27377500000,-54.77882,-36.474117
27391250000,-56.098923,-94.460114
27405000000,-54.021442,-160.94867
27418750000,-53.356094,138.15118
27432500000,-53.341759,77.704292
27446250000,-52.515869,13.903922
27460000000,-52.912231,-46.549927
27473750000,-53.069618,-114.45333
27487500000,-53.448784,-167.8783
27501250000,-53.662914,130.36255
27515000000,-54.709511,63.429398
27528750000,-54.540852,4.9645815
27542500000,-55.294903,-47.752037
27556250000,-53.616783,-108.92114
27570000000,-54.926868,179.31328
27583750000,-54.578968,130.63907
27597500000,-55.919998,62.929832
27611250000,-56.266705,12.019058
27625000000,-56.404934,-37.347904
27638750000,-56.149837,-107.20246
27652500000,-55.965454,-162.24661
27666250000,-55.20219,142.95677
27680000000,-55.204678,79.829643
27693750000,-54.534538,20.174282
27707500000,-54.752304,-40.495674
27721250000,-54.305134,-104.49391
27735000000,-53.574532,-160.75967
27748750000,-54.154484,136.7077
27762500000,-52.97398,74.75013
27776250000,-54.343384,11.187787
27790000000,-54.114662,-47.148052
27803750000,-53.72261,-111.44225
27817500000,-53.825806,-168.39186
27831250000,-53.562862,127.87019
27845000000,-54.360462,65.211304
27858750000,-54.671192,6.5552902
27872500000,-55.364223,-52.753273
27886250000,-54.67181,-126.90189
27900000000,-56.127693,-174.28682
27913750000,-55.367294,127.48605
27927500000,-56.563934,74.480034
27941250000,-56.189838,13.707768
27955000000,-56.255676,-42.778015
27968750000,-54.755169,-111.85624
27982500000,-54.380207,-167.10092
27996250000,-55.815804,123.83152
28010000000,-55.233479,66.49437
28023750000,-55.383759,18.587934
28037500000,-56.449535,-42.821625
28051250000,-55.487991,-93.454628
28065000000,-53.587288,-169.79671
28078750000,-54.519085,135.88527
28092500000,-53.337032,74.864868
28106250000,-54.518154,10.708641
28120000000,-55.361748,-56.10751
28133750000,-55.136269,-114.01346
28147500000,-55.497005,-171.35474
28161250000,-55.362492,132.38518
28175000000,-56.434162,69.820374
28188750000,-56.254467,9.9022961
28202500000,-55.891689,-51.000114
28216250000,-55.032566,-104.10651
28230000000,-55.678928,-168.96382
28243750000,-57.369576,130.42293
28257500000,-57.147186,74.076607
28271250000,-57.39362,21.939276
28285000000,-54.930061,-35.869038
28298750000,-55.645264,-97.731071
28312500000,-55.033226,-157.45448
28326250000,-54.673195,133.31676
28340000000,-53.727264,70.153786
28353750000,-53.767185,14.575316
28367500000,-53.781822,-46.933327
28381250000,-54.649521,-111.11283
28395000000,-54.907742,-169.13986
28408750000,-54.952881,123.48936
28422500000,-55.338024,62.825378
28436250000,-54.316063,12.888173
28450000000,-54.823963,-59.596428
28463750000,-54.084091,-119.62165
28477500000,-56.110081,-171.32352
28491250000,-56.65337,124.71651
28505000000,-55.997402,61.485138
28518750000,-56.776749,9.8729429
28532500000,-57.9883,-52.228794
28546250000,-57.421368,-106.29552
28560000000,-56.653049,-162.12206
28573750000,-55.843758,137.65485
28587500000,-55.760628,74.919724
28601250000,-56.723557,9.6932163
28615000000,-56.451118,-47.755592
28628750000,-55.533409,-98.56852
28642500000,-55.020451,-158.07973
28656250000,-54.725292,141.86032
28670000000,-55.242523,84.721153
28683750000,-54.182076,20.430389
28697500000,-54.284744,-39.634777
28711250000,-54.030655,-101.87188
28725000000,-54.491474,-168.91077
28738750000,-54.171047,120.73787
28752500000,-54.628296,62.37442
28766250000,-55.427929,5.7732501
28780000000,-54.883644,-57.946484
28793750000,-54.512096,-115.44622
28807500000,-56.41309,-178.54443
28821250000,-55.324574,111.8476
28835000000,-56.250195,61.023785
28848750000,-56.320786,3.1296761
28862500000,-56.940655,-55.36528
28876250000,-57.779633,-111.44345
28890000000,-57.096222,-168.81528
28903750000,-57.238346,133.70262
28917500000,-55.639626,78.603081
28931250000,-55.981987,13.71851
28945000000,-55.818291,-33.21151
28958750000,-54.914589,-108.92409
28972500000,-55.363503,-160.96019
28986250000,-54.919933,135.93393
29000000000,-55.223415,68.340775
29013750000,-55.434437,9.9313507
29027500000,-55.507954,-47.974586
29041250000,-56.365459,-101.28712
29055000000,-54.316711,-165.13449
29068750000,-55.460831,130.00247
29082500000,-54.587017,63.984039
29096250000,-55.17524,9.3803215
29110000000,-54.608871,-53.750496
29123750000,-56.947361,-120.93043
29137500000,-56.079666,-175.23715
29151250000,-57.48114,133.57332
29165000000,-55.874428,73.701057
29178750000,-56.198544,5.3666577
29192500000,-55.526077,-52.104691
29206250000,-55.714294,-107.15147
29220000000,-56.447403,-174.34499
29233750000,-58.196659,135.72369
29247500000,-56.480854,68.618866
29261250000,-57.210949,10.469458
29275000000,-57.383198,-44.008686
29288750000,-56.285698,-106.93176
29302500000,-56.065582,-173.90695
29316250000,-55.989632,135.66934
29330000000,-56.415272,76.498726
29343750000,-57.033844,24.121881
29357500000,-56.269539,-58.087658
29371250000,-56.118267,-113.52446
