!CSV A.01.01
!Keysight Technologies,P9377B,MY61100645,A.17.60.13
!Date: Friday, July 04, 2025 20:02:45
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(DB),S21(DEG)
18000000000,-24.487055,109.95621
18013750000,-24.716858,49.259869
18027500000,-24.593754,-10.644839
18041250000,-24.644342,-72.140182
18055000000,-24.895063,-132.38136
18068750000,-24.904758,169.01091
18082500000,-24.740509,109.37019
18096250000,-24.48708,49.711155
18110000000,-24.212414,-12.774978
18123750000,-24.44014,-75.323624
18137500000,-24.624538,-135.67136
18151250000,-24.777351,163.4353
18165000000,-25.009834,104.98891
18178750000,-24.730961,46.00473
18192500000,-24.514114,-14.31148
18206250000,-24.305763,-76.291512
18220000000,-24.529194,-139.23825
18233750000,-24.964283,159.99004
18247500000,-25.199049,101.87227
18261250000,-25.304598,42.746597
18275000000,-25.209858,-14.827885
18288750000,-24.798161,-73.621063
18302500000,-24.573097,-135.27771
18316250000,-24.486813,163.06357
18330000000,-24.521906,101.86485
18343750000,-24.727997,40.830814
18357500000,-24.809362,-16.443697
18371250000,-24.372105,-76.749344
18385000000,-24.2997,-138.45482
18398750000,-24.142878,161.0386
18412500000,-24.018188,98.957901
18426250000,-24.188591,37.164986
18440000000,-24.324991,-23.446447
18453750000,-24.463749,-84.760941
18467500000,-24.716013,-143.37883
18481250000,-24.430447,156.41664
18495000000,-24.572853,95.017372
18508750000,-24.612354,35.433659
18522500000,-24.540054,-25.528971
18536250000,-24.708672,-87.621407
18550000000,-25.251003,-146.84621
18563750000,-25.403761,156.06052
18577500000,-25.263332,98.915291
18591250000,-24.842552,40.638615
18605000000,-24.510448,-21.054972
18618750000,-24.481796,-81.127892
18632500000,-24.134232,-142.17258
18646250000,-24.245424,155.86984
18660000000,-24.301035,96.448235
18673750000,-24.048401,36.641716
18687500000,-23.866587,-24.363508
18701250000,-23.61134,-85.962013
18715000000,-23.739811,-148.8168
18728750000,-23.974228,151.0036
18742500000,-23.886093,90.393105
18756250000,-23.992716,29.071405
18770000000,-24.089941,-31.120825
18783750000,-24.050543,-92.117363
18797500000,-24.156773,-153.10637
18811250000,-24.331717,146.57013
18825000000,-24.597687,85.596977
18838750000,-24.854784,27.793045
18852500000,-24.614199,-31.865986
18866250000,-24.83375,-93.417427
18880000000,-25.135748,-150.49153
18893750000,-24.802189,151.58672
18907500000,-24.671867,91.059586
18921250000,-24.596201,32.20253
18935000000,-24.322474,-27.783171
18948750000,-24.145477,-87.578346
18962500000,-23.907568,-147.41745
18976250000,-23.591002,150.40817
18990000000,-23.538723,89.608887
19003750000,-23.296366,27.966167
19017500000,-23.322094,-35.286846
19031250000,-23.563004,-96.821533
19045000000,-23.665817,-157.01198
19058750000,-23.783083,142.25949
19072500000,-23.744486,82.695076
19086250000,-23.671083,19.763113
19100000000,-24.071856,-41.246937
19113750000,-24.239325,-101.5579
19127500000,-24.667213,-163.07317
19141250000,-25.278677,139.44302
19155000000,-25.188961,84.143623
19168750000,-24.903069,25.616241
19182500000,-24.555382,-34.107552
19196250000,-24.406832,-94.960732
19210000000,-24.432636,-156.11909
19223750000,-24.629372,145.28151
19237500000,-24.47039,86.801025
19251250000,-24.197309,27.908947
19265000000,-23.71286,-31.629992
19278750000,-23.332314,-94.936829
19292500000,-23.367237,-157.68913
19306250000,-23.536089,140.72935
19320000000,-23.838543,80.651329
19333750000,-23.848211,22.639446
19347500000,-23.310905,-37.435322
19361250000,-23.292183,-100.54911
19375000000,-23.319155,-162.17276
19388750000,-23.458284,135.76686
