!CSV A.01.01
!Keysight Technologies,P9377B,MY61100645,A.17.60.13
!Date: Friday, July 04, 2025 20:02:55
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(DB),S21(DEG)
18000000000,-24.477018,110.35176
18013750000,-24.684256,49.144985
18027500000,-24.564322,-10.751623
18041250000,-24.638035,-72.528694
18055000000,-24.88995,-132.39839
18068750000,-24.902786,169.04663
18082500000,-24.773537,109.56883
18096250000,-24.49021,49.870941
18110000000,-24.21454,-12.5759
18123750000,-24.479395,-75.252602
18137500000,-24.609169,-135.6124
18151250000,-24.766403,163.68648
18165000000,-25.009182,104.98814
18178750000,-24.733007,46.084408
18192500000,-24.466009,-14.452236
18206250000,-24.328598,-76.437523
18220000000,-24.508905,-139.14484
18233750000,-25.013004,160.07228
18247500000,-25.191607,102.06058
18261250000,-25.306808,42.770824
18275000000,-25.25005,-14.400758
18288750000,-24.806955,-73.936974
18302500000,-24.567631,-135.38573
18316250000,-24.461334,163.05147
18330000000,-24.529493,101.83475
18343750000,-24.788074,40.972847
18357500000,-24.813927,-16.303452
18371250000,-24.358349,-76.614845
18385000000,-24.258915,-138.38506
18398750000,-24.154787,160.97935
18412500000,-23.975288,98.905838
18426250000,-24.167751,36.934517
18440000000,-24.258135,-23.464296
18453750000,-24.435669,-84.61911
18467500000,-24.715286,-143.55052
18481250000,-24.417646,156.40666
18495000000,-24.562576,94.781944
18508750000,-24.696932,35.639263
18522500000,-24.530918,-25.500113
18536250000,-24.741302,-87.254791
18550000000,-25.221216,-146.85172
18563750000,-25.416775,156.04065
18577500000,-25.283592,98.86776
18591250000,-24.845522,40.394535
18605000000,-24.519733,-21.262672
18618750000,-24.50341,-81.045212
18632500000,-24.178082,-142.32332
18646250000,-24.252985,155.94385
18660000000,-24.318859,96.495766
18673750000,-24.054348,36.773739
18687500000,-23.874176,-24.267799
18701250000,-23.609207,-85.951561
18715000000,-23.757286,-148.87462
18728750000,-23.96027,151.04445
18742500000,-23.874264,90.286179
18756250000,-23.94791,28.988047
18770000000,-24.08737,-31.398899
18783750000,-24.090059,-92.237762
18797500000,-24.182043,-153.10065
18811250000,-24.350513,146.64774
18825000000,-24.577976,85.765457
18838750000,-24.821302,27.866402
18852500000,-24.590231,-31.647375
18866250000,-24.800503,-93.319893
18880000000,-25.138218,-150.61874
18893750000,-24.799986,151.73303
18907500000,-24.664452,90.999985
18921250000,-24.568735,32.295673
18935000000,-24.341713,-27.758425
18948750000,-24.211863,-87.784561
18962500000,-23.952179,-147.39351
18976250000,-23.567701,150.74074
18990000000,-23.531317,89.533241
19003750000,-23.27043,27.932474
19017500000,-23.300442,-35.472298
19031250000,-23.556469,-96.722954
19045000000,-23.687019,-157.07838
19058750000,-23.792536,142.22868
19072500000,-23.737587,82.56488
19086250000,-23.675102,19.782349
19100000000,-24.070393,-41.293171
19113750000,-24.210379,-101.28563
19127500000,-24.678362,-163.20239
19141250000,-25.227299,139.64676
19155000000,-25.171774,83.917992
19168750000,-24.86672,25.485182
19182500000,-24.5919,-34.286247
19196250000,-24.442459,-95.001442
19210000000,-24.450983,-155.92384
19223750000,-24.636063,145.46542
19237500000,-24.43602,86.999939
19251250000,-24.169016,27.971157
19265000000,-23.727587,-31.7463
19278750000,-23.291374,-94.806564
19292500000,-23.399824,-157.69476
19306250000,-23.565151,140.81084
19320000000,-23.831553,80.570313
19333750000,-23.90498,22.53878
19347500000,-23.311684,-37.426308
19361250000,-23.263525,-100.56519
19375000000,-23.304525,-161.9904
19388750000,-23.47998,136.03828
