!CSV A.01.01
!Keysight Technologies,P9377B,MY61100645,A.17.60.13
!Date: Friday, July 04, 2025 20:04:02
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(DB),S21(DEG)
18000000000,-23.433882,-56.084976
18013750000,-23.426825,-116.2583
18027500000,-23.502525,-175.8383
18041250000,-23.360981,124.45083
18055000000,-23.424967,63.49971
18068750000,-23.254333,4.5479999
18082500000,-23.142557,-57.825825
18096250000,-23.246214,-118.17211
18110000000,-23.365393,-179.63765
18123750000,-23.564129,121.08606
18137500000,-23.629944,61.361328
18151250000,-23.538422,2.359931
18165000000,-23.365967,-57.20525
18178750000,-23.190769,-117.69947
18192500000,-23.102531,-179.786
18206250000,-23.207323,119.34362
18220000000,-23.257696,57.810833
18233750000,-23.574408,-1.45586
18247500000,-23.464451,-60.978474
18261250000,-23.51895,-120.52832
18275000000,-23.364197,179.13509
18288750000,-23.40699,118.84615
18302500000,-23.319777,58.35429
18316250000,-23.386753,-2.1496632
18330000000,-23.383097,-62.457039
18343750000,-23.486137,-122.27558
18357500000,-23.424704,177.82278
18371250000,-23.455067,118.33557
18385000000,-23.311378,58.308949
18398750000,-23.278111,-2.2750254
18412500000,-23.162821,-63.395733
18426250000,-23.331741,-124.06937
18440000000,-23.445551,176.64468
18453750000,-23.409134,117.02024
18467500000,-23.401896,57.675079
18481250000,-23.233091,-1.5876091
18495000000,-23.08901,-62.032631
18508750000,-22.856693,-122.20557
18522500000,-22.672922,175.95918
18536250000,-22.702755,114.33143
18550000000,-22.824917,52.982311
18563750000,-23.085018,-7.5413041
18577500000,-23.227274,-66.178711
18591250000,-23.075081,-125.99699
18605000000,-23.065611,174.46567
18618750000,-22.766106,113.67757
18632500000,-22.833416,52.880966
18646250000,-22.737833,-7.8023462
18660000000,-22.900116,-68.818497
18673750000,-22.856712,-129.10829
18687500000,-22.974611,170.37024
18701250000,-23.042004,110.45744
18715000000,-23.060837,50.264648
18728750000,-23.121773,-9.511405
18742500000,-23.135532,-69.48822
18756250000,-23.158054,-128.74619
18770000000,-23.073711,171.40135
18783750000,-23.062378,111.6972
18797500000,-22.974104,52.342491
18811250000,-22.723497,-7.4645977
18825000000,-22.500916,-68.80912
18838750000,-22.447697,-129.78011
18852500000,-22.342693,168.67882
18866250000,-22.460474,107.03272
18880000000,-22.613785,46.057579
18893750000,-22.792906,-13.54526
18907500000,-22.760708,-73.392357
18921250000,-22.844528,-133.55348
18935000000,-22.825254,166.35548
18948750000,-22.838314,106.627
18962500000,-22.688303,46.317623
18976250000,-22.650549,-14.550717
18990000000,-22.701477,-76.195938
19003750000,-22.966879,-136.47404
