!CSV A.01.01
!Keysight Technologies,P9377B,MY61100645,A.17.60.13
!Date: Wednesday, July 02, 2025 19:16:20
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(DB),S21(DEG)
18000000000,-23.467131,-37.747887
18013750000,-23.54178,-97.879791
18027500000,-23.639154,-157.45193
18041250000,-23.622549,142.84079
18055000000,-23.489368,83.026268
18068750000,-23.383244,22.787371
18082500000,-23.313063,-38.311501
18096250000,-23.315031,-99.175102
18110000000,-23.395853,-160.01073
18123750000,-23.511332,139.93904
18137500000,-23.519609,79.996025
18151250000,-23.485109,20.352116
18165000000,-23.438517,-39.404015
18178750000,-23.31937,-100.0302
18192500000,-23.256914,-160.85995
18206250000,-23.282549,138.26352
18220000000,-23.417334,77.397766
18233750000,-23.488459,17.568264
18247500000,-23.528282,-41.955292
18261250000,-23.485994,-101.47132
18275000000,-23.376476,-161.42796
18288750000,-23.267073,138.22916
18302500000,-23.180252,77.222191
18316250000,-23.22403,16.4161
18330000000,-23.274754,-44.30986
18343750000,-23.386311,-104.37071
18357500000,-23.45108,-164.13573
18371250000,-23.458773,136.33617
18385000000,-23.349392,76.810333
18398750000,-23.227341,16.274912
18412500000,-23.153324,-44.392593
18426250000,-23.138889,-105.40478
18440000000,-23.263191,-166.19943
18453750000,-23.377417,134.36832
18467500000,-23.401415,74.640961
18481250000,-23.334047,15.004285
18495000000,-23.218021,-44.944065
18508750000,-23.095459,-105.49628
18522500000,-23.070393,-166.19975
18536250000,-23.110016,132.8022
18550000000,-23.162378,72.512878
18563750000,-23.253561,12.329514
18577500000,-23.288853,-47.074627
18591250000,-23.246542,-106.66645
18605000000,-23.14139,-166.48706
18618750000,-23.026234,132.74445
18632500000,-23.000374,72.053268
18646250000,-23.062532,11.255117
18660000000,-23.158583,-49.153564
18673750000,-23.178497,-108.91936
18687500000,-23.193239,-168.33528
18701250000,-23.154699,131.85121
18715000000,-23.024343,71.690971
18728750000,-22.911566,11.315714
18742500000,-22.909151,-49.580063
18756250000,-22.948288,-110.17529
18770000000,-23.052433,-170.58707
18783750000,-23.095371,129.72856
18797500000,-23.090633,70.062675
18811250000,-23.059782,10.51103
18825000000,-22.923145,-49.68961
18838750000,-22.803116,-110.65449
18852500000,-22.820925,-171.39995
18866250000,-22.863523,128.00206
18880000000,-22.959799,67.924377
18893750000,-23.011553,8.1712189
18907500000,-23.033363,-51.626598
18921250000,-22.939335,-110.97546
18935000000,-22.838245,-171.38394
18948750000,-22.767557,128.08383
18962500000,-22.763027,67.443054
18976250000,-22.827244,6.8702059
18990000000,-22.882576,-53.401154
19003750000,-22.966473,-112.87733
19017500000,-22.931767,-172.5545
19031250000,-22.855618,127.45301
19045000000,-22.7572,67.164177
19058750000,-22.722391,6.6362009
19072500000,-22.707144,-54.146793
19086250000,-22.787537,-114.6603
19100000000,-22.843014,-174.54807
19113750000,-22.871666,125.64388
19127500000,-22.88656,65.681183
19141250000,-22.809071,6.0519471
19155000000,-22.75322,-54.099907
19168750000,-22.675014,-114.56956
19182500000,-22.699524,-175.1826
19196250000,-22.748829,124.46814
19210000000,-22.776415,64.24865
19223750000,-22.832491,4.5116014
19237500000,-22.813009,-55.334564
19251250000,-22.738039,-115.36102
19265000000,-22.70455,-175.81812
19278750000,-22.706324,124.01518
19292500000,-22.717722,63.529892
19306250000,-22.735958,3.0797334
19320000000,-22.809376,-56.905052
19333750000,-22.838713,-116.59309
19347500000,-22.823956,-176.45897
19361250000,-22.774561,123.72156
19375000000,-22.738031,63.548122
19388750000,-22.685047,3.1989603
19402500000,-22.69883,-57.3083
19416250000,-22.733883,-117.41981
19430000000,-22.784189,-177.56628
19443750000,-22.790831,122.48013
19457500000,-22.804951,62.484161
19471250000,-22.788588,2.7759271
19485000000,-22.758848,-57.168617
19498750000,-22.739567,-117.47269
19512500000,-22.741972,-177.71301
19526250000,-22.789734,122.11472
19540000000,-22.80533,62.241795
19553750000,-22.871042,2.2562377
19567500000,-22.847963,-57.61182
19581250000,-22.798885,-117.28203
19595000000,-22.766659,-177.48117
19608750000,-22.771164,122.35052
19622500000,-22.760639,62.108456
19636250000,-22.771936,1.7217796
19650000000,-22.801399,-58.34129
19663750000,-22.921312,-118.19235
19677500000,-22.892738,-177.77412
19691250000,-22.859039,122.32121
19705000000,-22.802441,62.411823
19718750000,-22.808245,2.2087553
19732500000,-22.816513,-57.918808
19746250000,-22.825922,-118.09617
19760000000,-22.863832,-177.98988
19773750000,-22.9,122.17828
19787500000,-22.849052,62.507713
19801250000,-22.855692,2.7225368
19815000000,-22.816887,-57.224636
19828750000,-22.75526,-117.52323
19842500000,-22.769419,-177.85172
19856250000,-22.803997,122.15802
19870000000,-22.848259,62.374996
19883750000,-22.851583,2.4776943
19897500000,-22.860983,-57.213837
19911250000,-22.788902,-116.92027
19925000000,-22.767416,-177.09749
19938750000,-22.780313,122.58495
19952500000,-22.788454,62.715237
19966250000,-22.794443,2.5970223
19980000000,-22.799374,-57.558723
19993750000,-22.803467,-117.14053
20007500000,-22.72298,-176.75508
20021250000,-22.697369,123.16158
20035000000,-22.687841,63.086243
20048750000,-22.689045,2.9685786
20062500000,-22.732758,-57.406532
20076250000,-22.757296,-117.15049
20090000000,-22.743746,-176.69228
20103750000,-22.668884,123.25558
20117500000,-22.652193,63.137306
20131250000,-22.660841,3.1706314
20145000000,-22.653166,-56.900246
20158750000,-22.648306,-117.03044
20172500000,-22.693171,-177.01462
20186250000,-22.648195,123.26736
20200000000,-22.59939,63.489941
20213750000,-22.596258,3.0944393
20227500000,-22.59259,-56.655407
20241250000,-22.562943,-117.05544
20255000000,-22.616125,-177.22395
20268750000,-22.673672,122.98171
20282500000,-22.640951,63.512238
20296250000,-22.60574,3.5563071
20310000000,-22.538311,-56.310848
20323750000,-22.505264,-116.50303
20337500000,-22.444727,-176.94186
20351250000,-22.546228,122.67994
20365000000,-22.605566,63.026016
20378750000,-22.583929,3.6644628
20392500000,-22.542282,-56.060829
20406250000,-22.532366,-115.95413
20420000000,-22.434412,-175.97015
20433750000,-22.380527,123.51243
20447500000,-22.444376,63.20927
20461250000,-22.513567,3.2734237
20475000000,-22.535706,-56.524677
20488750000,-22.565735,-115.98885
20502500000,-22.492735,-175.37082
20516250000,-22.415058,124.66089
20530000000,-22.3265,64.20356
20543750000,-22.368156,3.6609879
20557500000,-22.446453,-56.580776
20571250000,-22.489456,-116.54434
20585000000,-22.539932,-176.22459
20598750000,-22.558245,124.51569
20612500000,-22.427551,65.127296
20626250000,-22.346813,4.6968889
20640000000,-22.340393,-55.902142
20653750000,-22.332151,-116.13412
20667500000,-22.395508,-176.55434
20681250000,-22.500959,123.50776
20695000000,-22.595896,64.477676
20708750000,-22.496607,5.261292
20722500000,-22.450392,-54.561279
20736250000,-22.37038,-114.67142
20750000000,-22.283606,-175.22609
20763750000,-22.324564,124.02341
20777500000,-22.451681,63.79702
20791250000,-22.536242,4.2209973
20805000000,-22.521515,-55.145691
20818750000,-22.520035,-114.92928
20832500000,-22.475033,-174.23392
20846250000,-22.349352,125.76555
20860000000,-22.324974,65.002449
20873750000,-22.383135,4.379097
20887500000,-22.455927,-55.446941
20901250000,-22.576221,-115.27042
20915000000,-22.619829,-174.78673
20928750000,-22.573719,126.2338
20942500000,-22.443108,66.470177
20956250000,-22.3661,6.0323114
20970000000,-22.360481,-54.41927
20983750000,-22.401369,-114.90557
20997500000,-22.507484,-175.06891
21011250000,-22.610655,124.95487
21025000000,-22.672503,65.972809
21038750000,-22.636549,6.3655443
21052500000,-22.568325,-52.983009
21066250000,-22.466654,-113.08311
21080000000,-22.407722,-173.83418
21093750000,-22.493866,125.62907
21107500000,-22.612249,65.685455
21121250000,-22.681543,6.4810152
21135000000,-22.673128,-52.959839
21148750000,-22.662388,-112.47271
21162500000,-22.554962,-172.03043
21176250000,-22.445116,127.73344
21190000000,-22.459806,67.006432
21203750000,-22.48789,6.5447512
21217500000,-22.608343,-53.743313
21231250000,-22.755014,-113.58974
21245000000,-22.884792,-172.13058
21258750000,-22.818649,128.98592
21272500000,-22.671494,69.536575
21286250000,-22.564692,9.1769638
21300000000,-22.512684,-51.348705
21313750000,-22.498526,-112.00123
21327500000,-22.634581,-172.463
21341250000,-22.767057,128.00574
21355000000,-22.84754,68.70327
21368750000,-22.835855,9.6281023
21382500000,-22.766897,-49.948124
21396250000,-22.618595,-109.72509
21410000000,-22.552773,-170.65485
21423750000,-22.683878,128.43913
21437500000,-22.897068,68.970741
21451250000,-22.972666,9.8668308
21465000000,-22.992779,-49.308914
21478750000,-22.933321,-108.14259
21492500000,-22.761713,-167.64207
21506250000,-22.607969,131.94702
21520000000,-22.580759,71.092575
21533750000,-22.684961,10.364353
21547500000,-22.825678,-49.91198
21561250000,-22.977997,-109.52319
21575000000,-23.102516,-168.01271
21588750000,-23.014475,133.62044
21602500000,-22.829592,73.974541
21616250000,-22.748688,13.752052
21630000000,-22.652794,-47.007404
21643750000,-22.757891,-107.59241
21657500000,-22.879721,-167.99036
21671250000,-23.088047,133.04527
21685000000,-23.072157,74.312599
21698750000,-23.009148,15.123408
21712500000,-22.855129,-43.938393
21726250000,-22.68832,-104.36571
21740000000,-22.654053,-165.62225
21753750000,-22.79538,133.4574
21767500000,-22.981434,73.788635
21781250000,-23.093428,14.872108
21795000000,-23.134315,-43.744396
21808750000,-23.047737,-102.35226
21822500000,-22.809044,-161.9158
21836250000,-22.684908,137.18811
21850000000,-22.688128,76.622856
21863750000,-22.765543,16.233799
21877500000,-22.898632,-43.798405
21891250000,-23.02413,-103.24869
21905000000,-23.060522,-161.70715
21918750000,-22.922678,139.4292
21932500000,-22.785446,79.646126
21946250000,-22.689819,19.090706
21960000000,-22.639717,-41.620113
21973750000,-22.749895,-102.22884
21987500000,-22.930323,-162.01614
22001250000,-23.03339,139.04407
22015000000,-22.996899,80.500786
22028750000,-22.906796,21.037481
22042500000,-22.752806,-38.297291
22056250000,-22.624519,-98.826843
22070000000,-22.59285,-159.79922
22083750000,-22.727739,139.63081
22097500000,-22.886784,79.937965
22111250000,-22.960718,20.78948
22125000000,-22.987545,-38.083382
22138750000,-22.871498,-96.934799
22152500000,-22.669001,-156.45546
22166250000,-22.554144,142.68018
22180000000,-22.58008,81.858498
22193750000,-22.672827,21.431562
22207500000,-22.811045,-38.313869
22221250000,-22.928139,-97.484154
22235000000,-22.93211,-156.16434
22248750000,-22.791941,144.61079
22262500000,-22.68667,84.65033
22276250000,-22.564058,24.345064
22290000000,-22.557541,-36.177673
22303750000,-22.639473,-97.167679
22317500000,-22.824425,-156.5399
22331250000,-22.91571,144.30568
22345000000,-22.884508,85.349251
22358750000,-22.829439,26.304771
22372500000,-22.686695,-33.378582
22386250000,-22.537661,-93.809349
22400000000,-22.568153,-154.80769
22413750000,-22.684698,144.80461
22427500000,-22.780575,85.130997
22441250000,-22.907404,25.830809
22455000000,-22.949141,-33.146191
22468750000,-22.847349,-92.183464
22482500000,-22.706835,-151.79622
22496250000,-22.574217,147.76723
22510000000,-22.605591,86.831657
22523750000,-22.712204,26.548674
22537500000,-22.838442,-33.245724
22551250000,-22.967937,-92.266548
22565000000,-22.97373,-150.93643
22578750000,-22.849922,149.88852
22592500000,-22.761635,89.86808
22606250000,-22.660395,29.587465
22620000000,-22.638948,-30.959686
22633750000,-22.75305,-91.661224
22647500000,-22.901207,-151.5022
22661250000,-23.019089,149.82083
22675000000,-23.050238,90.810501
22688750000,-22.944668,31.87912
22702500000,-22.807287,-27.944183
22716250000,-22.700014,-88.24408
22730000000,-22.715183,-149.0096
22743750000,-22.853664,150.6738
22757500000,-23.008825,91.09066
22771250000,-23.058323,31.98995
22785000000,-23.055294,-26.66704
22798750000,-23.004606,-85.77002
22812500000,-22.82629,-145.45631
22826250000,-22.733084,154.01648
22840000000,-22.783789,93.383163
22853750000,-22.909517,32.945358
22867500000,-23.061152,-26.357239
22881250000,-23.162546,-85.207542
22895000000,-23.097496,-143.81555
22908750000,-23.017641,156.96423
22922500000,-22.876871,97.325111
22936250000,-22.797422,37.027691
22950000000,-22.797615,-23.651907
22963750000,-22.94031,-84.122261
22977500000,-23.094193,-143.33
22991250000,-23.138424,157.94542
23005000000,-23.098167,98.951027
23018750000,-22.998346,39.961956
23032500000,-22.856684,-19.838669
23046250000,-22.782776,-80.335945
23060000000,-22.796766,-141.04657
23073750000,-22.914818,158.91292
23087500000,-23.021364,99.601105
23101250000,-23.104591,40.760559
23115000000,-23.050972,-18.100267
23128750000,-22.956846,-77.491081
23142500000,-22.809649,-137.16704
23156250000,-22.764679,162.38321
23170000000,-22.794712,101.64789
23183750000,-22.888693,41.962936
23197500000,-22.977373,-17.609051
23211250000,-23.047014,-76.332062
23225000000,-22.963478,-135.08167
23238750000,-22.856031,164.97131
23252500000,-22.75646,105.1996
23266250000,-22.712477,45.099655
23280000000,-22.732668,-15.231813
23293750000,-22.810413,-75.382355
23307500000,-22.910654,-134.56349
23321250000,-22.901716,166.51186
23335000000,-22.845108,107.20599
23348750000,-22.758606,47.862724
23362500000,-22.634811,-12.072556
23376250000,-22.592821,-72.572838
23390000000,-22.639824,-132.74251
23403750000,-22.740589,167.59906
23417500000,-22.743296,108.19575
23431250000,-22.78368,48.654484
23445000000,-22.733936,-10.248884
23458750000,-22.631298,-69.846046
23472500000,-22.530859,-129.94302
23486250000,-22.523369,169.84521
23500000000,-22.554499,109.76968
23513750000,-22.596121,49.821705
23527500000,-22.659561,-9.75002
23541250000,-22.671167,-68.682312
23555000000,-22.588711,-127.99136
23568750000,-22.511948,172.27931
23582500000,-22.437,112.44943
23596250000,-22.396717,51.983944
23610000000,-22.437395,-7.9504771
23623750000,-22.525511,-67.895752
23637500000,-22.537632,-127.11327
23651250000,-22.503222,173.44582
23665000000,-22.498974,113.87969
23678750000,-22.403477,54.32011
23692500000,-22.341257,-5.5020561
23706250000,-22.324766,-66.069771
23720000000,-22.367516,-125.953
23733750000,-22.412302,174.22385
23747500000,-22.439272,114.58129
23761250000,-22.465721,55.178867
23775000000,-22.442245,-4.0750589
23788750000,-22.365902,-63.644085
23802500000,-22.312178,-123.70988
23816250000,-22.285564,176.24088
23830000000,-22.307381,116.30088
23843750000,-22.347769,56.366272
23857500000,-22.38343,-2.9593046
23871250000,-22.361101,-62.611847
23885000000,-22.333857,-122.31255
23898750000,-22.272001,178.06271
