!CSV A.01.01
!Keysight Technologies,P9377B,MY61100645,A.17.60.13
!Date: Wednesday, July 02, 2025 19:16:29
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(DB),S21(DEG)
18000000000,-23.472561,-37.7911
18013750000,-23.586039,-97.933937
18027500000,-23.646259,-157.63094
18041250000,-23.629118,142.74455
18055000000,-23.500799,82.975525
18068750000,-23.406597,22.805475
18082500000,-23.30591,-38.338261
18096250000,-23.300568,-99.264999
18110000000,-23.404583,-160.09717
18123750000,-23.474281,139.8562
18137500000,-23.515314,80.157387
18151250000,-23.482626,20.345274
18165000000,-23.412661,-39.622467
18178750000,-23.338362,-100.10263
18192500000,-23.267647,-160.91605
18206250000,-23.306959,138.08203
18220000000,-23.411055,77.650299
18233750000,-23.458828,17.618694
18247500000,-23.535723,-42.01767
18261250000,-23.496634,-101.49925
18275000000,-23.39571,-161.25447
18288750000,-23.243765,138.19724
18302500000,-23.186769,77.180939
18316250000,-23.218992,16.375603
18330000000,-23.299515,-44.448711
18343750000,-23.384125,-104.41009
18357500000,-23.472481,-164.25006
18371250000,-23.465984,136.36301
18385000000,-23.365667,76.852928
18398750000,-23.238304,16.362959
18412500000,-23.150589,-44.402431
18426250000,-23.153826,-105.58402
18440000000,-23.256968,-166.00792
18453750000,-23.377243,133.97438
18467500000,-23.360638,74.569359
18481250000,-23.333735,14.936403
18495000000,-23.237801,-44.880882
18508750000,-23.117119,-105.1399
18522500000,-23.067497,-166.16815
18536250000,-23.084864,132.71767
18550000000,-23.183258,72.405136
18563750000,-23.272854,12.311939
18577500000,-23.308912,-47.245922
18591250000,-23.263315,-106.74281
18605000000,-23.118658,-166.60583
18618750000,-23.013245,132.88661
18632500000,-23.010191,72.106598
18646250000,-23.040312,11.419307
18660000000,-23.115456,-49.072601
18673750000,-23.2006,-108.92783
18687500000,-23.188894,-168.45801
18701250000,-23.125454,131.75645
18715000000,-23.041555,71.854095
18728750000,-22.947128,11.384573
18742500000,-22.894222,-49.465118
18756250000,-22.930067,-110.23282
18770000000,-23.047398,-170.69685
18783750000,-23.088137,129.74767
18797500000,-23.113871,70.204002
18811250000,-23.018471,10.368628
18825000000,-22.900286,-49.685123
18838750000,-22.819401,-110.39568
18852500000,-22.853111,-171.42775
18866250000,-22.879368,128.22169
18880000000,-22.954845,67.686623
18893750000,-23.019234,8.0636053
18907500000,-23.025198,-51.446915
18921250000,-22.951275,-111.05028
18935000000,-22.857216,-171.44875
18948750000,-22.771475,128.15503
18962500000,-22.804884,67.374481
18976250000,-22.820591,6.8734679
18990000000,-22.903448,-53.194809
19003750000,-22.988916,-113.12252
19017500000,-22.910343,-172.56398
19031250000,-22.814548,127.40324
19045000000,-22.772972,67.121025
19058750000,-22.731243,6.6473913
19072500000,-22.715538,-54.136082
19086250000,-22.798359,-114.58137
19100000000,-22.857805,-174.4962
19113750000,-22.867115,125.61578
19127500000,-22.875832,65.885071
19141250000,-22.831596,5.9956112
19155000000,-22.74008,-54.127415
19168750000,-22.703939,-114.62424
19182500000,-22.709492,-175.2383
19196250000,-22.785658,124.24451
19210000000,-22.778473,64.446045
19223750000,-22.827339,4.5147882
19237500000,-22.788254,-55.346966
19251250000,-22.752377,-115.29021
19265000000,-22.709036,-175.66588
19278750000,-22.718761,123.89815
19292500000,-22.725246,63.54377
19306250000,-22.734634,3.1176269
19320000000,-22.844587,-56.855091
19333750000,-22.840765,-116.53054
19347500000,-22.828161,-176.29926
19361250000,-22.774464,123.78625
19375000000,-22.760914,63.511314
19388750000,-22.71529,3.2424574
19402500000,-22.697151,-57.16399
19416250000,-22.742804,-117.54847
19430000000,-22.755144,-177.52748
19443750000,-22.795559,122.43221
19457500000,-22.837732,62.535069
19471250000,-22.75329,2.8236225
19485000000,-22.784838,-57.441784
19498750000,-22.74041,-117.52194
19512500000,-22.757904,-177.71255
19526250000,-22.80225,122.20872
19540000000,-22.824675,61.980068
19553750000,-22.840706,2.1427479
19567500000,-22.825716,-57.478188
19581250000,-22.831179,-117.46566
19595000000,-22.774851,-177.53868
19608750000,-22.768017,122.3065
19622500000,-22.780407,61.963974
19636250000,-22.767557,1.9222044
19650000000,-22.823561,-58.353512
19663750000,-22.891096,-118.16223
19677500000,-22.898836,-177.80528
19691250000,-22.847645,122.38715
19705000000,-22.832817,62.422077
19718750000,-22.810619,2.1961937
19732500000,-22.771774,-57.981327
19746250000,-22.844425,-118.19909
19760000000,-22.867455,-177.96242
19773750000,-22.880892,122.41957
19787500000,-22.862286,62.251778
19801250000,-22.828999,2.5811591
19815000000,-22.827587,-57.197742
19828750000,-22.758268,-117.49246
19842500000,-22.768497,-177.85941
19856250000,-22.806423,122.08823
19870000000,-22.853212,62.378002
19883750000,-22.848295,2.4074883
19897500000,-22.837025,-57.187614
19911250000,-22.783339,-116.90242
19925000000,-22.750406,-177.21132
19938750000,-22.771692,122.62329
19952500000,-22.787167,62.606739
19966250000,-22.772755,2.7498813
19980000000,-22.791317,-57.466076
19993750000,-22.819311,-117.13656
20007500000,-22.722105,-176.69698
20021250000,-22.690077,123.12491
20035000000,-22.718149,62.793022
20048750000,-22.690519,2.9946477
20062500000,-22.725164,-57.222778
20076250000,-22.750317,-117.28716
20090000000,-22.734594,-176.64296
20103750000,-22.676617,123.28318
20117500000,-22.675182,63.216385
20131250000,-22.645182,3.1222765
20145000000,-22.620653,-56.77177
20158750000,-22.648836,-117.06506
20172500000,-22.701906,-176.96252
20186250000,-22.658028,123.47543
20200000000,-22.605881,63.31168
20213750000,-22.602873,3.2265651
20227500000,-22.585384,-56.724194
20241250000,-22.561029,-116.98277
20255000000,-22.626747,-177.38707
20268750000,-22.648666,122.85654
20282500000,-22.620121,63.489998
20296250000,-22.57584,3.7369263
20310000000,-22.524771,-56.439976
20323750000,-22.4688,-116.31252
20337500000,-22.437466,-176.72881
20351250000,-22.535637,122.90214
20365000000,-22.586365,63.332615
20378750000,-22.5634,3.7710392
20392500000,-22.562353,-56.10294
20406250000,-22.476843,-115.86849
20420000000,-22.444605,-175.87782
20433750000,-22.378561,123.43488
20447500000,-22.429571,62.996899
20461250000,-22.522978,3.0988574
20475000000,-22.548981,-56.37413
20488750000,-22.551748,-116.04047
20502500000,-22.542673,-175.50017
20516250000,-22.408106,124.72402
20530000000,-22.3265,64.235489
20543750000,-22.347418,3.4595776
20557500000,-22.398014,-56.578819
20571250000,-22.483894,-116.56997
20585000000,-22.562897,-176.29114
20598750000,-22.551003,124.66329
20612500000,-22.4363,65.167854
20626250000,-22.345322,4.7815714
20640000000,-22.309858,-55.748417
20653750000,-22.330738,-116.26761
20667500000,-22.395613,-176.53125
