!CSV A.01.01
!Keysight Technologies,P9377B,MY61100645,A.17.60.13
!Date: Friday, July 04, 2025 19:55:40
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(DB),S21(DEG)
18000000000,-23.196724,77.715996
18013750000,-23.268061,16.985546
18027500000,-23.490864,-42.950092
18041250000,-23.562384,-102.28805
18055000000,-23.461128,-161.15289
18068750000,-23.307482,138.44919
18082500000,-23.255657,77.540924
18096250000,-23.24902,16.885977
18110000000,-23.353056,-43.780899
18123750000,-23.462454,-103.47712
18137500000,-23.427683,-162.49837
18151250000,-23.342596,137.47314
18165000000,-23.242636,77.290329
18178750000,-23.169212,16.083481
18192500000,-23.209488,-44.654465
18206250000,-23.314695,-105.39591
18220000000,-23.505171,-165.1506
18233750000,-23.478989,135.50032
18247500000,-23.523418,75.974693
18261250000,-23.518061,16.368044
18275000000,-23.427019,-42.852715
18288750000,-23.304237,-103.26307
18302500000,-23.200493,-163.53824
18316250000,-23.154833,135.24341
18330000000,-23.224791,75.049957
18343750000,-23.339989,14.339617
18357500000,-23.45459,-44.838493
18371250000,-23.410864,-104.0315
18385000000,-23.314541,-163.85793
18398750000,-23.243382,135.8867
18412500000,-23.160877,76.053886
18426250000,-23.163559,15.826204
18440000000,-23.116848,-44.082062
18453750000,-23.077049,-104.74984
18467500000,-23.073185,-164.12038
18481250000,-22.986387,135.45786
18495000000,-22.907024,75.737892
18508750000,-22.724974,14.441126
18522500000,-22.794476,-46.482372
18536250000,-22.845095,-107.52038
18550000000,-23.140373,-167.96471
18563750000,-23.265162,133.8965
18577500000,-23.130198,74.557762
18591250000,-23.101454,15.939042
18605000000,-22.729319,-44.370098
18618750000,-22.665586,-105.0639
18632500000,-22.489046,-166.27095
18646250000,-22.54389,132.29959
18660000000,-22.661394,71.426964
18673750000,-22.767542,11.52037
18687500000,-22.946955,-48.737156
18701250000,-22.969227,-107.27794
18715000000,-22.822136,-167.23891
18728750000,-22.796158,132.7639
18742500000,-22.69437,72.306915
18756250000,-22.688997,12.389344
18770000000,-22.648281,-48.034779
18783750000,-22.684208,-107.95847
18797500000,-22.646173,-167.71611
18811250000,-22.531555,132.51877
18825000000,-22.447935,71.177643
18838750000,-22.425394,10.54056
18852500000,-22.519585,-50.471146
18866250000,-22.660019,-110.49606
18880000000,-22.785498,-170.21458
18893750000,-22.754694,130.46011
18907500000,-22.750692,70.817749
18921250000,-22.740812,11.325891
18935000000,-22.554108,-47.786694
18948750000,-22.314415,-108.77709
18962500000,-22.345821,-170.12726
18976250000,-22.319063,128.68793
18990000000,-22.486868,67.747421
19003750000,-22.658705,7.903872
19017500000,-22.80229,-51.266785
19031250000,-22.734837,-110.18714
19045000000,-22.58536,-170.03229
19058750000,-22.552877,129.22131
19072500000,-22.570993,69.352165
19086250000,-22.574951,8.2924871
19100000000,-22.69305,-50.651619
19113750000,-22.495932,-110.8714
19127500000,-22.595373,-171.57509
19141250000,-22.605217,128.45348
19155000000,-22.631971,68.524353
19168750000,-22.688375,8.6572342
19182500000,-22.655006,-51.106701
19196250000,-22.669626,-110.39845
19210000000,-22.501017,-170.76662
19223750000,-22.626419,128.27484
19237500000,-22.658033,69.084946
19251250000,-22.537466,9.3538046
19265000000,-22.466425,-50.976357
19278750000,-22.448051,-112.12033
19292500000,-22.580065,-172.82324
19306250000,-22.747801,127.71129
19320000000,-22.752371,68.343742
