!CSV A.01.01
!Keysight Technologies,P9377B,MY61100645,A.17.60.13
!Date: Friday, July 04, 2025 19:57:26
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(DB),S21(DEG)
18000000000,-25.035364,136.01778
18013750000,-25.008574,80.19474
18027500000,-24.49836,22.025316
18041250000,-24.195074,-38.098476
18055000000,-23.857891,-99.18335
18068750000,-23.738997,-160.40572
18082500000,-23.405365,137.8033
18096250000,-23.492931,75.151138
18110000000,-23.547649,14.552032
18123750000,-23.549421,-46.210373
18137500000,-23.497894,-107.14616
18151250000,-23.49552,-168.71106
18165000000,-23.518909,129.73172
18178750000,-23.606045,67.905563
18192500000,-23.713356,6.0745258
18206250000,-24.06992,-56.178612
18220000000,-24.657301,-115.78828
18233750000,-24.90287,-173.54048
18247500000,-24.957476,127.65155
18261250000,-25.154539,68.511398
18275000000,-25.090075,11.199793
18288750000,-24.893942,-48.551617
18302500000,-24.913397,-107.63022
18316250000,-24.681612,-166.99718
18330000000,-24.626078,133.23405
18343750000,-24.453598,74.358681
18357500000,-24.148764,14.424231
18371250000,-23.939753,-46.719196
18385000000,-23.836895,-105.6357
18398750000,-23.303993,-166.80078
18412500000,-23.184711,130.33188
18426250000,-22.99913,68.60614
18440000000,-22.991226,5.9485831
18453750000,-23.076683,-56.593792
18467500000,-23.295717,-117.90405
18481250000,-23.410341,-179.59933
18495000000,-23.77911,120.42227
18508750000,-23.734428,60.841702
18522500000,-23.725159,-1.4689456
18536250000,-23.982409,-62.953888
18550000000,-24.438696,-124.326
18563750000,-25.007433,176.95406
18577500000,-25.302721,119.40546
18591250000,-25.544382,63.482819
18605000000,-25.304192,8.1523848
18618750000,-24.639482,-50.323048
18632500000,-24.199369,-111.54781
18646250000,-24.066944,-172.18756
18660000000,-23.823259,126.75864
18673750000,-23.788881,67.352455
18687500000,-23.401272,6.8931565
18701250000,-23.308016,-54.43742
18715000000,-22.957705,-114.7962
18728750000,-22.569288,-177.73003
18742500000,-22.511755,117.49925
18756250000,-22.959131,54.898788
18770000000,-23.238182,-6.6155977
18783750000,-23.680374,-66.62999
18797500000,-23.767813,-125.73289
18811250000,-23.768278,174.09355
18825000000,-23.879307,113.9687
18838750000,-23.819696,53.810299
18852500000,-24.040997,-8.7431917
18866250000,-24.678322,-67.983284
18880000000,-24.800901,-124.74368
18893750000,-24.791634,176.66434
18907500000,-24.847389,119.28663
18921250000,-24.458498,60.94162
18935000000,-24.122643,2.0597205
18948750000,-23.649256,-57.992897
18962500000,-23.529169,-120.51548
18976250000,-23.579193,179.04425
18990000000,-23.296923,120.03596
19003750000,-22.99437,58.395767
19017500000,-22.937529,-2.5178313
19031250000,-22.64687,-64.489365
19045000000,-22.557999,-126.72777
19058750000,-22.514397,170.31564
19072500000,-22.724228,106.8393
19086250000,-23.125385,44.878735
19100000000,-23.564659,-14.800767
19113750000,-23.601881,-75.233582
19127500000,-23.977591,-136.35999
19141250000,-24.302097,164.72888
19155000000,-24.527178,104.30058
19168750000,-25.063608,45.812817
19182500000,-25.287292,-11.135038
19196250000,-25.430798,-67.642082
19210000000,-25.09351,-123.6388
19223750000,-24.642477,177.1315
19237500000,-24.506891,117.54425
19251250000,-24.145939,59.962551
19265000000,-23.658504,-0.73403156
19278750000,-23.316175,-61.396866
19292500000,-22.861591,-122.54015
19306250000,-22.629082,174.7794
19320000000,-22.545214,112.70051
19333750000,-22.446699,50.013798
19347500000,-22.562361,-12.716813
19361250000,-22.788771,-73.959198
19375000000,-22.850513,-134.71088
19388750000,-22.965969,164.40369
19402500000,-23.01712,103.07777
19416250000,-23.226839,41.479523
19430000000,-23.403349,-19.646719
19443750000,-23.884472,-81.293091
19457500000,-24.426815,-139.78294
19471250000,-24.725191,162.78609
19485000000,-24.639919,105.56252
19498750000,-24.574156,46.005383
19512500000,-24.616278,-12.914754
19526250000,-24.696943,-71.2995
19540000000,-24.529266,-128.91856
19553750000,-24.285494,171.50053
19567500000,-24.206631,112.88622
19581250000,-23.750025,54.600239
19595000000,-23.253891,-6.3560228
19608750000,-22.98942,-68.176849
19622500000,-22.803211,-129.89043
