!CSV A.01.01
!Keysight Technologies,P9377B,MY61100645,A.17.60.13
!Date: Friday, July 04, 2025 19:57:38
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(DB),S21(DEG)
18000000000,-25.031185,136.49467
18013750000,-24.984596,81.005775
18027500000,-24.443087,22.109751
18041250000,-24.218809,-38.553276
18055000000,-23.841778,-99.832886
18068750000,-23.783348,-160.56873
18082500000,-23.453836,137.58313
18096250000,-23.460278,75.262421
18110000000,-23.534311,14.282999
18123750000,-23.543192,-46.382027
18137500000,-23.510109,-107.41649
18151250000,-23.53409,-168.5181
18165000000,-23.527973,129.92015
18178750000,-23.633659,67.81897
18192500000,-23.723612,6.2622175
18206250000,-24.075285,-56.107433
18220000000,-24.65843,-115.63603
18233750000,-24.832876,-173.55313
18247500000,-24.941109,127.51232
18261250000,-25.112335,68.273651
18275000000,-25.153133,10.896405
18288750000,-24.880445,-48.690331
18302500000,-24.95685,-107.62562
18316250000,-24.70717,-167.19052
18330000000,-24.633678,133.26254
18343750000,-24.461218,74.604248
18357500000,-24.141657,14.418828
18371250000,-23.97662,-46.814114
18385000000,-23.851297,-105.50935
18398750000,-23.3158,-166.58305
18412500000,-23.150452,130.73444
18426250000,-22.930365,68.25074
18440000000,-22.988564,5.576242
18453750000,-23.111395,-56.904713
18467500000,-23.347515,-118.01167
18481250000,-23.466293,-179.40152
18495000000,-23.785109,120.42467
18508750000,-23.674574,60.694756
18522500000,-23.757263,-1.7582881
18536250000,-24.07288,-63.198582
18550000000,-24.491312,-123.96626
18563750000,-25.017075,177.4435
18577500000,-25.272083,119.8716
18591250000,-25.445723,63.131889
18605000000,-25.245354,8.1029587
18618750000,-24.693558,-50.696312
18632500000,-24.172575,-111.63632
18646250000,-24.012152,-172.02173
18660000000,-23.812468,126.74868
18673750000,-23.785719,66.865463
18687500000,-23.407188,6.3095064
18701250000,-23.372149,-54.774143
18715000000,-23.078468,-114.7261
18728750000,-22.612947,-176.96646
18742500000,-22.500929,118.22988
18756250000,-22.871588,55.125378
18770000000,-23.184889,-6.7095947
18783750000,-23.624977,-66.918427
18797500000,-23.764313,-125.95393
18811250000,-23.824594,174.06062
18825000000,-23.889406,113.99941
18838750000,-23.76483,53.818954
18852500000,-24.061337,-8.8650856
18866250000,-24.669056,-68.337105
18880000000,-24.849369,-124.9172
18893750000,-24.880327,176.64734
18907500000,-24.904612,119.71786
18921250000,-24.498037,61.458931
18935000000,-24.095718,2.1866136
18948750000,-23.676567,-58.219967
18962500000,-23.493656,-120.68189
18976250000,-23.617401,179.33748
18990000000,-23.317698,120.49108
19003750000,-22.973364,58.601501
19017500000,-22.907804,-2.7213881
19031250000,-22.6222,-64.493408
19045000000,-22.569899,-127.02578
19058750000,-22.498587,170.01254
19072500000,-22.774778,106.73647
19086250000,-23.169306,44.725498
19100000000,-23.555452,-14.997243
19113750000,-23.613716,-75.301086
19127500000,-24.034193,-136.14343
19141250000,-24.29759,164.80962
19155000000,-24.540426,104.51947
19168750000,-25.054882,45.960175
19182500000,-25.262012,-11.230432
19196250000,-25.378307,-67.201691
19210000000,-25.071356,-123.58688
19223750000,-24.631037,177.0229
19237500000,-24.440184,117.17081
19251250000,-24.095581,59.431274
19265000000,-23.668736,-1.1558681
19278750000,-23.368385,-61.360664
19292500000,-22.914268,-122.44618
19306250000,-22.676571,174.96378
19320000000,-22.537178,112.98175
19333750000,-22.424337,49.929672
19347500000,-22.571735,-12.542731
19361250000,-22.798361,-73.674751
19375000000,-22.864008,-134.25708
19388750000,-22.899054,164.60986
19402500000,-22.980635,102.92263
19416250000,-23.144159,41.116375
19430000000,-23.408699,-20.377853
19443750000,-23.93964,-81.850929
19457500000,-24.48332,-140.16055
19471250000,-24.787401,162.97081
19485000000,-24.665377,105.74112
19498750000,-24.608906,46.312595
19512500000,-24.605059,-12.530122
19526250000,-24.727007,-71.290756
19540000000,-24.531641,-128.58992
19553750000,-24.242571,171.96573
19567500000,-24.114378,113.22961
19581250000,-23.663408,54.422485
19595000000,-23.236965,-6.7458005
19608750000,-22.999403,-68.845871
19622500000,-22.913677,-130.37932
19636250000,-22.829922,167.86099
19650000000,-22.856314,107.0397
19663750000,-22.892365,45.04335
19677500000,-23.105711,-14.893182
19691250000,-23.015213,-74.347023
19705000000,-22.771349,-135.72072
19718750000,-22.77507,161.78549
19732500000,-23.021795,99.91803
19746250000,-23.264708,39.15844
19760000000,-23.687603,-21.345015
19773750000,-23.976362,-79.712799
19787500000,-24.024687,-137.53525
19801250000,-23.834549,164.10112
19815000000,-23.595345,103.71216
19828750000,-23.64052,43.308712
19842500000,-23.705395,-17.141333
19856250000,-23.795141,-76.521355
19870000000,-23.741051,-135.42467
19883750000,-23.573324,164.8109
19897500000,-23.401098,104.19013
19911250000,-23.367527,43.718895
19925000000,-23.294462,-17.593803
19938750000,-23.497404,-78.145103
19952500000,-23.572018,-137.71114
19966250000,-23.513935,162.64975
19980000000,-23.438965,102.30177
19993750000,-23.5245,41.728397
20007500000,-23.579916,-18.188898
20021250000,-23.723806,-78.279266
20035000000,-23.730726,-137.01849
20048750000,-23.655281,163.25571
20062500000,-23.597948,103.48224
20076250000,-23.567478,43.537727
20090000000,-23.570595,-16.26408
20103750000,-23.596689,-76.286781
20117500000,-23.614645,-134.70673
20131250000,-23.362064,165.87337
20145000000,-23.19681,105.30259
20158750000,-23.071098,44.957153
20172500000,-22.985676,-15.085038
20186250000,-22.742329,-75.804253
20200000000,-22.657864,-137.48306
20213750000,-22.621546,161.1377
20227500000,-22.820175,99.260521
20241250000,-22.986052,38.750679
20255000000,-23.24823,-20.757639
20268750000,-23.216618,-80.099792
20282500000,-23.397644,-139.31953
20296250000,-23.094881,161.7075
20310000000,-23.028841,99.92495
20323750000,-23.167089,39.284504
20337500000,-23.417515,-20.230356
20351250000,-23.322351,-79.249763
20365000000,-23.451284,-139.61832
20378750000,-23.45319,162.24684
20392500000,-23.432003,102.68095
20406250000,-23.232025,44.622288
20420000000,-22.917204,-15.869243
20433750000,-22.842184,-76.073029
20447500000,-22.701113,-136.61914
20461250000,-22.608534,163.72571
20475000000,-22.353844,102.50885
20488750000,-22.273821,41.88361
20502500000,-22.121304,-19.909628
20516250000,-22.157499,-81.091698
20530000000,-22.248556,-143.2261
20543750000,-22.52224,157.00945
20557500000,-22.487389,96.995438
20571250000,-22.63883,36.594341
20585000000,-22.655596,-23.624075
20598750000,-22.885485,-83.016159
20612500000,-22.732708,-141.85753
20626250000,-22.665945,157.55495
20640000000,-22.484621,97.43438
20653750000,-22.59231,35.594925
20667500000,-22.768089,-24.304148
20681250000,-22.857759,-84.435951
20695000000,-22.971184,-143.43608
20708750000,-23.036663,157.04994
20722500000,-22.917801,98.580345
20736250000,-22.842175,38.324764
20750000000,-22.662704,-20.525169
20763750000,-22.496948,-81.964676
20777500000,-22.503897,-141.90993
20791250000,-22.406588,156.84224
20805000000,-22.457426,96.401543
20818750000,-22.36668,36.499653
20832500000,-22.370796,-24.124134
20846250000,-22.287584,-85.544197
20860000000,-22.469679,-146.3495
20873750000,-22.483816,152.83684
20887500000,-22.78978,92.73085
20901250000,-22.832163,33.746246
20915000000,-22.949118,-25.201204
20928750000,-22.687,-83.987114
20942500000,-22.618359,-144.5619
20956250000,-22.409536,154.48405
20970000000,-22.543083,92.887245
20983750000,-22.548983,33.02195
20997500000,-22.702068,-27.802271
21011250000,-22.819468,-87.424736
21025000000,-22.885149,-147.13049
21038750000,-22.945423,153.64767
21052500000,-22.885469,94.179695
21066250000,-22.762693,34.140759
21080000000,-22.707121,-26.551558
21093750000,-22.841166,-87.274879
21107500000,-22.916151,-147.18201
21121250000,-22.995739,153.63171
21135000000,-22.924677,94.474098
21148750000,-22.855127,34.140285
21162500000,-22.716263,-25.408255
21176250000,-22.677483,-86.445755
21190000000,-22.512224,-147.05295
21203750000,-22.72312,151.61583
21217500000,-22.769602,90.975182
21231250000,-23.096024,30.730019
21245000000,-23.170801,-27.281925
21258750000,-23.149254,-86.631615
21272500000,-22.906126,-145.31287
21286250000,-22.735516,153.35555
21300000000,-22.676184,92.416695
21313750000,-22.828188,31.184164
21327500000,-22.939789,-28.434351
21341250000,-22.97798,-89.108101
21355000000,-23.147255,-148.47629
21368750000,-23.195135,151.82362
21382500000,-23.22986,92.219658
21396250000,-23.272905,32.208454
21410000000,-23.291327,-27.470638
21423750000,-23.360779,-87.673836
21437500000,-23.539906,-146.12926
21451250000,-23.37491,154.58777
21465000000,-23.461161,95.226952
21478750000,-23.19808,36.626812
21492500000,-23.07267,-23.923094
21506250000,-22.791506,-83.742157
21520000000,-22.57057,-145.37474
21533750000,-22.585714,151.99571
21547500000,-22.91754,90.789871
21561250000,-23.146505,30.949091
21575000000,-23.425804,-27.97407
21588750000,-23.383398,-85.75367
21602500000,-23.187086,-145.6131
21616250000,-22.980009,155.53609
21630000000,-22.685898,92.97686
21643750000,-22.786106,30.707319
21657500000,-23.206989,-30.912374
21671250000,-23.489155,-89.75145
21685000000,-23.734022,-148.87453
21698750000,-23.838888,153.85861
21712500000,-23.558472,94.737679
21726250000,-23.526068,34.038471
21740000000,-23.471329,-25.62183
21753750000,-23.594439,-86.008163
21767500000,-23.702978,-144.86971
21781250000,-23.629755,156.81589
21795000000,-23.347059,97.004288
21808750000,-23.371851,37.31406
21822500000,-22.940805,-22.567904
21836250000,-22.928726,-84.849327
21850000000,-22.90382,-146.04594
21863750000,-23.14068,152.48119
21877500000,-23.386885,92.655396
21891250000,-23.584059,34.035988
21905000000,-23.460028,-24.67259
21918750000,-23.496939,-84.672585
21932500000,-23.215137,-144.0349
21946250000,-23.137281,154.34097
21960000000,-23.287815,92.695679
21973750000,-23.57622,32.789425
21987500000,-23.696133,-26.375248
22001250000,-23.762775,-85.940414
22015000000,-23.885069,-145.24152
22028750000,-24.011078,155.89923
22042500000,-23.98959,98.162422
22056250000,-23.811068,38.681892
22070000000,-23.800388,-19.735704
22083750000,-23.3787,-78.946075
22097500000,-23.165058,-140.13152
22111250000,-23.05863,159.32173
22125000000,-22.978985,98.363899
22138750000,-23.032137,37.748032
22152500000,-22.9403,-21.927343
22166250000,-22.689877,-84.021011
22180000000,-22.978121,-146.49297
22193750000,-23.233274,153.58267
22207500000,-23.435564,92.62674
22221250000,-23.760912,33.955631
22235000000,-23.845087,-24.41865
22248750000,-23.748426,-83.373871
22262500000,-23.678381,-143.00331
22276250000,-23.477264,156.36215
22290000000,-23.785385,93.958252
22303750000,-24.231512,36.029034
22317500000,-24.284157,-21.952667
22331250000,-24.384548,-80.281914
22345000000,-24.268967,-137.32585
22358750000,-23.811855,164.33643
22372500000,-23.511908,104.55468
22386250000,-23.120159,43.591721
22400000000,-22.986847,-18.560452
22413750000,-23.009089,-79.278061
22427500000,-22.984291,-141.15436
22441250000,-23.26685,157.62862
22455000000,-23.413897,98.905594
22468750000,-23.285069,39.543087
22482500000,-23.159973,-21.224558
22496250000,-23.084967,-82.211205
22510000000,-23.261389,-144.13641
22523750000,-23.49856,156.23476
22537500000,-23.572203,96.193642
22551250000,-23.799412,35.779865
22565000000,-24.017693,-22.84779
22578750000,-23.960005,-82.374496
22592500000,-24.13693,-142.36412
22606250000,-24.15517,158.9268
22620000000,-24.290192,98.831207
22633750000,-24.554237,40.053432
22647500000,-24.564955,-17.292595
22661250000,-24.531696,-75.3218
22675000000,-24.342215,-132.06291
22688750000,-23.757755,168.31906
22702500000,-23.558846,107.17942
22716250000,-23.321754,46.92836
22730000000,-22.989826,-14.613016
22743750000,-22.955957,-77.50219
22757500000,-23.159668,-139.37318
22771250000,-23.47238,159.44478
22785000000,-23.765697,100.55038
22798750000,-23.821966,42.06942
22812500000,-23.72193,-17.909122
22826250000,-23.80323,-78.00592
22840000000,-23.795006,-138.37833
22853750000,-24.009493,160.72336
22867500000,-24.298363,101.67562
22881250000,-24.55138,43.2784
22895000000,-24.458534,-13.483676
22908750000,-24.214375,-72.460655
22922500000,-24.027475,-132.96104
22936250000,-24.039083,166.72852
22950000000,-24.058973,106.8571
22963750000,-24.122353,47.295483
22977500000,-24.14818,-11.438448
22991250000,-24.042442,-69.576149
23005000000,-23.684685,-129.05472
23018750000,-23.443169,169.39821
23032500000,-23.453997,107.64235
23046250000,-23.606623,47.159954
23060000000,-23.685713,-12.60447
23073750000,-23.693459,-72.780891
23087500000,-23.848492,-132.93561
23101250000,-23.911318,168.24289
23115000000,-23.880228,108.40464
23128750000,-23.89748,48.071159
23142500000,-24.117067,-11.086205
23156250000,-23.974176,-70.047745
23170000000,-23.908827,-130.0769
23183750000,-23.993134,169.63263
23197500000,-24.093105,109.76865
23211250000,-24.326069,51.24398
23225000000,-24.267908,-7.0420527
23238750000,-24.226482,-65.497932
23252500000,-24.05167,-123.72914
23266250000,-23.663662,177.33676
23280000000,-23.309359,115.26529
23293750000,-23.347248,53.785919
23307500000,-23.46031,-6.7714458
23321250000,-23.603775,-65.663597
23335000000,-23.448273,-125.07024
23348750000,-23.468197,174.45753
23362500000,-23.327272,115.46974
23376250000,-23.107103,54.511421
23390000000,-23.069864,-7.5449395
23403750000,-23.314171,-68.610779
23417500000,-23.545483,-129.09494
23431250000,-23.899355,171.96066
23445000000,-23.818262,114.78214
23458750000,-23.70809,54.759483
23472500000,-23.780861,-4.7580056
23486250000,-23.622236,-64.240173
23500000000,-23.694036,-124.88788
23513750000,-24.021269,175.95911
23527500000,-23.938488,118.82272
23541250000,-23.740826,60.075954
23555000000,-23.488415,1.7560564
23568750000,-23.020376,-58.866131
23582500000,-23.031107,-120.44527
23596250000,-22.800867,179.60771
23610000000,-22.707973,117.42849
23623750000,-22.898325,55.670128
23637500000,-23.179119,-2.9263308
23651250000,-22.923456,-63.20649
23665000000,-23.154469,-123.785
23678750000,-23.144672,176.36131
23692500000,-23.374475,117.29359
23706250000,-23.273235,58.681133
23720000000,-23.283747,-1.2870717
23733750000,-23.173445,-60.519943
23747500000,-23.087551,-119.80586
23761250000,-22.796326,179.26686
23775000000,-22.942532,117.60109
23788750000,-23.147753,57.261726
23802500000,-23.344528,-2.1298554
23816250000,-23.421152,-61.247242
23830000000,-23.301859,-120.00323
23843750000,-23.434839,-179.55112
23857500000,-23.458391,122.84476
23871250000,-23.137949,64.205879
23885000000,-23.017115,4.0982084
23898750000,-22.798412,-55.418236
23912500000,-22.455873,-116.69402
23926250000,-22.477682,-177.77319
23940000000,-22.264795,121.68068
23953750000,-22.400536,59.180332
23967500000,-22.624493,-0.092497163
23981250000,-22.558338,-60.742104
23995000000,-22.853189,-121.58973
24008750000,-23.115009,-179.71672
24022500000,-22.91909,121.954
24036250000,-22.750078,61.388756
24050000000,-22.800484,0.9858551
24063750000,-22.807821,-59.449654
24077500000,-22.967428,-118.42246
24091250000,-22.851997,-178.07175
24105000000,-22.784105,121.90961
24118750000,-22.886877,61.72155
24132500000,-22.84038,2.5908649
24146250000,-22.892267,-57.412701
24160000000,-22.92478,-116.48485
24173750000,-22.797234,-176.72134
24187500000,-22.862152,123.86992
24201250000,-22.671404,64.277786
24215000000,-22.692566,3.7398791
24228750000,-22.656004,-55.41328
24242500000,-22.418097,-115.71431
24256250000,-22.449915,-178.14807
24270000000,-22.768742,122.16575
24283750000,-22.742189,63.09214
24297500000,-22.790409,3.1250663
24311250000,-22.756273,-55.340946
24325000000,-22.695148,-116.43243
24338750000,-22.816223,-175.42503
24352500000,-22.630568,125.15219
24366250000,-22.568247,64.216179
24380000000,-22.665636,3.6501265
24393750000,-22.663633,-55.503254
24407500000,-22.594858,-116.9651
24421250000,-22.99328,-176.71115
24435000000,-22.920767,124.8359
24448750000,-22.983301,65.42881
24462500000,-22.783216,6.5190411
24476250000,-22.731936,-54.15451
24490000000,-22.797337,-114.42385
24503750000,-22.844852,-173.57709
24517500000,-22.662689,126.46503
24531250000,-22.847061,66.22419
24545000000,-22.781443,6.510931
24558750000,-22.875219,-53.092533
24572500000,-22.676174,-112.44283
24586250000,-22.656809,-172.90681
24600000000,-22.780281,126.92173
24613750000,-22.810152,67.507622
24627500000,-22.7794,7.4796815
24641250000,-22.878206,-52.620411
24655000000,-22.875666,-111.04392
24668750000,-22.799086,-171.41997
24682500000,-22.854067,129.69754
24696250000,-22.738609,69.292664
24710000000,-22.845909,9.7563181
24723750000,-22.740253,-49.751793
24737500000,-22.690123,-109.56405
24751250000,-22.701588,-170.3578
24765000000,-22.821669,131.00229
24778750000,-22.560858,70.918076
24792500000,-22.675108,10.584586
24806250000,-22.590363,-49.49324
24820000000,-22.734896,-109.7876
24833750000,-22.688938,-168.92807
24847500000,-22.677099,131.41071
24861250000,-22.660006,71.580116
24875000000,-22.708714,12.143226
24888750000,-22.530985,-47.65493
24902500000,-22.598894,-108.39377
24916250000,-22.570801,-167.5981
24930000000,-22.539457,132.17339
24943750000,-22.505169,72.336891
24957500000,-22.548075,11.572215
24971250000,-22.723053,-47.73024
24985000000,-22.672556,-107.35229
24998750000,-22.72648,-166.32849
25012500000,-22.601675,133.6301
25026250000,-22.62508,73.906044
25040000000,-22.553658,13.908389
25053750000,-22.587807,-45.807537
25067500000,-22.48341,-105.45356
25081250000,-22.451674,-165.73172
25095000000,-22.443434,134.0536
25108750000,-22.491877,73.776131
25122500000,-22.505926,13.692602
25136250000,-22.664661,-46.02108
25150000000,-22.672709,-105.17752
25163750000,-22.690928,-164.65919
25177500000,-22.647074,136.09981
25191250000,-22.611332,76.641541
25205000000,-22.390789,17.170687
25218750000,-22.278629,-43.704655
25232500000,-22.274906,-104.08644
25246250000,-22.323341,-165.23759
25260000000,-22.440105,135.24472
25273750000,-22.528179,75.004852
25287500000,-22.60256,15.716747
25301250000,-22.663858,-43.630005
25315000000,-22.652838,-103.2094
25328750000,-22.625175,-161.98273
25342500000,-22.465334,138.52975
25356250000,-22.287567,78.19149
25370000000,-22.299269,17.070616
25383750000,-22.344505,-42.713074
25397500000,-22.405706,-103.03648
25411250000,-22.397097,-162.19876
25425000000,-22.437429,137.33098
25438750000,-22.409681,78.230415
25452500000,-22.387287,17.308794
25466250000,-22.495182,-42.019341
25480000000,-22.515764,-102.1864
25493750000,-22.535545,-160.91573
25507500000,-22.437538,138.96965
25521250000,-22.40501,79.659515
25535000000,-22.286661,19.38287
25548750000,-22.214516,-41.118656
25562500000,-22.288445,-102.55363
25576250000,-22.416374,-162.62973
25590000000,-22.533411,136.85446
25603750000,-22.767263,78.004875
25617500000,-22.774321,19.256729
