!CSV A.01.01
!Keysight Technologies,P9377B,MY61100645,A.17.60.13
!Date: Friday, July 04, 2025 19:58:40
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(DB),S21(DEG)
18000000000,-23.953777,-26.762308
18013750000,-23.997669,-84.125854
18027500000,-24.00141,-143.62727
18041250000,-23.887846,157.9944
18055000000,-23.725491,97.555817
18068750000,-23.574741,38.065758
18082500000,-23.250753,-23.478407
18096250000,-23.277121,-86.034348
18110000000,-23.415426,-147.21065
18123750000,-23.62842,152.67743
18137500000,-23.770172,92.987122
18151250000,-23.812626,34.723324
18165000000,-23.597015,-24.529917
18178750000,-23.379004,-85.026192
18192500000,-23.135,-147.20039
18206250000,-23.360931,150.8783
18220000000,-23.493496,90.400757
18233750000,-23.813148,30.468508
18247500000,-23.781332,-27.987389
18261250000,-23.775843,-87.573708
18275000000,-23.525221,-146.96257
18288750000,-23.410149,151.51678
18302500000,-23.51833,90.573555
18316250000,-23.662405,30.132755
18330000000,-23.769886,-29.451845
18343750000,-23.826038,-88.183533
18357500000,-23.602438,-147.55399
18371250000,-23.675968,152.14597
18385000000,-23.521341,93.529068
18398750000,-23.246531,32.787323
18412500000,-23.160807,-28.909262
18426250000,-23.211813,-90.095268
18440000000,-23.373486,-150.60725
18453750000,-23.483284,150.01529
18467500000,-23.422926,90.795471
18481250000,-23.291489,30.982845
18495000000,-23.219275,-28.92527
18508750000,-23.043196,-88.896118
18522500000,-22.829977,-150.49403
18536250000,-22.926378,148.34587
18550000000,-22.855593,88.046112
18563750000,-22.880173,26.289129
18577500000,-23.093636,-34.419769
18591250000,-23.231808,-94.381935
18605000000,-23.504332,-153.56189
18618750000,-23.255419,148.00955
18632500000,-23.257648,87.161903
18646250000,-23.19487,28.543682
18660000000,-23.041954,-31.924509
18673750000,-22.941603,-92.060005
18687500000,-22.847157,-153.21251
18701250000,-22.906652,146.32568
18715000000,-22.907393,87.076477
18728750000,-22.662771,26.618921
18742500000,-22.609079,-35.24704
18756250000,-22.717352,-96.173683
18770000000,-22.834095,-156.98155
18783750000,-23.018234,142.90627
18797500000,-23.143564,84.356468
18811250000,-23.055386,25.323191
18825000000,-22.84457,-34.054253
18838750000,-22.57373,-95.050041
18852500000,-22.538185,-157.1053
18866250000,-22.760033,142.1425
18880000000,-22.749128,82.144234
18893750000,-22.87845,21.469183
18907500000,-22.968124,-37.235741
18921250000,-22.834007,-97.503311
18935000000,-22.832636,-157.76038
18948750000,-22.865717,142.66817
18962500000,-22.792328,82.115028
18976250000,-22.900085,22.098646
18990000000,-22.745436,-37.108719
19003750000,-22.729681,-98.587288
19017500000,-22.797161,-158.11798
19031250000,-22.69146,142.02921
19045000000,-22.613323,81.893967
19058750000,-22.469826,20.527607
19072500000,-22.538067,-40.853855
19086250000,-22.696959,-101.6302
19100000000,-22.875357,-161.35493
19113750000,-22.948788,139.54167
19127500000,-22.932817,80.843788
19141250000,-22.660957,21.467024
19155000000,-22.445353,-40.3727
19168750000,-22.499472,-101.94177
19182500000,-22.737047,-163.63669
19196250000,-23.060923,136.49559
19210000000,-23.307102,78.341202
19223750000,-23.06068,20.121819
19237500000,-23.056133,-39.845551
19251250000,-22.831198,-99.207642
19265000000,-22.830873,-160.14661
19278750000,-22.784159,140.53578
19292500000,-22.62269,80.088852
19306250000,-22.567373,18.963118
19320000000,-22.649111,-41.703934
19333750000,-22.680784,-102.38105
19347500000,-22.806601,-162.0959
19361250000,-22.743416,138.30875
19375000000,-22.774269,78.187714
19388750000,-22.755499,18.176662
19402500000,-22.813944,-42.171524
19416250000,-22.857512,-101.20761
19430000000,-22.659462,-160.8858
19443750000,-22.5429,138.00421
19457500000,-22.642725,76.976875
19471250000,-22.792316,16.74173
19485000000,-22.838884,-42.691517
19498750000,-22.8234,-102.42307
19512500000,-22.853983,-163.11803
19526250000,-22.93585,137.5374
19540000000,-22.944342,77.780067
19553750000,-22.992929,18.628567
19567500000,-22.864367,-40.569714
19581250000,-22.752737,-100.32277
19595000000,-22.538837,-160.52516
19608750000,-22.533262,138.70036
19622500000,-22.401588,78.516335
19636250000,-22.451803,16.80699
19650000000,-22.481846,-43.374435
19663750000,-22.619232,-104.6465
19677500000,-22.84852,-163.71416
19691250000,-22.87483,137.34671
19705000000,-22.723152,78.199646
19718750000,-22.625847,17.870113
19732500000,-22.477966,-41.930874
19746250000,-22.419218,-103.88231
19760000000,-22.518984,-164.46263
19773750000,-22.762949,134.61156
19787500000,-22.858725,76.238129
19801250000,-22.860901,16.219995
19815000000,-22.784586,-42.939651
19828750000,-22.839417,-104.02148
19842500000,-22.915508,-163.30334
19856250000,-22.942873,137.04369
19870000000,-22.982821,78.057137
19883750000,-22.868696,18.13616
19897500000,-22.789536,-41.668781
19911250000,-22.680634,-102.06798
19925000000,-22.68152,-162.71811
19938750000,-22.693476,136.53989
19952500000,-22.813057,76.267685
19966250000,-22.877302,16.88166
19980000000,-22.976524,-42.896675
19993750000,-23.035746,-101.39227
20007500000,-22.846725,-160.51123
20021250000,-22.774006,139.21121
20035000000,-22.705864,78.938873
20048750000,-22.686855,18.747747
20062500000,-22.663599,-41.726326
20076250000,-22.783829,-100.97968
20090000000,-22.61636,-161.85777
20103750000,-22.829681,137.95555
20117500000,-22.815876,78.043526
20131250000,-23.015455,19.263033
20145000000,-22.83654,-40.370312
20158750000,-22.948702,-99.85183
20172500000,-22.740154,-158.83485
20186250000,-22.677971,141.40935
20200000000,-22.427147,81.626823
20213750000,-22.349258,20.586575
20227500000,-22.239777,-40.325336
20241250000,-22.434767,-102.03058
20255000000,-22.521399,-161.93437
20268750000,-22.800842,137.87155
20282500000,-22.846952,79.900475
20296250000,-22.777407,20.912159
20310000000,-22.59034,-38.129894
20323750000,-22.528982,-98.661934
20337500000,-22.391016,-158.3492
20351250000,-22.310778,141.11717
20365000000,-22.276669,80.998802
20378750000,-22.176193,20.284163
20392500000,-22.262211,-40.432858
20406250000,-22.280445,-100.85055
20420000000,-22.509144,-160.37834
20433750000,-22.391104,139.45065
20447500000,-22.520294,80.449936
20461250000,-22.418171,20.31395
20475000000,-22.609398,-38.689278
20488750000,-22.325186,-97.255623
20502500000,-22.281889,-157.22701
20516250000,-21.839996,142.37901
20530000000,-21.918453,79.773705
20543750000,-21.935925,19.473421
20557500000,-22.219255,-41.532787
20571250000,-22.222891,-100.78259
20585000000,-22.38199,-160.77991
20598750000,-22.359106,140.12407
20612500000,-22.469326,80.296791
20626250000,-22.27837,22.234652
20640000000,-22.177732,-38.796329
20653750000,-22.0364,-98.164864
20667500000,-21.996246,-159.67554
20681250000,-22.047258,140.33444
20695000000,-22.137333,79.668373
20708750000,-22.05983,20.518427
20722500000,-22.033113,-40.873928
20736250000,-22.104797,-100.82206
20750000000,-22.211224,-161.7283
20763750000,-22.445944,138.96587
20777500000,-22.488157,79.76841
20791250000,-22.530359,21.192612
20805000000,-22.423838,-38.145844
20818750000,-22.27212,-97.403328
20832500000,-22.014717,-157.69987
20846250000,-21.959047,141.47264
20860000000,-21.879015,80.239899
20873750000,-22.061764,18.83153
20887500000,-22.194904,-41.182934
20901250000,-22.431086,-101.4612
20915000000,-22.570093,-159.66362
20928750000,-22.599716,141.155
20942500000,-22.438196,82.722839
20956250000,-22.268208,22.809048
20970000000,-22.054365,-37.770744
20983750000,-22.170074,-99.206665
20997500000,-22.161234,-159.02051
21011250000,-22.359505,140.72226
21025000000,-22.273172,81.517311
21038750000,-22.267132,21.224092
21052500000,-22.248901,-38.688389
21066250000,-22.326191,-99.362686
21080000000,-22.299885,-158.96269
21093750000,-22.330599,140.02423
21107500000,-22.591816,79.834061
21121250000,-22.743883,21.269468
21135000000,-22.822203,-37.170815
21148750000,-22.607914,-95.262611
21162500000,-22.448586,-155.5741
21176250000,-22.280735,144.33444
21190000000,-22.238592,83.308922
21203750000,-22.253391,22.900169
21217500000,-22.367472,-37.891521
21231250000,-22.425207,-97.725746
21245000000,-22.639439,-158.0746
21258750000,-22.727707,143.80862
21272500000,-22.657606,84.34568
21286250000,-22.51902,25.778057
21300000000,-22.315279,-35.482517
21313750000,-22.441427,-96.117935
21327500000,-22.506416,-156.3746
21341250000,-22.630135,144.53065
21355000000,-22.58713,85.382858
21368750000,-22.561644,25.86248
21382500000,-22.4307,-34.196918
21396250000,-22.361139,-94.823235
21410000000,-22.404955,-155.71875
21423750000,-22.495405,143.78275
21437500000,-22.752922,83.606979
21451250000,-22.986086,25.109261
21465000000,-22.929165,-33.189301
21478750000,-22.965784,-91.998131
21492500000,-22.686737,-150.31493
21506250000,-22.538383,148.86818
21520000000,-22.406296,89.24408
21533750000,-22.292288,27.938087
21547500000,-22.436213,-33.029331
21561250000,-22.536486,-93.294739
21575000000,-22.706129,-152.50832
21588750000,-22.726288,148.25354
21602500000,-22.68614,89.525391
21616250000,-22.520569,29.271343
21630000000,-22.522923,-30.850292
21643750000,-22.511395,-91.421478
21657500000,-22.580835,-150.96045
21671250000,-22.570023,148.8766
21685000000,-22.646757,89.416039
21698750000,-22.622976,29.73262
21712500000,-22.582626,-29.644238
21726250000,-22.352022,-90.22348
21740000000,-22.495081,-151.65842
21753750000,-22.700283,147.99066
21767500000,-22.972641,88.206146
21781250000,-23.212641,30.505842
21795000000,-23.115587,-27.145523
21808750000,-22.972843,-85.932846
21822500000,-22.746326,-145.01582
21836250000,-22.392336,154.5405
21850000000,-22.364679,92.696487
21863750000,-22.416508,32.533024
21877500000,-22.551098,-28.637323
21891250000,-22.774696,-87.739105
21905000000,-22.741329,-146.63808
21918750000,-22.732874,153.93094
21932500000,-22.615255,94.588768
21946250000,-22.53446,33.984425
21960000000,-22.527779,-26.478456
21973750000,-22.733488,-86.465698
21987500000,-22.798302,-145.02962
22001250000,-22.748358,155.4767
22015000000,-22.551212,96.041466
22028750000,-22.469551,35.60593
22042500000,-22.393837,-25.121487
22056250000,-22.529644,-86.341766
