!CSV A.01.01
!Keysight Technologies,P9377B,MY61100645,A.17.60.13
!Date: Friday, July 04, 2025 19:58:51
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(DB),S21(DEG)
18000000000,-23.988848,-26.553686
18013750000,-23.996584,-84.087059
18027500000,-23.962448,-143.20238
18041250000,-23.857334,157.8979
18055000000,-23.709389,97.16674
18068750000,-23.583532,37.89687
18082500000,-23.233809,-23.864109
18096250000,-23.326857,-85.823997
18110000000,-23.4251,-147.03697
18123750000,-23.671455,152.83806
18137500000,-23.824688,93.400375
18151250000,-23.813707,35.137547
18165000000,-23.584642,-24.280268
18178750000,-23.329393,-84.87999
18192500000,-23.116798,-147.16588
18206250000,-23.340788,150.33295
18220000000,-23.511919,90.167557
18233750000,-23.82357,30.48896
18247500000,-23.726692,-28.129253
18261250000,-23.805258,-87.578644
18275000000,-23.508347,-147.15009
18288750000,-23.44009,151.52208
18302500000,-23.555939,90.362808
18316250000,-23.676466,30.320829
18330000000,-23.782921,-29.205383
18343750000,-23.847786,-87.767471
18357500000,-23.622643,-147.45369
18371250000,-23.620773,152.34441
18385000000,-23.4645,93.754814
18398750000,-23.197136,32.676273
18412500000,-23.155886,-29.241711
18426250000,-23.191017,-90.192978
18440000000,-23.390572,-150.82813
18453750000,-23.429884,149.87537
18467500000,-23.437559,90.555298
18481250000,-23.299486,30.778687
18495000000,-23.225521,-28.846239
18508750000,-23.026064,-88.99749
18522500000,-22.885551,-150.57402
18536250000,-22.944889,148.72021
18550000000,-22.880102,88.158279
18563750000,-22.852793,26.516031
18577500000,-23.057922,-34.211502
18591250000,-23.176819,-94.567566
18605000000,-23.429613,-153.57008
18618750000,-23.262672,147.71091
18632500000,-23.256592,87.033913
18646250000,-23.263952,28.144751
18660000000,-23.093317,-31.849682
18673750000,-22.945219,-92.198578
18687500000,-22.854811,-153.18661
18701250000,-22.907866,146.3958
18715000000,-22.907825,86.818565
18728750000,-22.702127,26.588804
18742500000,-22.613232,-35.302773
18756250000,-22.699326,-95.916214
18770000000,-22.835377,-156.80377
18783750000,-23.03339,143.05006
18797500000,-23.099588,84.384811
18811250000,-23.056824,25.17078
18825000000,-22.834921,-34.072826
18838750000,-22.564779,-95.253784
18852500000,-22.551464,-157.07808
18866250000,-22.749498,141.98331
18880000000,-22.734383,82.128532
18893750000,-22.873423,21.375383
18907500000,-23.02899,-37.446461
18921250000,-22.881922,-97.532776
18935000000,-22.892361,-157.70255
18948750000,-22.870913,142.84366
18962500000,-22.774033,82.158371
18976250000,-22.907724,21.903919
18990000000,-22.754557,-37.293205
19003750000,-22.715153,-98.527885
19017500000,-22.804914,-157.80479
19031250000,-22.658691,142.13283
19045000000,-22.585909,81.789825
19058750000,-22.42337,20.557953
