!CSV A.01.01
!Keysight Technologies,P9377B,MY61100645,A.17.60.13
!Date: Friday, July 04, 2025 19:56:22
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(DB),S21(DEG)
18000000000,-25.793037,-168.16931
18013750000,-26.958672,135.69225
18027500000,-27.048044,81.163467
18041250000,-26.911341,23.624107
18055000000,-26.668463,-33.320629
18068750000,-26.251585,-92.371277
18082500000,-25.887278,-152.61847
18096250000,-25.486889,146.09361
18110000000,-25.663332,84.280899
18123750000,-25.773315,25.950682
18137500000,-25.627722,-33.152863
18151250000,-25.295128,-93.467178
18165000000,-24.945808,-153.61618
18178750000,-24.576221,143.49965
18192500000,-24.380381,81.031418
18206250000,-24.297609,16.268486
18220000000,-24.942299,-46.792797
18233750000,-25.487747,-105.81187
18247500000,-25.487219,-165.22449
18261250000,-25.665924,134.20245
18275000000,-25.872105,75.017128
18288750000,-25.76243,14.783257
18302500000,-26.095518,-47.075863
18316250000,-26.430256,-105.46042
18330000000,-26.616337,-164.11432
18343750000,-26.913004,138.62151
18357500000,-26.598303,82.600044
18371250000,-26.32424,23.060648
18385000000,-26.464058,-35.43071
18398750000,-25.796293,-92.629333
18412500000,-25.385683,-154.19916
18426250000,-25.12821,146.31055
18440000000,-24.641106,84.700699
18453750000,-24.524193,22.456089
18467500000,-24.270779,-37.989609
18481250000,-24.023184,-100.84925
18495000000,-24.204193,-163.44917
18508750000,-24.142267,135.77254
18522500000,-24.02231,73.77063
18536250000,-24.213326,11.244642
18550000000,-24.384274,-49.758312
18563750000,-24.474192,-111.12822
18577500000,-24.7187,-173.14061
18591250000,-25.108206,124.74621
18605000000,-25.883402,65.35582
18618750000,-26.173756,9.4887133
18632500000,-26.046337,-47.976372
18646250000,-26.142227,-106.61847
18660000000,-25.848793,-164.4879
18673750000,-25.76671,136.23865
18687500000,-25.615797,78.01931
18701250000,-25.327923,17.324892
18715000000,-25.31192,-40.585163
18728750000,-24.741949,-98.853539
18742500000,-24.066305,-160.70718
18756250000,-23.828657,135.65428
18770000000,-23.628414,72.949867
18783750000,-23.7922,9.688344
18797500000,-24.046009,-50.936333
18811250000,-23.996107,-111.75339
18825000000,-24.140162,-172.77034
18838750000,-24.096672,127.3588
18852500000,-23.825626,64.209801
18866250000,-24.32155,0.45769119
18880000000,-24.872362,-58.950768
18893750000,-25.050213,-118.8502
18907500000,-25.515589,-178.80392
18921250000,-25.733145,124.14384
18935000000,-25.860521,65.933487
18948750000,-25.775314,8.7921515
18962500000,-25.420078,-51.047371
18976250000,-25.635176,-111.52723
18990000000,-25.778023,-168.15135
19003750000,-25.378763,133.88458
19017500000,-25.063095,74.654869
19031250000,-24.610149,16.524385
19045000000,-24.030458,-45.015404
19058750000,-23.619661,-106.73154
19072500000,-23.116241,-169.99942
19086250000,-23.233505,124.65398
19100000000,-23.603905,63.165993
19113750000,-23.62587,2.4582779
19127500000,-23.688759,-59.574646
19141250000,-23.895124,-119.68807
19155000000,-23.670694,178.31284
19168750000,-23.917238,114.25335
19182500000,-24.563671,51.868763
19196250000,-25.318876,-8.1631765
19210000000,-26.087643,-65.37355
19223750000,-26.128166,-120.48596
19237500000,-26.026367,-179.26335
19251250000,-26.24658,122.42135
19265000000,-26.271374,65.447273
19278750000,-26.286095,7.9115262
19292500000,-26.093355,-47.029697
19306250000,-25.253027,-105.78078
19320000000,-24.816484,-165.2384
19333750000,-24.127714,134.76428
19347500000,-23.628277,70.702591
19361250000,-23.691652,7.4990134
19375000000,-23.699039,-52.766281
19388750000,-23.542551,-113.55683
19402500000,-23.34087,-175.37444
19416250000,-23.214022,122.42202
19430000000,-23.213285,60.386337
19443750000,-23.174166,-2.6149099
19457500000,-23.514713,-66.141068
19471250000,-24.142361,-127.11816
19485000000,-24.543476,174.48174
19498750000,-24.600611,115.08553
19512500000,-24.72879,54.993309
19526250000,-24.979527,-5.7162585
19540000000,-25.344152,-64.524178
19553750000,-25.522596,-122.72314
19567500000,-25.756323,178.39101
19581250000,-26.02767,122.40913
19595000000,-25.66885,66.72963
19608750000,-25.187012,8.095314
19622500000,-24.817665,-51.906475
19636250000,-24.473848,-112.34925
19650000000,-24.325329,-173.28203
19663750000,-24.021507,126.09197
19677500000,-23.943031,64.13739
19691250000,-24.061649,5.1435242
19705000000,-23.649357,-53.932171
19718750000,-23.150948,-116.84343
19732500000,-23.232779,179.60109
19746250000,-23.331257,117.73477
19760000000,-23.473362,54.817513
19773750000,-23.932562,-6.571516
19787500000,-24.491159,-65.889
19801250000,-24.697069,-122.75466
19815000000,-24.471624,179.13985
19828750000,-24.296444,117.98313
19842500000,-24.419971,56.820133
19856250000,-24.66342,-2.6065123
19870000000,-24.864086,-61.361866
19883750000,-24.830402,-118.31969
19897500000,-24.431404,-176.92897
19911250000,-24.120369,122.17757
19925000000,-23.905773,60.922913
19938750000,-23.904377,-1.1296715
19952500000,-24.116709,-61.510601
19966250000,-24.244936,-120.58186
19980000000,-24.04648,-179.96237
19993750000,-23.923246,118.69811
20007500000,-23.876884,57.677074
20021250000,-24.047142,-4.2395844
20035000000,-24.383633,-64.470406
20048750000,-24.678772,-122.65741
20062500000,-24.627245,179.03453
20076250000,-24.575176,119.71206
20090000000,-24.366205,60.391193
20103750000,-24.26478,-1.2136047
20117500000,-24.625494,-62.252216
20131250000,-24.915262,-119.75412
20145000000,-24.867292,-176.86166
20158750000,-24.521212,124.68853
20172500000,-24.384327,65.364075
20186250000,-24.085972,6.8407202
20200000000,-23.625931,-52.927399
20213750000,-23.262264,-114.1228
20227500000,-23.048477,-176.76843
20241250000,-22.994522,121.42267
20255000000,-23.114128,59.843365
20268750000,-23.034672,-0.31487811
20282500000,-23.063869,-62.20435
20296250000,-23.118666,-121.6591
20310000000,-22.796715,176.82828
