!CSV A.01.01
!Keysight Technologies,P9377B,MY61100645,A.17.60.13
!Date: Friday, July 04, 2025 19:56:27
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(DB),S21(DEG)
18000000000,-25.694412,-168.44475
18013750000,-26.922564,134.96631
18027500000,-27.077156,80.782127
18041250000,-27.053053,22.784344
18055000000,-26.819889,-33.243347
18068750000,-26.381229,-91.620918
18082500000,-25.906132,-151.34271
18096250000,-25.48427,146.93307
18110000000,-25.608534,84.914963
18123750000,-25.687115,26.435919
18137500000,-25.516075,-33.068642
18151250000,-25.211132,-93.383293
18165000000,-24.841274,-153.8457
18178750000,-24.495888,143.21812
18192500000,-24.341818,80.489403
18206250000,-24.331728,15.835365
18220000000,-24.939238,-47.494743
18233750000,-25.507172,-106.1493
18247500000,-25.600149,-165.28725
18261250000,-25.75111,134.37935
18275000000,-25.958895,75.681786
18288750000,-25.773746,15.764281
18302500000,-26.07399,-46.1502
18316250000,-26.358122,-104.73737
18330000000,-26.52915,-163.60393
18343750000,-26.841269,138.96631
18357500000,-26.50388,82.454048
18371250000,-26.216343,22.239607
18385000000,-26.44182,-36.084454
18398750000,-25.88327,-92.991234
18412500000,-25.450069,-154.87502
18426250000,-25.226023,146.05186
18440000000,-24.689697,84.374817
18453750000,-24.5734,22.519737
18467500000,-24.346725,-37.911755
18481250000,-24.068024,-100.50728
18495000000,-24.211281,-163.31958
18508750000,-24.166218,136.10551
18522500000,-24.041613,74.367935
18536250000,-24.184155,11.56381
18550000000,-24.305866,-49.407719
18563750000,-24.370853,-111.11261
18577500000,-24.580791,-173.24687
18591250000,-25.047245,124.51607
18605000000,-25.838463,64.510803
18618750000,-26.163422,8.977952
18632500000,-26.050375,-48.758636
18646250000,-26.213633,-107.18018
18660000000,-25.97748,-165.04581
18673750000,-25.892632,136.28941
18687500000,-25.75967,78.733414
18701250000,-25.37174,18.155886
18715000000,-25.333677,-39.652855
18728750000,-24.651016,-98.089104
18742500000,-23.957203,-160.63474
18756250000,-23.745415,135.50197
18770000000,-23.631796,72.958626
18783750000,-23.764351,9.8675737
18797500000,-23.969372,-50.936665
18811250000,-23.940407,-111.97544
18825000000,-24.110893,-173.56371
18838750000,-24.104115,126.92497
18852500000,-23.858604,63.755993
18866250000,-24.384899,-0.050630007
18880000000,-24.954739,-59.112072
18893750000,-25.16678,-118.54519
18907500000,-25.546804,-177.93552
18921250000,-25.692192,124.71391
18935000000,-25.756943,66.178619
18948750000,-25.735283,8.7534304
18962500000,-25.471582,-50.775902
18976250000,-25.61639,-111.6437
18990000000,-25.743614,-168.0742
19003750000,-25.261797,133.85603
19017500000,-25.029385,74.22242
19031250000,-24.633581,15.946555
19045000000,-24.093491,-45.442802
19058750000,-23.697662,-106.96055
19072500000,-23.171747,-170.03995
19086250000,-23.258612,124.68095
19100000000,-23.605078,63.233707
19113750000,-23.667847,2.8213224
19127500000,-23.744593,-59.098793
19141250000,-23.878727,-119.49128
19155000000,-23.650736,178.60873
19168750000,-23.903175,114.43067
19182500000,-24.473854,52.157341
19196250000,-25.201681,-8.321372
19210000000,-25.953594,-66.2145
19223750000,-26.105339,-121.21626
19237500000,-26.073858,-179.56105
19251250000,-26.272341,122.66685
19265000000,-26.313337,65.28727
19278750000,-26.248814,8.0804043
19292500000,-26.095175,-47.323135
19306250000,-25.283119,-105.87739
19320000000,-24.819607,-165.16463
19333750000,-24.137224,134.81738
19347500000,-23.623381,71.020424
19361250000,-23.592131,7.697618
19375000000,-23.60623,-52.814453
19388750000,-23.515926,-113.93702
19402500000,-23.323742,-175.42148
19416250000,-23.185852,122.21751
19430000000,-23.18906,60.177505
19443750000,-23.220383,-2.8807003
19457500000,-23.513718,-66.250351
19471250000,-24.150017,-127.1245
19485000000,-24.597542,174.0498
19498750000,-24.69066,115.06523
19512500000,-24.7929,55.457256
19526250000,-24.942028,-4.9541492
19540000000,-25.35228,-64.013901
19553750000,-25.448717,-122.43121
19567500000,-25.713451,178.2831
19581250000,-26.016592,122.93476
19595000000,-25.638844,67.023544
19608750000,-25.031197,7.7348709
19622500000,-24.73262,-52.143017
19636250000,-24.454851,-112.88363
19650000000,-24.313721,-173.88524
19663750000,-24.095186,125.68801
19677500000,-24.056805,64.261147
19691250000,-24.141891,5.3842444
19705000000,-23.654781,-53.583691
19718750000,-23.169476,-116.69505
19732500000,-23.244816,179.67996
19746250000,-23.337276,118.00816
19760000000,-23.509659,54.801685
19773750000,-23.91778,-6.2785196
19787500000,-24.441816,-65.380211
19801250000,-24.603268,-122.56178
19815000000,-24.337757,178.89
19828750000,-24.233675,117.64856
19842500000,-24.404417,56.622864
19856250000,-24.650005,-3.0422912
19870000000,-24.854948,-61.885052
19883750000,-24.888971,-118.79442
19897500000,-24.528601,-177.14349
19911250000,-24.209934,122.05643
19925000000,-23.967598,61.110065
19938750000,-23.945013,-0.86244035
19952500000,-24.201073,-61.4245
19966250000,-24.233677,-120.17162
19980000000,-24.061348,-179.27385
19993750000,-23.868906,119.36234
20007500000,-23.796106,57.88509
20021250000,-23.964163,-4.2167201
20035000000,-24.310152,-64.734047
20048750000,-24.583174,-123.19192
20062500000,-24.650814,178.44659
20076250000,-24.595219,119.42008
20090000000,-24.442211,60.162678
20103750000,-24.286097,-1.4928838
20117500000,-24.674337,-62.701294
20131250000,-25.002617,-120.09077
20145000000,-24.986691,-176.40645
20158750000,-24.584335,125.48331
20172500000,-24.293348,66.047256
20186250000,-24.046867,7.385469
20200000000,-23.509077,-52.913052
20213750000,-23.160788,-114.66912
20227500000,-23.008921,-177.15317
20241250000,-23.030033,120.87518
20255000000,-23.150816,59.600655
20268750000,-23.035604,-0.41662502
20282500000,-23.054544,-62.305321
20296250000,-23.141891,-122.03789
20310000000,-22.861374,176.72
20323750000,-23.011017,112.76449
20337500000,-23.558462,50.964611
20351250000,-24.012661,-7.7218313
20365000000,-24.245167,-66.393425
20378750000,-24.479174,-124.63333
20392500000,-24.339605,176.39798
20406250000,-24.645866,117.32005
20420000000,-24.489872,59.663452
20433750000,-24.552599,-0.38392028
20447500000,-24.75878,-58.006824
20461250000,-24.577385,-113.51083
20475000000,-23.916151,-172.12715
20488750000,-23.616587,127.64979
20502500000,-23.189383,67.299088
20516250000,-22.914227,6.2556229
20530000000,-22.495827,-54.289001
20543750000,-22.375492,-117.45968
20557500000,-22.321642,-178.41528
20571250000,-22.278734,119.95216
20585000000,-22.134575,58.563641
20598750000,-22.232632,-3.8379343
20612500000,-22.308809,-65.139214
20626250000,-22.504114,-127.32086
