!CSV A.01.01
!Keysight Technologies,P9377B,MY61100645,A.17.60.13
!Date: Friday, July 04, 2025 20:04:13
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(DB),S21(DEG)
18000000000,-23.427357,-56.024071
18013750000,-23.40444,-116.02945
18027500000,-23.518744,-175.78325
18041250000,-23.348955,124.5232
18055000000,-23.382828,63.702301
18068750000,-23.227379,4.2980943
18082500000,-23.151974,-57.704006
18096250000,-23.261806,-118.55594
18110000000,-23.365932,-179.69511
18123750000,-23.585878,120.79147
18137500000,-23.629025,61.362823
18151250000,-23.552259,2.6210349
18165000000,-23.373587,-57.573071
18178750000,-23.182562,-117.58348
18192500000,-23.070261,-179.75195
18206250000,-23.202688,119.46301
18220000000,-23.26829,57.690983
18233750000,-23.619804,-1.4974619
18247500000,-23.483625,-60.886566
18261250000,-23.531147,-120.62335
18275000000,-23.416456,179.23262
18288750000,-23.417936,119.14273
18302500000,-23.284672,58.493427
18316250000,-23.385025,-1.8837435
18330000000,-23.384562,-62.281868
18343750000,-23.481195,-122.21844
18357500000,-23.416515,177.82242
18371250000,-23.437071,118.15713
18385000000,-23.286983,57.984005
18398750000,-23.263397,-2.2095783
18412500000,-23.172951,-63.396416
18426250000,-23.345921,-124.01962
18440000000,-23.407951,176.3658
18453750000,-23.4142,116.91725
18467500000,-23.43405,57.869392
18481250000,-23.252489,-1.6785083
18495000000,-23.07826,-61.956448
18508750000,-22.870325,-122.0108
18522500000,-22.681095,175.97536
18536250000,-22.712942,114.31541
18550000000,-22.826714,52.990326
18563750000,-23.081266,-7.6678514
18577500000,-23.260885,-66.330505
18591250000,-23.081602,-125.88756
18605000000,-23.070377,174.56648
18618750000,-22.774141,113.96512
18632500000,-22.834475,53.083614
18646250000,-22.737709,-7.8966141
18660000000,-22.873837,-68.685066
18673750000,-22.851711,-129.15569
18687500000,-23.010675,170.20961
18701250000,-23.021242,110.55196
18715000000,-23.072237,50.325428
18728750000,-23.127386,-9.1860294
18742500000,-23.108288,-69.428902
18756250000,-23.1271,-128.93494
18770000000,-23.052532,171.3084
18783750000,-23.014944,111.77879
18797500000,-22.935383,52.464561
18811250000,-22.711563,-7.5377603
18825000000,-22.505323,-68.796509
18838750000,-22.484493,-130.02145
18852500000,-22.385553,168.38774
18866250000,-22.499336,107.15601
18880000000,-22.612976,46.36755
18893750000,-22.782207,-13.370152
18907500000,-22.752943,-73.2164
18921250000,-22.858274,-133.40158
18935000000,-22.792883,166.42834
18948750000,-22.835295,106.79678
18962500000,-22.721275,46.375381
18976250000,-22.699749,-14.418443
18990000000,-22.737797,-75.776131
19003750000,-22.990875,-136.26488
19017500000,-23.100239,164.23068
