!CSV A.01.01
!Keysight Technologies,P9377B,MY61100645,A.17.60.13
!Date: Wednesday, July 02, 2025 19:34:34
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(DB),S21(DEG)
18000000000,-34.808323,-14.148944
18013750000,-34.968758,-73.533379
18027500000,-35.046913,-132.83063
18041250000,-35.050938,167.76492
18055000000,-34.898338,108.12184
18068750000,-34.87022,47.029549
18082500000,-34.664959,-12.995362
18096250000,-34.613865,-74.704819
18110000000,-34.738747,-135.13228
18123750000,-34.879902,164.45262
18137500000,-34.871964,105.28478
18151250000,-34.65823,44.780891
18165000000,-34.464615,-15.574595
18178750000,-34.42709,-76.792374
18192500000,-34.311897,-137.61783
18206250000,-34.357647,160.72688
18220000000,-34.347614,100.03585
18233750000,-34.347988,39.831032
18247500000,-34.434315,-21.423809
18261250000,-34.543453,-80.740364
18275000000,-34.460163,-140.96962
18288750000,-34.339973,157.96829
18302500000,-34.315151,97.147911
18316250000,-34.370377,35.466801
18330000000,-34.457989,-26.328684
18343750000,-34.699776,-85.873985
18357500000,-34.766735,-145.93494
18371250000,-34.796715,154.85048
18385000000,-34.753403,95.466003
18398750000,-34.579945,34.828789
18412500000,-34.495819,-26.076895
18426250000,-34.540901,-87.530128
18440000000,-34.556023,-147.8558
18453750000,-34.73872,151.97758
18467500000,-34.787296,92.945908
18481250000,-34.639915,32.853748
18495000000,-34.508041,-26.755058
18508750000,-34.420509,-88.103798
18522500000,-34.407749,-148.96837
18536250000,-34.341347,150.01451
18550000000,-34.314007,89.396278
18563750000,-34.489994,28.821735
18577500000,-34.444584,-31.58827
18591250000,-34.437878,-91.001328
18605000000,-34.314232,-151.10341
18618750000,-34.174393,148.24426
18632500000,-34.098354,86.929848
18646250000,-34.10545,25.816965
18660000000,-34.373478,-36.229443
18673750000,-34.454163,-95.789085
18687500000,-34.424576,-155.5024
18701250000,-34.405338,144.6844
18715000000,-34.262287,84.493622
18728750000,-34.300831,24.457119
18742500000,-34.179279,-37.075123
18756250000,-34.364716,-98.373238
18770000000,-34.456249,-158.55208
18783750000,-34.520401,141.7466
18797500000,-34.527897,82.811378
18811250000,-34.383244,22.170452
18825000000,-34.336464,-38.361324
18838750000,-34.190174,-99.625854
18852500000,-34.18721,-160.89568
18866250000,-34.247585,138.39793
18880000000,-34.329357,78.367432
18893750000,-34.384056,18.588881
18907500000,-34.490353,-41.984879
18921250000,-34.455853,-101.6319
18935000000,-34.364754,-162.00197
18948750000,-34.25354,138.3674
