!CSV A.01.01
!Keysight Technologies,P9377B,MY61100645,A.17.60.13
!Date: Wednesday, July 02, 2025 19:34:40
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(DB),S21(DEG)
18000000000,-34.857632,-13.04287
18013750000,-34.924019,-73.103691
18027500000,-35.080391,-133.46262
18041250000,-35.090832,167.84579
18055000000,-34.843346,107.41716
18068750000,-34.761173,47.930721
18082500000,-34.646198,-13.158157
18096250000,-34.631901,-75.219696
18110000000,-34.770741,-135.02742
18123750000,-34.76614,165.17484
18137500000,-34.808945,105.43676
18151250000,-34.60471,45.355431
18165000000,-34.467525,-16.082685
18178750000,-34.35643,-76.621346
18192500000,-34.378174,-137.4902
18206250000,-34.380417,161.4236
18220000000,-34.384033,100.16831
18233750000,-34.370846,39.151314
18247500000,-34.445171,-21.263445
18261250000,-34.508057,-81.04657
18275000000,-34.453243,-141.52232
18288750000,-34.42136,157.65421
18302500000,-34.252941,97.109993
18316250000,-34.437305,34.410858
18330000000,-34.527912,-26.148968
18343750000,-34.770229,-85.945282
18357500000,-34.91843,-146.26755
18371250000,-34.82542,154.90012
18385000000,-34.840061,95.313095
18398750000,-34.607967,34.806606
18412500000,-34.570343,-26.345774
18426250000,-34.621639,-86.29097
18440000000,-34.715015,-147.47636
18453750000,-34.775574,152.41475
18467500000,-34.754257,93.375099
18481250000,-34.726414,33.173717
18495000000,-34.455055,-26.646971
18508750000,-34.485027,-87.834846
18522500000,-34.367493,-148.44586
18536250000,-34.274723,150.20401
18550000000,-34.376904,89.982559
18563750000,-34.435104,29.239323
18577500000,-34.463367,-31.132359
18591250000,-34.427975,-91.559349
18605000000,-34.41642,-150.88519
18618750000,-34.118259,148.54935
18632500000,-34.121346,87.112381
18646250000,-34.192501,25.173603
18660000000,-34.319843,-34.868248
18673750000,-34.479382,-95.416473
18687500000,-34.46085,-154.73856
18701250000,-34.460133,144.54655
18715000000,-34.297306,84.960999
18728750000,-34.141895,24.04809
18742500000,-34.186867,-37.211792
18756250000,-34.316269,-98.448479
18770000000,-34.483707,-158.36066
18783750000,-34.537495,141.75635
18797500000,-34.482059,81.699448
18811250000,-34.434723,21.802132
18825000000,-34.308857,-38.625084
18838750000,-34.189121,-99.475296
18852500000,-34.296806,-160.11732
18866250000,-34.303993,139.07385
18880000000,-34.395748,79.06044
18893750000,-34.378067,18.340982
18907500000,-34.478565,-41.26207
18921250000,-34.339039,-101.00084
18935000000,-34.290562,-161.35588
18948750000,-34.326485,137.80244
18962500000,-34.13776,77.038834
18976250000,-34.307091,15.596335
18990000000,-34.407513,-43.959415
19003750000,-34.466198,-104.22946
19017500000,-34.361206,-163.431
19031250000,-34.314163,136.218
19045000000,-34.239815,76.369789
19058750000,-34.06797,14.870666
