!CSV A.01.01
!Keysight Technologies,P9377B,MY61100645,A.17.60.13
!Date: Friday, July 04, 2025 20:29:27
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(DB),S21(DEG)
18000000000,-47.606064,-93.127991
18013750000,-46.614601,-155.75723
18027500000,-46.888721,138.2713
18041250000,-46.762939,80.110085
18055000000,-46.429989,15.831844
18068750000,-46.506073,-44.43787
18082500000,-46.31802,-107.95124
18096250000,-46.348843,-172.77502
18110000000,-46.279888,125.95317
18123750000,-46.681274,60.429752
18137500000,-47.258976,0.5874992
18151250000,-47.064983,-62.212357
18165000000,-48.292126,-120.12435
18178750000,-48.184845,178.54285
18192500000,-48.431881,119.64356
18206250000,-48.451691,56.183857
18220000000,-48.90567,4.6309419
18233750000,-48.387814,-58.512325
18247500000,-48.970066,-113.05998
18261250000,-48.51252,-174.5451
18275000000,-48.534222,128.83247
18288750000,-47.703037,68.458405
18302500000,-47.605801,5.0512433
18316250000,-47.226807,-58.268631
18330000000,-47.174789,-117.83685
18343750000,-47.535965,-178.54776
18357500000,-47.21909,121.42686
18371250000,-47.117558,59.117622
18385000000,-46.475704,-0.221784
18398750000,-46.254189,-66.000862
18412500000,-46.711514,-128.35051
18426250000,-46.744213,166.52065
18440000000,-47.053909,104.62726
18453750000,-47.58073,43.539799
18467500000,-47.632339,-17.073021
18481250000,-48.395973,-75.96833
18495000000,-48.258659,-137.08598
18508750000,-47.72538,166.32104
18522500000,-48.332424,100.66145
18536250000,-48.253563,40.118507
18550000000,-49.200665,-19.953135
18563750000,-49.784248,-75.150063
18577500000,-48.790993,-134.70662
18591250000,-49.036152,168.44501
18605000000,-48.39296,108.60233
18618750000,-47.786648,47.68676
18632500000,-47.559914,-14.121327
18646250000,-47.400967,-71.99427
18660000000,-47.037045,-135.59349
18673750000,-47.309017,165.00662
18687500000,-46.33263,101.24744
18701250000,-46.537983,42.477627
18715000000,-45.876816,-24.879686
18728750000,-46.054192,-89.941513
18742500000,-46.349503,-154.9931
