!CSV A.01.01
!Keysight Technologies,P9377B,MY61100645,A.17.60.13
!Date: Friday, July 04, 2025 20:29:34
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(DB),S21(DEG)
18000000000,-47.554993,-96.197098
18013750000,-46.746784,-153.88528
18027500000,-46.748592,141.3358
18041250000,-46.514633,82.620338
18055000000,-46.300484,13.736053
18068750000,-46.634995,-43.119102
18082500000,-45.761078,-106.72623
18096250000,-46.535976,-168.67572
18110000000,-46.398834,126.86813
18123750000,-46.645393,62.375092
18137500000,-47.430885,0.532583
18151250000,-47.64183,-63.234146
18165000000,-47.996685,-124.44875
18178750000,-48.47752,-178.92706
18192500000,-48.439369,120.76754
18206250000,-49.075321,58.071457
18220000000,-49.107521,4.9880462
18233750000,-48.62405,-58.434113
18247500000,-48.598423,-109.29086
18261250000,-48.282566,-173.31413
18275000000,-48.113125,126.32334
18288750000,-47.646832,64.448311
18302500000,-47.564236,6.0927358
18316250000,-47.668579,-58.455349
18330000000,-47.604488,-118.3343
18343750000,-47.312847,-176.53229
18357500000,-46.872318,121.41652
18371250000,-46.943249,59.120972
18385000000,-46.904488,-1.4836887
18398750000,-46.438244,-63.425514
18412500000,-46.386318,-124.53545
18426250000,-46.293835,165.65543
18440000000,-47.035309,104.26762
18453750000,-47.387833,42.713219
18467500000,-47.698898,-18.376085
18481250000,-47.796341,-80.785088
18495000000,-48.020916,-138.39647
18508750000,-48.260353,163.30293
18522500000,-47.653736,102.52965
18536250000,-48.671608,41.801697
18550000000,-49.060341,-21.598396
18563750000,-49.355953,-71.984764
18577500000,-49.710899,-131.87926
18591250000,-48.865067,175.61076
18605000000,-48.029537,111.50517
18618750000,-47.713791,52.84024
18632500000,-47.485867,-13.238001
18646250000,-47.315178,-74.167381
18660000000,-47.051338,-137.6819
18673750000,-47.204033,163.94456
18687500000,-46.966011,102.72597
18701250000,-46.48859,39.66383
18715000000,-46.522305,-23.213205
18728750000,-46.423149,-89.958252
18742500000,-46.690548,-153.43903
18756250000,-47.694584,147.57684
18770000000,-47.920586,84.162262
18783750000,-48.706955,28.448748
18797500000,-48.457073,-35.232796
18811250000,-48.847771,-95.066185
18825000000,-48.578335,-149.51741
18838750000,-48.420158,148.91725
18852500000,-48.41518,86.885017
18866250000,-48.982941,33.129505
18880000000,-48.97356,-26.501383
18893750000,-47.986717,-82.471077
18907500000,-47.599026,-147.77582
18921250000,-46.925613,149.17191
18935000000,-47.395466,88.262436
18948750000,-47.367222,27.678324
18962500000,-47.596668,-32.106644
18976250000,-47.370762,-93.659073
18990000000,-47.010273,-154.93524
19003750000,-46.239067,141.72815
19017500000,-46.669605,77.47403
19031250000,-46.639084,16.075432
19045000000,-46.994045,-50.478867
19058750000,-47.239735,-109.20947
19072500000,-47.32531,-174.12373
19086250000,-47.474483,126.83408
19100000000,-48.032459,61.666389
19113750000,-48.881802,2.326735
19127500000,-49.897255,-59.225658
19141250000,-50.09679,-113.47249
19155000000,-50.647205,-170.07475
19168750000,-50.146591,137.68919
19182500000,-49.608982,75.8452
19196250000,-50.135986,19.599514
19210000000,-49.065952,-42.910847
19223750000,-48.781788,-98.997566
19237500000,-48.128742,-159.49408
19251250000,-48.30809,140.6693
19265000000,-47.264568,79.308792
19278750000,-47.212727,17.316925
19292500000,-46.463295,-44.067177
19306250000,-46.414722,-110.39702
19320000000,-46.537109,-171.78807
19333750000,-47.045292,122.51875
19347500000,-46.426998,60.905331
19361250000,-46.936493,-0.3833434
19375000000,-47.116871,-63.980465
19388750000,-47.848064,-128.2867
19402500000,-48.050449,169.8927
19416250000,-48.611656,108.23174
19430000000,-49.337273,45.565872
19443750000,-49.701786,-8.7285643
19457500000,-50.878536,-65.522339
19471250000,-50.04306,-125.17014
19485000000,-49.438602,-177.29779
19498750000,-50.142998,117.58144
19512500000,-49.692833,60.879566
19526250000,-49.513084,3.8374393
19540000000,-49.809185,-55.010521
19553750000,-49.175667,-117.42561
19567500000,-49.180515,-171.853
19581250000,-48.271919,125.00463
19595000000,-47.714653,58.570778
19608750000,-48.013241,-0.22730301
19622500000,-48.250481,-60.594624
19636250000,-47.407677,-126.28266
19650000000,-47.493961,175.51906
19663750000,-47.063091,114.73911
19677500000,-47.331528,50.669262
19691250000,-46.941998,-12.27283
19705000000,-47.38533,-77.783279
19718750000,-47.64835,-137.71826
19732500000,-48.053226,159.7576
19746250000,-48.783733,98.387512
19760000000,-48.670998,40.307003
19773750000,-49.369144,-21.360655
19787500000,-49.581066,-81.398132
19801250000,-49.21611,-136.24574
19815000000,-49.299412,163.17915
19828750000,-49.796444,104.89911
19842500000,-49.42667,43.232597
19856250000,-49.777855,-17.264757
19870000000,-49.164963,-74.347374
19883750000,-48.953152,-131.45024
19897500000,-48.429474,164.29198
19911250000,-48.458714,101.95416
19925000000,-48.506405,37.945782
19938750000,-48.215752,-23.888998
19952500000,-49.095032,-84.308083
19966250000,-48.492992,-146.83583
19980000000,-49.018421,151.93327
19993750000,-48.737785,94.392502
20007500000,-48.831074,28.934713
20021250000,-49.878162,-30.920185
20035000000,-49.91362,-85.900002
20048750000,-49.837116,-146.27417
20062500000,-50.305164,152.05917
20076250000,-49.70755,96.442101
20090000000,-49.71698,31.701336
20103750000,-49.427311,-26.059132
20117500000,-49.764973,-91.138084
20131250000,-49.827358,-139.42513
20145000000,-49.461826,153.30981
20158750000,-48.484875,95.749039
20172500000,-48.461796,28.73797
20186250000,-48.582756,-31.410275
20200000000,-48.915859,-93.88916
20213750000,-48.886158,-153.71841
20227500000,-48.859776,145.6127
20241250000,-49.644897,83.564705
20255000000,-49.089481,26.529133
20268750000,-49.361328,-37.157669
20282500000,-49.587715,-97.720917
20296250000,-48.960388,-159.41765
20310000000,-49.551327,138.30377
20323750000,-50.773216,78.247452
20337500000,-50.082993,23.620937
20351250000,-50.728561,-37.230335
20365000000,-50.333382,-92.967888
20378750000,-50.945648,-151.9108
20392500000,-49.986343,148.39078
20406250000,-49.947437,87.460678
20420000000,-49.498447,32.302586
20433750000,-50.015503,-33.792046
20447500000,-49.786243,-87.366623
20461250000,-48.93074,-151.98114
20475000000,-49.199806,147.31667
20488750000,-48.675137,81.414917
20502500000,-49.056747,23.948145
20516250000,-48.335941,-41.068016
20530000000,-48.632401,-101.2569
20543750000,-48.064793,-163.5155
20557500000,-48.226826,134.82925
20571250000,-48.425915,68.284668
20585000000,-49.148075,8.5054207
20598750000,-49.126354,-52.211563
20612500000,-50.920364,-116.68622
20626250000,-49.950596,-170.4541
20640000000,-51.109188,125.82648
20653750000,-50.348343,67.095627
20667500000,-50.513866,10.51418
20681250000,-50.841114,-50.497337
20695000000,-51.956944,-113.58891
20708750000,-50.803429,-160.86626
20722500000,-50.94997,138.66812
20736250000,-50.429825,80.366867
20750000000,-49.930115,18.502331
20763750000,-49.341263,-40.061104
20777500000,-48.825748,-108.56055
20791250000,-49.539608,-162.99364
20805000000,-49.354698,129.81152
20818750000,-50.141876,74.096504
20832500000,-48.751163,9.7234669
20846250000,-48.611252,-53.523651
20860000000,-48.748276,-116.93757
20873750000,-49.198746,179.94728
20887500000,-49.351372,114.20267
20901250000,-50.026215,54.565014
20915000000,-49.959194,-0.95294255
20928750000,-50.354504,-65.958656
20942500000,-50.343632,-122.39165
20956250000,-51.354904,171.55699
20970000000,-51.916813,118.7343
20983750000,-50.963547,57.723816
20997500000,-51.508911,3.6640553
21011250000,-51.414288,-50.677929
21025000000,-50.946075,-113.77553
21038750000,-50.719063,-176.29695
21052500000,-50.953442,126.72279
21066250000,-50.322018,64.683487
21080000000,-50.043427,7.649116
21093750000,-49.588757,-55.053776
21107500000,-49.782318,-115.26462
21121250000,-49.902821,-177.19914
21135000000,-49.090008,118.98649
21148750000,-49.194874,57.725399
21162500000,-49.380291,-2.4002149
21176250000,-48.973278,-68.386086
21190000000,-49.233643,-134.35883
21203750000,-50.076843,162.23
21217500000,-49.97773,97.53788
21231250000,-50.652843,41.101051
21245000000,-52.039799,-18.711205
21258750000,-53.197735,-71.081505
21272500000,-52.429295,-139.56082
21286250000,-52.943741,167.93747
21300000000,-53.661644,107.22747
21313750000,-52.386902,54.670761
21327500000,-51.582779,-0.61801982
21341250000,-52.011532,-62.331387
21355000000,-51.852928,-121.48554
21368750000,-51.711472,175.20238
21382500000,-51.561924,119.18202
21396250000,-50.283035,56.73394
21410000000,-49.838345,-0.6691581
21423750000,-49.782475,-63.997459
21437500000,-49.625755,-132.75902
21451250000,-50.035931,166.85292
21465000000,-50.377502,107.56509
21478750000,-50.041698,46.846466
21492500000,-50.088772,-9.464859
21506250000,-49.516048,-73.220596
21520000000,-49.798187,-144.49957
21533750000,-50.045765,157.52116
21547500000,-51.693768,93.657768
21561250000,-51.837513,32.216686
21575000000,-52.262562,-26.546778
21588750000,-51.626255,-82.115318
21602500000,-53.284351,-144.91408
21616250000,-53.899406,163.32701
21630000000,-52.894375,101.38459
21643750000,-53.047119,42.756882
21657500000,-52.793316,-17.734398
21671250000,-52.30217,-75.385002
21685000000,-53.633179,-131.47841
21698750000,-51.914604,172.9417
21712500000,-51.534519,106.85422
21726250000,-52.339695,51.385483
21740000000,-51.185108,-14.349713
21753750000,-51.76479,-75.744987
21767500000,-50.940456,-133.23642
21781250000,-51.271843,164.16014
21795000000,-50.548874,100.47476
21808750000,-50.529205,42.129028
21822500000,-50.804367,-22.588366
21836250000,-50.779915,-87.962387
21850000000,-50.846016,-149.28175
21863750000,-52.17054,145.29535
21877500000,-52.176888,96.047386
21891250000,-53.180195,26.361734
21905000000,-53.199741,-30.86764
21918750000,-53.707584,-79.885315
21932500000,-52.635323,-148.85399
21946250000,-52.939938,154.39201
21960000000,-52.573467,100.48568
21973750000,-53.30695,40.649052
21987500000,-52.179256,-17.356564
22001250000,-51.819588,-85.404785
22015000000,-52.470631,-139.14572
22028750000,-52.499756,159.80214
22042500000,-52.748791,103.43448
22056250000,-51.129868,43.246662
22070000000,-51.810078,-15.184373
22083750000,-50.914665,-85.085938
22097500000,-51.197639,-150.1992
22111250000,-51.618935,152.69496
22125000000,-51.841026,92.452759
22138750000,-52.267223,30.962351
22152500000,-52.159782,-26.004246
22166250000,-51.82148,-93.840233
22180000000,-51.619995,-154.3476
22193750000,-52.378029,144.42317
22207500000,-53.353035,78.486603
22221250000,-53.807335,24.508533
22235000000,-53.210663,-30.916964
22248750000,-54.194679,-84.169052
22262500000,-53.6133,-150.17387
22276250000,-54.896584,161.10081
22290000000,-53.550915,91.614624
22303750000,-53.691299,40.762196
22317500000,-54.034321,-21.562893
22331250000,-52.595161,-80.915993
22345000000,-52.624241,-144.38516
22358750000,-51.860008,153.87421
22372500000,-51.687317,94.089043
22386250000,-51.010918,30.12973
22400000000,-51.485977,-32.017658
22413750000,-51.653687,-97.565697
22427500000,-51.063049,-150.43956
22441250000,-52.292324,142.97015
22455000000,-51.787964,85.7071
22468750000,-51.615101,20.600069
22482500000,-52.17651,-40.351307
22496250000,-51.929413,-105.38275
22510000000,-53.333565,-165.36784
22523750000,-53.743671,139.60181
22537500000,-54.100262,78.088539
22551250000,-54.373592,19.768208
22565000000,-54.507195,-30.988522
22578750000,-54.063046,-90.839691
22592500000,-54.892868,-150.54593
22606250000,-54.470959,153.10397
22620000000,-53.390934,82.21463
22633750000,-53.396912,31.327118
22647500000,-53.047039,-37.176834
22661250000,-52.562305,-91.707748
22675000000,-52.700512,-153.32224
22688750000,-52.466381,146.94426
22702500000,-51.771942,87.719559
22716250000,-52.295097,23.177011
22730000000,-52.213387,-41.168911
22743750000,-52.213291,-106.40384
22757500000,-53.153214,-164.38687
22771250000,-53.128647,138.66231
22785000000,-52.994411,75.26786
22798750000,-53.328362,16.723698
22812500000,-53.150391,-50.473091
22826250000,-52.32119,-105.10486
22840000000,-54.098843,-168.95027
22853750000,-54.353603,139.23401
22867500000,-54.811043,82.019104
22881250000,-54.741028,17.750652
22895000000,-54.840328,-40.358688
22908750000,-53.719151,-105.47605
22922500000,-54.346893,-161.68488
22936250000,-54.368153,146.51019
22950000000,-54.98526,79.841156
22963750000,-54.334255,16.103386
22977500000,-53.864372,-36.978172
22991250000,-53.589096,-105.28453
23005000000,-53.344711,-161.11583
23018750000,-54.23814,134.51138
23032500000,-54.341652,79.367844
23046250000,-53.712509,16.384485
23060000000,-54.361801,-44.743721
23073750000,-53.427994,-105.19246
23087500000,-53.722328,-169.80484
23101250000,-53.963017,133.16312
23115000000,-54.549442,76.356651
23128750000,-55.91251,13.570922
23142500000,-54.083553,-42.129608
23156250000,-54.874031,-103.60672
23170000000,-53.294445,-160.65752
23183750000,-54.213261,132.58246
23197500000,-53.97311,74.04377
23211250000,-55.088703,18.327717
23225000000,-54.315144,-40.692318
23238750000,-55.162422,-100.28075
23252500000,-54.708054,-165.30586
23266250000,-54.540833,136.9709
23280000000,-54.185265,77.685333
23293750000,-54.016861,14.347905
23307500000,-54.709068,-44.278961
23321250000,-53.917919,-109.28815
23335000000,-54.330421,-163.22086
23348750000,-53.498775,130.4576
23362500000,-54.370533,74.173935
23376250000,-53.278584,8.9725819
23390000000,-55.036873,-53.581383
23403750000,-54.612289,-113.50258
23417500000,-55.863155,-173.66348
23431250000,-54.104729,134.8989
23445000000,-55.659176,68.797874
23458750000,-54.179745,10.524122
23472500000,-54.194809,-43.10289
23486250000,-54.174332,-113.41051
23500000000,-55.750969,-173.42955
23513750000,-55.449821,126.77297
23527500000,-54.276588,75.608955
23541250000,-54.797474,21.021439
23555000000,-53.941433,-47.011772
23568750000,-53.083439,-105.94126
23582500000,-53.438175,-173.20821
23596250000,-54.398266,132.69513
23610000000,-53.747707,67.534431
23623750000,-54.897461,14.667265
23637500000,-54.024368,-55.565674
23651250000,-54.130783,-110.01009
23665000000,-52.97435,178.2171
23678750000,-54.569492,131.67667
23692500000,-54.664398,61.389332
23706250000,-55.201767,13.088353
23720000000,-53.041771,-55.24247
23733750000,-55.213898,-114.07123
23747500000,-53.802608,-177.55701
23761250000,-56.14732,119.63955
23775000000,-54.71521,71.094879
23788750000,-56.344906,5.882019
23802500000,-54.525372,-49.792988
23816250000,-55.103127,-106.22454
23830000000,-54.205231,-164.89508
23843750000,-55.477837,131.86929
23857500000,-54.105816,75.458778
23871250000,-54.195236,15.300845
23885000000,-55.804615,-44.19923
23898750000,-54.325912,-112.14749
23912500000,-55.038643,-175.83656
23926250000,-54.854424,124.96355
23940000000,-53.78133,68.840591
23953750000,-54.037693,2.913868
23967500000,-54.010662,-56.493263
23981250000,-54.014458,-124.3544
23995000000,-56.082924,-175.70071
24008750000,-56.246342,124.08537
24022500000,-57.027882,61.871113
24036250000,-55.479446,-1.0999788
24050000000,-55.777065,-53.834148
24063750000,-55.486027,-115.53333
24077500000,-55.694427,179.37651
24091250000,-55.105118,122.50428
24105000000,-54.179741,63.592396
24118750000,-55.577847,16.557768
24132500000,-54.732952,-49.67075
24146250000,-55.046421,-114.94304
24160000000,-56.298923,-169.88554
24173750000,-54.998466,128.11272
24187500000,-54.636433,66.483307
24201250000,-55.207077,6.5505719
24215000000,-53.741982,-63.183258
24228750000,-54.761822,-121.69875
24242500000,-54.486828,176.62794
24256250000,-55.914692,111.85589
24270000000,-56.608727,62.292137
24283750000,-55.734623,0.53530532
24297500000,-55.824554,-60.100971
24311250000,-56.688808,-127.28668
24325000000,-56.067776,168.2077
24338750000,-56.303249,112.97612
24352500000,-56.330673,52.050381
24366250000,-55.162853,-12.605719
24380000000,-58.189404,-64.861145
24393750000,-55.965691,-124.2445
24407500000,-55.415592,172.77426
24421250000,-56.550911,117.14097
24435000000,-56.185902,60.821102
24448750000,-56.426792,7.538898
24462500000,-56.460571,-59.191498
