!CSV A.01.01
!Keysight Technologies,P9377B,MY61100645,A.17.60.13
!Date: Wednesday, July 02, 2025 19:20:25
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(DB),S21(DEG)
18000000000,-30.539234,31.634531
18013750000,-30.596222,-29.102285
18027500000,-30.704559,-88.875313
18041250000,-30.638632,-148.90883
18055000000,-30.599705,151.71046
18068750000,-30.377493,90.963814
18082500000,-30.380821,29.731367
18096250000,-30.359774,-31.607941
18110000000,-30.525267,-92.665405
18123750000,-30.564573,-152.76726
18137500000,-30.683796,147.55588
18151250000,-30.595055,87.351097
18165000000,-30.474012,27.22093
18178750000,-30.346178,-33.761616
18192500000,-30.270582,-94.471008
18206250000,-30.386833,-155.59444
18220000000,-30.47867,143.20454
18233750000,-30.495604,83.412094
18247500000,-30.506701,23.199215
18261250000,-30.538038,-37.241669
18275000000,-30.411324,-96.877914
18288750000,-30.363907,-157.2081
18302500000,-30.280394,141.41042
18316250000,-30.229057,80.432182
18330000000,-30.415047,19.09133
18343750000,-30.474573,-41.147213
18357500000,-30.518366,-101.38136
18371250000,-30.574295,-161.02895
18385000000,-30.407166,139.37231
18398750000,-30.315775,78.714966
18412500000,-30.192877,17.691528
18426250000,-30.14229,-43.839176
18440000000,-30.390457,-104.89732
18453750000,-30.509367,-164.49744
18467500000,-30.566338,135.58014
18481250000,-30.446623,76.034157
18495000000,-30.354708,15.910598
18508750000,-30.177298,-45.297684
18522500000,-30.208073,-106.47264
18536250000,-30.252165,-167.53784
18550000000,-30.394205,132.19696
18563750000,-30.404879,71.962708
18577500000,-30.445654,12.361045
18591250000,-30.405687,-48.263733
18605000000,-30.324003,-107.84837
18618750000,-30.204693,-169.15878
18632500000,-30.209967,130.63893
18646250000,-30.171402,69.251335
18660000000,-30.289545,8.6413116
18673750000,-30.333645,-51.681446
18687500000,-30.426188,-111.85221
18701250000,-30.342363,-171.5757
18715000000,-30.297249,128.54124
18728750000,-30.154757,68.145538
18742500000,-30.157707,6.6322408
