!CSV A.01.01
!Keysight Technologies,P9377B,MY61100645,A.17.60.13
!Date: Wednesday, July 02, 2025 19:20:38
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(DB),S21(DEG)
18000000000,-30.611135,30.876663
18013750000,-30.571054,-29.022211
18027500000,-30.663898,-88.817039
18041250000,-30.645782,-148.56221
18055000000,-30.572084,151.29889
18068750000,-30.421017,90.543602
18082500000,-30.370808,29.891237
18096250000,-30.354399,-32.154968
18110000000,-30.523375,-92.975632
18123750000,-30.673946,-152.84041
18137500000,-30.619654,146.89473
18151250000,-30.600979,87.185661
18165000000,-30.47419,27.063412
18178750000,-30.471743,-33.358334
18192500000,-30.34396,-94.871574
18206250000,-30.385893,-155.81786
18220000000,-30.461903,143.34825
18233750000,-30.484039,83.316315
18247500000,-30.472691,23.142298
18261250000,-30.574699,-36.822895
18275000000,-30.490465,-96.822578
18288750000,-30.331886,-157.59563
18302500000,-30.263027,141.34688
18316250000,-30.241362,79.908669
18330000000,-30.431515,19.511505
18343750000,-30.479464,-41.601009
18357500000,-30.612986,-101.20389
18371250000,-30.514765,-161.10863
18385000000,-30.520555,139.29419
18398750000,-30.30547,78.733963
18412500000,-30.236944,17.61274
18426250000,-30.310999,-43.416176
18440000000,-30.336693,-105.28592
18453750000,-30.527674,-164.64474
18467500000,-30.528065,135.19681
18481250000,-30.432364,76.024559
18495000000,-30.344978,15.606651
18508750000,-30.231974,-45.690826
18522500000,-30.199718,-106.78608
18536250000,-30.279228,-167.19933
18550000000,-30.340693,132.09509
18563750000,-30.445965,71.70665
18577500000,-30.401999,11.910148
18591250000,-30.337208,-47.959553
18605000000,-30.308216,-108.12341
18618750000,-30.266987,-169.07939
18632500000,-30.196869,129.85268
18646250000,-30.172113,69.438705
18660000000,-30.253948,8.3481894
18673750000,-30.404287,-52.152229
18687500000,-30.485809,-111.557
18701250000,-30.372393,-171.4848
18715000000,-30.396648,128.49872
18728750000,-30.144365,67.583878
18742500000,-30.098217,6.5808282
18756250000,-30.174625,-54.654648
18770000000,-30.294012,-115.03091
18783750000,-30.433134,-174.79723
18797500000,-30.396276,125.64348
18811250000,-30.358955,65.643951
18825000000,-30.226954,5.1332383
18838750000,-30.158848,-55.874176
18852500000,-30.159927,-116.79654
18866250000,-30.194931,-177.83546
18880000000,-30.298708,121.98015
18893750000,-30.293322,62.061962
18907500000,-30.294695,2.2233601
18921250000,-30.204821,-58.359631
18935000000,-30.194159,-118.62505
18948750000,-30.142263,-179.15681
18962500000,-30.149523,120.02824
18976250000,-30.137091,59.136707
18990000000,-30.308781,-1.2304513
19003750000,-30.352961,-61.174843
19017500000,-30.335682,-121.9712
19031250000,-30.335791,178.64966
19045000000,-30.233526,118.81524
19058750000,-30.157463,58.135509
19072500000,-30.155712,-3.236728
19086250000,-30.216898,-64.009026
19100000000,-30.378561,-124.08195
19113750000,-30.41563,175.91188
19127500000,-30.441071,116.04496
19141250000,-30.292521,56.339447
19155000000,-30.217379,-4.4323936
19168750000,-30.183645,-65.482086
19182500000,-30.169449,-125.78023
19196250000,-30.354881,173.70131
19210000000,-30.325371,113.40604
19223750000,-30.349997,53.677227
19237500000,-30.224625,-6.3025727
19251250000,-30.208553,-67.398109
19265000000,-30.273033,-127.86584
19278750000,-30.237194,171.76511
19292500000,-30.167337,111.37667
19306250000,-30.278406,50.767685
19320000000,-30.260588,-9.8172855
19333750000,-30.354311,-70.206734
19347500000,-30.403217,-130.12691
19361250000,-30.473669,169.64655
19375000000,-30.367355,109.67831
19388750000,-30.360098,49.564827
19402500000,-30.322895,-11.104678
19416250000,-30.42692,-71.931976
19430000000,-30.429432,-132.25105
19443750000,-30.534422,168.17853
19457500000,-30.506021,108.00748
19471250000,-30.503937,47.904858
19485000000,-30.427675,-12.196947
19498750000,-30.42659,-73.244331
19512500000,-30.433172,-133.03215
19526250000,-30.544119,166.4931
19540000000,-30.518974,106.95408
19553750000,-30.467556,46.335609
19567500000,-30.485167,-14.365932
19581250000,-30.426315,-74.073753
19595000000,-30.478491,-134.70384
19608750000,-30.491405,165.56482
19622500000,-30.401203,105.32166
19636250000,-30.474415,44.277237
19650000000,-30.52309,-15.971112
19663750000,-30.553827,-76.49675
19677500000,-30.559959,-136.39436
19691250000,-30.573486,163.68126
19705000000,-30.583958,103.85645
19718750000,-30.547762,43.50959
19732500000,-30.578794,-17.387709
19746250000,-30.679121,-77.707764
19760000000,-30.68848,-138.0031
19773750000,-30.764954,162.70944
19787500000,-30.697502,103.40548
19801250000,-30.64559,42.868561
19815000000,-30.611143,-17.331991
19828750000,-30.583494,-78.309296
19842500000,-30.681786,-137.99457
19856250000,-30.717381,161.75363
19870000000,-30.648783,102.00784
19883750000,-30.674301,41.686867
19897500000,-30.576649,-18.729424
19911250000,-30.56749,-78.699471
19925000000,-30.622227,-139.32411
19938750000,-30.600149,160.9353
19952500000,-30.572104,100.80692
19966250000,-30.633408,39.951374
19980000000,-30.604261,-20.285267
19993750000,-30.610718,-80.487083
20007500000,-30.657255,-139.95956
20021250000,-30.575312,159.64951
20035000000,-30.570927,99.589203
