!CSV A.01.01
!Keysight Technologies,P9377B,MY61100645,A.17.60.13
!Date: Wednesday, July 02, 2025 19:19:05
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(DB),S21(DEG)
18000000000,-31.761625,42.176937
18013750000,-31.848892,-17.861996
18027500000,-31.982204,-77.803345
18041250000,-31.908438,-137.49582
18055000000,-31.814964,162.25613
18068750000,-31.627792,102.15015
18082500000,-31.60404,40.993511
18096250000,-31.62657,-20.33935
18110000000,-31.747828,-81.501022
18123750000,-31.754019,-141.64563
18137500000,-31.843622,158.2325
18151250000,-31.727436,98.586479
18165000000,-31.589312,38.642624
18178750000,-31.506212,-22.059101
18192500000,-31.492504,-83.394157
18206250000,-31.515606,-144.74321
18220000000,-31.54788,154.61853
18233750000,-31.596462,93.739151
18247500000,-31.732462,33.636051
18261250000,-31.693867,-25.962799
18275000000,-31.592281,-85.725845
18288750000,-31.472542,-146.52959
18302500000,-31.425169,152.39168
18316250000,-31.411249,91.474548
18330000000,-31.491528,30.25757
18343750000,-31.617317,-30.193281
18357500000,-31.712519,-90.317833
18371250000,-31.736477,-150.05748
18385000000,-31.681179,150.76019
18398750000,-31.543486,90.113297
18412500000,-31.371429,28.828999
18426250000,-31.43203,-31.863106
18440000000,-31.457985,-93.215958
18453750000,-31.611235,-153.70093
18467500000,-31.656675,146.96777
18481250000,-31.501335,86.902298
18495000000,-31.432875,26.605543
18508750000,-31.287661,-33.797226
18522500000,-31.349915,-95.109474
18536250000,-31.346979,-155.98615
18550000000,-31.46677,143.30086
18563750000,-31.443716,82.890732
18577500000,-31.451815,23.040094
18591250000,-31.49844,-37.08556
18605000000,-31.327532,-97.357521
18618750000,-31.343494,-157.93596
18632500000,-31.349173,141.20299
18646250000,-31.285013,80.141205
18660000000,-31.402,19.450916
18673750000,-31.575373,-40.824669
18687500000,-31.559591,-100.6273
18701250000,-31.550613,-160.76999
18715000000,-31.445112,139.55258
18728750000,-31.292532,78.887352
18742500000,-31.26935,17.248491
18756250000,-31.352694,-43.478836
18770000000,-31.465042,-103.91307
18783750000,-31.627151,-163.61862
18797500000,-31.527857,136.33827
18811250000,-31.455328,76.864609
18825000000,-31.345392,16.292339
18838750000,-31.325636,-44.890873
18852500000,-31.30265,-105.51579
18866250000,-31.32889,-166.12456
18880000000,-31.411261,133.66682
18893750000,-31.504274,72.980835
18907500000,-31.405453,12.93441
18921250000,-31.456161,-46.625366
18935000000,-31.374914,-106.99422
18948750000,-31.283386,-167.65581
18962500000,-31.209015,131.19258
18976250000,-31.320856,70.379608
