!CSV A.01.01
!Keysight Technologies,P9377B,MY61100645,A.17.60.13
!Date: Wednesday, July 02, 2025 19:19:18
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(DB),S21(DEG)
18000000000,-31.689432,42.290985
18013750000,-31.799122,-18.141588
18027500000,-31.982414,-78.066551
18041250000,-31.949358,-137.23569
18055000000,-31.776907,162.23619
18068750000,-31.643574,102.21867
18082500000,-31.561806,40.516209
18096250000,-31.568546,-20.272976
18110000000,-31.675781,-80.919777
18123750000,-31.712271,-141.58327
18137500000,-31.767775,158.57599
18151250000,-31.692265,98.689285
18165000000,-31.651026,38.582626
18178750000,-31.453684,-22.381693
18192500000,-31.490913,-83.186714
18206250000,-31.466022,-144.52435
18220000000,-31.614475,154.31949
18233750000,-31.641525,94.207191
18247500000,-31.671146,33.746304
18261250000,-31.727581,-26.157003
18275000000,-31.564035,-85.820274
18288750000,-31.45785,-146.81503
18302500000,-31.369499,152.34006
18316250000,-31.465534,91.181267
18330000000,-31.487709,30.305706
18343750000,-31.684488,-30.695711
18357500000,-31.776031,-90.132896
18371250000,-31.68091,-149.48387
18385000000,-31.626644,150.27467
18398750000,-31.531357,89.869965
18412500000,-31.458998,29.349699
18426250000,-31.391579,-32.620613
18440000000,-31.490061,-93.2668
18453750000,-31.566967,-153.22997
18467500000,-31.742662,147.22301
18481250000,-31.60458,87.672615
18495000000,-31.495127,26.95154
18508750000,-31.348572,-33.498013
18522500000,-31.372166,-95.141022
18536250000,-31.452673,-156.01053
18550000000,-31.486162,143.18481
18563750000,-31.52416,83.036758
18577500000,-31.491886,23.432217
18591250000,-31.515276,-36.948174
18605000000,-31.444864,-96.994675
18618750000,-31.351564,-157.76253
18632500000,-31.288288,141.44673
18646250000,-31.24774,79.877571
18660000000,-31.41855,19.284998
18673750000,-31.48399,-40.79734
18687500000,-31.549852,-100.5715
18701250000,-31.497286,-160.205
18715000000,-31.36216,139.59818
18728750000,-31.361168,78.903961
