!CSV A.01.01
!Keysight Technologies,P9377B,MY61100645,A.17.60.13
!Date: Wednesday, July 02, 2025 19:21:16
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(DB),S21(DEG)
18000000000,-31.032532,53.222679
18013750000,-31.203211,-7.2922039
18027500000,-31.267551,-66.875816
18041250000,-31.297249,-126.80121
18055000000,-31.130873,173.22197
18068750000,-30.937675,113.17258
18082500000,-30.846272,51.946129
18096250000,-30.850134,-9.5190697
18110000000,-30.974844,-69.984039
18123750000,-31.041004,-130.64362
18137500000,-31.097086,169.44476
18151250000,-30.990393,109.59736
18165000000,-30.957901,49.246712
18178750000,-30.774626,-11.613621
18192500000,-30.787956,-72.7724
18206250000,-30.845615,-133.7299
18220000000,-30.858212,165.11569
18233750000,-30.921967,104.96137
18247500000,-31.008244,44.979717
18261250000,-30.95566,-14.671026
18275000000,-30.898661,-75.15358
18288750000,-30.811781,-135.78033
18302500000,-30.722672,163.38577
18316250000,-30.749046,102.01997
18330000000,-30.905893,41.142345
18343750000,-30.982899,-19.415258
18357500000,-31.073893,-79.155357
18371250000,-31.027773,-138.38136
18385000000,-30.915287,162.12595
18398750000,-30.819229,101.41975
18412500000,-30.709122,40.129353
18426250000,-30.712193,-21.293844
18440000000,-30.76787,-82.516167
18453750000,-30.895773,-142.51572
18467500000,-30.885244,157.99208
18481250000,-30.85948,98.144684
18495000000,-30.74674,37.442558
18508750000,-30.622972,-22.943367
18522500000,-30.601501,-84.074196
18536250000,-30.610254,-144.32944
18550000000,-30.718466,154.35648
18563750000,-30.866692,94.013107
18577500000,-30.834715,34.717697
18591250000,-30.82094,-25.426987
18605000000,-30.783972,-85.254051
18618750000,-30.597782,-146.1003
18632500000,-30.597631,152.76787
18646250000,-30.596718,91.512749
18660000000,-30.747498,31.418802
18673750000,-30.818501,-29.192616
18687500000,-30.800232,-89.152306
18701250000,-30.844479,-148.99297
18715000000,-30.717775,151.19937
18728750000,-30.614254,90.299606
18742500000,-30.623259,29.888653
18756250000,-30.646461,-31.591183
18770000000,-30.800903,-92.18499
18783750000,-30.843088,-151.63055
18797500000,-30.781075,148.75403
18811250000,-30.711449,88.636932
18825000000,-30.570005,28.49889
18838750000,-30.503725,-32.802101
18852500000,-30.546551,-94.039215
18866250000,-30.593048,-154.65067
18880000000,-30.644478,145.20102
18893750000,-30.71047,85.082092
18907500000,-30.714685,24.824076
18921250000,-30.729504,-34.870834
18935000000,-30.663664,-95.381409
18948750000,-30.568474,-155.62141
18962500000,-30.551525,143.35295
18976250000,-30.558201,82.461411
18990000000,-30.627106,22.108995
19003750000,-30.698051,-37.677235
19017500000,-30.695818,-97.737091
19031250000,-30.661648,-157.78247
19045000000,-30.577911,142.43262
19058750000,-30.494926,81.007309
19072500000,-30.481577,20.28861
19086250000,-30.536591,-40.214127
19100000000,-30.664135,-100.65042
19113750000,-30.638416,-160.71411
19127500000,-30.677717,139.62868
19141250000,-30.636213,79.413139
19155000000,-30.49332,19.093973
19168750000,-30.542572,-41.950241
19182500000,-30.583782,-102.91118
19196250000,-30.589954,-162.44763
19210000000,-30.651505,136.64772
19223750000,-30.680784,76.910004
19237500000,-30.634022,16.686947
19251250000,-30.596136,-43.90897
19265000000,-30.633816,-104.28403
19278750000,-30.600212,-164.61774
19292500000,-30.659143,134.68742
19306250000,-30.656706,74.456688
19320000000,-30.776579,13.854279
19333750000,-30.704576,-46.38298
19347500000,-30.767397,-105.87742
19361250000,-30.77943,-166.01567
19375000000,-30.652731,133.75706
19388750000,-30.647331,73.447166
19402500000,-30.661913,12.968269
19416250000,-30.718843,-47.936878
19430000000,-30.747314,-108.1628
19443750000,-30.746357,-167.91393
19457500000,-30.722391,132.26053
19471250000,-30.721092,72.381813
19485000000,-30.695353,11.697278
19498750000,-30.601974,-48.818085
19512500000,-30.697239,-109.43591
19526250000,-30.687336,-169.45975
19540000000,-30.710489,130.41243
19553750000,-30.7365,69.53791
19567500000,-30.737125,9.6977711
19581250000,-30.840061,-50.671249
19595000000,-30.707617,-111.17228
19608750000,-30.784986,-171.28348
19622500000,-30.746752,128.76315
19636250000,-30.820768,68.200188
19650000000,-30.86381,7.6578522
19663750000,-30.924206,-52.468975
19677500000,-30.885098,-112.49605
19691250000,-30.908716,-171.83807
19705000000,-30.914734,127.98289
19718750000,-30.870504,67.677788
19732500000,-30.784742,6.7826414
19746250000,-30.922491,-53.433296
19760000000,-30.928101,-113.55085
19773750000,-31.00411,-172.72337
19787500000,-30.97921,127.37492
19801250000,-30.925665,66.771179
19815000000,-30.857975,6.9481459
19828750000,-30.810575,-53.682587
19842500000,-30.885773,-113.39539
19856250000,-30.858646,-173.68474
19870000000,-30.82966,126.50001
19883750000,-30.830856,65.849709
19897500000,-30.836685,5.4863896
19911250000,-30.866331,-54.568169
19925000000,-30.771482,-115.30305
19938750000,-30.764465,-175.40907
19952500000,-30.810314,124.32421
19966250000,-30.801039,63.778103
19980000000,-30.825039,3.3098061
19993750000,-30.782482,-56.643887
20007500000,-30.957951,-116.38674
20021250000,-30.829826,-176.90199
20035000000,-30.773005,123.44377
20048750000,-30.824823,63.286087
20062500000,-30.937424,2.7299333
20076250000,-30.975563,-57.343399
20090000000,-30.991522,-116.65519
20103750000,-30.937647,-177.01738
20117500000,-30.914391,123.2372
20131250000,-30.876019,62.625977
20145000000,-30.918118,2.0036442
20158750000,-30.936983,-57.896801
20172500000,-30.897717,-117.50487
20186250000,-30.943123,-177.39937
20200000000,-30.919149,122.74682
20213750000,-30.802963,62.296852
20227500000,-30.801853,1.7944772
20241250000,-30.834229,-59.002693
20255000000,-30.847723,-118.85352
20268750000,-30.802271,-178.58974
20282500000,-30.798292,121.42656
20296250000,-30.811657,61.07457
20310000000,-30.75823,0.95803994
20323750000,-30.750347,-59.751812
20337500000,-30.751101,-120.68958
20351250000,-30.798826,179.12877
20365000000,-30.867208,119.06861
20378750000,-30.891792,58.879406
20392500000,-30.886457,-0.4585256
20406250000,-30.882391,-60.669804
20420000000,-30.772089,-120.45656
20433750000,-30.729853,178.62601
20447500000,-30.799799,117.86104
20461250000,-30.860481,57.446903
20475000000,-30.977869,-1.6978793
20488750000,-31.063725,-61.560345
20502500000,-30.975414,-121.06413
20516250000,-30.843468,179.50206
20530000000,-30.767218,118.05548
20543750000,-30.706772,57.618595
20557500000,-30.79553,-3.4326062
20571250000,-30.895985,-63.08979
20585000000,-30.95789,-122.38915
20598750000,-30.859735,177.39751
20612500000,-30.737612,118.05839
20626250000,-30.723438,56.952305
20640000000,-30.799995,-3.29583
20653750000,-30.796955,-63.979549
20667500000,-30.875671,-124.36037
20681250000,-30.962421,175.76549
20695000000,-31.002146,115.79377
20708750000,-30.996592,56.242329
20722500000,-30.964874,-3.309422
20736250000,-30.853477,-63.747311
20750000000,-30.794861,-124.1067
20763750000,-30.887657,175.41104
20777500000,-30.914898,114.933
20791250000,-31.083664,54.706802
20805000000,-31.117918,-4.5332646
20818750000,-31.05003,-63.678345
20832500000,-30.956608,-124.0782
20846250000,-30.774569,176.08522
20860000000,-30.789749,114.78903
20873750000,-30.822687,53.833076
20887500000,-30.916294,-6.31915
20901250000,-31.078453,-66.161224
20915000000,-31.098434,-125.27507
20928750000,-30.948746,175.13507
20942500000,-30.975874,114.4315
20956250000,-30.811647,53.532093
20970000000,-30.823008,-6.6632094
20983750000,-30.958662,-67.159286
20997500000,-31.044796,-127.7077
21011250000,-31.157846,171.9545
21025000000,-31.212978,112.3564
21038750000,-31.29108,52.718246
21052500000,-31.211285,-6.6151843
21066250000,-31.149967,-66.533218
21080000000,-31.13974,-126.85574
21093750000,-31.074299,172.43866
21107500000,-31.325081,111.89431
21121250000,-31.344774,52.246311
21135000000,-31.525999,-6.7311139
21148750000,-31.381739,-65.300522
21162500000,-31.168415,-125.27301
21176250000,-31.060598,174.32439
21190000000,-31.029867,114.16065
21203750000,-31.035639,52.396873
21217500000,-31.192739,-7.6460681
21231250000,-31.23468,-67.430222
21245000000,-31.269108,-127.01831
21258750000,-31.187735,173.43332
21272500000,-31.068514,112.60083
21286250000,-31.061491,52.414349
21300000000,-31.073668,-8.6288824
21313750000,-31.111324,-69.785576
21327500000,-31.238665,-129.83624
21341250000,-31.350895,170.45113
21355000000,-31.539982,110.13445
21368750000,-31.516439,51.167114
21382500000,-31.426668,-7.7472029
21396250000,-31.377455,-67.902016
21410000000,-31.338839,-129.24373
21423750000,-31.417704,169.91147
21437500000,-31.692059,109.56709
21451250000,-31.821388,50.477421
21465000000,-31.901388,-7.9075356
21478750000,-31.800762,-66.707855
21492500000,-31.668493,-126.07188
21506250000,-31.46217,173.4659
21520000000,-31.363808,112.58421
21533750000,-31.494625,51.769173
21547500000,-31.633896,-7.8730488
21561250000,-31.755621,-67.056725
21575000000,-31.707802,-126.2221
21588750000,-31.61927,173.81769
