!CSV A.01.01
!Keysight Technologies,P9377B,MY61100645,A.17.60.13
!Date: Wednesday, July 02, 2025 19:21:27
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(DB),S21(DEG)
18000000000,-31.001616,53.00172
18013750000,-31.1584,-7.3993001
18027500000,-31.190355,-67.598679
18041250000,-31.22504,-126.90746
18055000000,-31.064184,173.47581
18068750000,-30.98081,113.09783
18082500000,-30.778236,51.598961
18096250000,-30.814238,-9.996521
18110000000,-30.981842,-70.808662
18123750000,-31.080505,-131.13934
18137500000,-31.0422,168.93567
18151250000,-31.009062,108.74612
18165000000,-30.878916,48.911251
18178750000,-30.758194,-12.143601
18192500000,-30.758314,-73.036827
18206250000,-30.792486,-134.33922
18220000000,-30.829344,164.59015
18233750000,-30.946444,104.69254
18247500000,-30.987408,44.504593
18261250000,-30.950085,-15.656689
18275000000,-30.897104,-75.783989
18288750000,-30.86799,-136.13631
18302500000,-30.692076,162.74484
18316250000,-30.761763,101.87901
18330000000,-30.842115,40.679474
18343750000,-30.930632,-19.748903
18357500000,-31.016333,-79.265808
18371250000,-30.982592,-138.8593
18385000000,-30.986938,161.59981
18398750000,-30.748861,101.21912
18412500000,-30.694813,39.622059
18426250000,-30.680426,-21.428259
18440000000,-30.789078,-82.976067
18453750000,-30.936398,-142.22795
18467500000,-30.973972,158.14725
18481250000,-30.822906,97.753532
18495000000,-30.799938,37.614086
18508750000,-30.60664,-23.176058
18522500000,-30.65559,-84.014435
18536250000,-30.654976,-145.30211
18550000000,-30.791849,154.10136
18563750000,-30.881046,94.406082
18577500000,-30.88916,34.369728
18591250000,-30.771551,-25.545359
18605000000,-30.749588,-85.572449
18618750000,-30.629877,-147.03746
18632500000,-30.562307,152.77347
18646250000,-30.618574,91.145729
18660000000,-30.753166,30.667747
18673750000,-30.861814,-29.535728
18687500000,-30.834663,-89.308983
18701250000,-30.843431,-149.32616
18715000000,-30.711504,151.50017
18728750000,-30.628483,90.046638
18742500000,-30.593615,28.77331
18756250000,-30.661741,-32.042072
18770000000,-30.717043,-92.418747
18783750000,-30.836561,-151.6908
18797500000,-30.730541,148.32503
18811250000,-30.632828,88.465195
18825000000,-30.63208,28.006908
18838750000,-30.515057,-33.055267
18852500000,-30.512316,-94.34903
18866250000,-30.564035,-154.67747
18880000000,-30.694424,145.1199
18893750000,-30.682657,84.556465
18907500000,-30.753601,25.000679
18921250000,-30.676519,-35.353111
18935000000,-30.595118,-95.353798
18948750000,-30.555618,-156.4529
18962500000,-30.503752,142.96014
18976250000,-30.641626,82.091751
18990000000,-30.709929,21.616364
19003750000,-30.728952,-38.301514
19017500000,-30.70756,-98.069992
19031250000,-30.696459,-158.14803
19045000000,-30.591967,142.0531
19058750000,-30.525909,81.226479
19072500000,-30.504038,20.081497
19086250000,-30.603563,-40.821774
19100000000,-30.669552,-100.71925
19113750000,-30.680075,-160.7415
19127500000,-30.727238,139.44214
19141250000,-30.701681,79.085762
19155000000,-30.524176,18.450499
19168750000,-30.590511,-42.187107
19182500000,-30.643803,-102.65194
19196250000,-30.602818,-163.15967
19210000000,-30.635189,136.96808
19223750000,-30.718626,76.459717
19237500000,-30.605289,16.374645
19251250000,-30.676302,-43.78923
19265000000,-30.682299,-104.42436
19278750000,-30.71217,-165.0076
19292500000,-30.615597,134.54144
19306250000,-30.691126,74.423447
19320000000,-30.708233,13.857241
19333750000,-30.757637,-46.131184
19347500000,-30.785782,-105.93364
19361250000,-30.825773,-166.09282
19375000000,-30.690125,133.89099
19388750000,-30.631239,73.439095
19402500000,-30.67318,12.599648
19416250000,-30.727434,-47.9142
19430000000,-30.763521,-107.77267
19443750000,-30.77153,-167.77792
19457500000,-30.820889,131.96262
