!CSV A.01.01
!Keysight Technologies,P9377B,MY61100645,A.17.60.13
!Date: Wednesday, July 02, 2025 19:35:38
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(DB),S21(DEG)
18000000000,-32.904823,15.223481
18013750000,-32.988354,-44.731556
18027500000,-33.152512,-104.87883
18041250000,-33.104691,-164.3914
18055000000,-32.981422,135.56552
18068750000,-32.873634,75.495193
18082500000,-32.809628,13.912463
18096250000,-32.797134,-46.740101
18110000000,-32.943367,-107.76225
18123750000,-33.042595,-168.16843
18137500000,-33.088924,132.46161
18151250000,-33.043247,72.317635
18165000000,-32.962055,12.311498
18178750000,-32.747158,-48.888706
18192500000,-32.626984,-110.14928
18206250000,-32.650497,-171.39571
18220000000,-32.8055,127.74099
18233750000,-32.82552,67.438721
18247500000,-32.830082,7.5847721
18261250000,-32.799091,-52.554924
18275000000,-32.762177,-113.42216
18288750000,-32.679035,-173.51616
18302500000,-32.68013,125.1471
18316250000,-32.729668,63.062134
18330000000,-32.709286,2.6982121
18343750000,-32.924313,-57.982616
18357500000,-32.955276,-117.68837
18371250000,-33.099651,-177.74791
18385000000,-32.978859,122.952
18398750000,-32.806473,62.718792
18412500000,-32.752747,1.7832277
18426250000,-32.836609,-59.358936
18440000000,-32.926807,-120.39594
18453750000,-33.032066,179.67465
18467500000,-33.193665,119.69344
18481250000,-33.043682,60.344189
18495000000,-32.978096,0.46044588
18508750000,-32.854446,-60.146641
18522500000,-32.745834,-121.20573
18536250000,-32.863365,177.67502
18550000000,-32.864738,117.04932
18563750000,-32.861324,56.753117
18577500000,-32.942348,-2.9199541
18591250000,-32.91433,-62.924664
18605000000,-32.837032,-123.28526
18618750000,-32.650501,175.85127
18632500000,-32.625305,114.87151
18646250000,-32.652615,53.952156
18660000000,-32.759346,-7.4077792
18673750000,-32.910435,-67.116936
18687500000,-32.917873,-127.42667
18701250000,-32.898182,172.83092
18715000000,-32.777191,112.97871
18728750000,-32.737614,52.365166
18742500000,-32.75227,-9.0178852
18756250000,-32.774666,-70.122658
18770000000,-32.967602,-130.21187
18783750000,-32.875469,170.15677
18797500000,-32.96693,110.40532
18811250000,-32.830208,50.047459
18825000000,-32.775017,-9.5436707
18838750000,-32.766094,-71.081718
18852500000,-32.746727,-132.11143
18866250000,-32.905865,167.50591
18880000000,-32.934143,106.83087
18893750000,-32.967884,46.941544
18907500000,-32.93927,-12.52775
18921250000,-32.876068,-72.970169
18935000000,-32.876797,-133.34911
18948750000,-32.866947,165.978
18962500000,-32.833084,105.12877
18976250000,-32.891056,44.815849
18990000000,-32.962498,-15.514385
19003750000,-33.022961,-75.995461
19017500000,-33.010185,-135.71342
19031250000,-32.972427,164.41801
19045000000,-32.84037,103.9774
19058750000,-32.818645,43.394718
19072500000,-32.773827,-17.715324
19086250000,-32.91021,-78.573257
19100000000,-33.030823,-138.45761
19113750000,-32.96558,161.48471
19127500000,-32.925953,102.03964
19141250000,-32.905327,42.338135
19155000000,-32.818111,-18.447557
19168750000,-32.784607,-79.709602
19182500000,-32.813568,-140.35742
19196250000,-32.897949,159.09203
