!CSV A.01.01
!Keysight Technologies,P9377B,MY61100645,A.17.60.13
!Date: Wednesday, July 02, 2025 19:35:45
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(DB),S21(DEG)
18000000000,-32.931145,15.516899
18013750000,-33.060925,-45.11195
18027500000,-33.098774,-104.65879
18041250000,-33.193146,-165.33302
18055000000,-33.070789,135.36508
18068750000,-33.006233,74.931984
18082500000,-32.862694,13.951774
18096250000,-32.821335,-46.76099
18110000000,-32.928944,-108.14854
18123750000,-33.12294,-168.22966
18137500000,-33.020947,131.76535
18151250000,-32.94593,72.45948
18165000000,-32.8932,12.529719
18178750000,-32.672775,-48.696152
18192500000,-32.684361,-110.38558
18206250000,-32.66946,-171.73747
18220000000,-32.773853,127.54836
18233750000,-32.797268,67.918823
18247500000,-32.82164,7.9077082
18261250000,-32.809372,-52.568211
18275000000,-32.709263,-112.89795
18288750000,-32.678471,-174.02887
18302500000,-32.60891,124.8778
18316250000,-32.624878,63.689022
18330000000,-32.741577,2.2920995
18343750000,-32.911686,-57.674507
18357500000,-32.996822,-117.77604
18371250000,-33.077869,-177.6394
18385000000,-33.034084,122.82399
18398750000,-32.858635,62.634132
18412500000,-32.848888,1.0388409
18426250000,-32.790821,-59.882782
18440000000,-32.968063,-120.59937
18453750000,-33.082626,179.36792
18467500000,-33.114246,120.06747
18481250000,-33.025646,60.818203
18495000000,-32.930653,0.80145693
18508750000,-32.677803,-60.117905
18522500000,-32.638317,-121.45892
18536250000,-32.738995,177.49365
18550000000,-32.8951,116.74406
18563750000,-32.910454,56.58308
18577500000,-32.874973,-2.5923309
18591250000,-32.822071,-63.091633
18605000000,-32.782822,-123.38645
18618750000,-32.674576,175.70749
18632500000,-32.759575,115.57256
18646250000,-32.65332,54.131729
18660000000,-32.715706,-6.823266
18673750000,-32.840954,-67.241058
18687500000,-32.92474,-126.8606
18701250000,-32.884197,173.29248
18715000000,-32.833023,113.18294
18728750000,-32.711853,52.242088
18742500000,-32.733242,-8.7102394
18756250000,-32.789639,-70.188469
18770000000,-32.863445,-130.56879
18783750000,-32.966251,169.31543
18797500000,-33.060081,110.1445
18811250000,-32.900562,50.483875
18825000000,-32.700798,-10.108456
18838750000,-32.717289,-70.640091
18852500000,-32.7612,-131.88
18866250000,-32.825142,167.13231
18880000000,-32.951492,107.33521
18893750000,-32.904083,47.153252
18907500000,-32.885086,-12.061795
18921250000,-32.773907,-73.088036
18935000000,-32.813549,-133.53784
18948750000,-32.925663,165.5255
18962500000,-32.765446,104.95376
18976250000,-32.864567,44.224319
18990000000,-32.998142,-15.980846
19003750000,-33.021442,-75.489288
19017500000,-32.990177,-135.46837
19031250000,-32.983212,164.15536
19045000000,-32.937698,104.22321
19058750000,-32.850353,43.605412
19072500000,-32.743359,-17.518473
19086250000,-32.865326,-78.029549
19100000000,-32.955959,-138.80495
19113750000,-33.023846,161.56085
19127500000,-32.978798,102.20927
19141250000,-32.958206,42.080875
19155000000,-32.781071,-18.935623
19168750000,-32.754017,-79.77742
19182500000,-32.912659,-140.67007
19196250000,-32.92408,159.2793
19210000000,-32.964436,98.780365
19223750000,-32.932529,38.553513
19237500000,-32.904282,-21.51016
19251250000,-32.908852,-81.412857
19265000000,-32.858704,-141.81778
19278750000,-32.972462,156.92282
19292500000,-32.96756,96.691681
19306250000,-32.9594,35.931854
19320000000,-33.090389,-24.708
19333750000,-33.124573,-84.369423
19347500000,-33.264088,-143.77347
19361250000,-33.284817,155.58229
19375000000,-33.195908,95.891342
19388750000,-33.130104,35.87611
19402500000,-33.118393,-24.533794
19416250000,-33.233353,-85.129555
19430000000,-33.315292,-144.61237
19443750000,-33.18681,155.26921
19457500000,-33.190704,95.435272
19471250000,-33.072124,35.160976
19485000000,-32.966854,-24.428015
19498750000,-32.9757,-85.6511
19512500000,-33.035446,-146.20537
19526250000,-32.999023,154.05861
19540000000,-33.135723,93.212128
