!CSV A.01.01
!Keysight Technologies,P9377B,MY61100645,A.17.60.13
!Date: Wednesday, July 02, 2025 19:32:04
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(DB),S21(DEG)
18000000000,-35.513348,-28.356489
18013750000,-35.613594,-88.983063
18027500000,-35.694595,-148.81223
18041250000,-35.762783,151.25729
18055000000,-35.740467,91.503006
18068750000,-35.464825,31.288698
18082500000,-35.365852,-30.104483
18096250000,-35.359871,-91.134697
18110000000,-35.528034,-151.83324
18123750000,-35.539207,148.55321
18137500000,-35.56509,88.184685
18151250000,-35.445343,27.993069
18165000000,-35.42551,-31.310526
18178750000,-35.187954,-92.904808
18192500000,-35.147606,-154.3089
18206250000,-35.207249,144.50146
18220000000,-35.299263,83.487068
18233750000,-35.365009,23.651279
18247500000,-35.341976,-36.985531
18261250000,-35.384914,-96.899658
18275000000,-35.406857,-157.38985
18288750000,-35.270565,141.24318
18302500000,-35.233616,81.453682
18316250000,-35.291847,20.069765
18330000000,-35.407078,-41.571918
18343750000,-35.449032,-101.32784
18357500000,-35.570839,-161.36813
18371250000,-35.623417,138.73251
18385000000,-35.458115,79.687737
18398750000,-35.323307,18.941393
18412500000,-35.266903,-42.455223
18426250000,-35.220913,-102.95913
18440000000,-35.395626,-163.97208
18453750000,-35.474953,135.95511
18467500000,-35.602879,76.008179
18481250000,-35.496029,16.561283
18495000000,-35.286507,-43.698715
18508750000,-35.154366,-104.33614
18522500000,-35.158691,-165.25452
18536250000,-35.186939,133.20126
18550000000,-35.314358,72.66687
18563750000,-35.361904,12.129355
18577500000,-35.356865,-47.721428
18591250000,-35.236874,-107.77161
18605000000,-35.259945,-168.28528
18618750000,-35.152443,131.14072
18632500000,-35.149837,70.380135
18646250000,-35.091686,9.0781202
18660000000,-35.160233,-51.169476
18673750000,-35.1759,-111.82742
18687500000,-35.242867,-171.8168
18701250000,-35.371483,128.34898
18715000000,-35.325638,68.131775
18728750000,-35.126892,8.2527866
18742500000,-34.995953,-53.52367
18756250000,-35.09293,-114.57442
18770000000,-35.283619,-175.08405
18783750000,-35.312878,124.36769
18797500000,-35.416847,65.440498
18811250000,-35.26495,5.1216607
18825000000,-35.070271,-55.052059
18838750000,-35.080681,-116.62061
18852500000,-35.092575,-176.89671
18866250000,-35.149361,122.57693
18880000000,-35.170288,62.235722
18893750000,-35.159744,2.1751862
18907500000,-35.181602,-58.131618
18921250000,-35.167843,-118.31102
18935000000,-34.996712,-179.36954
18948750000,-35.055492,120.99824
18962500000,-35.081356,59.897316
18976250000,-35.037228,-1.3001935
18990000000,-35.240074,-62.37841
19003750000,-35.153332,-121.63139
19017500000,-35.175243,178.34811
19031250000,-35.251362,118.47489
19045000000,-35.165764,58.320881
19058750000,-35.127853,-2.4951122
19072500000,-35.046047,-64.266312
19086250000,-35.142071,-124.74239
19100000000,-35.282791,175.10487
19113750000,-35.232109,115.24977
