!CSV A.01.01
!Keysight Technologies,P9377B,MY61100645,A.17.60.13
!Date: Wednesday, July 02, 2025 19:32:11
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(DB),S21(DEG)
18000000000,-35.475132,-29.083096
18013750000,-35.615887,-88.67202
18027500000,-35.696285,-148.7542
18041250000,-35.638851,151.34555
18055000000,-35.619514,92.014748
18068750000,-35.49831,31.052069
18082500000,-35.418243,-29.784952
18096250000,-35.364521,-91.036522
18110000000,-35.411396,-152.45726
18123750000,-35.55275,147.5744
18137500000,-35.662876,87.911018
18151250000,-35.561848,28.431452
18165000000,-35.355839,-31.592354
18178750000,-35.290634,-92.853302
18192500000,-35.169563,-153.56894
18206250000,-35.222492,145.08627
18220000000,-35.312885,83.763229
18233750000,-35.397366,23.647789
18247500000,-35.346531,-37.028011
18261250000,-35.522434,-97.172607
18275000000,-35.334778,-157.31601
18288750000,-35.29744,142.03244
18302500000,-35.371109,81.297791
18316250000,-35.179024,20.176409
18330000000,-35.23563,-41.259781
18343750000,-35.429535,-101.585
18357500000,-35.534824,-160.58517
18371250000,-35.533058,139.76013
18385000000,-35.502163,78.680969
18398750000,-35.307114,18.935059
18412500000,-35.213776,-42.086628
18426250000,-35.286213,-102.85231
18440000000,-35.254276,-164.07086
18453750000,-35.460072,135.79457
18467500000,-35.512672,76.914978
18481250000,-35.337547,16.130301
18495000000,-35.238228,-42.92384
18508750000,-35.170311,-104.55777
18522500000,-35.132961,-165.52394
18536250000,-35.134071,133.31409
18550000000,-35.322571,72.406075
18563750000,-35.398972,11.786273
18577500000,-35.261547,-47.993198
18591250000,-35.26442,-107.78414
18605000000,-35.154457,-168.07994
18618750000,-35.18079,130.90747
18632500000,-35.090553,70.157646
18646250000,-35.039658,9.5346279
18660000000,-35.130909,-51.632874
18673750000,-35.206299,-112.0357
18687500000,-35.373386,-170.90999
18701250000,-35.325443,128.41051
18715000000,-35.229347,67.961998
18728750000,-35.102909,7.8552785
18742500000,-35.100754,-53.303543
18756250000,-35.036907,-114.98517
18770000000,-35.233021,-175.49791
