!CSV A.01.01
!Keysight Technologies,P9377B,MY61100645,A.17.60.13
!Date: Friday, July 04, 2025 20:26:11
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(DB),S21(DEG)
18000000000,-33.453499,107.09138
18013750000,-33.924446,47.47646
18027500000,-34.001255,-12.129832
18041250000,-34.088665,-72.284447
18055000000,-34.149273,-130.62112
18068750000,-33.944931,169.9415
18082500000,-33.912663,109.3818
18096250000,-33.747772,48.953857
18110000000,-33.709721,-12.92311
18123750000,-34.043015,-72.328163
18137500000,-33.973919,-133.37407
18151250000,-34.126915,167.77129
18165000000,-33.949863,109.45748
18178750000,-33.661514,49.46217
18192500000,-33.34341,-11.770296
18206250000,-33.152496,-74.209381
18220000000,-33.450798,-137.01172
18233750000,-33.723827,162.56044
18247500000,-33.81406,102.7085
18261250000,-33.954243,43.356297
18275000000,-33.966354,-15.884201
18288750000,-33.623714,-76.558693
18302500000,-33.6441,-137.93695
18316250000,-33.571678,160.8831
18330000000,-33.95961,100.48004
18343750000,-34.145973,40.543442
18357500000,-34.146336,-16.125099
18371250000,-33.800755,-77.623993
18385000000,-33.931431,-137.88908
18398750000,-33.818699,162.60063
18412500000,-33.618549,100.86665
18426250000,-33.825443,40.76305
18440000000,-33.796207,-18.787857
18453750000,-33.729797,-78.843643
18467500000,-33.755932,-138.38141
18481250000,-33.373947,161.31494
18495000000,-33.454754,100.76275
18508750000,-33.278854,40.054256
18522500000,-33.17622,-21.294584
18536250000,-33.375061,-82.780037
18550000000,-33.416451,-142.66701
18563750000,-33.455223,158.05334
18577500000,-33.29678,98.087143
18591250000,-33.099052,36.335564
18605000000,-33.130402,-25.073479
18618750000,-33.133827,-86.20034
18632500000,-33.237514,-147.47218
18646250000,-33.500076,152.40085
18660000000,-33.559513,93.044846
18673750000,-33.58847,32.996601
18687500000,-33.553097,-26.731514
18701250000,-33.55759,-86.963326
18715000000,-33.694649,-147.33397
18728750000,-33.603428,154.04747
18742500000,-33.407593,94.266678
18756250000,-33.357838,32.909424
18770000000,-33.245041,-26.930559
18783750000,-33.134663,-88.00515
18797500000,-33.1348,-148.67476
18811250000,-33.010727,150.64398
18825000000,-33.202423,90.350662
18838750000,-33.152451,31.042673
18852500000,-32.865086,-29.974566
18866250000,-32.920097,-93.625717
18880000000,-33.144302,-153.66077
18893750000,-33.152988,146.11089
18907500000,-33.355179,86.621994
18921250000,-33.352802,26.94099
18935000000,-33.366322,-32.970592
18948750000,-33.385742,-93.069901
18962500000,-33.160988,-153.22733
18976250000,-33.095943,145.18109
18990000000,-33.201935,83.946991
19003750000,-33.34687,24.785316
19017500000,-33.523491,-36.249245
19031250000,-33.456161,-95.152031
19045000000,-33.564156,-154.99988
19058750000,-33.437042,145.48767
19072500000,-33.335388,85.255051
19086250000,-33.191628,23.76211
19100000000,-33.420448,-36.772175
19113750000,-33.43087,-96.0103
19127500000,-33.386726,-156.56407
19141250000,-33.657429,144.29482
19155000000,-33.249306,85.20285
19168750000,-33.069363,23.942492
19182500000,-32.921879,-37.811199
19196250000,-33.027275,-100.13882
19210000000,-33.252613,-160.52194
19223750000,-33.474712,140.27214
19237500000,-33.417603,80.455002
19251250000,-33.336735,20.360365
19265000000,-33.186947,-40.058777
19278750000,-33.287251,-103.02447
19292500000,-33.580887,-163.16066
19306250000,-33.704739,137.28061
19320000000,-33.916611,78.139709
19333750000,-33.964512,20.557634
19347500000,-33.530849,-38.43811
19361250000,-33.489944,-99.035034
19375000000,-33.448895,-159.25047
19388750000,-33.301121,138.97774
19402500000,-33.439274,78.716637
19416250000,-33.511494,18.591078
19430000000,-33.458462,-40.931053
19443750000,-33.303165,-101.35395
19457500000,-33.285431,-161.84421
19471250000,-33.416336,137.13477
19485000000,-33.270123,77.191101
19498750000,-33.399242,16.707275
19512500000,-33.499218,-43.952667
19526250000,-33.519493,-103.37595
19540000000,-33.427639,-162.79437
19553750000,-33.399364,137.45671
19567500000,-33.292328,76.840637
19581250000,-33.365623,15.512553
19595000000,-33.438316,-44.528408
19608750000,-33.369446,-104.50662
19622500000,-33.539265,-165.16644
19636250000,-33.622295,135.85631
19650000000,-33.417366,75.626717
19663750000,-33.319649,15.668579
19677500000,-33.243946,-46.596375
