!CSV A.01.01
!Keysight Technologies,P9377B,MY61100645,A.17.60.13
!Date: Friday, July 04, 2025 20:26:18
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(DB),S21(DEG)
18000000000,-33.438248,107.13796
18013750000,-33.87978,47.01231
18027500000,-33.857441,-12.150238
18041250000,-34.170246,-72.112671
18055000000,-34.128487,-130.95309
18068750000,-34.144966,169.32074
18082500000,-33.915134,109.38935
18096250000,-33.827454,48.981285
18110000000,-33.771782,-12.618046
18123750000,-34.014168,-72.998444
18137500000,-34.058681,-132.21562
18151250000,-34.154457,168.76547
18165000000,-33.932438,108.91415
18178750000,-33.748795,49.117607
18192500000,-33.379395,-11.353134
18206250000,-33.147213,-75.000237
18220000000,-33.413773,-136.75343
18233750000,-33.752831,162.78416
18247500000,-33.810844,103.12401
18261250000,-33.950687,42.968685
18275000000,-33.935707,-15.960563
18288750000,-33.583054,-76.129501
18302500000,-33.615704,-138.13458
18316250000,-33.641235,161.05058
18330000000,-33.949978,99.845749
18343750000,-34.201969,41.028011
18357500000,-34.174095,-16.802361
18371250000,-33.837196,-77.065742
18385000000,-33.883575,-137.19983
18398750000,-33.806492,162.75046
18412500000,-33.683968,101.22663
18426250000,-33.804985,40.965256
18440000000,-33.720909,-18.845476
18453750000,-33.789188,-79.218628
18467500000,-33.707527,-138.29547
18481250000,-33.410046,161.13728
18495000000,-33.434486,100.00675
18508750000,-33.357246,39.718761
18522500000,-33.174828,-21.17222
18536250000,-33.457615,-82.495308
18550000000,-33.50769,-142.8688
18563750000,-33.528919,157.65927
18577500000,-33.386456,98.392334
18591250000,-33.15292,37.30394
18605000000,-33.135674,-24.752789
18618750000,-33.198093,-85.452942
18632500000,-33.205441,-146.15506
18646250000,-33.353783,152.8708
18660000000,-33.452396,92.929871
18673750000,-33.513611,33.381447
18687500000,-33.456436,-26.799961
18701250000,-33.559059,-87.380005
18715000000,-33.695358,-147.52013
18728750000,-33.681995,154.25681
18742500000,-33.460552,93.999252
18756250000,-33.308113,33.424141
18770000000,-33.324566,-27.052902
18783750000,-33.139603,-88.074371
18797500000,-33.107452,-148.89565
18811250000,-33.074371,150.69658
18825000000,-33.247272,90.424316
18838750000,-33.06461,31.376352
18852500000,-32.787609,-30.154583
18866250000,-32.899494,-93.116356
18880000000,-33.107239,-153.54626
18893750000,-33.208557,146.12436
18907500000,-33.282444,86.025627
18921250000,-33.521023,26.146847
18935000000,-33.292957,-32.725353
18948750000,-33.34079,-92.298698
18962500000,-33.126434,-153.17216
18976250000,-33.227039,145.05997
18990000000,-33.39127,84.746048
19003750000,-33.380302,24.792423
19017500000,-33.476311,-35.74979
19031250000,-33.632477,-94.667046
19045000000,-33.526218,-154.33704
19058750000,-33.49374,145.14429
19072500000,-33.253849,85.23053
19086250000,-33.224339,23.144897
19100000000,-33.479305,-37.165035
19113750000,-33.383045,-96.363747
19127500000,-33.417168,-157.54179
19141250000,-33.586914,143.50253
19155000000,-33.358822,85.006241
19168750000,-33.137424,24.101059
19182500000,-32.917713,-37.452435
19196250000,-33.021713,-99.54866
19210000000,-33.251213,-160.45224
19223750000,-33.396557,140.63394
19237500000,-33.344017,80.532875
19251250000,-33.329483,21.214504
19265000000,-33.125847,-40.300789
19278750000,-33.184696,-102.76673
19292500000,-33.562332,-163.27954
19306250000,-33.649235,137.04335
19320000000,-33.975243,78.144798
19333750000,-34.048687,20.682928
19347500000,-33.607574,-39.238255
19361250000,-33.624458,-99.556107
19375000000,-33.452831,-158.38309
19388750000,-33.361225,139.45264
19402500000,-33.422886,78.383934
19416250000,-33.470058,18.829206
19430000000,-33.319244,-41.001457
19443750000,-33.318005,-100.90488
19457500000,-33.294281,-162.03317
19471250000,-33.342045,137.48293
19485000000,-33.395676,77.027924
19498750000,-33.479332,16.482344
19512500000,-33.462673,-43.671524
19526250000,-33.546246,-103.00869
19540000000,-33.54184,-162.84581
19553750000,-33.361908,137.62494
19567500000,-33.253952,76.676102
19581250000,-33.425789,15.897926
19595000000,-33.433563,-44.140816
19608750000,-33.358398,-104.35254
19622500000,-33.561813,-164.94579
19636250000,-33.546234,135.62114
19650000000,-33.427834,75.527023
19663750000,-33.245361,15.114498
19677500000,-33.275017,-46.487663
19691250000,-33.540474,-106.69017
19705000000,-33.602901,-165.59465
19718750000,-33.537052,134.69702
19732500000,-33.512844,74.666641
19746250000,-33.352863,15.087401
19760000000,-33.279686,-45.76326
19773750000,-33.270916,-106.79705
19787500000,-33.368904,-167.57758
19801250000,-33.465919,132.3268
19815000000,-33.586571,73.519417
19828750000,-33.431202,14.301394
19842500000,-33.421387,-47.078888
19856250000,-33.437111,-107.71745
19870000000,-33.45858,-168.7079
19883750000,-33.627102,130.12698
19897500000,-33.713848,71.472328
19911250000,-33.759563,11.136483
19925000000,-33.785824,-47.327667
19938750000,-33.804165,-107.07198
19952500000,-33.610157,-168.02625
19966250000,-33.709633,132.34962
19980000000,-33.716171,72.488297
19993750000,-33.670872,13.184147
20007500000,-33.575493,-46.319412
20021250000,-33.550251,-106.32358
20035000000,-33.488728,-166.69458
20048750000,-33.43705,132.729
20062500000,-33.292076,71.603798
20076250000,-33.705288,10.366932
20090000000,-33.77457,-49.278034
20103750000,-33.712067,-108.67917
20117500000,-33.616531,-168.07002
20131250000,-33.475056,131.67442
20145000000,-33.488846,71.263634
20158750000,-33.523109,9.9225292
20172500000,-33.808231,-50.32019
20186250000,-33.907928,-109.99136
20200000000,-33.842018,-167.91216
20213750000,-33.69014,132.38881
20227500000,-33.562248,72.418137
20241250000,-33.44973,11.5441
20255000000,-33.561001,-49.56451
20268750000,-33.482521,-109.4047
20282500000,-33.568722,-169.36975
20296250000,-33.710869,131.03348
20310000000,-33.616585,72.545517
20323750000,-33.240986,11.421392
20337500000,-33.416851,-49.767082
20351250000,-33.542221,-109.61282
20365000000,-33.550964,-169.47794
20378750000,-33.391953,130.29443
20392500000,-33.487556,71.289009
20406250000,-33.314137,10.244246
20420000000,-33.247387,-49.676834
20433750000,-33.192371,-110.40279
20447500000,-33.277081,-172.3624
20461250000,-33.295563,128.18672
20475000000,-33.465668,68.884529
20488750000,-33.38728,8.5230742
20502500000,-33.464283,-51.234386
20516250000,-33.417221,-110.82084
20530000000,-33.272778,-170.92657
20543750000,-33.199532,127.27197
20557500000,-33.364689,66.301216
20571250000,-33.600636,7.4825835
20585000000,-33.594173,-51.650169
20598750000,-33.655533,-110.22491
20612500000,-33.275455,-169.82494
20626250000,-33.129055,129.30971
20640000000,-32.928825,68.389267
20653750000,-32.934807,6.6287036
20667500000,-33.273598,-55.817295
20681250000,-33.615776,-114.36314
20695000000,-33.496807,-172.70987
20708750000,-33.408596,127.24968
20722500000,-33.271812,67.116966
20736250000,-33.231083,6.8028722
20750000000,-33.32526,-55.118187
20763750000,-33.450172,-115.22551
20777500000,-33.48468,-175.66458
20791250000,-33.637215,126.13383
20805000000,-33.59729,67.618706
20818750000,-33.47871,6.3352671
20832500000,-33.52969,-53.099583
20846250000,-33.433952,-113.62296
20860000000,-33.307629,-173.81377
