!CSV A.01.01
!Keysight Technologies,P9377B,MY61100645,A.17.60.13
!Date: Wednesday, July 02, 2025 19:23:46
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(DB),S21(DEG)
18000000000,-29.273941,68.985573
18013750000,-29.517824,9.2219343
18027500000,-29.517872,-50.396362
18041250000,-29.523603,-109.97113
18055000000,-29.318895,-169.37859
18068750000,-29.117868,129.8727
18082500000,-29.0266,68.191338
18096250000,-29.080833,7.2701278
18110000000,-29.121342,-53.383957
18123750000,-29.18252,-113.55499
18137500000,-29.144413,-173.86604
18151250000,-29.079683,126.06933
18165000000,-28.941422,65.874229
18178750000,-28.890345,4.3772526
18192500000,-28.792061,-56.958408
18206250000,-28.830568,-117.77525
18220000000,-28.898911,-179.22992
18233750000,-29.010202,120.05202
18247500000,-29.090994,59.605812
18261250000,-29.174105,-0.074337862
18275000000,-29.121019,-60.069214
18288750000,-29.022333,-120.37019
18302500000,-28.973167,178.61053
18316250000,-28.984854,117.22446
18330000000,-29.152269,56.770679
18343750000,-29.329304,-3.6072829
18357500000,-29.395746,-62.921669
18371250000,-29.404173,-121.87201
18385000000,-29.248312,177.84715
18398750000,-29.124662,117.18341
18412500000,-29.018202,56.3689
18426250000,-29.032352,-4.386209
18440000000,-29.138992,-65.199211
18453750000,-29.123056,-125.25444
18467500000,-29.111382,174.96597
18481250000,-29.047234,115.10265
18495000000,-28.981678,54.65456
18508750000,-28.808821,-6.0735641
18522500000,-28.830997,-66.863625
18536250000,-28.801683,-128.42624
18550000000,-28.898882,170.95055
18563750000,-28.983936,110.44386
18577500000,-29.020472,50.92934
18591250000,-28.935495,-9.2213993
18605000000,-28.854206,-69.321289
18618750000,-28.807913,-129.94897
18632500000,-28.748182,168.80162
18646250000,-28.791517,107.99217
18660000000,-28.927267,47.248623
18673750000,-29.061928,-12.737085
18687500000,-28.958826,-72.454605
18701250000,-28.956272,-132.21202
18715000000,-28.878,167.50693
18728750000,-28.784683,106.63642
18742500000,-28.730484,45.634571
18756250000,-28.894213,-15.408922
18770000000,-28.957237,-75.716446
18783750000,-28.978735,-135.56128
18797500000,-29.002457,164.99754
18811250000,-28.926449,104.57516
18825000000,-28.797752,44.474087
18838750000,-28.769186,-16.170929
18852500000,-28.848217,-77.142235
18866250000,-28.779003,-138.01755
18880000000,-28.898203,161.30884
18893750000,-28.969526,101.42747
18907500000,-28.941059,41.973717
18921250000,-28.936905,-17.905062
18935000000,-28.831984,-78.366562
18948750000,-28.728941,-138.95036
18962500000,-28.72933,159.96893
18976250000,-28.803642,99.152504
18990000000,-28.908033,39.252335
19003750000,-28.872101,-20.708855
19017500000,-28.889994,-80.276154
19031250000,-28.775921,-140.69177
19045000000,-28.60433,159.05772
19058750000,-28.610394,98.051849
19072500000,-28.602179,37.065933
19086250000,-28.65221,-23.605959
19100000000,-28.734547,-83.596901
19113750000,-28.769753,-144.00908
19127500000,-28.717173,155.74794
19141250000,-28.658741,95.266434
19155000000,-28.62598,34.947475
19168750000,-28.665485,-26.232931
19182500000,-28.706669,-86.649918
19196250000,-28.723858,-146.638
19210000000,-28.812082,152.38382
19223750000,-28.87537,92.971527
19237500000,-28.954153,32.864059
19251250000,-28.868284,-27.614574
19265000000,-28.858845,-87.841736
19278750000,-28.845512,-148.10625
19292500000,-28.824759,151.21519
19306250000,-28.894808,90.669952
19320000000,-28.915728,30.707466
19333750000,-29.038336,-29.081272
19347500000,-28.989239,-88.770729
19361250000,-28.955545,-148.78964
19375000000,-28.858192,151.0826
19388750000,-28.802511,90.342072
19402500000,-28.794531,29.956551
19416250000,-28.829124,-30.087978
19430000000,-28.835054,-90.163719
19443750000,-28.805037,-150.70444
19457500000,-28.763754,149.25015
19471250000,-28.758945,88.899574
19485000000,-28.754412,28.409094
19498750000,-28.691769,-32.074078
19512500000,-28.695494,-92.776375
19526250000,-28.702446,-153.28072
19540000000,-28.788815,146.06334
19553750000,-28.820807,85.549881
19567500000,-28.840363,25.325495
19581250000,-28.866949,-34.608372
19595000000,-28.918909,-94.712242
19608750000,-28.831293,-155.28549
19622500000,-28.849165,144.45117
19636250000,-29.001776,83.92495
19650000000,-29.07395,23.608541
19663750000,-29.135141,-36.233044
19677500000,-29.180595,-95.474792
19691250000,-29.140141,-155.49281
19705000000,-29.033596,144.48228
19718750000,-29.057579,84.189316
19732500000,-29.06439,23.772528
19746250000,-29.093431,-35.955395
19760000000,-29.117208,-96.201035
19773750000,-29.124403,-156.23833
19787500000,-29.076389,143.7256
19801250000,-29.058521,84.18235
19815000000,-29.020206,23.690479
19828750000,-28.952673,-36.306507
19842500000,-29.011536,-96.56218
19856250000,-28.902342,-156.84373
19870000000,-28.902245,142.35681
