!CSV A.01.01
!Keysight Technologies,P9377B,MY61100645,A.17.60.13
!Date: Wednesday, July 02, 2025 19:23:53
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(DB),S21(DEG)
18000000000,-29.347809,69.175804
18013750000,-29.55673,9.049943
18027500000,-29.578114,-50.433365
18041250000,-29.539768,-109.71741
18055000000,-29.371426,-169.17097
18068750000,-29.118425,130.23897
18082500000,-29.048145,68.554832
18096250000,-29.084171,7.544189
18110000000,-29.08882,-53.313282
18123750000,-29.134029,-113.55383
18137500000,-29.109705,-173.25522
18151250000,-29.098419,126.34823
18165000000,-28.919247,65.551125
18178750000,-28.825674,4.2282181
18192500000,-28.792488,-56.816826
18206250000,-28.834509,-118.06522
18220000000,-28.989895,-179.15898
18233750000,-28.999868,120.23859
18247500000,-29.208242,59.872177
18261250000,-29.201927,0.14146024
18275000000,-29.079037,-59.951302
18288750000,-29.025717,-120.41143
18302500000,-29.001312,178.54332
18316250000,-29.010281,117.13865
18330000000,-29.107346,56.379726
18343750000,-29.307266,-3.3547552
18357500000,-29.418362,-62.850739
18371250000,-29.356215,-122.14713
18385000000,-29.234255,178.23445
18398750000,-29.067064,117.41506
18412500000,-29.010462,56.517929
18426250000,-29.006176,-4.3748097
18440000000,-29.130585,-65.037193
18453750000,-29.175037,-125.51073
18467500000,-29.152151,175.13156
18481250000,-29.050301,115.09549
18495000000,-28.97385,54.674278
18508750000,-28.876154,-5.6010447
18522500000,-28.802992,-67.027138
18536250000,-28.828382,-128.2626
18550000000,-28.869087,171.0192
18563750000,-28.952076,110.70963
18577500000,-29.077431,50.636978
18591250000,-29.016241,-8.9105768
18605000000,-28.892147,-69.039589
18618750000,-28.798632,-130.00333
18632500000,-28.723831,169.03349
18646250000,-28.76697,107.84626
18660000000,-28.902042,46.67041
18673750000,-29.022377,-12.839025
18687500000,-29.038092,-72.247047
18701250000,-29.006943,-132.13181
18715000000,-28.840776,167.78377
18728750000,-28.783445,106.60514
18742500000,-28.776386,45.530586
18756250000,-28.81267,-15.440539
18770000000,-28.921932,-75.92807
18783750000,-28.971901,-135.65823
18797500000,-28.990707,164.78883
18811250000,-28.9238,104.64983
18825000000,-28.86953,44.357189
18838750000,-28.74679,-16.383148
18852500000,-28.733511,-77.329674
18866250000,-28.79698,-138.26248
18880000000,-28.901657,161.37245
18893750000,-28.967934,101.4387
18907500000,-28.9618,42.038612
18921250000,-28.881094,-18.148438
18935000000,-28.831163,-78.101891
18948750000,-28.762341,-139.01117
18962500000,-28.683907,160.21767
18976250000,-28.842592,99.083847
18990000000,-28.868401,39.074627
19003750000,-28.866856,-20.651079
19017500000,-28.859938,-80.28318
19031250000,-28.77236,-140.68271
19045000000,-28.649036,158.69319
19058750000,-28.597689,98.023811
19072500000,-28.629293,36.909302
19086250000,-28.675051,-23.72521
19100000000,-28.693199,-84.098236
19113750000,-28.782135,-143.9035
19127500000,-28.740749,155.90631
19141250000,-28.687197,95.522888
19155000000,-28.601995,34.865078
19168750000,-28.675421,-25.722311
19182500000,-28.696632,-86.380241
19196250000,-28.749557,-147.04657
19210000000,-28.786568,152.39072
19223750000,-28.899651,92.177177
19237500000,-28.896446,32.465656
19251250000,-28.91445,-27.366749
19265000000,-28.857986,-87.725128
19278750000,-28.896154,-148.28947
19292500000,-28.846392,151.30807
19306250000,-28.926805,90.921844
19320000000,-28.933939,31.180414
19333750000,-29.008907,-29.43733
19347500000,-28.980703,-88.69062
19361250000,-28.948521,-148.33243
19375000000,-28.777298,151.24937
19388750000,-28.778337,90.546127
19402500000,-28.790512,29.865709
19416250000,-28.848541,-30.107132
19430000000,-28.847347,-90.359329
19443750000,-28.791761,-150.81586
19457500000,-28.820755,148.95421
19471250000,-28.787838,89.179176
19485000000,-28.759592,28.249928
19498750000,-28.686329,-32.184776
19512500000,-28.664719,-92.764595
19526250000,-28.683975,-153.19469
19540000000,-28.748667,145.88428
19553750000,-28.774963,85.73645
19567500000,-28.882912,25.648693
19581250000,-28.930637,-34.212864
19595000000,-28.895506,-94.906761
19608750000,-28.894154,-155.25424
19622500000,-28.876551,144.3904
19636250000,-28.922115,83.810318
19650000000,-29.058596,23.728865
19663750000,-29.119217,-36.029282
19677500000,-29.107189,-95.648911
19691250000,-29.091219,-155.43866
19705000000,-29.134712,144.2728
19718750000,-29.024405,84.271729
19732500000,-29.046928,23.551477
19746250000,-29.082512,-36.372288
19760000000,-29.150709,-96.215096
19773750000,-29.112804,-155.9496
19787500000,-29.128773,143.82974
19801250000,-29.081841,84.02993
19815000000,-29.043856,23.811794
19828750000,-28.972979,-36.259037
19842500000,-28.914848,-96.543755
19856250000,-28.939186,-156.78326
19870000000,-28.884212,142.51985
19883750000,-28.973301,82.221703
19897500000,-28.947887,22.220995
19911250000,-28.930319,-37.975559
19925000000,-28.830191,-98.319633
19938750000,-28.822929,-159.26294
19952500000,-28.848505,140.27142
