!CSV A.01.01
!Keysight Technologies,P9377B,MY61100645,A.17.60.13
!Date: Wednesday, July 02, 2025 19:17:57
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(DB),S21(DEG)
18000000000,-31.679062,49.959095
18013750000,-31.759039,-10.280861
18027500000,-31.840044,-70.247147
18041250000,-31.912771,-129.2424
18055000000,-31.77606,170.65268
18068750000,-31.636595,110.04912
18082500000,-31.45993,48.703426
18096250000,-31.498615,-12.368192
18110000000,-31.57128,-73.266502
18123750000,-31.613544,-133.41397
18137500000,-31.713211,167.06003
18151250000,-31.629969,107.06898
18165000000,-31.491232,46.627594
18178750000,-31.419973,-14.6959
18192500000,-31.342653,-75.902687
18206250000,-31.38805,-136.72958
18220000000,-31.450729,162.51465
18233750000,-31.504086,101.87643
18247500000,-31.691492,41.747665
18261250000,-31.555834,-18.028345
18275000000,-31.483116,-77.721191
18288750000,-31.402437,-138.53104
18302500000,-31.345884,160.2365
18316250000,-31.311598,99.076355
18330000000,-31.458231,37.879818
18343750000,-31.566216,-22.465609
18357500000,-31.719303,-81.988647
18371250000,-31.713303,-141.66418
18385000000,-31.558475,158.88339
18398750000,-31.401274,97.795349
18412500000,-31.322456,37.235622
18426250000,-31.286598,-23.923056
18440000000,-31.504124,-85.395042
18453750000,-31.577385,-145.01503
18467500000,-31.576668,155.09167
18481250000,-31.490711,95.718643
18495000000,-31.362738,35.465054
18508750000,-31.27947,-25.265331
18522500000,-31.244158,-86.281616
18536250000,-31.271734,-147.2487
18550000000,-31.417723,152.08679
18563750000,-31.395599,91.649323
18577500000,-31.4028,31.419868
18591250000,-31.428381,-28.214201
18605000000,-31.331554,-88.817284
18618750000,-31.211601,-149.5033
18632500000,-31.19886,149.53947
18646250000,-31.280363,88.647743
18660000000,-31.381088,27.59211
18673750000,-31.426174,-32.685925
18687500000,-31.510109,-91.741356
18701250000,-31.483791,-151.61958
18715000000,-31.37771,148.79916
18728750000,-31.207624,87.691101
18742500000,-31.2139,26.553137
18756250000,-31.281954,-34.58057
18770000000,-31.340405,-95.177345
18783750000,-31.475477,-154.97147
18797500000,-31.439735,145.78894
18811250000,-31.343782,85.47821
18825000000,-31.278786,25.199514
18838750000,-31.178101,-35.531094
18852500000,-31.240541,-96.809654
18866250000,-31.269373,-157.45674
18880000000,-31.317945,142.53651
18893750000,-31.284935,82.437805
18907500000,-31.355297,22.518341
18921250000,-31.329334,-37.670391
18935000000,-31.251879,-98.212952
18948750000,-31.174652,-158.55905
18962500000,-31.236458,140.84732
18976250000,-31.251249,79.264412
18990000000,-31.319189,19.416508
19003750000,-31.358156,-40.9217
19017500000,-31.352737,-100.70821
19031250000,-31.367611,-160.17972
19045000000,-31.259207,139.13478
19058750000,-31.176687,78.305038
19072500000,-31.037102,17.188152
19086250000,-31.187511,-43.41795
19100000000,-31.340305,-103.52361
19113750000,-31.309874,-163.81755
19127500000,-31.312609,136.98749
19141250000,-31.220551,76.621529
19155000000,-31.114132,16.264338
19168750000,-31.233845,-44.9907
19182500000,-31.187454,-105.44258
19196250000,-31.172258,-165.84496
19210000000,-31.249907,133.72076
19223750000,-31.290981,73.47229
19237500000,-31.252575,13.345441
19251250000,-31.268671,-46.573391
19265000000,-31.227909,-107.24847
19278750000,-31.244484,-167.51137
19292500000,-31.219902,132.14972
19306250000,-31.292439,71.226685
19320000000,-31.339872,11.161178
19333750000,-31.439606,-49.150646
19347500000,-31.509985,-108.45662
19361250000,-31.465433,-168.44128
19375000000,-31.372265,131.50365
19388750000,-31.325939,70.704651
19402500000,-31.333248,9.9377337
19416250000,-31.342402,-50.055195
19430000000,-31.462067,-110.61063
19443750000,-31.409273,-170.5123
19457500000,-31.39357,129.67676
19471250000,-31.344713,69.816299
19485000000,-31.275892,8.9160423
19498750000,-31.281168,-51.478348
19512500000,-31.285957,-112.09984
19526250000,-31.298361,-171.83835
19540000000,-31.340719,127.80678
19553750000,-31.292173,66.906242
19567500000,-31.296513,6.8488469
19581250000,-31.353922,-53.65274
19595000000,-31.33391,-113.55034
19608750000,-31.332941,-173.99413
19622500000,-31.332645,125.61823
