!CSV A.01.01
!Keysight Technologies,P9377B,MY61100645,A.17.60.13
!Date: Wednesday, July 02, 2025 19:18:17
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(DB),S21(DEG)
18000000000,-31.67539,49.994656
18013750000,-31.713465,-10.001409
18027500000,-31.874804,-69.850761
18041250000,-31.856066,-129.43727
18055000000,-31.768333,170.38937
18068750000,-31.594362,109.8753
18082500000,-31.512938,48.892277
18096250000,-31.489269,-12.148532
18110000000,-31.556627,-73.402977
18123750000,-31.686781,-133.28819
18137500000,-31.701559,167.04686
18151250000,-31.610176,106.97633
18165000000,-31.49412,46.927525
18178750000,-31.320505,-14.022414
18192500000,-31.376923,-75.644394
18206250000,-31.409458,-136.80843
18220000000,-31.414051,162.33481
18233750000,-31.579899,101.88316
18247500000,-31.629406,41.693027
18261250000,-31.587973,-17.690144
18275000000,-31.484419,-78.001343
18288750000,-31.448132,-138.69444
18302500000,-31.33444,160.23575
18316250000,-31.308422,98.934036
18330000000,-31.442514,37.738117
18343750000,-31.519773,-22.086136
18357500000,-31.71159,-81.893181
18371250000,-31.726427,-141.44261
18385000000,-31.576183,158.61261
18398750000,-31.408579,98.353844
18412500000,-31.29348,37.487015
18426250000,-31.300383,-24.078978
18440000000,-31.448898,-85.263313
18453750000,-31.615189,-145.15483
18467500000,-31.643488,155.25201
18481250000,-31.50078,95.639977
18495000000,-31.414955,35.756237
18508750000,-31.282873,-25.528702
18522500000,-31.238609,-86.628761
18536250000,-31.23152,-147.57959
18550000000,-31.331734,151.55391
18563750000,-31.410578,91.538658
18577500000,-31.431692,31.540974
18591250000,-31.414682,-28.764742
18605000000,-31.317404,-88.892929
18618750000,-31.233412,-149.75505
18632500000,-31.23007,149.51791
18646250000,-31.216425,89.006073
18660000000,-31.345612,27.756092
18673750000,-31.410789,-32.447697
18687500000,-31.488266,-92.410278
18701250000,-31.451635,-151.64604
18715000000,-31.361755,148.43703
18728750000,-31.252386,87.521523
18742500000,-31.184666,26.539413
18756250000,-31.261915,-34.706997
18770000000,-31.412558,-95.359322
18783750000,-31.469246,-155.08461
18797500000,-31.463238,145.48984
18811250000,-31.379356,85.515221
18825000000,-31.24111,25.27145
18838750000,-31.199192,-35.680489
18852500000,-31.193928,-96.563309
18866250000,-31.292372,-157.36464
18880000000,-31.384705,142.27237
18893750000,-31.435911,82.380058
18907500000,-31.384323,22.641083
18921250000,-31.312017,-37.747581
18935000000,-31.306562,-98.031158
18948750000,-31.184198,-158.48294
18962500000,-31.187916,140.41425
18976250000,-31.264532,79.100822
18990000000,-31.343607,19.003654
19003750000,-31.338232,-40.997616
19017500000,-31.365383,-101.07047
19031250000,-31.286345,-160.48596
19045000000,-31.188293,139.30013
19058750000,-31.17803,78.209122
19072500000,-31.115171,17.340132
19086250000,-31.256248,-43.66674
19100000000,-31.276825,-103.35867
19113750000,-31.369453,-163.28853
19127500000,-31.364502,137.05786
19141250000,-31.176966,77.058487
19155000000,-31.183043,15.85033
19168750000,-31.148418,-44.975956
19182500000,-31.2099,-105.22099
19196250000,-31.216511,-165.85567
19210000000,-31.263477,133.76639
19223750000,-31.308771,73.794533
19237500000,-31.252865,13.074234
19251250000,-31.263935,-46.427067
19265000000,-31.289455,-107.14496
19278750000,-31.301527,-167.26802
19292500000,-31.298758,132.23506
19306250000,-31.256893,71.585365
19320000000,-31.327251,11.379424
19333750000,-31.462669,-49.044121
19347500000,-31.408749,-108.89794
19361250000,-31.414524,-169.11044
19375000000,-31.343817,131.15077
19388750000,-31.257273,70.563011
19402500000,-31.280624,9.917861
19416250000,-31.307926,-50.51659
19430000000,-31.383459,-110.92736
19443750000,-31.416275,-170.58171
19457500000,-31.447189,129.56035
19471250000,-31.371965,69.234825
19485000000,-31.295834,9.1385984
19498750000,-31.237122,-51.320972
19512500000,-31.225311,-111.77478
19526250000,-31.301229,-172.50267
19540000000,-31.28043,127.83683
19553750000,-31.298956,67.095085
19567500000,-31.296362,6.889935
19581250000,-31.339283,-53.821533
19595000000,-31.348213,-113.72419
19608750000,-31.32519,-174.07031
19622500000,-31.384575,125.91011
19636250000,-31.403095,64.905983
19650000000,-31.4151,4.2034669
19663750000,-31.41791,-55.654575
19677500000,-31.549822,-114.78732
19691250000,-31.552935,-175.41234
19705000000,-31.49963,125.05009
19718750000,-31.492449,64.409988
19732500000,-31.395931,3.8305621
19746250000,-31.536263,-56.0611
19760000000,-31.621571,-116.11134
19773750000,-31.700571,-175.51866
19787500000,-31.660259,124.57372
19801250000,-31.492214,64.306122
19815000000,-31.508303,4.2863131
19828750000,-31.482479,-55.988003
19842500000,-31.424797,-116.61732
19856250000,-31.531357,-175.90977
19870000000,-31.413435,123.72206
19883750000,-31.439577,63.406151
19897500000,-31.410278,2.9128654
19911250000,-31.380529,-57.67215
19925000000,-31.370533,-117.44499
19938750000,-31.332752,-177.86256
19952500000,-31.361816,121.57491
19966250000,-31.320921,60.718082
19980000000,-31.439968,0.44237483
19993750000,-31.489218,-59.363785
20007500000,-31.469431,-119.31439
20021250000,-31.459656,-179.12003
20035000000,-31.410192,120.43356
20048750000,-31.517242,59.517872
20062500000,-31.539244,-0.23889038
20076250000,-31.624022,-60.205654
20090000000,-31.601631,-119.8549
20103750000,-31.559818,-179.22092
