!CSV A.01.01
!Keysight Technologies,P9377B,MY61100645,A.17.60.13
!Date: Friday, July 04, 2025 20:01:00
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(DB),S21(DEG)
18000000000,-23.45573,-109.45657
18013750000,-23.238808,-169.98842
18027500000,-23.010353,128.93025
18041250000,-22.946301,67.136803
18055000000,-22.991222,6.6796269
18068750000,-22.787359,-54.616871
18082500000,-22.844259,-115.96939
18096250000,-22.792997,-178.19093
18110000000,-23.067524,121.11784
18123750000,-22.993124,60.536472
18137500000,-23.182354,-0.40784383
18151250000,-23.273191,-60.938042
18165000000,-23.502581,-121.35604
18178750000,-23.583839,178.85478
18192500000,-23.800001,118.48391
18206250000,-23.916883,58.898708
18220000000,-24.090811,0.33756158
18233750000,-23.926262,-57.689007
18247500000,-23.843428,-117.93278
18261250000,-23.827717,-176.04501
18275000000,-23.531294,124.21835
18288750000,-23.337765,64.273689
18302500000,-23.089722,3.3376853
18316250000,-22.896801,-57.786633
18330000000,-22.858902,-119.30625
18343750000,-22.841722,179.97597
18357500000,-22.877197,118.36564
18371250000,-22.984522,58.904114
18385000000,-22.83415,-1.3580053
18398750000,-22.727337,-61.763638
18412500000,-22.663193,-123.80769
18426250000,-22.682495,175.53395
18440000000,-22.77887,113.04268
18453750000,-23.09226,52.909721
18467500000,-23.179874,-6.8983083
18481250000,-23.342567,-66.53141
18495000000,-23.327251,-125.07963
18508750000,-23.114962,174.40317
18522500000,-23.236488,113.08572
18536250000,-23.487659,53.318188
18550000000,-23.600756,-5.4035921
18563750000,-23.675413,-63.65884
18577500000,-23.396551,-121.16618
18591250000,-23.098644,178.90263
18605000000,-22.646059,119.45535
18618750000,-22.31798,56.346241
18632500000,-22.304995,-5.2353954
18646250000,-22.265253,-67.647194
18660000000,-22.408838,-128.02687
18673750000,-22.51226,170.47067
18687500000,-22.679197,111.24274
18701250000,-22.60338,51.137264
18715000000,-22.492241,-8.4919996
18728750000,-22.353376,-70.15554
18742500000,-22.470163,-131.07323
18756250000,-22.514383,168.08058
18770000000,-22.668152,107.64378
18783750000,-22.782637,47.965359
18797500000,-22.800817,-11.749061
18811250000,-22.771837,-72.249588
18825000000,-22.880415,-131.98076
18838750000,-22.791485,168.16014
18852500000,-22.934855,107.73798
18866250000,-22.901554,49.613667
18880000000,-22.74,-10.78341
18893750000,-22.697733,-70.153679
18907500000,-22.513584,-130.17499
18921250000,-22.32268,169.60559
18935000000,-22.104179,108.72346
18948750000,-21.929981,46.87793
18962500000,-21.987141,-15.684087
18976250000,-22.141556,-76.250778
18990000000,-22.329098,-137.66878
19003750000,-22.549349,162.91846
19017500000,-22.521286,103.44326
19031250000,-22.477917,43.818253
19045000000,-22.450281,-17.120621
19058750000,-22.496181,-76.873535
19072500000,-22.378729,-137.93217
19086250000,-22.578852,161.46565
19100000000,-22.562578,101.65657
19113750000,-22.665752,40.702801
19127500000,-22.837111,-18.708092
19141250000,-22.882065,-78.064247
19155000000,-22.910995,-137.09853
19168750000,-22.710505,163.52725
19182500000,-22.611141,103.17962
19196250000,-22.505934,43.224602
19210000000,-22.411709,-17.723806
19223750000,-22.536272,-78.492012
19237500000,-22.396679,-137.97028
19251250000,-22.410089,160.63698
19265000000,-22.368177,100.81895
19278750000,-22.395519,39.073193
19292500000,-22.551138,-20.192797
19306250000,-22.581741,-80.470634
19320000000,-22.591274,-139.63591
19333750000,-22.470701,160.30586
19347500000,-22.406233,99.687218
19361250000,-22.431248,39.371468
19375000000,-22.365582,-20.67627
19388750000,-22.325846,-81.45974
19402500000,-22.352245,-142.56039
19416250000,-22.44767,156.25728
19430000000,-22.755037,96.45681
19443750000,-22.820766,37.34684
19457500000,-22.883039,-21.515427
19471250000,-22.699368,-80.366341
19485000000,-22.604946,-140.90244
19498750000,-22.525051,158.74046
19512500000,-22.499998,98.599854
19526250000,-22.335743,38.376839
19540000000,-22.385206,-23.162661
19553750000,-22.421967,-83.777481
19567500000,-22.647703,-144.31256
19581250000,-22.706369,156.72308
19595000000,-22.716764,96.801979
19608750000,-22.667559,37.562283
19622500000,-22.613039,-22.905586
19636250000,-22.591431,-82.615326
19650000000,-22.602346,-143.02753
19663750000,-22.548769,158.1223
19677500000,-22.356701,96.998627
19691250000,-22.375109,37.090847
19705000000,-22.222404,-23.847288
19718750000,-22.253458,-84.710861
19732500000,-22.312344,-146.30547
19746250000,-22.509039,153.93568
19760000000,-22.536789,93.794266
19773750000,-22.653763,34.234802
19787500000,-22.615206,-26.065416
19801250000,-22.681896,-85.202461
19815000000,-22.573503,-145.62605
19828750000,-22.590342,154.25186
19842500000,-22.545998,93.379578
19856250000,-22.695766,32.652554
19870000000,-22.859119,-27.669491
19883750000,-23.026112,-86.160744
19897500000,-22.941799,-145.18564
19911250000,-22.896368,155.17117
19925000000,-22.804598,95.341843
19938750000,-22.728424,34.556477
19952500000,-22.792521,-25.320669
19966250000,-22.801359,-85.533104
19980000000,-22.781954,-144.76242
19993750000,-22.626667,154.27669
20007500000,-22.70648,94.138466
20021250000,-22.723646,33.599571
20035000000,-22.848846,-26.503817
20048750000,-22.9771,-86.616356
20062500000,-23.117985,-145.43628
20076250000,-23.049437,155.19614
20090000000,-23.073673,95.957901
20103750000,-22.75704,36.249752
20117500000,-22.823383,-25.170343
20131250000,-22.822832,-85.221046
20145000000,-23.020514,-144.99355
20158750000,-22.930857,155.42233
20172500000,-23.08839,95.427948
20186250000,-23.079937,36.727539
20200000000,-23.066435,-22.137184
20213750000,-22.832077,-81.570686
20227500000,-22.723139,-141.64897
20241250000,-22.468536,158.30493
20255000000,-22.402212,97.550713
20268750000,-22.284786,37.340805
20282500000,-22.158251,-24.13533
20296250000,-22.191126,-84.755104
20310000000,-22.100176,-145.77739
20323750000,-22.198587,152.46184
20337500000,-22.365961,91.128967
20351250000,-22.711481,31.41713
20365000000,-22.817314,-27.892664
20378750000,-23.01259,-86.719009
20392500000,-22.872381,-144.87534
20406250000,-22.802713,154.73961
20420000000,-22.619862,94.437111
20433750000,-22.797888,32.851887
20447500000,-22.997953,-26.867022
20461250000,-23.24457,-84.85643
20475000000,-23.062929,-143.2654
20488750000,-23.05179,157.21219
20502500000,-22.901089,98.935051
20516250000,-22.800596,39.062012
20530000000,-22.452417,-19.554274
20543750000,-22.21866,-81.518448
20557500000,-22.096209,-141.5201
20571250000,-22.050081,156.88727
20585000000,-21.961502,97.001183
20598750000,-21.812366,35.496586
20612500000,-21.713621,-25.443083
20626250000,-21.72216,-88.119766
20640000000,-21.931278,-149.13417
20653750000,-22.077803,149.03806
20667500000,-22.518484,88.727524
20681250000,-22.804657,30.101135
20695000000,-22.810001,-28.782448
20708750000,-22.9158,-88.121513
20722500000,-22.997532,-146.54379
20736250000,-22.773191,153.71558
20750000000,-22.854826,93.49913
20763750000,-22.755995,33.466702
20777500000,-22.958946,-27.322935
20791250000,-23.131676,-85.882507
20805000000,-23.115427,-144.60806
20818750000,-23.113663,156.5118
20832500000,-22.975517,98.764877
20846250000,-22.586723,39.120949
20860000000,-22.315563,-22.065334
20873750000,-22.091202,-82.640205
20887500000,-22.050501,-145.26476
20901250000,-22.204306,154.91545
20915000000,-22.074165,94.158463
20928750000,-22.184008,33.055679
20942500000,-22.209333,-27.749229
20956250000,-22.238859,-88.253471
20970000000,-22.296093,-150.63309
20983750000,-22.682785,148.60562
20997500000,-22.9827,88.288017
21011250000,-23.47257,30.10648
21025000000,-23.561586,-27.237934
21038750000,-23.496622,-86.067345
21052500000,-23.521667,-144.57985
21066250000,-23.274729,157.09717
21080000000,-23.161341,96.426208
21093750000,-23.199368,37.177505
21107500000,-23.134424,-21.728752
21121250000,-22.960897,-81.629303
21135000000,-22.832401,-141.89691
21148750000,-22.798952,157.55573
21162500000,-22.828728,98.9244
21176250000,-22.458714,39.054272
21190000000,-22.293335,-22.906168
21203750000,-22.36097,-84.864532
21217500000,-22.557516,-145.39313
21231250000,-22.680555,154.31819
21245000000,-22.687626,95.093613
21258750000,-22.572596,34.26083
21272500000,-22.735159,-26.479668
21286250000,-22.7085,-86.716446
21300000000,-22.887934,-149.02127
21313750000,-23.367226,151.02538
21327500000,-23.605278,92.319931
21341250000,-23.810808,33.34053
21355000000,-24.170189,-24.709894
21368750000,-24.036093,-81.206017
21382500000,-23.965183,-140.45071
21396250000,-23.872934,162.2885
21410000000,-23.443317,102.75713
21423750000,-23.347294,42.203213
21437500000,-23.17235,-16.680281
