!CSV A.01.01
!Keysight Technologies,P9377B,MY61100645,A.17.60.13
!Date: Friday, July 04, 2025 20:01:14
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(DB),S21(DEG)
18000000000,-23.457754,-109.80042
18013750000,-23.222181,-170.54498
18027500000,-23.015289,128.74312
18041250000,-22.981056,66.795013
18055000000,-23.022566,6.7463665
18068750000,-22.82271,-54.574024
18082500000,-22.870846,-116.04095
18096250000,-22.831734,-177.92137
18110000000,-23.042643,121.42619
18123750000,-23.00662,60.684666
18137500000,-23.136465,-0.283622
18151250000,-23.276508,-60.810711
18165000000,-23.481922,-121.61935
18178750000,-23.614094,178.79623
18192500000,-23.74431,118.55025
18206250000,-23.900032,58.98288
18220000000,-24.080225,0.31890419
18233750000,-23.93786,-58.098129
18247500000,-23.884375,-118.11661
18261250000,-23.863018,-175.98392
18275000000,-23.57342,124.15115
18288750000,-23.328102,64.400024
18302500000,-23.033249,3.2550852
18316250000,-22.891333,-58.035652
18330000000,-22.906502,-119.47475
18343750000,-22.838419,179.97382
18357500000,-22.879498,118.33531
18371250000,-22.983694,58.981346
18385000000,-22.823338,-1.4717908
18398750000,-22.711842,-61.65736
18412500000,-22.64937,-123.83942
18426250000,-22.678877,175.47318
18440000000,-22.741728,113.31277
18453750000,-23.045441,52.737358
18467500000,-23.171789,-7.0013309
18481250000,-23.357107,-66.814766
18495000000,-23.33778,-125.33379
18508750000,-23.199713,174.35413
18522500000,-23.306475,113.43611
18536250000,-23.550371,53.54427
18550000000,-23.616072,-5.0715003
18563750000,-23.651915,-63.189747
18577500000,-23.344646,-121.0219
18591250000,-23.042845,178.91559
18605000000,-22.600994,119.62799
18618750000,-22.265854,56.314384
18632500000,-22.264132,-5.3604465
18646250000,-22.258089,-67.802689
18660000000,-22.447956,-128.3508
18673750000,-22.520638,170.36815
18687500000,-22.656847,111.37068
18701250000,-22.625441,51.129986
18715000000,-22.516035,-8.6551285
18728750000,-22.355968,-70.205246
18742500000,-22.489555,-131.01634
18756250000,-22.500074,168.06979
18770000000,-22.671103,107.66571
18783750000,-22.792675,47.952335
18797500000,-22.77026,-11.548346
18811250000,-22.730167,-72.183159
18825000000,-22.81982,-132.07994
18838750000,-22.745274,167.89688
18852500000,-22.923168,107.53722
18866250000,-22.878643,49.311115
18880000000,-22.792061,-10.769835
18893750000,-22.707619,-70.421127
18907500000,-22.542385,-130.10329
18921250000,-22.324963,169.63658
18935000000,-22.108776,108.68001
18948750000,-21.940063,47.007847
18962500000,-22.003712,-15.503481
18976250000,-22.152819,-76.484009
18990000000,-22.348614,-137.54112
19003750000,-22.544937,163.28546
19017500000,-22.537275,103.49712
19031250000,-22.470253,43.73241
19045000000,-22.404997,-17.049421
19058750000,-22.477299,-77.09124
19072500000,-22.360394,-137.87648
19086250000,-22.60191,161.26222
19100000000,-22.584194,101.49419
19113750000,-22.674103,40.83847
19127500000,-22.808975,-18.671904
19141250000,-22.873152,-78.066307
19155000000,-22.898916,-137.09343
19168750000,-22.725126,163.55867
19182500000,-22.6196,103.32926
19196250000,-22.519949,43.304958
19210000000,-22.374195,-17.744169
19223750000,-22.518049,-78.608841
19237500000,-22.434137,-138.11218
19251250000,-22.429607,160.64633
19265000000,-22.332155,100.89668
19278750000,-22.408056,39.225681
19292500000,-22.548058,-20.099363
