!CSV A.01.01
!Keysight Technologies,P9377B,MY61100645,A.17.60.13
!Date: Wednesday, July 02, 2025 19:32:55
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(DB),S21(DEG)
18000000000,-27.751314,104.37775
18013750000,-27.85895,43.914005
18027500000,-27.90295,-16.304895
18041250000,-27.841326,-75.804558
18055000000,-27.806206,-135.91838
18068750000,-27.662476,163.06764
18082500000,-27.598631,101.72922
18096250000,-27.658794,40.449879
18110000000,-27.713497,-20.07995
18123750000,-27.848858,-80.635941
18137500000,-27.880123,-140.73961
18151250000,-27.911453,159.25395
18165000000,-27.850428,99.500694
18178750000,-27.803982,38.614422
18192500000,-27.699656,-21.936977
18206250000,-27.729733,-83.196327
18220000000,-27.873606,-143.82436
18233750000,-27.995808,156.31433
18247500000,-28.018007,96.472366
18261250000,-27.949993,37.231815
18275000000,-27.801069,-22.910408
18288750000,-27.730278,-83.457687
18302500000,-27.557693,-144.67781
18316250000,-27.596815,153.68863
18330000000,-27.718901,93.453506
18343750000,-27.833794,33.311234
18357500000,-27.799623,-26.867945
18371250000,-27.775204,-86.323097
18385000000,-27.692234,-146.79068
18398750000,-27.604063,152.29935
18412500000,-27.485552,91.257202
18426250000,-27.543884,30.315321
18440000000,-27.613119,-30.666286
18453750000,-27.684372,-90.607445
18467500000,-27.74423,-150.74872
18481250000,-27.719173,149.4178
18495000000,-27.669416,89.116821
18508750000,-27.583172,28.830864
18522500000,-27.483309,-32.516533
18536250000,-27.548449,-93.714226
18550000000,-27.719124,-154.17314
18563750000,-27.874277,146.04547
18577500000,-27.874687,86.317032
18591250000,-27.826626,26.864714
18605000000,-27.690351,-33.276016
18618750000,-27.596807,-93.660614
18632500000,-27.604959,-155.03809
18646250000,-27.610361,144.09166
18660000000,-27.682087,83.560257
18673750000,-27.728394,23.983252
18687500000,-27.769539,-35.95562
18701250000,-27.687353,-95.753654
18715000000,-27.599323,-156.05702
18728750000,-27.454271,142.98376
18742500000,-27.428675,82.363548
18756250000,-27.517157,21.159403
18770000000,-27.57394,-39.081532
18783750000,-27.646294,-99.143326
18797500000,-27.675961,-159.14001
18811250000,-27.632402,140.96365
18825000000,-27.520132,81.286362
18838750000,-27.378874,20.148647
18852500000,-27.396069,-40.962799
18866250000,-27.468971,-101.68784
18880000000,-27.615528,-162.33498
18893750000,-27.702192,138.12149
18907500000,-27.689869,78.532867
18921250000,-27.565891,18.86899
18935000000,-27.475449,-41.885017
18948750000,-27.415922,-102.37769
18962500000,-27.431219,-163.71008
18976250000,-27.48147,135.76625
18990000000,-27.552845,75.498802
19003750000,-27.600096,15.703357
19017500000,-27.545198,-43.997051
19031250000,-27.491154,-104.33364
19045000000,-27.428846,-164.78786
19058750000,-27.423676,134.67673
19072500000,-27.420464,73.74778
19086250000,-27.503788,13.150388
19100000000,-27.579317,-47.246983
19113750000,-27.64147,-107.07347
19127500000,-27.616629,-167.36987
19141250000,-27.619181,133.18411
19155000000,-27.557486,72.954376
19168750000,-27.46594,12.333734
19182500000,-27.473351,-48.26543
19196250000,-27.546244,-108.77619
19210000000,-27.619938,-168.93318
19223750000,-27.678205,131.43643
19237500000,-27.555922,71.610001
19251250000,-27.48147,11.272202
19265000000,-27.406923,-48.923981
19278750000,-27.377737,-109.70851
19292500000,-27.426725,-170.53938
19306250000,-27.475046,129.07735
19320000000,-27.493799,68.882629
19333750000,-27.45739,9.1525869
19347500000,-27.428869,-51.273022
19361250000,-27.446112,-111.63644
19375000000,-27.394373,-171.98166
19388750000,-27.405136,127.36602
19402500000,-27.439589,66.664063
19416250000,-27.465973,6.2016068
19430000000,-27.520966,-53.982044
19443750000,-27.573565,-114.25826
19457500000,-27.637793,-174.08484
19471250000,-27.675325,126.00329
19485000000,-27.624123,65.901382
19498750000,-27.624144,5.4306564
19512500000,-27.632683,-54.837444
19526250000,-27.656092,-115.20782
19540000000,-27.712503,-175.7962
19553750000,-27.776115,124.91909
19567500000,-27.752504,64.913704
19581250000,-27.73127,5.1045947
19595000000,-27.692396,-54.973118
19608750000,-27.666868,-115.40852
19622500000,-27.610962,-175.78865
19636250000,-27.681711,123.99329
19650000000,-27.710545,63.768559
19663750000,-27.696735,3.8388169
19677500000,-27.715853,-55.924034
19691250000,-27.696062,-116.07014
19705000000,-27.612247,-176.5015
19718750000,-27.597755,123.19417
19732500000,-27.573112,62.760811
19746250000,-27.585323,2.205754
19760000000,-27.616083,-58.005322
19773750000,-27.617611,-118.07517
19787500000,-27.680742,-178.19908
19801250000,-27.664356,121.7067
19815000000,-27.619713,61.918938
19828750000,-27.600561,1.0505372
19842500000,-27.63418,-59.143715
19856250000,-27.734764,-119.61719
19870000000,-27.737467,-179.68359
19883750000,-27.855331,120.59487
19897500000,-27.809238,60.820179
19911250000,-27.78591,0.55238271
19925000000,-27.740841,-59.47414
19938750000,-27.777891,-119.78995
19952500000,-27.814817,-179.6886
19966250000,-27.813799,120.23149
19980000000,-27.876013,60.524956
19993750000,-27.800261,0.7996645
20007500000,-27.761652,-59.549953
20021250000,-27.771812,-119.47658
