!CSV A.01.01
!Keysight Technologies,P9377B,MY61100645,A.17.60.13
!Date: Wednesday, July 02, 2025 19:33:08
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(DB),S21(DEG)
18000000000,-27.77211,104.69302
18013750000,-27.867647,44.169292
18027500000,-27.870838,-15.680194
18041250000,-27.866756,-75.688179
18055000000,-27.757647,-135.91374
18068750000,-27.590693,163.26366
18082500000,-27.639778,102.06339
18096250000,-27.575783,40.558208
18110000000,-27.717789,-20.168625
18123750000,-27.81465,-80.92009
18137500000,-27.905275,-140.69672
18151250000,-27.848562,159.34132
18165000000,-27.864109,99.301292
18178750000,-27.793133,38.972431
18192500000,-27.67244,-22.085861
18206250000,-27.75012,-83.246811
18220000000,-27.873186,-143.87538
18233750000,-28.017853,155.92581
18247500000,-28.018589,96.88636
18261250000,-27.941011,37.093334
18275000000,-27.861399,-22.759197
18288750000,-27.726002,-83.458214
18302500000,-27.600677,-144.54633
18316250000,-27.645723,154.03592
18330000000,-27.717018,93.263054
18343750000,-27.838312,32.949142
18357500000,-27.834368,-26.52704
18371250000,-27.820513,-86.19429
18385000000,-27.637369,-146.83688
18398750000,-27.54822,152.722
18412500000,-27.504805,91.618752
18426250000,-27.514793,30.392735
18440000000,-27.592598,-30.367113
18453750000,-27.697769,-90.520187
18467500000,-27.717566,-150.89983
18481250000,-27.75176,149.53229
18495000000,-27.624048,89.044418
18508750000,-27.575451,28.81538
18522500000,-27.503616,-32.311455
18536250000,-27.570604,-93.619209
18550000000,-27.730223,-154.13632
18563750000,-27.808525,145.7262
18577500000,-27.888086,86.556305
18591250000,-27.841385,26.948198
18605000000,-27.724155,-33.261738
18618750000,-27.583679,-93.890533
18632500000,-27.511427,-154.7933
18646250000,-27.601267,143.94275
18660000000,-27.681963,84.004242
18673750000,-27.72913,23.710955
18687500000,-27.75843,-35.661797
18701250000,-27.655197,-95.643921
18715000000,-27.567022,-155.91954
18728750000,-27.508432,143.31673
18742500000,-27.458174,82.378601
18756250000,-27.496132,21.567772
18770000000,-27.564182,-39.114594
18783750000,-27.646744,-99.218559
18797500000,-27.693041,-159.089
18811250000,-27.652687,141.0685
18825000000,-27.548553,80.917809
18838750000,-27.447689,20.114202
18852500000,-27.44092,-40.805824
18866250000,-27.481045,-101.74623
18880000000,-27.634365,-161.89909
18893750000,-27.691092,138.0414
18907500000,-27.646336,78.308823
18921250000,-27.578917,19.167027
18935000000,-27.47295,-41.268242
18948750000,-27.35811,-102.2196
18962500000,-27.401152,-163.62503
18976250000,-27.479305,135.71663
18990000000,-27.584032,75.547836
19003750000,-27.572105,15.558599
19017500000,-27.584333,-43.744938
19031250000,-27.482134,-104.59245
19045000000,-27.473974,-164.82556
19058750000,-27.407038,134.1046
19072500000,-27.432447,73.613831
19086250000,-27.526741,13.206158
19100000000,-27.57391,-47.218571
19113750000,-27.640043,-106.78117
19127500000,-27.651031,-167.02704
19141250000,-27.603857,133.19463
19155000000,-27.519735,73.004089
19168750000,-27.474508,12.365527
19182500000,-27.454576,-48.291744
19196250000,-27.513765,-108.79977
19210000000,-27.572453,-168.88696
19223750000,-27.655132,131.04135
19237500000,-27.595284,71.681084
19251250000,-27.511669,11.144094
19265000000,-27.439461,-49.214878
19278750000,-27.436811,-109.73219
19292500000,-27.386923,-170.70229
19306250000,-27.484127,129.10986
19320000000,-27.48538,68.872833
19333750000,-27.4855,8.9929981
19347500000,-27.446089,-51.540745
19361250000,-27.464739,-111.84116
19375000000,-27.420427,-171.95871
19388750000,-27.458588,127.23475
19402500000,-27.478992,67.031677
19416250000,-27.510788,6.4922185
19430000000,-27.535854,-54.203926
19443750000,-27.597601,-113.99926
19457500000,-27.670738,-174.10736
19471250000,-27.690466,125.85111
19485000000,-27.633623,66.01667
19498750000,-27.577192,5.7250175
19512500000,-27.563696,-54.559006
19526250000,-27.606276,-115.35455
19540000000,-27.70434,-175.18323
19553750000,-27.714371,125.145
19567500000,-27.710167,65.140076
19581250000,-27.692169,5.1398954
19595000000,-27.650795,-55.192879
19608750000,-27.662771,-115.68028
19622500000,-27.645555,-175.96535
19636250000,-27.660912,123.92798
19650000000,-27.694859,64.11451
19663750000,-27.737295,3.7671263
19677500000,-27.698166,-55.940475
19691250000,-27.648016,-116.31394
19705000000,-27.604965,-176.30591
19718750000,-27.614769,123.36806
19732500000,-27.524504,62.688728
19746250000,-27.567478,2.0925524
19760000000,-27.628456,-58.03764
19773750000,-27.613821,-118.44828
19787500000,-27.703932,-178.37054
19801250000,-27.624178,121.65361
19815000000,-27.644306,61.511074
19828750000,-27.612379,1.3455414
19842500000,-27.648302,-59.348286
19856250000,-27.745699,-119.54354
19870000000,-27.758337,-179.38535
19883750000,-27.826174,120.55515
19897500000,-27.810295,61.005768
19911250000,-27.816334,0.63341433
19925000000,-27.742388,-59.354919
19938750000,-27.817341,-119.52667
19952500000,-27.854126,-179.77153
19966250000,-27.818785,120.00442
19980000000,-27.887791,60.41515
19993750000,-27.78903,0.65132946
20007500000,-27.787193,-59.058907
20021250000,-27.81654,-119.22511
20035000000,-27.725809,-179.66876
20048750000,-27.696012,120.20472
20062500000,-27.721619,60.551525
20076250000,-27.706974,0.29743224
20090000000,-27.644232,-59.70554
20103750000,-27.656713,-119.84177
20117500000,-27.618107,179.86671
20131250000,-27.578054,119.6324
20145000000,-27.574678,58.917881
20158750000,-27.559547,-1.424091
20172500000,-27.636221,-61.443523
20186250000,-27.644014,-121.85127
20200000000,-27.613985,178.23608
20213750000,-27.661951,118.26576
20227500000,-27.635361,57.837006
20241250000,-27.608801,-2.6584854
20255000000,-27.654566,-62.940857
20268750000,-27.751394,-122.55914
20282500000,-27.75164,177.60524
20296250000,-27.703711,117.79074
20310000000,-27.704412,58.10112
20323750000,-27.585423,-2.3701587
20337500000,-27.608253,-62.924046
20351250000,-27.703232,-123.31017
20365000000,-27.763718,176.99258
20378750000,-27.688271,117.22292
20392500000,-27.685476,57.599033
20406250000,-27.615379,-2.5954916
20420000000,-27.538799,-63.065376
20433750000,-27.56225,-123.63649
20447500000,-27.630064,175.96123
20461250000,-27.65571,116.15354
20475000000,-27.68082,56.341034
20488750000,-27.694149,-3.6080198
20502500000,-27.683073,-63.336979
20516250000,-27.596697,-124.14829
20530000000,-27.535675,175.77271
20543750000,-27.520624,115.32975
20557500000,-27.571262,55.008953
20571250000,-27.690699,-5.3109879
20585000000,-27.688778,-65.237083
20598750000,-27.718361,-124.67297
20612500000,-27.683781,175.60887
20626250000,-27.599792,115.90765
20640000000,-27.490454,55.273693
20653750000,-27.43811,-6.0021667
20667500000,-27.655756,-66.161377
20681250000,-27.767229,-126.07713
20695000000,-27.769815,174.502
20708750000,-27.735662,115.03399
20722500000,-27.615578,55.081852
20736250000,-27.438866,-4.8745422
20750000000,-27.417669,-66.164658
20763750000,-27.510361,-127.22103
20777500000,-27.612228,172.64813
20791250000,-27.703243,113.44016
20805000000,-27.738859,53.3722
20818750000,-27.703133,-6.2321172
20832500000,-27.66687,-66.86776
20846250000,-27.62915,-126.91525
20860000000,-27.611193,172.32578
20873750000,-27.671839,112.01086
20887500000,-27.73246,51.218788
20901250000,-27.954773,-8.7261677
20915000000,-27.965422,-67.759506
20928750000,-28.008341,-126.87197
20942500000,-27.87167,173.15889
20956250000,-27.778889,113.44696
20970000000,-27.761564,52.927364
20983750000,-27.827999,-7.9073963
20997500000,-27.968328,-68.150978
21011250000,-28.057735,-127.27682
21025000000,-28.058844,173.89131
21038750000,-27.966839,114.56269
21052500000,-27.755041,54.302567
21066250000,-27.63386,-5.8780513
21080000000,-27.615433,-67.259056
21093750000,-27.662022,-127.71494
21107500000,-27.715206,171.63797
21121250000,-27.754101,111.58736
21135000000,-27.817457,51.861843
21148750000,-27.787018,-8.0409489
21162500000,-27.747375,-68.135895
21176250000,-27.693794,-128.46626
21190000000,-27.682322,170.53545
21203750000,-27.787329,109.62144
21217500000,-27.911514,49.099934
21231250000,-28.126677,-10.982555
21245000000,-28.239014,-70.158356
21258750000,-28.301102,-129.11304
21272500000,-28.220953,171.53064
21286250000,-28.149223,111.7236
21300000000,-28.111576,51.224213
21313750000,-28.220425,-9.9739838
21327500000,-28.441948,-69.497337
21341250000,-28.563061,-128.3596
21355000000,-28.546728,173.24042
21368750000,-28.468048,114.23976
21382500000,-28.241232,54.666927
21396250000,-28.105352,-5.6172843
21410000000,-28.001717,-66.468872
21423750000,-28.044756,-127.16702
21437500000,-28.099848,172.32555
21451250000,-28.118612,112.53642
21465000000,-28.144869,53.224361
21478750000,-28.091457,-6.2838721
21492500000,-27.970821,-66.043907
21506250000,-27.870337,-126.64352
21520000000,-27.836037,171.76538
21533750000,-27.874933,110.70844
21547500000,-28.103741,50.086525
21561250000,-28.309566,-9.8558769
21575000000,-28.437717,-68.964485
21588750000,-28.434343,-127.358
21602500000,-28.272564,172.89993
21616250000,-28.210817,112.35894
21630000000,-28.16744,51.463295
21643750000,-28.302891,-9.0755262
21657500000,-28.611992,-69.101936
21671250000,-28.776667,-127.83258
21685000000,-28.806557,173.87454
21698750000,-28.666557,115.70319
21712500000,-28.485163,55.609432
21726250000,-28.340258,-4.9783297
21740000000,-28.287855,-65.660667
21753750000,-28.394871,-126.12391
21767500000,-28.483614,173.76685
21781250000,-28.580267,114.45702
21795000000,-28.603111,55.441113
21808750000,-28.514992,-3.8262327
21822500000,-28.311962,-63.3592
21836250000,-28.126358,-124.06838
21850000000,-28.063831,174.88799
21863750000,-28.198561,113.91362
21877500000,-28.327377,53.679016
21891250000,-28.501873,-5.8508744
21905000000,-28.53466,-64.627632
21918750000,-28.422907,-123.53106
21932500000,-28.27339,176.33514
21946250000,-28.111309,115.52298
21960000000,-28.15988,54.509727
21973750000,-28.27248,-6.2787614
21987500000,-28.459261,-65.843391
22001250000,-28.576897,-125.0312
22015000000,-28.489651,175.81596
22028750000,-28.397129,117.01658
22042500000,-28.27636,56.809368
22056250000,-28.230724,-3.9577479
22070000000,-28.235918,-64.938576
22083750000,-28.304529,-125.00822
22097500000,-28.404779,174.55476
22111250000,-28.577578,115.30059
22125000000,-28.610329,56.279766
22138750000,-28.458944,-2.4717629
22152500000,-28.336367,-62.56221
22166250000,-28.217157,-123.75764
22180000000,-28.221186,176.32138
22193750000,-28.28606,115.37143
22207500000,-28.504759,55.527962
22221250000,-28.613741,-3.9244423
22235000000,-28.594137,-62.304268
22248750000,-28.47858,-121.29393
22262500000,-28.321167,179.00043
22276250000,-28.118578,118.12675
22290000000,-28.20937,56.97813
22303750000,-28.295107,-3.2624626
22317500000,-28.437716,-62.938007
22331250000,-28.450176,-121.98039
22345000000,-28.435493,179.01067
22358750000,-28.333628,119.37989
22372500000,-28.156111,58.82616
22386250000,-28.110468,-1.8092648
22400000000,-28.076771,-62.766979
22413750000,-28.145998,-123.20975
22427500000,-28.28404,176.47061
22441250000,-28.389044,116.92095
22455000000,-28.489508,57.225967
22468750000,-28.415939,-1.9745116
22482500000,-28.324085,-61.645485
22496250000,-28.21389,-122.12694
22510000000,-28.208704,176.54059
22523750000,-28.358826,116.1356
22537500000,-28.610661,55.763046
22551250000,-28.746073,-2.9180834
22565000000,-28.773006,-61.523052
22578750000,-28.666924,-120.78831
22592500000,-28.509787,179.55266
22606250000,-28.474667,119.29912
22620000000,-28.436159,58.248543
22633750000,-28.565556,-1.8637031
22647500000,-28.684883,-61.208618
22661250000,-28.813723,-120.18811
22675000000,-28.710651,-179.09471
22688750000,-28.594351,121.54983
22702500000,-28.46199,61.247982
22716250000,-28.391457,1.2488177
22730000000,-28.313936,-59.810883
22743750000,-28.407883,-120.35371
22757500000,-28.520512,179.23383
22771250000,-28.62772,120.13829
22785000000,-28.711544,61.155964
22798750000,-28.622189,1.8830812
22812500000,-28.439587,-58.181671
22826250000,-28.381041,-118.9821
22840000000,-28.372177,-179.83815
22853750000,-28.539738,119.2998
22867500000,-28.70669,59.868008
22881250000,-28.870789,0.93239266
22895000000,-28.878998,-57.955345
22908750000,-28.77276,-116.73022
22922500000,-28.60673,-176.96288
22936250000,-28.48871,122.60812
22950000000,-28.564083,61.966461
22963750000,-28.768732,1.636072
22977500000,-28.976707,-57.476139
22991250000,-28.92461,-116.1313
23005000000,-28.951675,-175.41005
23018750000,-28.751339,125.33616
23032500000,-28.657213,65.32386
23046250000,-28.575031,4.9151812
23060000000,-28.551031,-55.321903
23073750000,-28.675829,-115.82738
23087500000,-28.786612,-175.76221
23101250000,-28.876629,125.29881
23115000000,-28.845486,66.486214
23128750000,-28.726851,6.9181013
23142500000,-28.600227,-52.847591
23156250000,-28.499332,-113.28246
23170000000,-28.511301,-174.42195
23183750000,-28.608967,125.63555
23197500000,-28.782429,66.253716
23211250000,-28.779835,7.2567363
23225000000,-28.718452,-51.512859
23238750000,-28.58814,-111.02835
23252500000,-28.442457,-171.46158
23266250000,-28.405815,128.19954
23280000000,-28.413095,67.184265
23293750000,-28.553728,7.5566993
23307500000,-28.610647,-52.312714
23321250000,-28.565889,-111.03902
23335000000,-28.514757,-170.64044
23348750000,-28.409527,129.75409
23362500000,-28.361034,68.72477
23376250000,-28.346949,8.41992
23390000000,-28.393272,-51.893173
23403750000,-28.480059,-111.95017
23417500000,-28.552622,-171.24965
23431250000,-28.575045,129.00603
23445000000,-28.581533,70.182602
23458750000,-28.520365,10.556118
23472500000,-28.411297,-49.353394
23486250000,-28.400549,-109.827
23500000000,-28.464718,-170.10286
23513750000,-28.527802,130.13141
23527500000,-28.606627,71.003502
23541250000,-28.544554,11.762368
23555000000,-28.422941,-47.449024
23568750000,-28.314178,-107.19228
23582500000,-28.231657,-167.39642
23596250000,-28.215553,131.88522
23610000000,-28.23925,71.722519
23623750000,-28.294134,11.876741
23637500000,-28.307043,-47.901203
23651250000,-28.221333,-107.69134
23665000000,-28.16441,-167.37025
23678750000,-28.064215,132.90474
23692500000,-28.015121,72.366798
23706250000,-28.054371,11.957235
23720000000,-28.104221,-48.214977
23733750000,-28.155596,-108.59286
23747500000,-28.213152,-168.28094
23761250000,-28.215639,131.89232
23775000000,-28.224171,72.229996
23788750000,-28.204784,12.644382
23802500000,-28.21417,-47.239712
23816250000,-28.161209,-107.81938
23830000000,-28.219339,-167.80798
23843750000,-28.23843,132.49966
23857500000,-28.342232,73.089783
23871250000,-28.301798,13.783258
23885000000,-28.304295,-45.646477
23898750000,-28.191633,-105.67423
23912500000,-28.170372,-166.00089
23926250000,-28.132603,134.02536
23940000000,-28.162853,73.831337
23953750000,-28.180189,14.037255
23967500000,-28.268158,-45.673565
23981250000,-28.24192,-105.43953
23995000000,-28.187811,-165.06712
24008750000,-28.138142,135.16333
24022500000,-28.075197,75.216896
24036250000,-28.040535,14.8292
24050000000,-28.038622,-45.432472
24063750000,-28.119938,-105.56724
24077500000,-28.141129,-165.39906
24091250000,-28.207623,134.58788
24105000000,-28.196257,74.966492
24118750000,-28.208595,15.196688
24132500000,-28.157696,-44.567558
24146250000,-28.12974,-105.11032
24160000000,-28.178013,-165.53214
24173750000,-28.266941,134.92601
24187500000,-28.373171,75.263199
24201250000,-28.411297,15.607044
24215000000,-28.313646,-44.047249
24228750000,-28.333517,-103.73406
24242500000,-28.305054,-163.44815
24256250000,-28.31778,136.47006
24270000000,-28.35968,76.359238
24283750000,-28.376911,16.575218
24297500000,-28.409014,-43.012432
24311250000,-28.438452,-102.60011
24325000000,-28.42812,-162.22943
24338750000,-28.39991,137.98016
24352500000,-28.346251,78.044075
24366250000,-28.298876,17.973814
24380000000,-28.375635,-42.146324
24393750000,-28.416929,-101.89937
24407500000,-28.460665,-161.57736
24421250000,-28.446001,138.59007
24435000000,-28.443106,79.280525
24448750000,-28.484371,19.459732
24462500000,-28.402508,-40.389889
24476250000,-28.383959,-100.31081
24490000000,-28.454264,-160.09065
24503750000,-28.475847,139.40851
24517500000,-28.523272,80.219383
24531250000,-28.516655,20.530167
24545000000,-28.498039,-38.726669
24558750000,-28.510445,-98.748421
24572500000,-28.477026,-158.59477
24586250000,-28.45005,141.49916
24600000000,-28.478376,81.51638
24613750000,-28.491096,21.868721
24627500000,-28.545471,-37.726929
24641250000,-28.553238,-97.685272
24655000000,-28.500984,-156.96172
24668750000,-28.490915,142.90616
24682500000,-28.471323,83.109528
24696250000,-28.461485,23.530239
24710000000,-28.500532,-36.592285
24723750000,-28.527752,-96.681931
24737500000,-28.610819,-156.05251
24751250000,-28.576902,144.74104
24765000000,-28.489439,84.844643
24778750000,-28.548861,25.055191
24792500000,-28.521038,-34.925823
24806250000,-28.514088,-94.967064
24820000000,-28.505434,-154.65334
24833750000,-28.535637,145.75851
24847500000,-28.545208,86.055305
24861250000,-28.560869,26.535408
24875000000,-28.498199,-32.892715
24888750000,-28.410152,-92.696388
24902500000,-28.42271,-152.57748
24916250000,-28.372578,147.218
24930000000,-28.374664,87.021042
24943750000,-28.416021,27.536026
24957500000,-28.426857,-31.929493
24971250000,-28.375811,-91.737045
24985000000,-28.35478,-151.21289
24998750000,-28.352539,148.86183
25012500000,-28.296206,88.750267
25026250000,-28.298075,28.864206
25040000000,-28.271191,-31.266745
25053750000,-28.348581,-91.415245
25067500000,-28.349163,-151.16136
25081250000,-28.377125,149.53033
25095000000,-28.364639,89.672043
25108750000,-28.292303,30.332146
25122500000,-28.241764,-29.67416
25136250000,-28.244648,-90.225182
25150000000,-28.278481,-150.15367
25163750000,-28.304367,149.97028
25177500000,-28.280344,90.540382
25191250000,-28.310211,30.659367
25205000000,-28.28731,-28.707514
25218750000,-28.221794,-89.185135
25232500000,-28.207659,-149.13359
25246250000,-28.251411,150.7384
25260000000,-28.256802,91.427299
25273750000,-28.305044,31.509016
25287500000,-28.324238,-27.968319
25301250000,-28.304066,-87.4851
25315000000,-28.29962,-147.40927
25328750000,-28.262074,152.66052
25342500000,-28.187424,92.786446
25356250000,-28.229918,32.692238
25370000000,-28.218044,-27.641211
25383750000,-28.273756,-87.446358
25397500000,-28.334538,-146.80605
25411250000,-28.328396,153.81473
25425000000,-28.216059,94.354073
25438750000,-28.157541,34.541904
25452500000,-28.134306,-25.891216
25466250000,-28.150253,-86.18441
25480000000,-28.193508,-146.07747
25493750000,-28.27083,154.13885
25507500000,-28.217567,94.388008
25521250000,-28.233137,34.916729
25535000000,-28.21384,-25.131371
25548750000,-28.136833,-85.324455
25562500000,-28.161491,-145.66893
25576250000,-28.218332,154.37372
25590000000,-28.269978,94.85244
25603750000,-28.393625,34.455471
25617500000,-28.352266,-24.483723
25631250000,-28.350046,-84.092644
25645000000,-28.329035,-143.88426
25658750000,-28.259401,156.21008
25672500000,-28.252073,96.117599
25686250000,-28.29929,36.069595
25700000000,-28.390581,-23.535109
25713750000,-28.417709,-83.401817
25727500000,-28.49077,-142.8226
25741250000,-28.404018,158.16205
25755000000,-28.359196,98.329231
25768750000,-28.216888,38.539131
25782500000,-28.235418,-22.315424
25796250000,-28.327896,-82.453354
25810000000,-28.398726,-142.15399
25823750000,-28.484814,158.11205
25837500000,-28.420527,99.325371
25851250000,-28.362881,39.76334
25865000000,-28.280796,-20.440344
25878750000,-28.277372,-80.821159
25892500000,-28.375408,-141.35284
25906250000,-28.443224,158.40904
25920000000,-28.546509,99.083069
25933750000,-28.605469,39.882965
25947500000,-28.541895,-19.506643
25961250000,-28.514477,-79.30336
25975000000,-28.486025,-139.11746
25988750000,-28.467766,160.65527
26002500000,-28.517488,100.7612
26016250000,-28.492943,40.894001
26030000000,-28.600731,-19.239717
26043750000,-28.664618,-78.381851
26057500000,-28.683434,-137.74562
26071250000,-28.600126,163.05948
26085000000,-28.561729,103.19332
26098750000,-28.537201,42.974815
26112500000,-28.524456,-17.58746
26126250000,-28.593388,-77.559792
26140000000,-28.698206,-137.24501
26153750000,-28.741163,163.80661
26167500000,-28.731653,104.7767
26181250000,-28.704308,45.298763
26195000000,-28.552881,-14.749276
26208750000,-28.573357,-75.205757
26222500000,-28.622921,-135.5899
26236250000,-28.6954,164.7634
26250000000,-28.77663,105.30836
26263750000,-28.800159,46.032207
26277500000,-28.823458,-13.149046
26291250000,-28.768755,-73.122223
26305000000,-28.695595,-133.00136
26318750000,-28.616783,166.94615
26332500000,-28.636095,106.76811
26346250000,-28.683338,46.790123
26360000000,-28.795805,-13.023129
26373750000,-28.908007,-72.4571
26387500000,-28.887278,-131.58775
26401250000,-28.884432,169.62369
26415000000,-28.760557,109.74231
26428750000,-28.637138,49.441608
26442500000,-28.650621,-10.588876
26456250000,-28.72818,-71.13903
26470000000,-28.939756,-130.69606
26483750000,-28.940685,169.93956
26497500000,-28.938351,111.27977
26511250000,-28.794407,52.139759
26525000000,-28.657864,-7.9575238
26538750000,-28.591452,-68.7108
26552500000,-28.6686,-128.8531
26566250000,-28.776134,171.56911
26580000000,-28.908255,111.48481
26593750000,-28.924688,52.33849
26607500000,-28.889061,-6.7347388
26621250000,-28.830044,-66.523834
26635000000,-28.771818,-125.87186
26648750000,-28.687626,174.05396
26662500000,-28.672279,113.65045
26676250000,-28.713005,52.765812
26690000000,-28.924103,-6.9956565
26703750000,-29.013479,-65.889221
26717500000,-29.059914,-124.19683
26731250000,-28.902294,176.56743
26745000000,-28.755453,116.79616
26758750000,-28.637634,56.662422
26772500000,-28.575354,-4.4187222
26786250000,-28.761314,-65.035248
26800000000,-28.932955,-124.28585
26813750000,-28.972321,177.00706
26827500000,-28.980135,118.42574
26841250000,-28.772163,59.11776
26855000000,-28.66547,-1.125001
26868750000,-28.585575,-61.545731
26882500000,-28.672495,-122.68736
26896250000,-28.774376,177.53917
26910000000,-28.879566,117.96036
26923750000,-28.931005,58.564045
26937500000,-28.905775,0.15119067
26951250000,-28.837118,-59.270641
26965000000,-28.6555,-119.15988
26978750000,-28.638718,-179.25742
26992500000,-28.598349,119.88445
27006250000,-28.728989,59.704117
27020000000,-28.86109,-0.080626257
27033750000,-28.988564,-59.123825
27047500000,-28.934372,-117.8294
27061250000,-28.783978,-176.53296
27075000000,-28.586992,123.34293
27088750000,-28.501564,62.799698
27102500000,-28.47394,1.7391996
27116250000,-28.601393,-58.608692
27130000000,-28.758791,-118.33936
27143750000,-28.86014,-177.18074
27157500000,-28.770193,124.11017
27171250000,-28.654877,64.537437
27185000000,-28.54203,4.1647887
27198750000,-28.498711,-56.48983
27212500000,-28.528511,-117.49004
27226250000,-28.648443,-177.46626
27240000000,-28.781996,123.00349
27253750000,-28.920746,63.767242
27267500000,-28.965902,4.7517028
27281250000,-28.839756,-54.052528
27295000000,-28.703484,-113.8557
27308750000,-28.564285,-174.42319
27322500000,-28.557629,125.54548
27336250000,-28.666451,64.946251
27350000000,-28.807135,4.7617679
27363750000,-28.971056,-54.045261
27377500000,-28.94231,-112.56946
27391250000,-28.808619,-171.75929
27405000000,-28.673336,128.21748
27418750000,-28.509062,67.452202
27432500000,-28.547705,6.659308
27446250000,-28.702847,-54.350479
27460000000,-28.858688,-113.58839
27473750000,-28.932365,-172.73631
27487500000,-28.891552,128.75407
27501250000,-28.75568,69.018311
27515000000,-28.79175,9.0342808
27528750000,-28.638163,-51.726959
27542500000,-28.702524,-112.10561
27556250000,-28.761824,-172.93774
27570000000,-28.927437,127.31922
27583750000,-29.085224,68.024055
27597500000,-29.158365,9.3785858
27611250000,-29.188454,-49.295143
27625000000,-29.098328,-109.04522
27638750000,-28.906195,-169.06255
27652500000,-28.918001,130.51208
27666250000,-29.014036,69.964455
27680000000,-29.176012,10.579127
27693750000,-29.296497,-49.145855
27707500000,-29.359943,-107.48841
27721250000,-29.176519,-166.48024
27735000000,-29.088039,134.00961
27748750000,-28.992407,73.737076
27762500000,-28.96496,12.52515
27776250000,-29.023531,-47.959961
27790000000,-29.210745,-107.85671
27803750000,-29.365387,-166.87883
27817500000,-29.384787,134.03566
27831250000,-29.321398,74.972374
27845000000,-29.204779,15.437453
27858750000,-29.177408,-44.642609
27872500000,-29.10037,-105.24481
27886250000,-29.242834,-165.76172
27900000000,-29.380289,134.1364
27913750000,-29.497868,74.878166
27927500000,-29.591715,16.645874
27941250000,-29.589895,-42.550373
27955000000,-29.506483,-101.13007
27968750000,-29.320879,-161.17505
27982500000,-29.297651,138.25119
27996250000,-29.383875,77.738228
28010000000,-29.517834,17.664837
28023750000,-29.635857,-41.208572
28037500000,-29.736837,-100.00186
28051250000,-29.700018,-158.69318
28065000000,-29.519905,142.2077
28078750000,-29.352161,82.463882
28092500000,-29.268429,21.598402
28106250000,-29.312782,-38.871979
28120000000,-29.478428,-98.574913
28133750000,-29.600531,-158.50647
28147500000,-29.704651,142.6348
28161250000,-29.647482,83.722137
28175000000,-29.534391,24.729063
28188750000,-29.410145,-35.152855
28202500000,-29.325729,-95.612709
28216250000,-29.350735,-155.53307
28230000000,-29.47924,144.3127
28243750000,-29.625248,84.557655
