!CSV A.01.01
!Keysight Technologies,P9377B,MY61100645,A.17.60.13
!Date: Wednesday, July 02, 2025 19:29:43
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(DB),S21(DEG)
18000000000,-29.80097,51.684204
18013750000,-29.862558,-8.2852869
18027500000,-29.90539,-68.65638
18041250000,-29.943159,-128.41457
18055000000,-29.886078,171.89966
18068750000,-29.701094,111.3929
18082500000,-29.627304,50.342796
18096250000,-29.602818,-10.772734
18110000000,-29.76527,-72.182831
18123750000,-29.799164,-132.17355
18137500000,-29.780603,168.04707
18151250000,-29.77935,108.60358
18165000000,-29.6618,48.2467
18178750000,-29.588047,-12.787784
18192500000,-29.522581,-74.227394
18206250000,-29.580591,-135.60985
18220000000,-29.660837,164.13997
18233750000,-29.668627,104.16142
18247500000,-29.71866,43.681942
18261250000,-29.743633,-16.227196
18275000000,-29.61624,-76.86702
18288750000,-29.530672,-137.41431
18302500000,-29.498857,161.86337
18316250000,-29.485643,100.0571
18330000000,-29.604393,39.616718
18343750000,-29.714682,-20.576101
18357500000,-29.780159,-80.728577
18371250000,-29.823631,-140.37592
18385000000,-29.695162,159.88202
18398750000,-29.535162,99.138275
18412500000,-29.501143,38.373791
18426250000,-29.479372,-23.122845
18440000000,-29.603243,-84.148285
18453750000,-29.733242,-144.32669
18467500000,-29.800886,156.15102
18481250000,-29.786081,96.667259
18495000000,-29.651751,36.638149
18508750000,-29.47683,-24.200985
18522500000,-29.4722,-85.567856
18536250000,-29.523144,-146.42838
18550000000,-29.594816,153.30603
18563750000,-29.737047,92.97876
18577500000,-29.715961,33.28138
18591250000,-29.634937,-26.805462
18605000000,-29.517151,-87.092903
18618750000,-29.483728,-148.02153
18632500000,-29.450838,151.4312
18646250000,-29.429207,89.860229
18660000000,-29.533676,29.780926
18673750000,-29.573351,-30.484133
18687500000,-29.65476,-90.847839
18701250000,-29.650898,-150.26064
18715000000,-29.543819,149.83934
18728750000,-29.463867,88.838348
18742500000,-29.39389,27.765884
18756250000,-29.502567,-32.592709
18770000000,-29.606916,-93.661972
18783750000,-29.688076,-153.85693
18797500000,-29.664442,146.7674
18811250000,-29.615215,86.817078
18825000000,-29.528141,26.874155
18838750000,-29.436432,-34.435413
18852500000,-29.447466,-95.508408
18866250000,-29.458534,-155.69724
18880000000,-29.602242,143.6582
18893750000,-29.58857,84.060143
18907500000,-29.594906,23.935114
18921250000,-29.465302,-36.319077
