!CSV A.01.01
!Keysight Technologies,P9377B,MY61100645,A.17.60.13
!Date: Wednesday, July 02, 2025 19:29:52
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(DB),S21(DEG)
18000000000,-29.799141,51.988132
18013750000,-29.855677,-8.3347378
18027500000,-29.94405,-68.157928
18041250000,-29.934879,-128.08717
18055000000,-29.789835,171.83136
18068750000,-29.722019,111.52654
18082500000,-29.636324,50.645985
18096250000,-29.59893,-10.926929
18110000000,-29.733454,-72.300316
18123750000,-29.762686,-132.09375
18137500000,-29.849653,167.52344
18151250000,-29.76799,108.15671
18165000000,-29.64002,48.310986
18178750000,-29.549116,-12.80073
18192500000,-29.484732,-73.848137
18206250000,-29.561237,-135.65666
18220000000,-29.6126,163.73752
18233750000,-29.762697,103.71843
18247500000,-29.741001,43.458344
18261250000,-29.698067,-16.2111
18275000000,-29.651358,-76.585526
18288750000,-29.544359,-137.06506
18302500000,-29.452845,161.53357
18316250000,-29.50782,100.52207
18330000000,-29.576569,39.585991
18343750000,-29.738556,-20.95694
18357500000,-29.780088,-80.642868
18371250000,-29.802969,-140.23273
18385000000,-29.707655,159.65738
18398750000,-29.581705,99.568604
18412500000,-29.494644,38.015144
18426250000,-29.510605,-23.017891
18440000000,-29.646986,-83.94677
18453750000,-29.677307,-144.24387
18467500000,-29.783686,155.80295
18481250000,-29.723251,96.487343
18495000000,-29.633209,36.508987
18508750000,-29.491629,-24.168674
18522500000,-29.478857,-85.310379
18536250000,-29.508762,-146.42332
18550000000,-29.547401,153.19769
18563750000,-29.669334,92.938431
18577500000,-29.66744,33.170795
18591250000,-29.657013,-26.887291
18605000000,-29.568068,-86.878403
18618750000,-29.469578,-147.53342
18632500000,-29.431898,151.39905
18646250000,-29.475794,90.542221
18660000000,-29.54088,29.443741
18673750000,-29.650356,-30.332321
18687500000,-29.675905,-90.760788
18701250000,-29.598026,-150.3157
18715000000,-29.598644,149.52347
18728750000,-29.412611,88.553421
18742500000,-29.414658,27.723408
18756250000,-29.510719,-33.302685
18770000000,-29.585421,-93.652618
18783750000,-29.710236,-153.72194
18797500000,-29.661663,146.83768
18811250000,-29.593466,87.142555
18825000000,-29.479233,26.857637
18838750000,-29.38674,-34.163517
18852500000,-29.426264,-95.649551
18866250000,-29.471834,-155.93771
18880000000,-29.562908,143.62762
18893750000,-29.563509,84.086815
18907500000,-29.575108,24.015747
18921250000,-29.499172,-36.1824
18935000000,-29.452833,-96.500305
18948750000,-29.415781,-157.46819
18962500000,-29.441051,141.44415
18976250000,-29.467686,80.912086
18990000000,-29.537909,20.66346
19003750000,-29.590456,-39.10841
19017500000,-29.564087,-99.254982
19031250000,-29.533365,-159.24069
19045000000,-29.477797,140.64429
19058750000,-29.412632,79.486183
19072500000,-29.364748,19.20437
19086250000,-29.492773,-41.87207
19100000000,-29.546448,-102.03859
19113750000,-29.6611,-162.03416
19127500000,-29.650406,137.87578
19141250000,-29.495674,78.283569
19155000000,-29.460495,17.950691
19168750000,-29.393274,-43.026352
19182500000,-29.436689,-103.83073
19196250000,-29.511148,-164.1348
19210000000,-29.546949,135.50926
19223750000,-29.598024,75.802582
19237500000,-29.515438,15.548888
19251250000,-29.466404,-45.058395
19265000000,-29.439329,-105.5736
19278750000,-29.450098,-166.51389
19292500000,-29.52771,133.7804
19306250000,-29.53998,73.291801
19320000000,-29.583973,12.844753
19333750000,-29.634296,-47.600174
19347500000,-29.661037,-107.83747
19361250000,-29.681208,-167.72331
19375000000,-29.579739,132.34332
19388750000,-29.566626,72.133492
19402500000,-29.59749,11.387984
19416250000,-29.581928,-48.9902
19430000000,-29.76104,-109.35593
19443750000,-29.744419,-169.04068
19457500000,-29.723341,130.95522
19471250000,-29.679487,71.252121
19485000000,-29.614756,10.836527
19498750000,-29.6014,-49.678963
19512500000,-29.650776,-110.32958
19526250000,-29.606895,-170.55287
19540000000,-29.613035,129.42325
19553750000,-29.707958,69.305817
19567500000,-29.636946,9.2303705
19581250000,-29.680443,-51.218616
19595000000,-29.619345,-111.30128
19608750000,-29.623465,-171.79065
19622500000,-29.59811,127.47031
19636250000,-29.605026,67.374016
19650000000,-29.595627,7.0015445
19663750000,-29.660982,-53.371746
19677500000,-29.760101,-113.54905
19691250000,-29.758854,-173.36125
19705000000,-29.727489,126.21197
19718750000,-29.701359,66.349533
19732500000,-29.681625,5.465858
19746250000,-29.79071,-54.56292
19760000000,-29.8841,-115.05738
19773750000,-29.880322,-174.81735
19787500000,-29.979744,125.85312
19801250000,-29.879366,66.153801
19815000000,-29.78624,5.4983482
19828750000,-29.806738,-55.025726
19842500000,-29.818251,-114.98026
19856250000,-29.89757,-175.09312
19870000000,-29.865492,125.40008
19883750000,-29.764448,65.040794
19897500000,-29.745977,5.5101986
19911250000,-29.75548,-55.179993
19925000000,-29.702705,-115.35825
19938750000,-29.742779,-175.47134
19952500000,-29.686205,124.30503
19966250000,-29.706011,63.766872
19980000000,-29.695429,3.3519337
19993750000,-29.697557,-56.628666
20007500000,-29.739807,-116.53581
20021250000,-29.723419,-176.6588
20035000000,-29.646368,122.88818
20048750000,-29.681873,62.119308
20062500000,-29.724468,1.3462199
20076250000,-29.872446,-58.892979
20090000000,-29.876991,-118.26016
20103750000,-29.795258,-177.96959
20117500000,-29.774305,121.97405
20131250000,-29.711382,61.158314
20145000000,-29.811548,0.80169994
20158750000,-29.867315,-59.228416
20172500000,-29.9244,-119.27052
20186250000,-29.892431,-178.37787
20200000000,-29.770979,122.09457
20213750000,-29.73048,61.474831
20227500000,-29.696014,0.8975367
20241250000,-29.773533,-59.550175
20255000000,-29.779839,-119.45355
20268750000,-29.791559,-179.65479
20282500000,-29.806986,121.06755
20296250000,-29.685108,60.967907
20310000000,-29.620604,0.52800518
20323750000,-29.651878,-60.132473
20337500000,-29.570051,-120.57002
20351250000,-29.675882,179.55676
20365000000,-29.720091,119.01073
20378750000,-29.703024,58.914684
20392500000,-29.658796,-1.322561
20406250000,-29.634319,-61.528652
20420000000,-29.636087,-121.65556
20433750000,-29.59584,178.2946
20447500000,-29.651491,117.72253
20461250000,-29.701567,56.857666
20475000000,-29.743475,-2.9931619
20488750000,-29.827932,-62.733395
20502500000,-29.780825,-121.69049
20516250000,-29.668186,178.63039
20530000000,-29.616344,117.76753
20543750000,-29.584524,57.033127
20557500000,-29.641371,-3.8249278
20571250000,-29.762846,-63.240101
20585000000,-29.822681,-123.10822
20598750000,-29.756079,177.52344
20612500000,-29.677656,117.41217
20626250000,-29.588314,56.561859
20640000000,-29.583286,-4.0674052
20653750000,-29.5935,-64.918159
20667500000,-29.656595,-125.15312
20681250000,-29.777929,175.25294
20695000000,-29.847017,115.26793
20708750000,-29.84606,55.445148
20722500000,-29.788879,-4.4287791
20736250000,-29.689528,-64.214745
20750000000,-29.627329,-125.00565
20763750000,-29.679998,174.47365
20777500000,-29.799772,113.95763
20791250000,-29.916433,53.789772
20805000000,-29.953253,-5.4664788
20818750000,-29.890974,-64.531372
20832500000,-29.830423,-124.12966
20846250000,-29.716053,175.3273
20860000000,-29.603708,114.53969
20873750000,-29.676718,53.356281
20887500000,-29.793678,-7.0200596
20901250000,-29.908567,-66.194649
20915000000,-29.883558,-125.71667
20928750000,-29.744917,174.8557
20942500000,-29.663002,114.29128
20956250000,-29.631014,53.458836
20970000000,-29.596174,-7.1974478
20983750000,-29.648739,-67.988907
20997500000,-29.830135,-128.49828
21011250000,-29.887274,172.01341
21025000000,-29.837244,111.80844
21038750000,-29.972654,51.855194
21052500000,-29.935482,-7.8628116
21066250000,-29.897465,-67.809425
21080000000,-29.911739,-128.10185
21093750000,-29.885941,171.0779
21107500000,-30.069941,110.76324
21121250000,-30.204422,50.575047
21135000000,-30.342968,-8.112793
21148750000,-30.241785,-66.679169
21162500000,-30.079569,-126.1189
21176250000,-29.953691,173.60292
21190000000,-29.954639,112.64104
21203750000,-29.890791,51.949318
21217500000,-30.048849,-8.7117424
21231250000,-30.096962,-68.344734
