!CSV A.01.01
!Keysight Technologies,P9377B,MY61100645,A.17.60.13
!Date: Wednesday, July 02, 2025 19:31:21
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(DB),S21(DEG)
18000000000,-37.609901,-64.116028
18013750000,-37.86227,-124.45041
18027500000,-37.955364,175.84337
18041250000,-37.867748,116.93645
18055000000,-37.728039,57.025414
18068750000,-37.499092,-3.3153729
18082500000,-37.519863,-64.798782
18096250000,-37.488132,-125.89424
18110000000,-37.540714,173.43861
18123750000,-37.689453,113.44612
18137500000,-37.594479,53.655193
18151250000,-37.462589,-6.6229029
18165000000,-37.206188,-67.358299
18178750000,-37.308365,-128.49626
18192500000,-37.200344,170.3743
18206250000,-37.143082,108.92151
18220000000,-37.351406,47.293724
18233750000,-37.286613,-13.064987
18247500000,-37.392574,-73.382339
18261250000,-37.409466,-133.28554
18275000000,-37.392658,166.25027
18288750000,-37.336189,104.96204
18302500000,-37.314987,44.774689
18316250000,-37.168629,-16.58828
18330000000,-37.434666,-78.285103
18343750000,-37.611084,-137.68199
18357500000,-37.768826,162.44064
18371250000,-37.689419,102.7141
18385000000,-37.50547,43.310268
18398750000,-37.387066,-17.474352
18412500000,-37.417873,-77.702904
18426250000,-37.521442,-139.54683
18440000000,-37.584629,159.8808
18453750000,-37.759132,101.15426
18467500000,-37.657364,41.165764
18481250000,-37.573112,-19.280186
18495000000,-37.289433,-79.046761
18508750000,-37.292568,-140.1134
18522500000,-37.360893,159.11133
18536250000,-37.435089,97.631508
18550000000,-37.371494,37.632439
18563750000,-37.337696,-23.051622
18577500000,-37.465687,-83.054153
18591250000,-37.428093,-142.62485
18605000000,-37.257076,157.27425
18618750000,-37.141109,95.579834
18632500000,-37.023109,35.101723
18646250000,-37.105328,-25.913391
18660000000,-37.244904,-87.308975
18673750000,-37.453674,-147.23909
18687500000,-37.350731,153.14964
18701250000,-37.333515,93.3284
18715000000,-37.111599,33.123646
18728750000,-37.110916,-27.784794
18742500000,-37.086334,-89.349792
18756250000,-37.073326,-150.1559
18770000000,-37.153988,148.81494
18783750000,-37.413708,89.922264
18797500000,-37.301357,28.91897
18811250000,-37.190956,-31.367319
18825000000,-37.294193,-91.152573
18838750000,-37.092907,-152.6293
18852500000,-37.267006,147.27133
18866250000,-37.206005,85.958603
18880000000,-37.14447,25.526537
18893750000,-37.26498,-33.752892
18907500000,-37.534145,-94.359146
