!CSV A.01.01
!Keysight Technologies,P9377B,MY61100645,A.17.60.13
!Date: Wednesday, July 02, 2025 19:31:26
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(DB),S21(DEG)
18000000000,-37.777374,-66.185104
18013750000,-37.691162,-124.73285
18027500000,-37.934425,175.50525
18041250000,-38.02499,117.08984
18055000000,-37.888901,56.569794
18068750000,-37.528515,-3.3047073
18082500000,-37.505531,-63.901432
18096250000,-37.433529,-125.61336
18110000000,-37.566734,173.75418
18123750000,-37.565708,113.63777
18137500000,-37.569809,53.236992
18151250000,-37.55217,-5.8612914
18165000000,-37.240784,-67.196815
18178750000,-37.199429,-128.19357
18192500000,-37.20298,170.3293
18206250000,-37.185078,110.28577
18220000000,-37.05027,47.864338
18233750000,-37.340118,-13.122532
18247500000,-37.325726,-73.520882
18261250000,-37.356777,-133.11142
18275000000,-37.452774,165.27774
18288750000,-37.33316,104.63974
18302500000,-37.177872,44.923992
18316250000,-37.146923,-16.863859
18330000000,-37.535374,-78.096779
18343750000,-37.632332,-137.37126
18357500000,-37.901436,163.1855
18371250000,-37.854565,103.9487
18385000000,-37.659485,43.885941
18398750000,-37.517296,-16.217234
18412500000,-37.385574,-77.068169
18426250000,-37.453571,-138.55658
18440000000,-37.564846,160.25861
18453750000,-37.545124,100.31146
18467500000,-37.648544,41.421234
18481250000,-37.558876,-19.286186
18495000000,-37.318268,-79.850029
18508750000,-37.356415,-140.42867
18522500000,-37.219311,159.13901
18536250000,-37.275883,97.921768
18550000000,-37.326553,37.579662
18563750000,-37.521645,-23.019867
18577500000,-37.499603,-83.366577
18591250000,-37.456303,-142.51175
18605000000,-37.337791,157.62057
18618750000,-37.174088,96.549789
18632500000,-37.07748,35.524467
18646250000,-37.179569,-26.965219
18660000000,-37.20784,-86.839775
18673750000,-37.451687,-146.2365
18687500000,-37.349731,153.85936
18701250000,-37.213169,93.047165
18715000000,-37.142059,32.363548
18728750000,-37.066456,-29.173872
18742500000,-37.053585,-90.10614
18756250000,-37.091919,-150.69864
18770000000,-37.17701,148.69647
18783750000,-37.266605,88.303268
18797500000,-37.22393,28.244312
18811250000,-37.328384,-31.286058
18825000000,-37.226238,-91.669479
18838750000,-37.203403,-151.98064
18852500000,-37.211582,146.39746
18866250000,-37.136452,86.771759
18880000000,-37.458553,24.866543
18893750000,-37.36499,-34.200237
18907500000,-37.46711,-94.067207
18921250000,-37.451973,-154.47031
18935000000,-37.249332,145.50652
18948750000,-37.072144,85.480888
18962500000,-37.093227,24.098051
18976250000,-37.335575,-36.918053
18990000000,-37.262917,-96.850845
19003750000,-37.462467,-156.87749
19017500000,-37.333786,143.76395
19031250000,-37.120678,83.039696
19045000000,-37.046341,23.114273
19058750000,-36.916828,-39.385803
19072500000,-37.073627,-99.48822
19086250000,-37.22691,-160.11757
19100000000,-37.159595,140.37228
19113750000,-37.192818,79.388275
19127500000,-37.039848,19.316504
19141250000,-37.143639,-40.489162
19155000000,-37.057606,-101.46398
19168750000,-36.864979,-162.36205
19182500000,-36.959885,137.23265
19196250000,-37.054035,76.528412
19210000000,-37.068497,15.50852
19223750000,-37.165207,-45.932224
19237500000,-37.303661,-105.08565
19251250000,-37.320381,-165.62796
19265000000,-37.17524,134.36821
19278750000,-37.236145,73.712997
19292500000,-37.226772,12.569652
19306250000,-37.382458,-47.137081
19320000000,-37.429455,-108.09846
19333750000,-37.410301,-167.78317
