!CSV A.01.01
!Keysight Technologies,P9377B,MY61100645,A.17.60.13
!Date: Wednesday, July 02, 2025 19:22:03
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(DB),S21(DEG)
18000000000,-31.532457,22.664438
18013750000,-31.556366,-37.501255
18027500000,-31.684433,-97.775902
18041250000,-31.673532,-157.16551
18055000000,-31.577808,142.2681
18068750000,-31.395338,82.242989
18082500000,-31.319405,21.115242
18096250000,-31.310989,-40.417511
18110000000,-31.473415,-101.267
18123750000,-31.617823,-161.61006
18137500000,-31.585716,138.64368
18151250000,-31.482595,78.88884
18165000000,-31.336876,18.569792
18178750000,-31.312613,-42.666962
18192500000,-31.24217,-103.50481
18206250000,-31.346935,-164.75166
18220000000,-31.33102,134.82191
18233750000,-31.413286,74.45607
18247500000,-31.437075,13.841079
18261250000,-31.375849,-46.21236
18275000000,-31.414619,-105.86764
18288750000,-31.258417,-166.62497
18302500000,-31.199183,132.12137
18316250000,-31.180786,71.22699
18330000000,-31.366867,10.705863
18343750000,-31.425905,-50.004242
18357500000,-31.547445,-109.973
18371250000,-31.471136,-169.61162
18385000000,-31.495924,130.69759
18398750000,-31.315248,70.400558
18412500000,-31.169022,9.4158354
18426250000,-31.189314,-52.240005
18440000000,-31.317163,-113.48081
18453750000,-31.37566,-173.38214
18467500000,-31.535641,126.84514
18481250000,-31.437456,67.921768
18495000000,-31.19805,7.2430868
18508750000,-31.094566,-53.63324
18522500000,-31.103085,-115.14063
18536250000,-31.178349,-175.56824
18550000000,-31.21089,123.47655
18563750000,-31.363016,63.087555
18577500000,-31.341787,3.2420695
18591250000,-31.252815,-56.563065
18605000000,-31.153984,-117.06599
18618750000,-31.154684,-177.79243
18632500000,-31.03689,121.55209
18646250000,-31.030115,60.780876
18660000000,-31.170824,-0.63790071
18673750000,-31.26959,-60.29847
18687500000,-31.375023,-120.22622
18701250000,-31.326183,-179.98413
18715000000,-31.221416,120.11839
18728750000,-31.079679,58.82114
18742500000,-31.050901,-1.8046867
18756250000,-31.075474,-63.319481
18770000000,-31.192497,-123.82383
18783750000,-31.292599,176.92694
18797500000,-31.312515,116.90657
18811250000,-31.149971,56.922501
18825000000,-30.99861,-3.4054728
18838750000,-30.996857,-64.420868
18852500000,-30.985132,-125.14948
18866250000,-31.084129,173.52031
18880000000,-31.159018,114.02463
18893750000,-31.164436,53.109093
18907500000,-31.172762,-6.3169413
18921250000,-31.095518,-66.468773
18935000000,-31.080137,-127.35938
18948750000,-31.02392,172.5106
18962500000,-30.983011,111.36574
18976250000,-31.045813,50.970158
18990000000,-31.110956,-10.203879
19003750000,-31.199924,-69.880653
19017500000,-31.211802,-129.90808
19031250000,-31.192312,170.79095
19045000000,-31.112448,109.79971
19058750000,-30.969015,49.611469
19072500000,-30.963924,-12.042527
19086250000,-31.041204,-72.811188
19100000000,-31.114475,-132.84074
19113750000,-31.227476,167.6046
19127500000,-31.179554,107.69875
19141250000,-31.112152,47.644909
19155000000,-31.020187,-13.223657
19168750000,-30.957584,-74.032501
19182500000,-31.0196,-134.9769
19196250000,-31.120213,165.2401
19210000000,-31.151674,104.77433
19223750000,-31.13052,44.64455
19237500000,-31.054113,-15.353148
19251250000,-31.09469,-75.982117
19265000000,-31.086706,-136.83136
19278750000,-31.044117,162.78458
19292500000,-31.15143,102.54547
19306250000,-31.130686,42.014133
19320000000,-31.145588,-18.539402
19333750000,-31.245802,-78.997597
19347500000,-31.268255,-139.07324
19361250000,-31.308121,161.48933
19375000000,-31.167471,101.51945
19388750000,-31.18811,41.150692
19402500000,-31.132116,-19.540892
19416250000,-31.275135,-79.913528
19430000000,-31.317595,-140.11696
19443750000,-31.247051,159.68094
19457500000,-31.339876,100.23877
19471250000,-31.234495,40.267658
19485000000,-31.179089,-20.681913
19498750000,-31.160934,-81.568626
19512500000,-31.256006,-141.54027
19526250000,-31.261116,157.81554
19540000000,-31.247753,97.854103
19553750000,-31.263414,37.404549
19567500000,-31.196167,-22.550491
19581250000,-31.276278,-82.761642
19595000000,-31.26531,-142.93973
19608750000,-31.227779,156.51505
19622500000,-31.245956,96.527748
19636250000,-31.21172,35.431614
19650000000,-31.235313,-24.838287
19663750000,-31.342886,-84.889687
19677500000,-31.380148,-144.91293
19691250000,-31.369354,154.90363
19705000000,-31.332052,95.240349
19718750000,-31.333296,34.667145
19732500000,-31.362835,-26.167639
19746250000,-31.409157,-86.401932
19760000000,-31.477917,-145.97754
19773750000,-31.536285,154.55225
19787500000,-31.48912,94.330704
19801250000,-31.313921,34.230904
19815000000,-31.325968,-25.732664
19828750000,-31.368464,-86.381729
19842500000,-31.279316,-146.60532
19856250000,-31.391123,153.76437
19870000000,-31.346195,93.712944
19883750000,-31.280796,32.686398
19897500000,-31.268427,-26.727772
19911250000,-31.236893,-87.620995
19925000000,-31.246185,-147.81105
19938750000,-31.203566,152.09749
19952500000,-31.188568,91.27095
19966250000,-31.283789,31.066256
19980000000,-31.283926,-29.247478
19993750000,-31.255754,-89.554405
20007500000,-31.292843,-149.2796
20021250000,-31.24947,150.53972
20035000000,-31.211456,90.166924
20048750000,-31.241713,29.643694
20062500000,-31.422367,-31.037773
20076250000,-31.41255,-90.210411
20090000000,-31.485712,-149.73769
20103750000,-31.396957,150.11601
20117500000,-31.309702,90.305344
20131250000,-31.23871,29.837006
20145000000,-31.349287,-31.330286
20158750000,-31.435499,-91.001579
20172500000,-31.372095,-150.53229
20186250000,-31.418018,149.4662
20200000000,-31.241993,89.302307
20213750000,-31.198563,28.901197
20227500000,-31.241581,-31.613489
20241250000,-31.215216,-92.127327
20255000000,-31.256628,-151.83279
20268750000,-31.261866,148.22536
20282500000,-31.24896,87.520569
20296250000,-31.150276,27.341885
20310000000,-31.192156,-32.801041
20323750000,-31.214327,-93.537971
20337500000,-31.13426,-153.89261
20351250000,-31.204901,145.9669
20365000000,-31.184002,85.576653
20378750000,-31.240694,25.243111
20392500000,-31.311203,-34.024448
20406250000,-31.232841,-94.183395
20420000000,-31.230505,-154.61269
20433750000,-31.15407,144.98973
20447500000,-31.221651,84.232651
20461250000,-31.273304,24.083117
20475000000,-31.358286,-36.259827
20488750000,-31.464186,-94.665833
20502500000,-31.331455,-154.16553
20516250000,-31.101536,145.51451
20530000000,-31.085089,84.37941
20543750000,-31.096684,24.000933
20557500000,-31.166267,-36.450459
20571250000,-31.289953,-96.658806
20585000000,-31.439146,-156.16483
20598750000,-31.26602,144.11165
20612500000,-31.183491,84.095657
20626250000,-31.126896,23.650028
20640000000,-31.173464,-37.36348
20653750000,-31.185265,-97.830261
20667500000,-31.225039,-157.89891
20681250000,-31.372086,142.06451
20695000000,-31.400396,81.541428
20708750000,-31.343739,22.014292
20722500000,-31.314991,-37.202427
20736250000,-31.350126,-97.567619
20750000000,-31.173542,-158.18854
20763750000,-31.171564,141.0656
20777500000,-31.332371,80.856239
20791250000,-31.444036,20.509266
20805000000,-31.474558,-38.618256
20818750000,-31.401073,-98.258308
20832500000,-31.344021,-157.5845
20846250000,-31.256649,141.92171
20860000000,-31.072874,80.714264
20873750000,-31.201706,19.827007
20887500000,-31.354183,-40.548931
20901250000,-31.399715,-100.40585
20915000000,-31.384134,-159.61438
20928750000,-31.375109,140.60976
20942500000,-31.173517,80.081169
20956250000,-31.270432,19.195608
20970000000,-31.295183,-41.150311
20983750000,-31.3137,-102.15806
20997500000,-31.370535,-162.29704
21011250000,-31.514946,137.67296
21025000000,-31.571552,77.757523
21038750000,-31.630487,18.484888
21052500000,-31.580624,-41.561928
21066250000,-31.54882,-100.93755
21080000000,-31.493135,-161.27448
21093750000,-31.440241,137.84546
21107500000,-31.586964,77.380974
21121250000,-31.787622,17.389708
21135000000,-31.882416,-40.990997
21148750000,-31.696136,-100.1511
21162500000,-31.540604,-159.67255
21176250000,-31.38134,139.50345
21190000000,-31.38854,79.051407
21203750000,-31.388483,17.659447
21217500000,-31.522612,-42.378304
21231250000,-31.623783,-102.30284
21245000000,-31.567635,-161.80907
21258750000,-31.53289,138.4133
21272500000,-31.376596,78.126244
21286250000,-31.364115,17.305346
21300000000,-31.349394,-43.291676
21313750000,-31.356966,-103.70478
21327500000,-31.535027,-165.22061
21341250000,-31.604162,134.90645
21355000000,-31.86537,75.186279
21368750000,-31.894091,16.717024
21382500000,-31.795525,-42.641464
21396250000,-31.690479,-102.94535
21410000000,-31.58803,-164.05656
21423750000,-31.739855,134.78102
21437500000,-31.983833,74.699623
21451250000,-32.180901,15.227364
21465000000,-32.235607,-43.13414
21478750000,-32.199532,-101.39046
21492500000,-31.961798,-161.0647
21506250000,-31.774258,138.03592
21520000000,-31.612965,77.065681
21533750000,-31.83053,15.816484
21547500000,-31.956865,-44.008297
21561250000,-31.997417,-102.81026
21575000000,-32.000599,-161.87456
21588750000,-31.826523,138.49496
21602500000,-31.722868,78.553055
21616250000,-31.638556,17.942245
21630000000,-31.600285,-43.131557
21643750000,-31.675018,-103.86324
21657500000,-31.6565,-165.06358
21671250000,-31.949945,135.09206
21685000000,-32.020424,75.77655
21698750000,-32.022427,17.149725
21712500000,-31.917439,-42.741062
21726250000,-31.745935,-103.01604
21740000000,-31.708532,-164.72331
21753750000,-31.856483,134.62201
21767500000,-32.123669,74.431557
21781250000,-32.286488,15.651855
21795000000,-32.271729,-42.447964
