!CSV A.01.01
!Keysight Technologies,P9377B,MY61100645,A.17.60.13
!Date: Wednesday, July 02, 2025 19:22:13
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(DB),S21(DEG)
18000000000,-31.508726,22.795383
18013750000,-31.680857,-37.867401
18027500000,-31.628859,-97.556717
18041250000,-31.70109,-157.28288
18055000000,-31.597996,142.7563
18068750000,-31.504494,82.608582
18082500000,-31.366199,21.299128
18096250000,-31.442511,-40.062126
18110000000,-31.491205,-101.33909
18123750000,-31.525986,-161.69852
18137500000,-31.623327,139.08475
18151250000,-31.543253,79.20414
18165000000,-31.332623,18.833431
18178750000,-31.301149,-42.359226
18192500000,-31.265354,-103.50332
18206250000,-31.295706,-164.45703
18220000000,-31.398386,134.86621
18233750000,-31.437931,74.80748
18247500000,-31.419918,14.447533
18261250000,-31.48003,-45.650688
18275000000,-31.375912,-106.13846
18288750000,-31.316067,-166.50449
18302500000,-31.185146,132.68643
18316250000,-31.191931,71.468979
18330000000,-31.294809,10.621363
18343750000,-31.434004,-49.677948
18357500000,-31.530943,-109.37727
18371250000,-31.488337,-169.14348
18385000000,-31.457342,130.71439
18398750000,-31.211147,70.418777
18412500000,-31.247948,9.4316759
18426250000,-31.19313,-51.760399
18440000000,-31.354837,-113.47717
18453750000,-31.444345,-173.11101
18467500000,-31.499327,127.43887
18481250000,-31.406229,67.605461
18495000000,-31.214149,7.7457795
18508750000,-31.138105,-53.301899
18522500000,-31.103827,-114.62309
18536250000,-31.167942,-175.82773
18550000000,-31.159365,123.60999
18563750000,-31.298227,63.557007
18577500000,-31.286541,3.5778484
18591250000,-31.213432,-56.476284
18605000000,-31.152027,-116.80555
18618750000,-31.138662,-177.48531
18632500000,-31.041384,121.61534
18646250000,-31.08493,60.454632
18660000000,-31.174206,-0.61885381
18673750000,-31.240614,-60.611401
18687500000,-31.298004,-120.58552
18701250000,-31.253117,179.85612
18715000000,-31.171547,120.14274
18728750000,-31.033739,59.358662
18742500000,-30.980385,-1.7340649
18756250000,-31.080009,-63.150005
18770000000,-31.197655,-123.43853
18783750000,-31.320747,176.82274
18797500000,-31.275562,116.83323
18811250000,-31.140182,57.147556
18825000000,-31.022141,-3.6162577
18838750000,-30.975975,-64.604454
18852500000,-31.031822,-125.86853
18866250000,-31.02212,173.96304
18880000000,-31.195229,113.20735
18893750000,-31.128721,53.911606
18907500000,-31.158386,-6.5682769
18921250000,-31.138952,-66.559586
18935000000,-31.090925,-127.12203
18948750000,-31.010452,172.34409
18962500000,-30.993662,111.67749
18976250000,-31.006313,50.722237
18990000000,-31.118168,-9.8503408
19003750000,-31.162903,-69.70755
19017500000,-31.214733,-130.10542
19031250000,-31.127611,169.88014
19045000000,-31.116676,110.12433
19058750000,-31.052544,49.252724
19072500000,-30.942429,-11.283632
19086250000,-31.064854,-72.518669
19100000000,-31.180662,-133.17882
19113750000,-31.22164,167.50789
19127500000,-31.227982,107.84646
19141250000,-31.076828,47.634529
19155000000,-31.004858,-12.662831
19168750000,-31.008099,-73.986961
19182500000,-31.004343,-134.84888
19196250000,-31.053741,165.52747
19210000000,-31.108904,104.83935
19223750000,-31.125591,44.638844
19237500000,-31.102846,-15.371501
19251250000,-31.020399,-75.741058
19265000000,-31.053658,-136.67995
19278750000,-31.149456,163.39201
19292500000,-31.071741,102.78864
19306250000,-31.09416,41.816372
19320000000,-31.125872,-18.227776
19333750000,-31.168188,-79.04393
19347500000,-31.294367,-138.41118
19361250000,-31.221933,161.21696
19375000000,-31.215315,102.32517
19388750000,-31.105087,40.921944
19402500000,-31.113119,-19.912357
19416250000,-31.219395,-80.117432
19430000000,-31.264641,-140.38191
19443750000,-31.255333,159.83641
19457500000,-31.277418,99.469627
19471250000,-31.198488,39.726345
19485000000,-31.177542,-20.753773
19498750000,-31.161337,-81.134087
19512500000,-31.215538,-141.72691
19526250000,-31.235332,158.12762
19540000000,-31.240793,97.469017
19553750000,-31.216589,37.830414
19567500000,-31.174871,-22.701952
19581250000,-31.214888,-82.849739
19595000000,-31.221451,-143.4305
19608750000,-31.224983,156.89014
19622500000,-31.199608,96.450073
19636250000,-31.204134,36.051262
19650000000,-31.302368,-24.950478
19663750000,-31.368885,-84.890923
19677500000,-31.46957,-144.83536
19691250000,-31.378519,155.51299
19705000000,-31.318216,95.244904
19718750000,-31.290499,34.813896
19732500000,-31.261198,-25.819542
19746250000,-31.410347,-85.955742
19760000000,-31.492632,-145.71722
19773750000,-31.474213,154.13841
19787500000,-31.448715,94.573204
19801250000,-31.363997,34.191975
19815000000,-31.302689,-26.30711
19828750000,-31.304056,-86.471092
19842500000,-31.356792,-146.92445
19856250000,-31.444845,153.2702
19870000000,-31.31769,93.564621
19883750000,-31.281851,32.873165
19897500000,-31.22954,-26.787045
19911250000,-31.275227,-87.731766
19925000000,-31.203186,-147.85133
19938750000,-31.239191,152.25041
19952500000,-31.205709,91.442368
19966250000,-31.243275,31.08942
19980000000,-31.241671,-29.264137
19993750000,-31.338394,-89.579086
20007500000,-31.389853,-149.23552
20021250000,-31.37125,150.76581
20035000000,-31.278704,90.682632
20048750000,-31.248228,29.775629
20062500000,-31.292768,-30.438103
20076250000,-31.449434,-90.537834
20090000000,-31.406794,-149.90501
20103750000,-31.396606,149.9933
20117500000,-31.245092,90.498909
20131250000,-31.265545,29.363581
20145000000,-31.347878,-30.952497
20158750000,-31.407524,-91.057343
20172500000,-31.445707,-150.95299
20186250000,-31.299212,149.53165
20200000000,-31.273949,89.549477
20213750000,-31.250443,28.884464
20227500000,-31.193075,-31.860111
20241250000,-31.222374,-92.15757
20255000000,-31.370955,-151.80962
20268750000,-31.248461,148.36215
20282500000,-31.205339,87.997421
