!CSV A.01.01
!Keysight Technologies,P9377B,MY61100645,A.17.60.13
!Date: Monday, January 05, 2026 16:40:50
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(DB),S21(DEG)
18000000000,-34.758766,43.739613
18013750000,-34.544617,-23.041357
18027500000,-34.650082,-93.899048
18041250000,-34.784798,-161.28926
18055000000,-34.460644,129.52832
18068750000,-34.434944,59.078781
18082500000,-34.773582,-6.2376494
18096250000,-34.510933,-73.601059
18110000000,-34.485981,-144.44823
18123750000,-34.307869,145.62213
18137500000,-34.313217,77.609528
18151250000,-34.253948,7.1769791
18165000000,-34.777725,-62.340443
18178750000,-34.626205,-129.52924
18192500000,-35.191868,161.81053
18206250000,-34.942993,94.688957
18220000000,-35.053379,28.918413
18233750000,-34.862827,-40.72657
18247500000,-34.668316,-110.93761
18261250000,-34.708447,-179.04601
18275000000,-34.400448,113.03579
18288750000,-34.52766,43.506252
18302500000,-34.752487,-24.440601
18316250000,-34.303726,-90.579117
18330000000,-34.230431,-159.22516
18343750000,-33.769165,131.2818
18357500000,-34.015846,61.389824
18371250000,-34.32856,-4.2639561
18385000000,-34.013767,-75.983406
18398750000,-34.329819,-140.23022
18412500000,-34.192749,148.44235
18426250000,-34.532925,83.248611
18440000000,-34.021114,16.423456
18453750000,-34.089588,-52.064018
18467500000,-33.64389,-123.40373
18481250000,-33.900307,167.6938
18495000000,-34.013161,98.222694
18508750000,-34.382767,34.887016
18522500000,-34.269302,-36.013287
18536250000,-34.195587,-102.49985
18550000000,-33.924854,-170.51241
18563750000,-33.968307,121.63647
18577500000,-33.950726,52.889454
18591250000,-33.519176,-20.509851
18605000000,-34.427177,-87.203423
18618750000,-34.458408,-154.21919
18632500000,-34.548534,138.269
18646250000,-34.666695,70.584641
18660000000,-34.106953,2.3431029
18673750000,-33.877876,-65.797501
18687500000,-34.0397,-135.89128
18701250000,-33.987816,153.76332
18715000000,-34.325436,85.271187
18728750000,-34.220528,18.503654
18742500000,-34.533829,-49.19519
18756250000,-34.412319,-115.73021
18770000000,-34.198227,175.39278
18783750000,-34.125767,106.86881
18797500000,-34.006969,36.372253
18811250000,-33.995216,-34.315006
18825000000,-34.038834,-102.98991
18838750000,-34.106094,-170.4249
18852500000,-34.010822,122.10432
18866250000,-34.130276,55.098347
18880000000,-33.94986,-13.181118
18893750000,-34.18845,-83.171181
18907500000,-33.772758,-151.6972
18921250000,-34.268856,140.19093
18935000000,-34.108593,69.187813
18948750000,-34.229343,2.5535727
18962500000,-34.129082,-62.078209
18976250000,-33.963806,-131.73856
18990000000,-33.925674,159.73062
19003750000,-33.986401,89.293137
19017500000,-33.996933,20.250748
19031250000,-34.375641,-47.785748
19045000000,-34.489735,-117.99823
19058750000,-34.732029,176.6525
19072500000,-34.467041,110.01704
19086250000,-34.568649,39.562805
19100000000,-34.645805,-24.666107
19113750000,-34.365009,-97.194771
