!CSV A.01.01
!Keysight Technologies,P9377B,MY61100645,A.17.60.13
!Date: Monday, January 05, 2026 16:42:46
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(DB),S21(DEG)
18000000000,-31.728546,-97.469238
18013750000,-31.652832,-165.34663
18027500000,-31.428303,124.26312
18041250000,-31.696306,55.572498
18055000000,-31.804014,-13.752229
18068750000,-31.736378,-77.740944
18082500000,-31.894863,-145.06827
18096250000,-31.770409,146.12799
18110000000,-31.581993,78.270912
18123750000,-31.35088,8.2714672
18137500000,-31.504318,-58.137436
18151250000,-31.547331,-128.61757
18165000000,-31.446373,163.5807
18178750000,-31.443922,96.382797
18192500000,-31.490473,28.762268
18206250000,-31.689342,-39.674515
18220000000,-31.209213,-106.82326
18233750000,-31.448776,-175.6499
18247500000,-31.456938,114.86937
18261250000,-31.353914,46.069157
18275000000,-31.62771,-21.584089
18288750000,-31.847231,-88.041344
18302500000,-31.826416,-154.9442
18316250000,-32.127071,137.54465
18330000000,-31.579758,70.642303
18343750000,-31.457321,0.82687247
18357500000,-31.574068,-66.914337
18371250000,-31.746256,-135.32716
18385000000,-31.850056,157.76668
18398750000,-32.011799,90.703453
18412500000,-32.188316,23.736132
18426250000,-31.885748,-42.216301
18440000000,-31.857288,-111.09504
18453750000,-31.494411,179.97221
18467500000,-31.319927,111.36205
18481250000,-31.515343,40.497536
18495000000,-31.802427,-27.859041
18508750000,-31.988001,-96.684204
18522500000,-31.896158,-162.03944
18536250000,-31.899361,130.70595
18550000000,-31.677311,61.253983
18563750000,-31.659349,-8.0004473
18577500000,-31.42872,-76.496597
18591250000,-31.510944,-146.63574
18605000000,-31.783613,147.44139
18618750000,-32.024117,79.197189
18632500000,-32.02446,12.254005
18646250000,-31.942961,-55.1665
18660000000,-31.752954,-123.56174
18673750000,-31.495705,166.72096
18687500000,-31.788853,97.753838
18701250000,-31.720396,30.325445
18715000000,-31.953873,-38.78648
18728750000,-32.172626,-104.3656
18742500000,-32.107773,-171.59676
18756250000,-31.988922,123.34724
18770000000,-31.726419,54.454601
18783750000,-31.493956,-15.512711
18797500000,-31.733936,-82.799797
18811250000,-31.61607,-151.46893
18825000000,-31.697077,139.86217
18838750000,-31.718981,72.920189
18852500000,-31.584957,5.8755774
18866250000,-31.784996,-63.249279
18880000000,-31.331457,-129.71747
18893750000,-31.376163,160.51439
18907500000,-31.726742,92.814003
18921250000,-31.626429,24.575363
18935000000,-31.796038,-43.721241
18948750000,-31.494562,-110.20656
18962500000,-31.69751,-178.07599
18976250000,-31.422739,112.65918
18990000000,-31.319445,45.373848
19003750000,-31.307688,-24.500479
19017500000,-31.326265,-92.820595
19031250000,-31.790632,-161.08136
19045000000,-31.742649,129.79735
19058750000,-31.87067,63.635704
19072500000,-31.858429,-5.5192289
19086250000,-31.884579,-72.80851
19100000000,-31.689837,-138.50067
19113750000,-31.772284,151.28624
19127500000,-31.776228,83.882332
19141250000,-31.820938,15.083764
19155000000,-31.886053,-52.849377
19168750000,-32.087879,-119.41573
19182500000,-31.790285,173.7016
19196250000,-31.681648,106.23881
19210000000,-31.535385,38.802345
19223750000,-31.408232,-29.532534
19237500000,-31.338053,-97.586037
19251250000,-31.471178,-167.38733
19265000000,-31.405722,123.74206
19278750000,-31.545166,56.404797
19292500000,-31.327559,-11.608158
19306250000,-31.504482,-79.86116
19320000000,-31.443052,-146.56914
19333750000,-31.242504,145.14745
19347500000,-31.330168,77.534286
19361250000,-31.196056,8.6931477
19375000000,-31.478811,-60.02343
19388750000,-31.318296,-128.31685
19402500000,-31.390766,163.69771
19416250000,-31.295956,96.07077
19430000000,-31.647591,27.425037
19443750000,-31.594393,-40.282833
19457500000,-31.565132,-107.95284
19471250000,-31.50515,-176.62639
19485000000,-31.751917,116.6425
19498750000,-31.487226,49.463127
19512500000,-31.645494,-19.416212
19526250000,-31.642204,-86.925995
19540000000,-31.660591,-154.55154
19553750000,-31.675734,135.63046
19567500000,-31.94252,67.452972
19581250000,-31.859419,0.44077685
19595000000,-31.920502,-67.521751
19608750000,-32.05249,-133.1752
19622500000,-31.741199,161.06262
19636250000,-31.714195,93.356384
19650000000,-31.461535,24.136883
19663750000,-31.532948,-42.983143
19677500000,-31.665464,-112.23863
19691250000,-31.5797,177.12407
19705000000,-31.727972,109.6448
19718750000,-31.796391,41.706684
19732500000,-31.922157,-26.318512
19746250000,-31.741226,-93.182579
19760000000,-31.65951,-159.43271
19773750000,-31.471872,132.0349
19787500000,-31.479555,65.875023
19801250000,-31.390024,-5.3334012
19815000000,-31.601654,-73.139038
19828750000,-31.374968,-141.76839
19842500000,-31.672691,149.85208
19856250000,-31.772511,83.366158
19870000000,-31.633945,15.39804
19883750000,-31.829277,-53.171398
19897500000,-31.69591,-119.25711
19911250000,-31.782259,172.27444
19925000000,-31.82435,104.79556
19938750000,-32.04258,36.558346
19952500000,-31.915003,-30.957327
19966250000,-31.815218,-98.149544
19980000000,-32.003376,-166.11366
19993750000,-31.649231,127.00668
20007500000,-31.710318,57.346569
20021250000,-31.922205,-11.173784
20035000000,-31.761345,-78.043686
20048750000,-31.953901,-146.80687
20062500000,-31.825871,146.90092
20076250000,-31.627449,79.067558
20090000000,-31.48966,10.980389
20103750000,-31.596636,-57.969681
20117500000,-31.723719,-126.5388
20131250000,-31.670963,165.73856
20145000000,-31.765522,98.826698
20158750000,-31.956011,30.455036
20172500000,-32.020203,-35.367313
20186250000,-31.709021,-103.74582
20200000000,-31.747015,-170.01173
20213750000,-31.505161,119.08363
20227500000,-31.486971,52.184078
20241250000,-31.560783,-15.828135
20255000000,-31.753237,-85.54483
20268750000,-31.765522,-152.30099
20282500000,-31.771048,139.92957
20296250000,-31.870882,73.453682
20310000000,-31.659779,4.853878
20323750000,-31.768194,-63.096291
20337500000,-31.403614,-131.23517
20351250000,-31.65662,159.57648
20365000000,-31.598316,92.666962
20378750000,-31.658152,23.686172
20392500000,-31.802597,-43.858635
20406250000,-31.917213,-111.91535
20420000000,-31.859932,-178.02396
20433750000,-32.101967,116.29887
20447500000,-31.925856,47.317226
20461250000,-31.757076,-20.63261
20475000000,-31.849869,-88.531364
20488750000,-31.710098,-156.88017
20502500000,-31.556593,134.35072
20516250000,-31.822214,67.94252
20530000000,-31.827343,-0.52873778
20543750000,-31.787998,-67.430214
20557500000,-31.826044,-136.87927
20571250000,-31.656731,155.539
20585000000,-31.677608,87.841797
20598750000,-31.655611,20.124311
20612500000,-31.688808,-49.031448
20626250000,-31.640459,-116.35334
20640000000,-32.053387,174.98289
20653750000,-31.851503,109.66476
20667500000,-31.85984,41.809631
20681250000,-31.975229,-26.223246
20695000000,-31.97669,-95.667732
20708750000,-31.810022,-162.7899
20722500000,-31.967499,128.10445
20736250000,-32.23658,61.010223
20750000000,-32.239952,-7.8188248
20763750000,-32.523876,-73.640907
20777500000,-32.38488,-141.29695
20791250000,-32.408726,150.78902
20805000000,-32.361759,82.859886
20818750000,-32.239956,16.309851
20832500000,-32.499577,-51.738609
20846250000,-32.469006,-119.64145
20860000000,-32.336025,172.52498
20873750000,-32.593719,107.13229
20887500000,-32.44236,38.661709
20901250000,-32.238247,-29.103024
20915000000,-32.29808,-97.897003
20928750000,-32.265907,-166.04604
20942500000,-32.423653,127.91367
20956250000,-32.484505,58.460094
20970000000,-32.388412,-7.5996709
20983750000,-32.471447,-74.072662
20997500000,-32.087574,-141.49348
21011250000,-32.154247,149.63361
21025000000,-32.207001,81.647461
21038750000,-32.20303,12.659622
21052500000,-32.520569,-56.255325
21066250000,-32.541851,-124.40142
21080000000,-32.525295,171.22545
21093750000,-32.636086,102.33222
21107500000,-32.449516,35.498741
21121250000,-32.448353,-32.736897
21135000000,-32.37178,-100.80626
21148750000,-32.199924,-169.54976
21162500000,-32.614067,121.20542
21176250000,-32.997509,55.055202
21190000000,-32.978706,-12.564095
21203750000,-32.797787,-77.710815
21217500000,-32.633266,-143.95258
21231250000,-32.613621,147.38953
21245000000,-32.58955,79.072235
21258750000,-32.70396,11.942624
21272500000,-32.617474,-57.855076
21286250000,-32.623947,-124.3343
21300000000,-32.781414,169.16672
21313750000,-32.807899,99.803864
21327500000,-32.469906,33.89151
21341250000,-32.336205,-34.787006
21355000000,-32.317135,-103.53574
21368750000,-32.423862,-172.39365
21382500000,-32.492214,121.09515
21396250000,-32.667778,54.951939
21410000000,-32.646297,-14.757631
21423750000,-32.829212,-79.704063
21437500000,-32.229523,-148.0153
21451250000,-32.411686,143.26057
21465000000,-32.11694,73.882095
21478750000,-32.296806,5.5463014
21492500000,-32.729607,-62.394386
21506250000,-32.791012,-129.73369
21520000000,-32.792828,162.74391
21533750000,-32.638981,96.909737
21547500000,-32.435684,30.233225
21561250000,-32.426643,-37.536713
21575000000,-32.578197,-108.34112
21588750000,-32.463165,-176.78236
21602500000,-32.651379,116.00716
21616250000,-33.140236,48.832767
21630000000,-33.004002,-16.945211
21643750000,-32.95602,-83.774933
21657500000,-32.837711,-150.32681
21671250000,-32.516151,141.49438
21685000000,-32.216557,73.362877
21698750000,-32.580994,2.581193
21712500000,-32.907841,-62.358379
21726250000,-32.744122,-131.32477
21740000000,-32.943539,163.56857
21753750000,-32.749413,96.249573
21767500000,-32.495129,30.080273
21781250000,-32.230591,-37.465458
21795000000,-32.299683,-105.96366
21808750000,-32.670681,-175.17081
21822500000,-32.523872,115.62993
21836250000,-32.583504,47.443172
21850000000,-32.783501,-20.558388
21863750000,-32.593792,-84.937363
21877500000,-32.376923,-153.70592
21891250000,-32.176411,139.34874
21905000000,-32.301842,69.474586
21918750000,-32.288055,-0.16326961
21932500000,-32.721169,-66.330299
21946250000,-32.952694,-134.97528
21960000000,-32.774338,158.20282
21973750000,-32.628628,93.327522
21987500000,-32.508102,26.58733
22001250000,-32.225037,-41.67971
22015000000,-32.544693,-111.00233
22028750000,-32.525681,179.0007
22042500000,-32.76973,110.87537
22056250000,-33.16486,44.379677
22070000000,-32.891453,-21.181471
22083750000,-32.911793,-87.287476
22097500000,-32.476273,-156.25078
22111250000,-32.258823,135.73506
22125000000,-32.361942,65.674484
22138750000,-32.540482,-1.14651
22152500000,-32.926891,-69.194229
22166250000,-33.089958,-136.12561
22180000000,-32.944584,158.29541
22193750000,-33.08662,90.801414
22207500000,-32.768135,23.507071
22221250000,-32.425377,-45.131741
22235000000,-32.28017,-113.77542
22248750000,-32.385487,177.05989
22262500000,-32.575916,110.00102
22276250000,-32.926735,43.810528
22290000000,-32.708603,-23.249218
22303750000,-32.882912,-89.534142
22317500000,-32.559666,-158.39436
22331250000,-32.222706,133.50656
22345000000,-32.504662,64.689377
22358750000,-32.547325,-2.9865808
22372500000,-32.515469,-71.918068
22386250000,-32.862373,-139.49135
22400000000,-32.955349,152.24942
22413750000,-32.896297,87.695679
22427500000,-32.929508,18.776474
22441250000,-33.028557,-50.525372
22455000000,-32.926765,-115.31101
22468750000,-33.0522,173.56633
22482500000,-32.926025,106.58165
22496250000,-33.269947,38.804264
22510000000,-32.981419,-27.838974
22523750000,-33.101933,-93.792831
22537500000,-33.07515,-162.11137
22551250000,-33.05336,130.00832
22565000000,-32.846581,63.060776
22578750000,-32.944088,-5.3182144
22592500000,-32.928249,-74.041794
22606250000,-33.278111,-140.76872
22620000000,-33.303749,153.09341
22633750000,-32.899521,86.807549
22647500000,-33.063381,18.746122
22661250000,-32.919498,-49.344864
22675000000,-32.99884,-119.01706
22688750000,-33.146702,172.7234
22702500000,-33.445385,106.80534
22716250000,-33.443176,39.202133
22730000000,-33.450409,-27.25209
22743750000,-33.418934,-94.163574
22757500000,-33.269024,-162.98653
22771250000,-32.970707,128.92802
22785000000,-33.076427,60.209404
22798750000,-33.31522,-6.8973775
22812500000,-33.359257,-74.078102
22826250000,-33.435726,-142.88972
22840000000,-33.752682,151.72545
22853750000,-33.374882,85.686378
22867500000,-33.352333,15.252137
22881250000,-33.115543,-52.038063
22895000000,-33.384388,-119.31621
22908750000,-33.398346,172.08
22922500000,-33.792652,105.19772
22936250000,-33.870007,37.452179
22950000000,-33.903275,-29.075621
22963750000,-33.873924,-94.597038
22977500000,-33.859226,-162.14073
22991250000,-33.820847,129.70459
23005000000,-33.596081,62.141376
23018750000,-33.82618,-5.5791702
23032500000,-33.567799,-72.98912
23046250000,-33.656223,-140.43013
23060000000,-33.743916,152.36394
23073750000,-33.453712,84.606972
23087500000,-33.351109,17.749638
23101250000,-33.50272,-50.764133
23115000000,-33.50877,-117.95147
23128750000,-33.720013,173.38438
23142500000,-33.893612,106.62566
23156250000,-33.734863,37.731754
23170000000,-33.486954,-28.416054
23183750000,-33.892532,-93.855179
23197500000,-33.456787,-160.97569
23211250000,-33.246876,130.54846
23225000000,-33.36618,62.546425
23238750000,-33.453403,-4.90483
23252500000,-33.33474,-71.490929
23266250000,-33.629684,-141.03099
23280000000,-33.48418,151.6226
23293750000,-33.647793,86.41497
23307500000,-33.662659,18.089031
23321250000,-33.468979,-48.775337
23335000000,-33.521214,-118.36163
23348750000,-33.427444,174.28319
23362500000,-33.421333,107.41344
23376250000,-33.744717,40.102531
23390000000,-33.726772,-26.855276
23403750000,-33.885876,-93.771019
23417500000,-33.26133,-161.77373
23431250000,-33.274677,130.87289
23445000000,-33.298531,63.56078
23458750000,-33.270905,-5.9905777
23472500000,-33.259552,-72.365822
23486250000,-33.169281,-140.26964
23500000000,-33.497135,151.78795
23513750000,-33.45694,84.823097
23527500000,-33.349003,17.268877
23541250000,-33.407837,-49.146919
23555000000,-33.180042,-117.40913
23568750000,-33.170879,175.00787
23582500000,-33.214188,106.65913
23596250000,-33.20673,38.969975
23610000000,-33.240692,-29.843256
23623750000,-33.261505,-97.241264
23637500000,-33.034767,-164.64922
23651250000,-33.237789,126.03822
23665000000,-33.310913,59.576694
23678750000,-33.481777,-9.0035372
23692500000,-33.580284,-76.38028
23706250000,-33.358898,-142.80319
23720000000,-33.442501,149.57571
23733750000,-33.294178,80.539902
23747500000,-33.257507,13.354186
23761250000,-33.253204,-52.896488
23775000000,-33.168121,-120.30702
23788750000,-33.083153,171.26102
23802500000,-33.29076,104.11546
23816250000,-33.444721,34.190498
23830000000,-33.517921,-30.936024
23843750000,-33.184971,-95.88324
23857500000,-33.311939,-164.6414
23871250000,-33.049587,126.34911
23885000000,-32.872055,57.633709
23898750000,-33.190121,-7.8220029
23912500000,-33.215809,-76.214882
23926250000,-33.29781,-142.91183
23940000000,-33.566906,148.17015
23953750000,-33.265388,81.461777
23967500000,-33.30397,13.77519
23981250000,-33.313694,-54.627514
23995000000,-33.154137,-121.52798
24008750000,-33.447407,169.54652
24022500000,-33.39312,101.66941
24036250000,-33.342461,34.927353
24050000000,-33.56134,-32.14455
24063750000,-33.372246,-99.405281
24077500000,-33.203049,-167.37453
24091250000,-33.141472,125.65506
24105000000,-33.659256,56.616695
24118750000,-33.543324,-10.405244
24132500000,-33.939575,-78.249596
24146250000,-33.993069,-144.58655
24160000000,-33.780342,146.48253
24173750000,-33.795872,79.336517
24187500000,-33.716339,13.278255
24201250000,-33.609226,-53.770855
24215000000,-33.942181,-122.1927
24228750000,-33.788105,170.17371
24242500000,-33.762539,100.94337
24256250000,-33.783134,35.159885
24270000000,-34.027824,-31.134947
24283750000,-34.022228,-99.172157
24297500000,-33.919071,-166.21169
24311250000,-33.803459,125.47422
24325000000,-34.176811,59.370163
24338750000,-33.966843,-8.3774462
24352500000,-33.915585,-75.138916
24366250000,-33.710869,-143.11557
24380000000,-33.983387,149.72285
24393750000,-33.651043,82.311722
24407500000,-33.507149,13.629297
24421250000,-33.406193,-53.800083
24435000000,-33.448425,-121.31676
24448750000,-33.68346,170.61237
24462500000,-33.669941,103.36934
24476250000,-33.557575,37.900715
24490000000,-33.837551,-32.785122
24503750000,-33.276215,-99.05777
24517500000,-33.712292,-167.98198
24531250000,-33.677849,123.02948
24545000000,-33.640392,57.907841
24558750000,-33.918728,-10.180798
24572500000,-33.969074,-76.309143
24586250000,-33.945255,-143.09615
24600000000,-33.704281,148.52374
24613750000,-33.961899,81.094826
24627500000,-34.036877,15.607855
24641250000,-34.010468,-54.7523
24655000000,-33.873302,-122.21767
24668750000,-34.005154,168.70505
24682500000,-34.111465,103.53523
24696250000,-33.751534,35.834972
24710000000,-33.880898,-32.04496
24723750000,-33.793541,-98.337906
24737500000,-33.873234,-167.28302
24751250000,-34.012222,127.02705
24765000000,-34.022377,60.47298
24778750000,-34.013222,-9.2359076
24792500000,-33.993824,-77.33033
24806250000,-33.757263,-144.82761
24820000000,-33.964409,148.73338
24833750000,-33.768829,82.699196
24847500000,-33.855225,15.943922
24861250000,-33.688972,-53.342133
24875000000,-33.74968,-121.61006
24888750000,-33.707851,172.44603
24902500000,-33.93832,102.56962
24916250000,-33.771069,36.492519
24930000000,-33.845356,-29.444372
24943750000,-33.640896,-99.742989
24957500000,-33.761616,-166.0809
24971250000,-33.946815,126.81272
24985000000,-33.774048,59.519142
24998750000,-34.013313,-9.9748411
25012500000,-33.808136,-77.034447
25026250000,-33.946407,-141.69148
25040000000,-33.678638,148.99231
25053750000,-33.667736,79.571075
25067500000,-33.700691,14.800587
25081250000,-33.929638,-54.032326
25095000000,-34.031784,-122.42901
25108750000,-34.125347,173.05501
25122500000,-33.981136,105.3435
25136250000,-34.153442,37.327522
25150000000,-33.787094,-29.297939
25163750000,-33.934872,-96.787704
25177500000,-33.889076,-165.80569
25191250000,-33.504692,127.7003
25205000000,-33.847622,57.399429
25218750000,-34.024876,-7.9185867
25232500000,-33.899097,-75.431465
25246250000,-34.291904,-140.92485
25260000000,-33.890221,150.44424
25273750000,-33.878002,81.653671
25287500000,-33.424335,13.295558
25301250000,-33.440357,-54.256065
25315000000,-33.505047,-121.64164
25328750000,-33.656952,169.39624
25342500000,-33.945091,103.39992
25356250000,-34.142193,35.433727
25370000000,-33.915524,-30.424929
25383750000,-33.970081,-97.370628
25397500000,-33.783012,-166.24878
25411250000,-33.615059,126.47208
25425000000,-33.568729,58.52927
25438750000,-33.655033,-9.5647507
25452500000,-33.935642,-76.59446
25466250000,-33.673527,-142.99759
25480000000,-34.080048,148.55838
25493750000,-33.994133,79.771683
25507500000,-33.801556,13.705086
25521250000,-33.698822,-55.090714
25535000000,-33.909924,-120.57921
25548750000,-33.945644,171.69882
25562500000,-34.090172,105.17065
25576250000,-33.755756,36.43541
25590000000,-33.763569,-30.611399
25603750000,-33.607841,-97.157585
25617500000,-33.693523,-167.23427
25631250000,-33.994377,126.27064
25645000000,-34.061607,57.745331
25658750000,-34.111984,-9.7057161
25672500000,-34.394478,-75.252357
25686250000,-34.060486,-143.71597
25700000000,-34.094074,151.07442
25713750000,-34.041206,82.348907
