!CSV A.01.01
!Keysight Technologies,P9377B,MY61100645,A.17.60.13
!Date: Friday, March 27, 2026 15:28:08
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(DB),S21(DEG)
18000000000,-34.311295,-32.981407
18013750000,-33.798191,-108.28726
18027500000,-33.757301,175.98317
18041250000,-33.993595,102.74677
18055000000,-33.946037,27.474602
18068750000,-34.080338,-44.85199
18082500000,-33.92234,-114.44068
18096250000,-33.839966,172.67189
18110000000,-33.512516,96.695717
18123750000,-33.273605,23.438234
18137500000,-33.177097,-49.916634
18151250000,-33.555161,-125.08512
18165000000,-33.744724,162.74107
18178750000,-33.921638,91.643433
18192500000,-33.974678,16.713543
18206250000,-33.566032,-50.651466
18220000000,-33.099846,-123.92628
18233750000,-32.712032,162.6268
18247500000,-32.502735,86.600273
18261250000,-32.642441,11.695637
18275000000,-32.834602,-62.183273
18288750000,-32.878311,-132.76131
18302500000,-33.234093,151.12715
18316250000,-33.059078,81.367722
18330000000,-32.796776,7.0825229
18343750000,-32.846981,-65.693802
18357500000,-32.79673,-139.22339
18371250000,-32.599094,148.70296
18385000000,-32.430042,74.852753
18398750000,-32.763027,0.69366771
18412500000,-32.777672,-70.664246
18426250000,-32.601742,-144.15862
18440000000,-32.608215,140.81268
18453750000,-32.460835,68.079895
18467500000,-32.267967,-3.2192764
18481250000,-32.529766,-79.694595
18495000000,-32.558842,-152.87306
18508750000,-32.82011,133.5751
18522500000,-32.832264,64.066383
18536250000,-32.540066,-8.5142727
18550000000,-32.346542,-81.211594
18563750000,-32.05233,-154.39297
18577500000,-31.927473,129.12457
18591250000,-31.945881,56.239418
18605000000,-31.936588,-17.347664
18618750000,-32.067875,-89.825607
18632500000,-32.266396,-163.2108
18646250000,-32.015015,125.50377
18660000000,-31.7341,52.251698
18673750000,-31.693771,-21.882196
18687500000,-31.602188,-93.913986
18701250000,-31.551497,-168.2486
18715000000,-31.497519,118.94894
18728750000,-31.530519,43.399452
18742500000,-31.674776,-27.012243
18756250000,-31.520615,-100.29362
18770000000,-31.120316,-173.04701
18783750000,-31.03886,113.0444
18797500000,-30.826099,38.615139
18811250000,-31.192774,-36.648991
18825000000,-31.17314,-107.15866
18838750000,-31.294769,177.84897
18852500000,-31.209034,105.09943
18866250000,-31.164932,32.998421
18880000000,-31.107052,-41.976807
18893750000,-31.307085,-115.76313
18907500000,-30.925627,169.88754
18921250000,-31.132095,96.359138
18935000000,-31.377277,24.048405
18948750000,-31.219425,-48.604465
18962500000,-31.049734,-122.75354
18976250000,-31.106588,164.68713
18990000000,-31.174078,90.25869
19003750000,-31.143717,16.874456
19017500000,-31.47773,-54.293713
19031250000,-31.681767,-127.03233
19045000000,-31.557047,159.42058
19058750000,-31.44569,87.940643
19072500000,-31.289831,15.409844
19086250000,-31.312231,-58.646866
19100000000,-31.163141,-132.68948
19113750000,-31.466749,153.24252
19127500000,-31.485239,82.404015
19141250000,-31.538967,7.9929938
19155000000,-31.645847,-64.186066
19168750000,-31.424904,-136.76027
19182500000,-31.502501,151.98717
19196250000,-31.134888,78.836624
19210000000,-31.116119,5.4416704
19223750000,-30.769867,-68.763649
19237500000,-30.796431,-142.79271
