!CSV A.01.01
!Keysight Technologies,P9377B,MY61100645,A.17.60.13
!Date: Friday, March 27, 2026 15:19:29
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(DB),S21(DEG)
18000000000,-31.894363,-114.48315
18013750000,-31.544409,171.60292
18027500000,-31.698816,97.213928
18041250000,-31.994305,23.531803
18055000000,-32.199154,-48.258076
18068750000,-32.250893,-120.17147
18082500000,-32.241631,168.85918
18096250000,-31.861393,99.315788
18110000000,-31.85652,25.142954
18123750000,-31.49098,-49.393074
18137500000,-31.69677,-124.91546
18151250000,-31.744873,164.35315
18165000000,-32.245308,90.954155
18178750000,-32.335117,18.392475
18192500000,-32.416248,-52.834835
18206250000,-32.032158,-123.81214
18220000000,-31.790443,164.36159
18233750000,-31.625742,88.473732
18247500000,-31.664509,13.41293
18261250000,-32.185062,-60.143955
18275000000,-32.049561,-132.10609
18288750000,-32.459255,157.01422
18302500000,-32.259827,83.870964
18316250000,-31.906153,13.302915
18330000000,-31.963282,-58.985424
18343750000,-31.965654,-133.29395
18357500000,-31.958458,153.30652
18371250000,-31.819029,77.8181
18385000000,-32.242531,4.7838116
18398750000,-32.56535,-67.980408
18412500000,-32.717903,-136.68988
18426250000,-32.524063,151.96953
18440000000,-32.084484,79.623993
18453750000,-32.152531,5.4237456
18467500000,-31.602392,-67.63327
18481250000,-32.046314,-142.81044
18495000000,-32.100269,142.83067
18508750000,-32.292713,73.396431
18522500000,-32.353561,1.8686284
18536250000,-32.194889,-68.711243
18550000000,-31.769262,-141.9601
18563750000,-31.539089,144.15816
18577500000,-31.42861,70.563324
18591250000,-31.78525,-2.2817516
18605000000,-31.945065,-77.068169
18618750000,-31.907881,-147.01491
18632500000,-31.893177,142.06599
18646250000,-31.741489,69.741295
18660000000,-31.21097,-3.8142612
18673750000,-31.419266,-77.10495
18687500000,-31.097521,-151.22792
18701250000,-31.332329,135.48337
18715000000,-31.402308,62.22633
18728750000,-31.789209,-10.088339
18742500000,-31.292393,-80.912399
18756250000,-31.462303,-151.30826
18770000000,-31.342117,135.76263
18783750000,-30.920082,62.726711
18797500000,-31.166983,-11.960367
18811250000,-30.984179,-84.789803
18825000000,-30.896645,-159.60023
18838750000,-31.289543,129.36667
18852500000,-31.374947,58.181622
18866250000,-31.058256,-14.767547
18880000000,-31.064751,-89.663254
18893750000,-31.070652,-160.85126
18907500000,-30.757299,126.15783
18921250000,-30.883179,50.774483
18935000000,-30.835672,-20.255198
18948750000,-31.026937,-93.821915
18962500000,-31.00741,-166.04623
18976250000,-30.94558,120.78714
18990000000,-30.839033,48.726986
19003750000,-30.701969,-23.209154
19017500000,-30.816736,-98.159004
19031250000,-30.756086,-171.85008
19045000000,-30.876905,115.67842
19058750000,-31.103449,43.528687
19072500000,-31.214834,-28.219446
19086250000,-31.097078,-100.52209
19100000000,-31.007032,-172.54158
19113750000,-30.84812,112.87161
19127500000,-30.872206,39.846046
19141250000,-30.983896,-33.588425
19155000000,-31.055716,-104.99526
19168750000,-31.259804,-177.59026
19182500000,-31.185816,108.6814
19196250000,-31.133022,38.142593
19210000000,-31.146425,-34.409134
19223750000,-30.988537,-106.72283
19237500000,-30.917074,-178.6787
19251250000,-31.010756,107.34745
19265000000,-30.833921,35.567257
19278750000,-30.78344,-38.97028
19292500000,-30.837614,-110.20179
19306250000,-30.780891,175.77289
19320000000,-31.03546,103.83282
19333750000,-30.933186,32.227711
19347500000,-30.823347,-39.519379
