!CSV A.01.01
!Keysight Technologies,P9377B,MY61100645,A.17.60.13
!Date: Monday, January 05, 2026 16:51:01
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(DB),S21(DEG)
18000000000,-28.655659,163.97749
18013750000,-28.571657,94.813957
18027500000,-28.530535,25.20908
18041250000,-28.679586,-44.984013
18055000000,-28.856234,-113.65325
18068750000,-29.051783,176.77457
18082500000,-29.130823,109.32288
18096250000,-29.066595,42.199261
18110000000,-29.007725,-26.456509
18123750000,-28.984821,-96.862396
18137500000,-29.207546,-165.24258
18151250000,-29.163176,126.70212
18165000000,-29.261135,57.653305
18178750000,-29.665565,-10.343519
18192500000,-29.843758,-77.932381
18206250000,-29.662897,-144.10764
18220000000,-29.875332,147.69466
18233750000,-29.469631,79.148323
18247500000,-29.477798,12.039077
18261250000,-29.336477,-57.053928
18275000000,-29.28446,-124.44968
18288750000,-29.548702,167.02875
18302500000,-29.611002,98.291542
18316250000,-29.252779,31.889536
18330000000,-28.983101,-36.044796
18343750000,-28.842911,-105.66623
18357500000,-28.818598,-176.72185
18371250000,-28.804066,115.19696
18385000000,-29.229263,45.458576
18398750000,-28.981972,-21.853062
18412500000,-28.941637,-90.849648
18426250000,-28.858587,-157.05154
18440000000,-28.780701,133.49409
18453750000,-28.593178,62.88028
18467500000,-28.714922,-7.1819382
18481250000,-28.816393,-75.923141
18495000000,-29.003223,-145.64723
18508750000,-29.323395,146.66714
18522500000,-29.27277,79.544617
18536250000,-29.114956,10.416928
18550000000,-29.012753,-58.632618
18563750000,-29.118872,-127.48245
18577500000,-29.421,163.64478
18591250000,-29.804932,95.338829
18605000000,-29.820145,28.305935
18618750000,-30.078833,-38.289536
18632500000,-29.9692,-107.09277
18646250000,-29.664236,-173.75089
18660000000,-29.357738,118.30431
18673750000,-29.587206,47.960125
18687500000,-29.393736,-21.029352
18701250000,-29.556278,-92.633766
18715000000,-29.728649,-158.21068
18728750000,-29.768179,133.31721
18742500000,-29.503901,68.415695
18756250000,-29.384666,-0.63040334
18770000000,-28.858334,-69.87027
18783750000,-28.635712,-142.78427
18797500000,-28.899799,147.62708
18811250000,-29.080206,77.224197
18825000000,-29.16128,8.2525578
18838750000,-29.481791,-61.84853
18852500000,-29.661762,-128.86264
18866250000,-29.744753,162.278
18880000000,-29.509872,93.162338
18893750000,-29.595045,21.915699
18907500000,-29.732691,-49.988712
18921250000,-30.070826,-118.38428
18935000000,-30.532085,170.96306
18948750000,-31.101471,104.70963
18962500000,-31.194851,38.116138
18976250000,-31.205406,-29.485125
18990000000,-31.023891,-98.475876
19003750000,-30.919077,-168.77893
19017500000,-31.073784,119.68517
19031250000,-31.688711,49.518795
19045000000,-32.461353,-18.974783
19058750000,-32.849312,-84.863052
19072500000,-32.961826,-149.45609
19086250000,-33.004444,144.15558
19100000000,-32.709274,75.169594
19113750000,-32.527679,7.4553332
19127500000,-32.582134,-65.219345
19141250000,-32.936584,-134.05597
19155000000,-33.384537,153.49104
19168750000,-33.754051,87.922592
19182500000,-34.124592,18.417738
19196250000,-34.675507,-48.788292
19210000000,-34.922466,-116.26357
19223750000,-34.926418,176.29724
19237500000,-35.033775,106.5422
19251250000,-35.54641,35.249802
19265000000,-35.825516,-38.534927
19278750000,-36.59721,-109.57633
19292500000,-38.007549,-175.83447
19306250000,-38.618084,115.86353
19320000000,-40.179905,48.260681
19333750000,-40.530697,-13.818398
19347500000,-41.631256,-84.616158
19361250000,-42.680901,-146.40706
