!CSV A.01.01
!Keysight Technologies,P9377B,MY61100645,A.17.60.13
!Date: Monday, January 05, 2026 16:50:04
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(DB),S21(DEG)
18000000000,-30.661781,-168.05925
18013750000,-30.711477,123.47552
18027500000,-30.86849,54.9608
18041250000,-30.741589,-14.12967
18055000000,-31.228136,-82.923767
18068750000,-31.207655,-151.26123
18082500000,-31.253973,141.02118
18096250000,-31.122887,73.066849
18110000000,-31.100016,4.2475939
18123750000,-31.100685,-65.406921
18137500000,-31.083551,-135.11243
18151250000,-31.385143,155.66776
18165000000,-31.37224,89.207039
18178750000,-31.843557,20.166378
18192500000,-31.740587,-46.207161
18206250000,-31.715893,-113.92774
18220000000,-31.369438,178.01024
18233750000,-31.473856,110.88783
18247500000,-31.236422,40.944118
18261250000,-31.399746,-28.997128
18275000000,-31.761641,-97.035095
18288750000,-31.733646,-164.5531
18302500000,-31.925049,128.14696
18316250000,-31.612209,60.249134
18330000000,-31.396929,-6.687789
18343750000,-31.282972,-75.900589
18357500000,-31.328957,-146.48886
18371250000,-31.319201,144.24203
18385000000,-31.250872,76.609764
18398750000,-31.396004,7.1088157
18412500000,-31.336342,-59.326138
18426250000,-31.279999,-127.09409
18440000000,-31.249821,164.21437
18453750000,-30.935371,92.961075
18467500000,-31.061447,24.431692
18481250000,-31.178234,-44.205994
18495000000,-31.355579,-113.45068
18508750000,-31.437067,179.71689
18522500000,-31.44869,110.77877
18536250000,-31.43042,43.195065
18550000000,-31.148657,-25.090548
18563750000,-31.121605,-95.688713
18577500000,-31.046949,-164.3532
18591250000,-31.224945,125.2132
18605000000,-31.587029,56.695137
18618750000,-31.524639,-10.637337
18632500000,-31.907991,-78.746277
18646250000,-32.019882,-146.29994
18660000000,-31.87463,144.47839
18673750000,-31.938108,75.864746
18687500000,-31.886309,5.3570623
18701250000,-32.072365,-62.699688
18715000000,-32.290749,-130.02315
18728750000,-32.50248,162.66833
18742500000,-32.146973,96.429298
18756250000,-32.282227,28.459366
18770000000,-32.097031,-39.463783
18783750000,-31.881132,-110.40903
18797500000,-32.031647,-178.76682
18811250000,-32.284019,110.61941
18825000000,-32.173031,42.147808
18838750000,-32.543648,-28.245466
18852500000,-32.76416,-95.216026
18866250000,-32.409523,-161.42831
18880000000,-32.554653,128.33723
18893750000,-32.621792,57.283241
18907500000,-32.462841,-12.281227
18921250000,-32.886997,-81.527542
18935000000,-33.366375,-150.73697
18948750000,-33.543079,140.96802
18962500000,-33.54813,73.621155
18976250000,-34.205887,6.0666537
18990000000,-33.801704,-61.067432
19003750000,-33.600151,-130.92088
19017500000,-33.68018,159.18475
19031250000,-34.196831,91.700508
19045000000,-34.432499,24.72608
19058750000,-34.595299,-44.889942
19072500000,-34.485744,-113.63162
19086250000,-34.445511,176.64232
19100000000,-34.562283,106.64394
19113750000,-34.674515,38.934162
19127500000,-35.098919,-30.632599
19141250000,-35.310074,-102.31669
19155000000,-36.265438,-167.52415
19168750000,-36.225025,123.75249
19182500000,-36.64098,53.022808
19196250000,-36.825787,-11.259838
19210000000,-37.268505,-82.04155
19223750000,-37.238503,-148.47705
19237500000,-37.612385,141.86166
19251250000,-38.274246,77.514877
19265000000,-38.784504,9.5348892
19278750000,-39.368469,-57.20005
19292500000,-39.527775,-123.46598
19306250000,-40.264328,167.0368
19320000000,-40.589409,98.203522
19333750000,-40.53355,41.011845
19347500000,-40.662334,-28.970112
19361250000,-41.345566,-95.515175
19375000000,-41.260441,-160.26611
19388750000,-41.764721,129.37924
19402500000,-42.454311,66.638588
19416250000,-42.395996,6.6457338
19430000000,-42.974064,-62.044666
19443750000,-42.267239,-127.50327
19457500000,-42.556683,167.49298
19471250000,-43.040489,102.49553
19485000000,-43.989559,40.715687
19498750000,-44.448112,-24.634945
19512500000,-43.480179,-90.966751
19526250000,-43.657494,-151.23361
19540000000,-44.238583,145.80911
19553750000,-43.439278,85.666313
19567500000,-42.896854,20.169701
19581250000,-42.908726,-41.093624
19595000000,-42.45055,-108.00345
19608750000,-41.94455,-174.74902
19622500000,-41.495583,123.21877
19636250000,-40.34874,56.07019
19650000000,-40.59164,-8.826335
19663750000,-39.701462,-77.329826
19677500000,-38.90514,-147.16446
19691250000,-39.04705,145.48816
19705000000,-38.638096,75.055237
19718750000,-38.313629,7.8994613
19732500000,-38.185055,-57.914268
19746250000,-37.974354,-125.62684
19760000000,-38.00806,165.73013
19773750000,-36.963459,99.730431
