!CSV A.01.01
!Keysight Technologies,P9377B,MY61100645,A.17.60.13
!Date: Tuesday, March 24, 2026 15:12:49
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(DB),S21(DEG)
18000000000,-31.642344,-47.889507
18110000000,-30.868988,81.821404
18220000000,-31.109486,-143.54388
18330000000,-30.728081,-12.957961
18440000000,-30.723328,122.30738
18550000000,-31.562645,-101.91184
18660000000,-31.28829,33.251678
18770000000,-30.58847,171.6581
18880000000,-30.477983,-56.33448
18990000000,-30.312984,77.051949
19100000000,-30.637045,-149.0972
19210000000,-30.90587,-14.216319
19320000000,-31.953205,116.57248
19430000000,-32.364746,-104.42789
19540000000,-32.632912,32.04311
19650000000,-33.076328,164.95442
19760000000,-34.768288,-63.3153
19870000000,-36.700043,67.870377
19980000000,-40.674133,-150.42113
20090000000,-45.747448,0.41496837
20200000000,-44.981033,-149.14615
20310000000,-38.789646,1.0593575
20420000000,-36.10207,136.18547
20530000000,-34.885479,-88.721672
20640000000,-33.745426,50.665737
20750000000,-33.089493,-174.67087
20860000000,-32.571812,-37.983543
20970000000,-32.141296,98.282486
21080000000,-32.104378,-124.88451
21190000000,-32.5341,10.681637
21300000000,-33.06448,150.0638
21410000000,-33.138767,-69.040695
21520000000,-32.765545,70.113754
21630000000,-32.851414,-151.81656
21740000000,-32.605915,-13.096222
21850000000,-32.602642,125.14165
21960000000,-32.99054,-96.96553
22070000000,-33.355392,44.130482
22180000000,-33.39806,179.71616
22290000000,-33.737591,-42.343712
22400000000,-33.85931,96.959175
22510000000,-34.625484,-126.96927
22620000000,-36.380192,8.8544168
22730000000,-38.280781,148.55243
22840000000,-40.476982,-68.382423
22950000000,-44.219849,97.461594
23060000000,-44.641674,-82.976265
23170000000,-40.951675,76.152458
23280000000,-37.570515,-140.53218
23390000000,-35.261349,-1.1474397
23500000000,-34.396973,133.70792
23610000000,-32.94368,-89.144447
23720000000,-32.490532,46.520901
23830000000,-32.200943,-172.24094
23940000000,-31.855852,-34.044186
24050000000,-31.774286,101.44924
24160000000,-31.592783,-120.10629
24270000000,-31.672903,20.588083
24380000000,-31.543444,157.73125
24490000000,-31.589045,-62.185402
24600000000,-31.941914,74.662308
24710000000,-32.044979,-144.42517
24820000000,-32.09848,-3.9450841
24930000000,-32.369205,134.73567
25040000000,-32.357246,-86.901512
25150000000,-33.132565,51.490097
25260000000,-33.21806,-168.03133
25370000000,-34.115223,-32.715744
25480000000,-35.078995,105.94293
25590000000,-36.309494,-114.6306
25700000000,-38.952236,28.447367
25810000000,-42.695866,-177.6568
25920000000,-44.438095,-5.4643121
26030000000,-42.848782,161.73354
26140000000,-40.000408,-48.352154
26250000000,-37.748371,97.849236
26360000000,-36.5979,-123.40589
