!CSV A.01.01
!Keysight Technologies,P9377B,MY61100645,A.17.60.13
!Date: Thursday, March 26, 2026 15:51:03
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(DB),S21(DEG)
18000000000,-38.948502,144.13791
18013758599.124,-38.30698,70.445282
18027517198.249,-38.766357,-3.2067759
18041275797.373,-39.155422,-74.985764
18055034396.498,-38.723549,-140.46622
18068792995.622,-39.150677,145.83575
18082551594.747,-39.107834,82.48745
18096310193.871,-38.683502,11.610114
18110068792.996,-38.261963,-56.344032
18123827392.12,-39.023067,-130.44713
18137585991.245,-38.388573,156.07568
18151344590.369,-38.566059,86.357231
18165103189.493,-38.61322,14.819743
18178861788.618,-38.79686,-52.604492
18192620387.742,-38.18684,-122.68647
18206378986.867,-38.781971,168.3485
18220137585.991,-37.456097,97.750053
18233896185.116,-37.747181,27.069273
18247654784.24,-37.556442,-42.057178
18261413383.365,-37.505936,-116.65392
18275171982.489,-37.95438,174.16843
18288930581.614,-37.636829,103.19346
18302689180.738,-37.996826,36.366558
18316447779.862,-37.147682,-29.673796
18330206378.987,-36.73571,-102.47739
18343964978.111,-36.713444,-172.29811
18357723577.236,-36.861443,113.67732
18371482176.36,-36.66729,44.218853
18385240775.485,-36.698341,-24.401615
18398999374.609,-37.141541,-97.299103
18412757973.734,-36.708511,-160.73552
18426516572.858,-36.945461,131.71114
18440275171.982,-36.071148,57.196396
18454033771.107,-36.009449,-11.121729
18467792370.231,-36.404316,-81.304573
18481550969.356,-36.507133,-152.05194
18495309568.48,-36.581882,135.21695
18509068167.605,-36.769081,70.040726
18522826766.729,-36.562469,1.5816215
18536585365.854,-36.689125,-66.18029
18550343964.978,-36.373795,-137.74481
18564102564.103,-36.272766,155.00023
18577861163.227,-36.425323,81.7603
18591619762.351,-36.576351,9.7478075
18605378361.476,-36.857666,-59.688526
18619136960.6,-37.052498,-126.97656
18632895559.725,-36.903633,166.89362
18646654158.849,-36.594536,94.939079
18660412757.974,-37.118168,23.567196
18674171357.098,-37.009426,-41.716824
18687929956.223,-36.862202,-119.34282
18701688555.347,-37.244747,173.68073
18715447154.472,-36.812504,101.83686
18729205753.596,-37.704964,33.772758
18742964352.72,-37.399899,-32.780876
18756722951.845,-37.397827,-105.74218
18770481550.969,-37.35918,-176.36996
18784240150.094,-37.261333,112.06092
18797998749.218,-37.400463,41.674057
18811757348.343,-37.848557,-31.685501
18825515947.467,-38.165054,-98.475853
18839274546.592,-37.551666,-169.23962
18853033145.716,-37.75491,119.10998
18866791744.841,-37.717232,51.80806
18880550343.965,-38.017231,-20.322556
18894308943.089,-37.421364,-92.580116
18908067542.214,-37.733948,-157.68195
18921826141.338,-37.697552,128.71384
18935584740.463,-37.77158,59.334053
18949343339.587,-37.690189,-11.200016
18963101938.712,-37.3451,-80.847603
18976860537.836,-37.649193,-151.67828
18990619136.961,-37.096371,140.36859
19004377736.085,-37.415627,71.07267
19018136335.21,-36.938995,-0.0013767205
19031894934.334,-37.099041,-68.200195
19045653533.458,-36.931068,-140.23273
19059412132.583,-36.907368,149.15517
19073170731.707,-36.972336,81.157471
19086929330.832,-37.29887,11.813337
19100687929.956,-36.740364,-58.571617
19114446529.081,-36.701447,-129.13202
19128205128.205,-36.870003,164.44565
19141963727.33,-36.615658,92.598618
19155722326.454,-36.734116,21.945644
19169480925.578,-36.916546,-43.821091
19183239524.703,-36.460144,-115.3853
19196998123.827,-36.671207,176.86295
19210756722.952,-36.361626,106.33233
19224515322.076,-36.480034,37.476467
19238273921.201,-36.238995,-35.140266
19252032520.325,-36.600815,-101.02802
19265791119.45,-36.282787,-171.31702
19279549718.574,-36.050995,115.87058
19293308317.699,-36.656746,51.84201
19307066916.823,-36.866047,-18.295076
19320825515.947,-36.862358,-92.94471
19334584115.072,-36.430851,-156.30621
19348342714.196,-36.339516,131.84314
19362101313.321,-36.471706,61.698746
19375859912.445,-36.879959,-10.067163
19389618511.57,-37.035522,-75.83622
19403377110.694,-37.234585,-148.79997
19417135709.819,-37.097942,144.5659
19430894308.943,-36.980366,70.693909
19444652908.068,-37.177082,0.98827046
19458411507.192,-37.027969,-66.087601
19472170106.316,-36.877483,-139.9976
19485928705.441,-37.510685,156.89102
19499687304.565,-37.527977,80.682137
19513445903.69,-37.283859,12.121651
19527204502.814,-37.790497,-60.487576
19540963101.939,-37.382469,-128.64336
19554721701.063,-37.342136,161.47974
19568480300.188,-37.432056,94.04528
19582238899.312,-37.485558,20.722443
19595997498.437,-37.46701,-51.679401
19609756097.561,-37.653557,-119.27532
19623514696.685,-37.242744,170.49406
19637273295.81,-37.451569,99.810905
19651031894.934,-37.700527,33.757557
19664790494.059,-36.956608,-39.055046
19678549093.183,-37.875179,-110.17022
19692307692.308,-37.537407,-178.46071
19706066291.432,-37.341587,107.73559
19719824890.557,-38.355843,41.034473
19733583489.681,-37.42625,-31.3353
19747342088.806,-38.083298,-96.925941
19761100687.93,-37.553505,-167.28047
19774859287.054,-37.360603,122.63517
19788617886.179,-37.060402,52.521553
19802376485.303,-37.141998,-18.969751
19816135084.428,-37.013641,-88.243774
19829893683.552,-37.209324,-158.88644
19843652282.677,-36.936283,134.65646
19857410881.801,-36.719074,60.431171
19871169480.926,-37.009014,-4.7917228
19884928080.05,-36.960278,-74.73465
19898686679.174,-36.927479,-144.36537
19912445278.299,-36.910641,144.1963
19926203877.423,-37.106083,73.680229
19939962476.548,-37.039417,7.137105
19953721075.672,-36.781681,-64.022728
19967479674.797,-37.124336,-131.4492
19981238273.921,-36.915051,158.86633
19994996873.046,-36.988228,88.917831
20008755472.17,-37.299458,18.02611
20022514071.295,-37.279797,-50.899399
20036272670.419,-37.005089,-118.12971
20050031269.543,-37.281094,172.74016
20063789868.668,-37.160198,101.84381
20077548467.792,-37.178154,30.525768
20091307066.917,-37.047298,-36.099644
20105065666.041,-37.290318,-108.70133
20118824265.166,-37.588921,-177.36336
20132582864.29,-37.521545,114.93423
20146341463.415,-37.43578,48.242359
20160100062.539,-37.331879,-23.470028
20173858661.664,-37.32555,-94.141441
20187617260.788,-38.221558,-161.62697
20201375859.912,-37.540474,128.75583
20215134459.037,-37.804955,55.762199
20228893058.161,-38.017105,-17.752516
20242651657.286,-38.194008,-82.34906
20256410256.41,-37.792408,-149.5383
20270168855.535,-38.025021,138.04681
20283927454.659,-38.181488,67.687004
20297686053.784,-39.097073,-1.5513968
20311444652.908,-38.246399,-71.981926
20325203252.033,-38.379223,-141.79898
20338961851.157,-38.256165,147.39476
20352720450.281,-38.77491,75.831558
20366479049.406,-38.366077,5.9480104
20380237648.53,-38.987705,-63.840706
20393996247.655,-38.746479,-128.51421
20407754846.779,-37.794281,159.53148
20421513445.904,-38.594658,92.32489
20435272045.028,-38.072826,19.645197
20449030644.153,-37.697914,-55.54171
20462789243.277,-38.464741,-123.64919
20476547842.402,-38.300495,165.76758
20490306441.526,-38.101017,99.16053
20504065040.65,-38.176525,30.088572
20517823639.775,-37.927952,-37.795414
20531582238.899,-38.101425,-112.83548
20545340838.024,-38.122097,-177.88359
20559099437.148,-38.095482,111.27866
20572858036.273,-38.142685,40.170124
20586616635.397,-38.629215,-29.566509
20600375234.522,-37.931335,-97.144432
20614133833.646,-38.310516,-165.55853
20627892432.77,-37.857399,125.79211
20641651031.895,-37.983013,54.249607
20655409631.019,-38.452866,-17.533377
20669168230.144,-37.997246,-86.464127
20682926829.268,-38.163589,-156.11055
20696685428.393,-38.340721,134.49652
20710444027.517,-38.730228,67.67672
20724202626.642,-38.570938,0.39211917
20737961225.766,-38.508667,-67.364265
20751719824.891,-38.349701,-136.51102
20765478424.015,-38.431046,150.27319
20779237023.139,-38.54364,81.328842
20792995622.264,-38.491993,10.604763
20806754221.388,-38.672665,-56.257359
20820512820.513,-38.601837,-123.73705
20834271419.637,-38.924042,168.34029
20848030018.762,-38.612667,99.742958
20861788617.886,-38.623672,24.06044
20875547217.011,-38.621262,-40.698383
20889305816.135,-39.112259,-113.49216
20903064415.26,-38.850376,177.83809
20916823014.384,-39.454506,108.51972
20930581613.508,-39.528088,37.706257
20944340212.633,-39.861603,-35.484783
20958098811.757,-39.420959,-98.498581
20971857410.882,-39.376087,-166.17506
20985616010.006,-39.345112,121.91801
20999374609.131,-39.087982,50.266163
21013133208.255,-39.53727,-17.711823
21026891807.38,-39.627827,-90.187721
21040650406.504,-40.401417,-159.15984
21054409005.629,-40.460396,130.18555
21068167604.753,-39.955688,66.99472
21081926203.877,-40.195454,-4.3545256
