!CSV A.01.01
!Keysight Technologies,P9377B,MY61100645,A.17.60.13
!Date: Tuesday, March 24, 2026 15:11:17
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(DB),S21(DEG)
18000000000,-29.506315,-78.808693
18110000000,-29.669067,52.435829
18220000000,-29.859137,-172.28755
18330000000,-30.24626,-39.079376
18440000000,-31.037239,95.072617
18550000000,-31.435884,-131.45468
18660000000,-31.000204,1.1332
18770000000,-31.433023,129.26813
18880000000,-33.189449,-104.51183
18990000000,-34.745968,27.997229
19100000000,-37.83728,153.39035
19210000000,-43.090954,-101.52396
19320000000,-49.517841,-54.551586
19430000000,-41.092113,14.929615
19540000000,-36.256077,132.3414
19650000000,-34.438309,-101.63285
19760000000,-32.644161,26.742039
19870000000,-31.587921,154.75046
19980000000,-31.347685,-71.642769
20090000000,-31.148222,61.854385
20200000000,-30.076633,-163.83832
20310000000,-30.283331,-30.890476
20420000000,-30.086899,106.74915
20530000000,-30.324209,-118.12746
20640000000,-30.444925,20.188009
20750000000,-30.324701,153.43658
20860000000,-30.579687,-68.083603
20970000000,-30.603056,67.412788
21080000000,-31.253536,-159.37743
21190000000,-32.01693,-19.438566
21300000000,-32.148354,116.61098
21410000000,-32.747505,-108.61402
21520000000,-33.087357,24.48476
21630000000,-34.662735,158.68623
21740000000,-36.722782,-73.96698
21850000000,-39.715973,59.132877
21960000000,-44.274319,-179.82637
22070000000,-51.289135,-112.74718
22180000000,-41.875626,-66.879555
22290000000,-38.145073,54.367031
22400000000,-35.445873,-178.62202
22510000000,-34.31778,-46.945126
22620000000,-33.140121,85.380066
22730000000,-32.460094,-138.32909
22840000000,-31.747639,-4.1879287
22950000000,-31.189709,133.4836
23060000000,-30.941809,-89.659317
23170000000,-30.662838,49.358768
23280000000,-30.464643,-173.77618
23390000000,-29.813177,-37.424347
23500000000,-29.679398,97.103516
23610000000,-29.857815,-125.60624
23720000000,-29.820776,10.43012
23830000000,-30.006598,147.27007
23940000000,-30.535379,-77.129219
24050000000,-31.059788,61.134068
24160000000,-31.384529,-165.22878
24270000000,-32.533962,-34.622147
24380000000,-33.5905,97.790222
24490000000,-35.880096,-128.38185
24600000000,-39.013218,-5.2276869
24710000000,-44.341396,103.02088
24820000000,-50.905716,147.22844
24930000000,-40.612675,-121.60623
25040000000,-37.070549,1.0617123
25150000000,-34.638935,130.2648
25260000000,-33.271191,-96.832039
25370000000,-32.387096,34.593445
25480000000,-31.901598,171.94037
25590000000,-31.563452,-50.294895
25700000000,-31.353588,87.280716
25810000000,-31.121397,-137.97011
25920000000,-30.907927,1.1257216
26030000000,-31.1681,138.57085
26140000000,-31.127237,-82.911911
26250000000,-31.230719,55.555061
26360000000,-31.629478,-165.04547
26470000000,-31.875547,-24.009245
26580000000,-32.082554,110.78313
26690000000,-32.98967,-111.11936
26800000000,-33.662151,29.795557
26910000000,-33.890327,167.10425
27020000000,-34.870457,-57.413521
27130000000,-37.044556,77.905014
27240000000,-38.503891,-150.98705
27350000000,-41.894459,-21.152328
27460000000,-50.415462,72.606026
27570000000,-46.936047,89.168922
27680000000,-40.672226,-152.66504
27790000000,-36.814812,-23.184139
27900000000,-35.055069,112.88082
28010000000,-33.832649,-115.76354
28120000000,-32.587231,19.497269
28230000000,-32.587479,155.91248
28340000000,-32.013336,-66.623985
28450000000,-31.764183,71.21431
28560000000,-31.107763,-149.02007
28670000000,-31.070568,-9.5355921
28780000000,-30.969501,127.09575
28890000000,-30.477964,-95.170891
29000000000,-30.404058,43.577892
29110000000,-30.643579,-176.68147
29220000000,-30.873064,-38.861637
29330000000,-31.223806,99.06501
29440000000,-31.869558,-126.94056
29550000000,-32.928867,10.954998
29660000000,-33.3801,151.13007
29770000000,-34.993202,-69.113335
29880000000,-36.803993,66.34819
29990000000,-39.578201,-154.27443
30100000000,-43.329098,-22.662043
30210000000,-63.231262,160.40193
30320000000,-44.940304,46.444309
30430000000,-39.313576,176.79019
30540000000,-36.810471,-49.142273
30650000000,-35.249142,84.078377
30760000000,-33.828064,-140.00984
30870000000,-33.473225,-4.3350563
30980000000,-33.256824,134.02753
31090000000,-33.069271,-86.573708
31200000000,-32.869167,51.983475
31310000000,-32.815857,-170.69168
31420000000,-32.845177,-29.907581
31530000000,-32.977066,110.76612
31640000000,-32.909927,-110.38844
31750000000,-33.179737,30.33392
31860000000,-33.069168,169.26591
31970000000,-33.144253,-46.364876
32080000000,-33.354786,91.551727
32190000000,-33.60482,-130.881
32300000000,-33.992184,9.2124453
32410000000,-34.974434,147.94914
32520000000,-35.772938,-72.150642
32630000000,-37.775913,66.773262
32740000000,-39.47691,-151.64354
32850000000,-42.076492,-19.269844
32960000000,-52.403389,152.63884
33070000000,-49.092045,30.573156
33180000000,-39.666847,171.32152
33290000000,-36.388447,-53.353474
33400000000,-34.126167,85.951172
33510000000,-33.108982,-139.36246
33620000000,-32.113113,-3.6596291
33730000000,-31.302761,134.27968
33840000000,-30.997757,-85.215149
33950000000,-30.717146,49.212627
34060000000,-30.18049,-170.63667
34170000000,-30.184061,-31.645599
34280000000,-30.025616,107.12063
34390000000,-29.838501,-114.36989
34500000000,-29.856291,24.235884
34610000000,-29.981962,162.36786
34720000000,-29.848143,-58.468597
34830000000,-30.219236,80.273041
34940000000,-30.94681,-144.41122
35050000000,-31.517115,-8.1310263
35160000000,-32.151741,128.06987
35270000000,-33.566193,-95.393494
35380000000,-35.432281,41.474831
35490000000,-37.891174,-179.19144
35600000000,-42.962292,-43.361031
35710000000,-50.469074,122.17204
35820000000,-49.293522,-20.235771
35930000000,-40.905224,143.61111
36040000000,-38.305168,-75.727745
36150000000,-36.505348,64.657516
36260000000,-35.04977,-162.44676
36370000000,-34.203274,-21.98834
36480000000,-34.609428,113.00967
36590000000,-34.067684,-104.06312
36700000000,-33.860668,33.65852
36810000000,-33.867306,176.63554
36920000000,-33.791061,-40.990536
37030000000,-33.983383,96.636421
37140000000,-33.507866,-120.32632
37250000000,-33.694656,20.345238
37360000000,-34.414219,159.92735
37470000000,-34.072994,-60.341484
37580000000,-34.381504,81.952736
37690000000,-34.559799,-138.76122
37800000000,-35.272564,2.7723408
37910000000,-35.462929,144.37331
38020000000,-35.494987,-84.418633
38130000000,-37.520969,54.914036
38240000000,-39.543217,-164.73973
38350000000,-42.805283,-22.895927
38460000000,-48.797161,142.39941
38570000000,-47.890385,-1.9233922
38680000000,-40.349449,147.57831
