!CSV A.01.01
!Keysight Technologies,P9377B,MY61100645,A.17.60.13
!Date: Tuesday, March 24, 2026 15:15:01
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(DB),S21(DEG)
18000000000,-34.591534,105.66676
18110000000,-34.7337,-114.71318
18220000000,-34.99411,16.691875
18330000000,-34.925293,150.84496
18440000000,-36.342522,-74.028236
18550000000,-36.580551,63.670403
18660000000,-37.152081,-160.54631
18770000000,-38.002018,-20.414492
18880000000,-40.294117,115.51675
18990000000,-42.068813,-107.88388
19100000000,-45.066837,27.673397
19210000000,-46.412949,-171.8382
19320000000,-48.572765,-9.547822
19430000000,-48.150192,171.79897
19540000000,-44.724483,-27.449125
19650000000,-40.121029,121.89855
19760000000,-38.5256,-101.34096
19870000000,-35.99255,31.659849
19980000000,-34.360432,166.96378
20090000000,-33.546879,-59.388325
20200000000,-32.649784,77.293892
20310000000,-32.236759,-148.01051
20420000000,-32.067791,-12.158382
20530000000,-31.732601,122.29653
20640000000,-31.961914,-99.399788
20750000000,-31.861195,39.718609
20860000000,-31.882183,177.3867
20970000000,-31.766987,-45.570595
21080000000,-32.340187,90.036186
21190000000,-32.345062,-129.13499
21300000000,-32.627048,8.0113058
21410000000,-33.234978,148.28366
21520000000,-33.298958,-68.94722
21630000000,-33.621735,72.229118
21740000000,-34.249157,-146.65907
21850000000,-34.09581,-6.6610827
21960000000,-34.358364,134.04887
22070000000,-35.022892,-82.809731
22180000000,-34.649067,57.662758
22290000000,-35.123959,-158.56534
22400000000,-35.340828,-18.259163
22510000000,-35.451572,117.61373
22620000000,-36.911762,-97.973885
22730000000,-37.477493,45.671597
22840000000,-38.275848,-171.72841
22950000000,-39.610077,-26.379606
23060000000,-39.998634,122.15172
23170000000,-41.015984,-87.358307
23280000000,-40.929771,69.520599
23390000000,-40.506767,-135.49776
23500000000,-40.29351,17.03208
23610000000,-37.51989,168.83282
23720000000,-36.351444,-50.088276
23830000000,-35.002769,89.772575
23940000000,-34.374531,-130.87677
24050000000,-33.968845,13.362132
24160000000,-32.812969,151.2307
24270000000,-32.498428,-73.833298
24380000000,-32.264095,67.513222
24490000000,-32.661217,-151.96802
24600000000,-32.560726,-12.790499
24710000000,-32.449814,129.30212
24820000000,-32.305561,-86.993149
24930000000,-32.250999,52.806316
25040000000,-32.105518,-170.01239
25150000000,-32.570168,-27.61912
25260000000,-32.708931,114.45009
25370000000,-32.823505,-104.02303
25480000000,-32.722668,37.451298
25590000000,-33.321308,-179.91817
25700000000,-33.015858,-36.636208
25810000000,-33.601196,105.36374
25920000000,-33.744854,-111.45116
26030000000,-33.849686,26.843246
26140000000,-34.365406,169.73608
26250000000,-34.679199,-47.371395
26360000000,-35.689804,96.172966
26470000000,-36.216534,-118.99213
26580000000,-36.879715,23.38719
26690000000,-37.476376,167.87671
26800000000,-38.314041,-45.211208
26910000000,-38.850327,100.54509
27020000000,-40.41354,-115.19323
27130000000,-42.563416,35.305889
27240000000,-41.294273,-168.60202
27350000000,-42.007542,-19.793274
27460000000,-41.757004,134.41519
27570000000,-40.940819,-71.326569
27680000000,-40.314938,83.423431
27790000000,-38.477684,-130.29123
27900000000,-37.450233,9.5743904
28010000000,-36.582703,152.82454
28120000000,-35.704548,-64.872993
28230000000,-35.307598,81.794121
28340000000,-34.83366,-136.16432
28450000000,-34.257904,5.9968786
28560000000,-33.33316,147.02818
28670000000,-33.252079,-73.992943
28780000000,-32.985935,70.761475
28890000000,-32.372746,-148.8616
29000000000,-31.93133,-7.4633923
29110000000,-32.060947,135.54161
29220000000,-31.832804,-85.548302
29330000000,-32.102165,55.078171
29440000000,-31.88538,-164.39063
29550000000,-32.037815,-26.655994
29660000000,-32.486465,114.8721
29770000000,-33.17947,-105.52132
29880000000,-33.481747,37.288387
29990000000,-34.419556,175.81551
30100000000,-35.120804,-40.473587
30210000000,-35.594849,100.15159
30320000000,-36.88805,-117.05014
30430000000,-38.00988,22.886118
30540000000,-40.059566,172.59085
30650000000,-41.963089,-39.996861
30760000000,-41.611465,119.88017
30870000000,-41.896172,-92.160553
30980000000,-42.625042,61.215435
31090000000,-41.935223,-135.27638
31200000000,-41.937782,7.6155448
31310000000,-41.047867,153.85175
31420000000,-39.756306,-59.134998
31530000000,-40.485493,88.215332
31640000000,-40.203369,-129.56017
31750000000,-40.143242,21.899395
31860000000,-38.845974,166.16194
31970000000,-37.839458,-47.404015
32080000000,-37.394756,94.875359
32190000000,-36.437737,-120.06685
32300000000,-36.252277,23.865717
32410000000,-35.209526,163.92488
32520000000,-35.826664,-55.316307
32630000000,-35.803055,89.936584
32740000000,-34.917778,-125.40524
32850000000,-35.986645,16.113543
32960000000,-35.063332,159.4325
33070000000,-35.274509,-56.655952
33180000000,-35.041653,84.417671
33290000000,-34.957233,-134.82669
33400000000,-35.046516,13.569654
33510000000,-35.292286,151.76552
33620000000,-35.370255,-62.530125
33730000000,-35.445755,80.999207
33840000000,-35.461472,-138.30603
33950000000,-35.918186,5.5962286
34060000000,-36.147209,147.69621
34170000000,-37.001194,-69.749443
34280000000,-37.491222,76.158028
34390000000,-38.388309,-137.11499
34500000000,-38.529636,0.058509942
34610000000,-39.397762,150.98082
34720000000,-40.203564,-55.313995
34830000000,-40.018974,93.235718
34940000000,-39.890091,-123.66211
35050000000,-39.278797,26.790958
35160000000,-40.273979,171.8064
35270000000,-40.3409,-39.771965
35380000000,-40.670906,110.61015
35490000000,-40.211178,-101.08617
35600000000,-38.272926,51.244366
35710000000,-38.995102,-165.81883
35820000000,-38.299843,-23.010201
35930000000,-38.299339,126.74513
36040000000,-37.695934,-91.972466
36150000000,-37.457001,54.149525
36260000000,-36.982185,-162.83687
36370000000,-36.522888,-20.35042
36480000000,-36.236938,122.77612
36590000000,-36.495686,-96.05439
36700000000,-36.610161,45.665493
36810000000,-36.307304,-164.78819
36920000000,-36.653889,-20.563541
37030000000,-36.336029,119.64422
37140000000,-37.00584,-99.426132
37250000000,-37.105751,48.218971
37360000000,-37.464394,-172.10036
37470000000,-37.158253,-26.686251
37580000000,-37.875,117.58075
37690000000,-37.844891,-101.41599
37800000000,-37.806587,47.869877
37910000000,-38.767036,-166.49664
38020000000,-38.831841,-27.318468
38130000000,-38.128094,122.30296
38240000000,-39.25919,-93.927856
38350000000,-40.466026,54.804295
38460000000,-40.19516,-156.28481
38570000000,-39.426575,-9.2948227
38680000000,-39.511097,132.5345
38790000000,-39.287991,-77.861076
38900000000,-40.009197,61.90115
39010000000,-40.020988,-146.80034
39120000000,-40.13678,2.5616653
39230000000,-40.452423,155.35146
