!CSV A.01.01
!Keysight Technologies,P9377B,MY61100645,A.17.60.13
!Date: Friday, July 11, 2025 20:34:00
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(DB),S21(DEG)
18000000000,-23.321671,65.595184
18013750000,-23.370461,5.7320375
18027500000,-23.369347,-54.264942
18041250000,-23.398247,-114.66428
18055000000,-23.454422,-174.21722
18068750000,-23.32815,125.34438
18082500000,-23.391298,65.432594
18096250000,-23.229023,5.2700205
18110000000,-23.318344,-55.893707
18123750000,-23.391247,-116.25563
18137500000,-23.485363,-175.90602
18151250000,-23.46426,124.79404
18165000000,-23.352739,64.628471
18178750000,-23.286869,4.1740432
18192500000,-23.212914,-56.560608
18206250000,-23.372797,-117.76102
18220000000,-23.564384,-177.36507
18233750000,-23.532913,123.18461
18247500000,-23.560913,63.38583
18261250000,-23.624737,3.634532
18275000000,-23.518965,-55.195042
18288750000,-23.345911,-115.00452
18302500000,-23.099796,-175.37338
18316250000,-23.042025,122.65322
18330000000,-23.159714,61.522976
18343750000,-23.433804,0.58221298
18357500000,-23.628603,-57.408382
18371250000,-23.447769,-115.82645
18385000000,-23.323448,-175.71594
18398750000,-23.162439,123.79729
18412500000,-23.164448,62.837795
18426250000,-23.153149,2.7671354
18440000000,-23.19359,-57.045483
18453750000,-23.05802,-116.88868
18467500000,-22.979959,-177.44363
18481250000,-22.972475,121.73856
18495000000,-23.04257,61.73793
18508750000,-22.955982,1.4997083
18522500000,-23.01004,-58.872562
18536250000,-22.953625,-119.49306
18550000000,-23.146442,179.94524
18563750000,-23.232159,121.17164
18577500000,-23.216518,62.304264
18591250000,-23.043121,3.1845441
18605000000,-22.740368,-56.983532
18618750000,-22.585716,-118.35938
18632500000,-22.570988,-179.76703
18646250000,-22.732006,118.77195
18660000000,-22.821953,59.051228
18673750000,-22.810343,-1.0765767
18687500000,-22.916159,-60.965694
18701250000,-22.999338,-120.27153
18715000000,-22.896561,-179.56056
18728750000,-22.842598,120.82963
18742500000,-22.630045,60.941891
18756250000,-22.524395,-0.040453345
18770000000,-22.544447,-61.517513
18783750000,-22.779043,-121.6115
18797500000,-22.642624,179.04283
18811250000,-22.61063,119.39643
18825000000,-22.436951,58.372955
18838750000,-22.490082,-2.8752971
18852500000,-22.596514,-63.653122
18866250000,-22.790077,-123.46943
18880000000,-22.820404,177.65262
18893750000,-22.769211,118.11056
18907500000,-22.701637,58.281757
18921250000,-22.635637,-1.7721245
18935000000,-22.498476,-61.310318
18948750000,-22.374531,-122.68665
18962500000,-22.408972,176.70235
18976250000,-22.42277,114.97598
18990000000,-22.694954,54.905518
19003750000,-22.804659,-4.5537529
19017500000,-22.841248,-63.457539
19031250000,-22.694918,-123.10524
19045000000,-22.707676,176.77873
19058750000,-22.668415,117.18313
19072500000,-22.509573,56.95116
19086250000,-22.529715,-4.320756
19100000000,-22.530636,-64.189087
19113750000,-22.66033,-125.19359
19127500000,-22.783119,175.80168
19141250000,-22.734648,116.23164
19155000000,-22.617283,56.620758
19168750000,-22.536411,-3.7704537
19182500000,-22.610226,-64.743027
19196250000,-22.662727,-123.94041
19210000000,-22.554556,175.44563
19223750000,-22.63818,116.0174
19237500000,-22.516895,55.427601
19251250000,-22.641077,-4.682312
19265000000,-22.591158,-64.565292
19278750000,-22.596916,-125.25286
19292500000,-22.697784,174.68898
19306250000,-22.752491,115.12474
19320000000,-22.814945,55.244507
19333750000,-22.834515,-3.5038235
19347500000,-22.644302,-63.578579
19361250000,-22.677488,-122.96861
19375000000,-22.407001,176.29709
19388750000,-22.573681,115.5288
19402500000,-22.451359,54.957798
19416250000,-22.706152,-5.6781435
19430000000,-22.785236,-64.886574
19443750000,-22.791653,-124.59301
19457500000,-22.869478,175.60068
19471250000,-22.910234,116.60339
19485000000,-22.832771,57.673435
19498750000,-22.661821,-2.0377166
19512500000,-22.586699,-61.974754
19526250000,-22.394844,-122.55317
19540000000,-22.436394,176.44104
19553750000,-22.466146,115.77122
19567500000,-22.595148,56.377041
19581250000,-22.466469,-3.6437421
19595000000,-22.52001,-63.671265
19608750000,-22.493532,-124.36462
19622500000,-22.614712,175.70915
19636250000,-22.700077,116.22522
19650000000,-22.651419,57.091976
19663750000,-22.528954,-2.6055682
19677500000,-22.413818,-63.255566
19691250000,-22.50761,-123.87517
19705000000,-22.473356,176.77769
19718750000,-22.442385,116.1665
19732500000,-22.431484,55.896896
19746250000,-22.476528,-4.4363418
19760000000,-22.628548,-65.117409
19773750000,-22.77195,-123.96582
19787500000,-22.76564,176.85201
19801250000,-22.631292,117.60114
19815000000,-22.529217,57.020744
19828750000,-22.539598,-3.2366219
19842500000,-22.581402,-63.964314
19856250000,-22.691475,-123.47208
19870000000,-22.674492,176.5719
19883750000,-22.755865,116.96456
19897500000,-22.700769,56.82407
19911250000,-22.873779,-2.3793437
19925000000,-22.763697,-61.847363
19938750000,-22.72583,-121.35851
19952500000,-22.646769,178.51874
19966250000,-22.628241,118.59293
19980000000,-22.635149,58.186867
19993750000,-22.678833,-1.1722894
20007500000,-22.607229,-61.143192
20021250000,-22.632559,-121.21978
20035000000,-22.664862,178.05019
20048750000,-22.801222,118.57697
20062500000,-22.913008,59.295502
20076250000,-22.850157,0.35945639
20090000000,-22.857338,-59.20005
20103750000,-22.665678,-118.03337
20117500000,-22.659405,-178.70164
20131250000,-22.575674,122.11919
20145000000,-22.469524,61.331036
20158750000,-22.386728,0.94017553
20172500000,-22.48065,-60.309772
20186250000,-22.627815,-119.97953
20200000000,-22.733982,-179.47763
20213750000,-22.699747,121.83392
20227500000,-22.65135,61.83363
20241250000,-22.597992,1.8694714
20255000000,-22.703999,-57.552349
20268750000,-22.60601,-116.371
20282500000,-22.464849,-175.84018
20296250000,-22.223217,124.00011
20310000000,-22.161736,62.578426
20323750000,-22.22776,2.0671911
20337500000,-22.381065,-58.421867
20351250000,-22.446804,-117.98875
20365000000,-22.401974,-177.57521
20378750000,-22.553566,122.62668
20392500000,-22.602211,63.967312
20406250000,-22.513197,4.6266923
20420000000,-22.284901,-54.215397
20433750000,-22.08206,-115.16713
20447500000,-22.001602,-176.20155
20461250000,-22.096645,122.79353
20475000000,-22.188217,62.66185
20488750000,-22.346451,2.9628692
20502500000,-22.273563,-55.967522
20516250000,-22.278387,-116.39314
20530000000,-22.247744,-175.47755
20543750000,-22.262461,123.72803
20557500000,-22.326012,64.987923
20571250000,-22.278124,4.657732
20585000000,-22.227234,-53.748112
20598750000,-22.037867,-114.49904
20612500000,-21.994747,-174.55287
20626250000,-21.857365,124.57378
20640000000,-21.926983,63.976074
20653750000,-21.99135,2.9702899
20667500000,-22.13875,-57.501446
20681250000,-22.387932,-117.47782
20695000000,-22.581629,-175.60291
20708750000,-22.524555,126.01131
20722500000,-22.381832,67.807861
20736250000,-21.996506,7.4712462
20750000000,-22.006561,-54.016956
20763750000,-21.942648,-114.72008
20777500000,-22.085661,-175.18376
20791250000,-22.12883,125.61547
20805000000,-22.104824,65.037064
20818750000,-22.19005,5.1503496
20832500000,-22.313215,-54.853424
20846250000,-22.353363,-113.62769
20860000000,-22.333391,-173.57663
20873750000,-22.177649,126.90863
20887500000,-22.251278,65.789719
20901250000,-22.433777,6.6678314
20915000000,-22.431185,-52.478279
20928750000,-22.24542,-110.94763
20942500000,-22.032766,-171.72655
20956250000,-22.015797,127.25559
20970000000,-22.10075,66.187866
20983750000,-22.269886,6.161056
20997500000,-22.326691,-53.704094
21011250000,-22.444168,-112.95685
21025000000,-22.470352,-172.52493
21038750000,-22.550102,128.14464
21052500000,-22.464304,69.349319
21066250000,-22.342155,9.8385782
21080000000,-22.227976,-51.095192
21093750000,-22.304745,-111.25535
21107500000,-22.379778,-171.41205
21121250000,-22.489208,129.03926
21135000000,-22.452673,70.262665
21148750000,-22.440413,10.197756
21162500000,-22.330982,-48.952942
21176250000,-22.259209,-110.24387
21190000000,-22.381157,-170.04703
21203750000,-22.401062,129.06653
21217500000,-22.652546,69.909538
21231250000,-22.654228,10.601733
21245000000,-22.792622,-48.244637
21258750000,-22.674871,-107.05386
21272500000,-22.593025,-166.14651
21286250000,-22.393764,133.4774
21300000000,-22.293365,73.517609
21313750000,-22.175184,11.87775
21327500000,-22.458483,-48.780575
21341250000,-22.528402,-108.57887
21355000000,-22.840254,-167.55296
21368750000,-22.754757,134.38023
21382500000,-22.694868,74.489265
21396250000,-22.531847,15.717849
21410000000,-22.513542,-45.476395
21423750000,-22.659048,-104.86935
21437500000,-22.592472,-164.18431
21451250000,-22.661295,136.10283
21465000000,-22.576651,76.89357
21478750000,-22.546783,17.283041
21492500000,-22.376221,-42.250549
21506250000,-22.309265,-103.0798
21520000000,-22.159212,-164.38237
21533750000,-22.582342,133.92126
21547500000,-22.811617,74.759888
21561250000,-23.139509,16.671497
21575000000,-22.942202,-40.112709
21588750000,-22.890759,-99.958755
21602500000,-22.50098,-158.10298
21616250000,-22.367447,140.11104
21630000000,-22.272783,79.769363
21643750000,-22.380672,18.295488
21657500000,-22.446026,-41.632725
21671250000,-22.708189,-102.0677
21685000000,-22.823349,-161.08057
21698750000,-23.014709,140.59622
21712500000,-22.714636,82.363617
21726250000,-22.71699,21.650103
21740000000,-22.594349,-37.570538
21753750000,-22.593166,-98.315666
21767500000,-22.732841,-157.53596
21781250000,-22.693008,142.85014
21795000000,-22.697575,83.479637
21808750000,-22.552107,23.921755
21822500000,-22.571474,-36.335838
21836250000,-22.431829,-96.264969
21850000000,-22.515978,-157.93274
21863750000,-22.6796,142.68639
21877500000,-22.997002,82.780426
21891250000,-23.030579,25.395691
21905000000,-23.078947,-33.471474
21918750000,-22.822876,-91.209862
21932500000,-22.60718,-151.51021
21946250000,-22.217424,148.6787
21960000000,-22.245388,85.804817
21973750000,-22.25956,25.956919
21987500000,-22.632202,-36.585743
22001250000,-22.888227,-93.537239
22015000000,-22.950758,-153.43681
22028750000,-23.013159,149.81993
22042500000,-22.745695,89.997887
22056250000,-22.663527,30.819429
22070000000,-22.455591,-29.813524
22083750000,-22.513662,-90.254837
22097500000,-22.537544,-150.38095
22111250000,-22.619198,150.58336
22125000000,-22.506216,90.612595
22138750000,-22.497198,31.056284
22152500000,-22.431915,-29.265333
22166250000,-22.579679,-89.510437
