!CSV A.01.01
!Keysight Technologies,P9377B,MY61100645,A.17.60.13
!Date: Friday, July 11, 2025 20:46:15
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(DB),S21(DEG)
18000000000,-27.470243,43.186985
18013750000,-27.429626,-17.362154
18027500000,-27.634214,-78.918518
18041250000,-28.107002,-139.21016
18055000000,-28.617773,161.41104
18068750000,-29.156193,106.02222
18082500000,-28.629107,51.796608
18096250000,-27.757006,-7.1715679
18110000000,-27.344614,-68.479973
18123750000,-26.968161,-131.87421
18137500000,-27.197384,165.13736
18151250000,-27.356195,105.67763
18165000000,-27.248005,45.772675
18178750000,-27.081656,-12.787898
18192500000,-26.186958,-73.650749
18206250000,-25.859835,-141.68443
18220000000,-26.402182,152.3187
18233750000,-27.257681,90.034172
18247500000,-28.195227,31.244408
18261250000,-28.450005,-21.818045
18275000000,-27.654018,-79.414185
18288750000,-27.276365,-143.10419
18302500000,-27.258802,153.68034
18316250000,-27.746342,88.776276
18330000000,-29.047512,30.346825
18343750000,-29.387186,-23.795643
18357500000,-29.150833,-77.995598
18371250000,-28.458387,-134.44998
18385000000,-27.632765,165.12988
18398750000,-27.106335,102.40122
18412500000,-26.90498,38.471088
18426250000,-27.145187,-24.824356
18440000000,-27.75148,-84.752068
18453750000,-27.776163,-140.71901
18467500000,-27.241972,160.55194
18481250000,-26.788483,100.03273
18495000000,-26.228016,37.733486
18508750000,-26.087385,-26.809923
18522500000,-26.269537,-90.023384
18536250000,-26.580034,-152.06653
18550000000,-26.941059,148.34441
18563750000,-26.797455,90.146965
18577500000,-26.367857,28.292263
18591250000,-26.494524,-36.698784
18605000000,-27.097528,-99.667389
18618750000,-27.824553,-159.30354
18632500000,-28.3342,145.17828
18646250000,-28.181953,89.852333
18660000000,-27.643621,32.233711
18673750000,-27.19636,-27.409966
18687500000,-26.67935,-89.659233
18701250000,-26.902773,-154.62975
18715000000,-27.72053,148.06059
18728750000,-27.25102,93.628464
18742500000,-26.413353,33.916531
18756250000,-25.815228,-27.361427
18770000000,-25.165012,-91.74781
18783750000,-25.195457,-157.50365
18797500000,-25.572018,138.39381
18811250000,-26.310541,77.00238
18825000000,-26.701626,21.70809
18838750000,-26.099211,-35.647495
18852500000,-25.388412,-99.424774
18866250000,-25.481447,-163.57457
18880000000,-25.676357,133.44019
18893750000,-26.11515,70.215996
18907500000,-26.895466,10.937484
18921250000,-27.156708,-45.447529
18935000000,-27.035381,-103.55023
18948750000,-26.732166,-162.97676
18962500000,-26.833492,135.10764
18976250000,-27.321131,77.049034
18990000000,-27.123329,20.802183
19003750000,-26.857586,-37.027927
19017500000,-26.298862,-93.908821
19031250000,-25.392574,-155.51648
19045000000,-25.06394,142.07112
19058750000,-24.538933,79.446114
19072500000,-24.38809,14.098771
19086250000,-24.754042,-48.79884
19100000000,-24.817142,-109.13598
19113750000,-24.904045,-170.45598
19127500000,-24.820827,129.47128
19141250000,-24.523226,66.765152
19155000000,-24.715631,3.2861903
19168750000,-25.051077,-58.481857
19182500000,-25.4447,-120.35147
19196250000,-26.269848,-179.50667
19210000000,-26.360403,124.95403
19223750000,-26.014082,66.306267
19237500000,-25.942078,6.2007666
19251250000,-25.893175,-53.197323
19265000000,-25.944962,-112.88234
19278750000,-25.729584,-170.27606
19292500000,-25.337856,130.57176
19306250000,-24.99523,70.564636
19320000000,-24.472097,10.365341
19333750000,-24.007317,-53.512867
19347500000,-24.145636,-116.36264
19361250000,-24.174288,-177.58902
19375000000,-24.223696,122.0223
19388750000,-24.032574,62.038013
19402500000,-23.787474,-0.17114824
19416250000,-23.847721,-61.789764
19430000000,-23.704157,-123.59909
19443750000,-23.824812,173.86488
19457500000,-24.176517,113.18375
19471250000,-24.212694,54.691998
19485000000,-23.82082,-5.4612288
19498750000,-23.686119,-68.2985
19512500000,-23.783602,-130.86685
19526250000,-24.228207,167.6931
19540000000,-24.546259,109.02967
19553750000,-24.593395,51.472576
19567500000,-24.317986,-6.9619722
19581250000,-23.924055,-66.321472
19595000000,-23.493357,-128.25217
19608750000,-23.374805,168.89211
19622500000,-23.435158,107.28545
19636250000,-23.408499,47.288822
19650000000,-23.200943,-14.136804
19663750000,-23.122646,-76.131516
19677500000,-23.198957,-137.21681
19691250000,-23.073624,161.33255
19705000000,-23.181784,99.399094
19718750000,-23.238121,39.07354
19732500000,-23.266203,-21.532135
19746250000,-23.146051,-82.243767
19760000000,-23.129768,-143.42274
19773750000,-22.990385,155.12955
19787500000,-23.048338,92.841629
19801250000,-23.257286,31.917768
19815000000,-23.309397,-28.837603
19828750000,-23.376596,-89.449493
19842500000,-23.403879,-149.94989
19856250000,-23.388769,148.97336
19870000000,-23.465292,88.545387
19883750000,-23.403502,28.069502
19897500000,-23.406027,-32.855671
19911250000,-23.283281,-94.403725
19925000000,-23.481934,-156.27
19938750000,-23.656816,143.19604
19952500000,-23.746502,82.816696
19966250000,-23.961208,23.102419
19980000000,-23.841986,-36.213818
19993750000,-23.716713,-96.610435
20007500000,-23.568085,-157.61389
20021250000,-23.589493,140.57594
20035000000,-23.734646,79.723412
20048750000,-23.757553,19.888361
20062500000,-23.610586,-40.609295
20076250000,-23.536869,-101.61934
20090000000,-23.446865,-164.24248
20103750000,-23.683725,133.63478
20117500000,-23.840286,72.408997
20131250000,-24.288521,10.180912
20145000000,-24.677113,-47.671299
20158750000,-24.449219,-104.98119
20172500000,-24.148153,-166.69516
20186250000,-24.28838,131.54649
20200000000,-24.350489,70.659477
20213750000,-24.654657,8.9589252
20227500000,-24.976915,-49.45977
20241250000,-25.002378,-107.48452
20255000000,-24.86161,-166.55434
20268750000,-24.636702,133.76459
20282500000,-24.408966,73.027596
20296250000,-24.433136,12.092947
20310000000,-24.322208,-47.150425
20323750000,-24.003403,-107.86418
20337500000,-23.639778,-170.27348
20351250000,-23.645502,126.93569
20365000000,-23.61059,64.598724
20378750000,-23.575914,0.93310225
20392500000,-24.139658,-63.176025
20406250000,-24.848146,-123.13197
20420000000,-25.147034,178.76802
20433750000,-25.120087,120.36528
20447500000,-24.946686,58.841801
20461250000,-25.234253,-2.874615
20475000000,-25.418884,-62.777634
20488750000,-25.681705,-123.74104
20502500000,-26.305611,176.33873
20516250000,-26.702492,122.53086
20530000000,-26.067432,66.312683
20543750000,-25.619022,5.2375717
20557500000,-25.480492,-55.134571
20571250000,-25.24214,-116.5919
20585000000,-25.254009,-178.08609
20598750000,-25.355659,121.86298
20612500000,-25.277197,62.405815
20626250000,-25.076689,3.7275136
20640000000,-24.34548,-57.440445
20653750000,-24.017302,-122.94634
20667500000,-24.462267,171.9772
20681250000,-24.99729,110.68661
20695000000,-25.443672,50.687004
20708750000,-25.458389,-7.9078736
20722500000,-25.289057,-69.313232
