!CSV A.01.01
!Keysight Technologies,P9377B,MY61100645,A.17.60.13
!Date: Friday, July 11, 2025 20:44:22
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(DB),S21(DEG)
18000000000,-26.547783,18.007929
18013750000,-26.151241,-42.785202
18027500000,-26.147213,-105.91358
18041250000,-26.279364,-168.25285
18055000000,-26.882431,130.35457
18068750000,-27.308109,76.085419
18082500000,-26.620564,19.294205
18096250000,-25.92284,-41.924389
18110000000,-25.452518,-105.28645
18123750000,-25.513105,-170.18933
18137500000,-25.993559,128.15813
18151250000,-26.269907,68.961609
18165000000,-26.466879,11.22405
18178750000,-25.976307,-44.628674
18192500000,-25.007095,-106.84672
18206250000,-24.73414,-172.17749
18220000000,-24.90407,124.13854
18233750000,-25.326693,61.677299
18247500000,-25.910454,2.5837302
18261250000,-25.767248,-52.859348
18275000000,-25.045179,-112.67072
18288750000,-24.594912,-175.43384
18302500000,-24.402369,119.93787
18316250000,-24.874815,55.458527
18330000000,-25.523653,-3.6079621
18343750000,-25.651543,-60.528488
18357500000,-25.414968,-119.16433
18371250000,-25.107924,-177.75096
18385000000,-24.548012,122.06977
18398750000,-24.167824,59.825615
18412500000,-23.948397,-3.1869287
18426250000,-23.989122,-66.563667
18440000000,-24.407116,-127.86729
18453750000,-24.401751,173.32977
18467500000,-24.325212,113.72427
18481250000,-24.009459,54.413746
18495000000,-23.588816,-7.4090915
18508750000,-23.380171,-70.170143
18522500000,-23.345234,-132.8831
18536250000,-23.526518,165.43164
18550000000,-23.626099,105.69321
18563750000,-23.263323,45.409042
18577500000,-23.065792,-17.234417
18591250000,-23.144163,-79.707024
18605000000,-23.291252,-140.87595
18618750000,-23.359615,157.78656
18632500000,-23.454897,98.067146
18646250000,-23.248034,37.537052
18660000000,-23.162832,-23.080656
18673750000,-23.014832,-84.600334
18687500000,-22.887995,-145.37781
18701250000,-22.710327,151.94618
18715000000,-22.757736,90.829399
18728750000,-22.55846,28.371365
18742500000,-22.733797,-33.767609
18756250000,-22.915457,-95.514801
18770000000,-23.00507,-155.49115
18783750000,-22.95322,143.43564
18797500000,-23.050829,82.98597
18811250000,-22.886486,22.527189
18825000000,-22.78231,-38.239098
18838750000,-22.636995,-100.19455
18852500000,-22.531944,-162.03854
18866250000,-22.607296,135.209
18880000000,-22.753733,73.996277
18893750000,-22.941927,12.464299
18907500000,-22.924143,-47.283478
18921250000,-22.900019,-109.31412
18935000000,-22.969921,-170.13441
18948750000,-22.981588,129.14177
18962500000,-22.900999,67.804665
18976250000,-22.926296,6.2478433
18990000000,-22.791246,-55.807842
19003750000,-23.031691,-118.24366
19017500000,-23.219658,-179.79262
19031250000,-23.499474,119.45737
19045000000,-23.594025,58.472862
19058750000,-23.831129,-1.2969202
19072500000,-23.787487,-61.361458
19086250000,-23.961769,-122.85171
19100000000,-24.034931,178.13339
19113750000,-23.94327,117.6952
19127500000,-23.979445,56.871243
19141250000,-23.964478,-1.8840439
19155000000,-23.597116,-63.262905
19168750000,-23.514435,-125.60715
19182500000,-23.396147,171.3403
19196250000,-23.826342,107.78272
19210000000,-24.300419,47.741043
19223750000,-24.500114,-11.68476
19237500000,-24.528116,-69.901932
19251250000,-24.112421,-129.87614
19265000000,-23.966074,167.35947
19278750000,-24.108988,104.90238
19292500000,-24.182161,42.486412
19306250000,-24.742094,-19.629696
19320000000,-25.290455,-78.083771
19333750000,-25.179794,-135.57446
19347500000,-24.946278,163.60971
19361250000,-24.982824,102.37363
19375000000,-25.13443,41.010933
19388750000,-25.487728,-19.013498
19402500000,-25.489199,-76.966339
19416250000,-25.382151,-137.63191
19430000000,-25.21755,163.11481
19443750000,-24.777948,101.12698
19457500000,-24.992249,35.627689
19471250000,-25.779295,-25.127394
19485000000,-26.13158,-82.036171
19498750000,-25.946108,-139.97273
19512500000,-25.658012,160.5956
19526250000,-25.481102,99.237953
19540000000,-25.40658,37.074123
19553750000,-25.515291,-25.816904
19567500000,-25.980247,-87.118134
19581250000,-26.500702,-145.23851
19595000000,-26.32567,158.29166
19608750000,-25.786705,97.868889
