!CSV A.01.01
!Keysight Technologies,P9377B,MY61100645,A.17.60.13
!Date: Friday, July 11, 2025 20:42:22
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(DB),S21(DEG)
18000000000,-24.886322,-59.431374
18013750000,-24.95051,-120.9743
18027500000,-25.154762,-178.96666
18041250000,-24.761402,122.8636
18055000000,-24.367207,62.237019
18068750000,-23.962067,1.7928509
18082500000,-23.542673,-61.899643
18096250000,-23.540184,-125.40126
18110000000,-23.662918,171.81248
18123750000,-23.874283,109.96425
18137500000,-24.241102,50.023766
18151250000,-24.086327,-9.079772
18165000000,-23.92547,-70.627594
18178750000,-23.824755,-132.32199
18192500000,-23.871801,165.17616
18206250000,-24.020182,102.35947
18220000000,-24.664631,41.621986
18233750000,-24.847565,-16.816315
18247500000,-24.999212,-74.941605
18261250000,-24.697208,-134.0419
18275000000,-24.600567,165.31184
18288750000,-24.573975,104.24755
18302500000,-24.583014,44.926167
18316250000,-24.487505,-16.015156
18330000000,-24.492865,-75.679001
18343750000,-24.302647,-136.29082
18357500000,-24.339991,163.35976
18371250000,-24.032825,103.24245
18385000000,-24.020174,41.344807
18398750000,-23.963726,-19.165367
18412500000,-23.975876,-80.413841
18426250000,-23.952736,-141.12756
18440000000,-23.982641,158.6058
18453750000,-23.838551,98.511856
18467500000,-23.675533,37.604877
18481250000,-23.584599,-24.227547
18495000000,-23.605827,-85.902359
18508750000,-23.678362,-147.29053
18522500000,-23.666378,152.79053
18536250000,-23.624807,90.923492
18550000000,-23.794693,29.452749
18563750000,-23.943077,-30.808918
18577500000,-24.03643,-91.134674
18591250000,-24.120163,-150.91058
18605000000,-24.071545,149.55435
18618750000,-23.990437,89.33287
18632500000,-23.73992,29.253809
18646250000,-23.621738,-32.9072
18660000000,-23.723555,-94.102318
18673750000,-23.844187,-155.71103
18687500000,-23.935337,144.67438
18701250000,-23.994455,83.870049
18715000000,-24.122519,24.405329
18728750000,-24.076599,-34.641041
18742500000,-23.761116,-94.239632
18756250000,-23.645782,-155.7388
18770000000,-23.520378,143.5351
18783750000,-23.5047,81.797447
18797500000,-23.572433,21.561459
18811250000,-23.503164,-39.039036
18825000000,-23.328232,-99.868492
18838750000,-23.205484,-161.30928
18852500000,-23.016783,136.68547
18866250000,-23.239912,73.050339
18880000000,-23.581802,12.356474
18893750000,-23.748743,-47.911922
18907500000,-23.929747,-108.43373
18921250000,-24.086592,-167.55717
18935000000,-23.979689,132.84564
18948750000,-23.999033,72.205414
18962500000,-23.875624,11.081253
18976250000,-24.112268,-51.055241
18990000000,-24.516838,-110.16878
19003750000,-24.596352,-168.05257
19017500000,-24.507113,133.1438
19031250000,-24.178635,75.273758
19045000000,-23.772942,14.034594
19058750000,-23.692135,-46.964878
19072500000,-23.443783,-108.925
19086250000,-23.599216,-170.64713
19100000000,-23.475481,130.16261
19113750000,-23.194334,69.132362
19127500000,-23.089367,6.9835439
19141250000,-22.888727,-54.415802
19155000000,-22.756769,-118.48248
19168750000,-23.097853,178.27165
19182500000,-23.393026,116.553
19196250000,-23.700552,55.447712
19210000000,-24.081781,-5.3817225
19223750000,-24.252234,-64.923271
19237500000,-24.398975,-126.11331
19251250000,-24.754614,173.77095
19265000000,-25.145117,114.05364
19278750000,-25.602278,55.713955
19292500000,-25.641352,-0.80996156
19306250000,-25.470682,-58.887363
19320000000,-25.386383,-117.01669
19333750000,-25.017826,-175.57045
19347500000,-24.673597,124.12049
19361250000,-24.638813,63.652031
19375000000,-24.449816,3.760196
19388750000,-24.213911,-55.497974
19402500000,-23.686983,-116.26265
19416250000,-23.235561,-179.65648
19430000000,-23.234186,116.64364
19443750000,-23.263971,53.72155
19457500000,-23.606764,-9.2862167
19471250000,-23.912285,-69.367012
19485000000,-23.919313,-129.96306
19498750000,-23.816959,168.76605
19512500000,-23.964111,105.66141
19526250000,-24.310085,42.339527
19540000000,-25.100664,-19.328821
19553750000,-25.801346,-76.996254
19567500000,-26.114691,-133.4386
19581250000,-26.052956,169.96198
19595000000,-25.715467,111.03556
